trade_date,close,open,high,low,vol,pct_change,vwap
20241231,53.27,53.89,54.22,52.95,4724711,-0.73,53.35
20241230,53.66,53.74,54.1,52.93,7034094,-1.14,53.69
20241227,54.28,53.81,54.86,53.76,5754086,0.18,54.26
20241226,54.18,53.37,54.38,53.14,6009254,1.25,54.06
20241224,53.51,52.7,53.63,52.52,4537121,1.81,53.21
20241223,52.56,51.49,52.59,51.36,7336074,1.45,52.17
20241220,51.81,50.09,52.14,50.07,23655040,2.92,51.59
20241219,50.34,50.62,51.34,50.29,11214223,0.7,50.58
20241218,49.99,51.26,51.86,49.96,13416165,-2.27,50.97
20241217,51.15,51.59,51.93,51.13,10695598,-2.09,51.38
20241216,52.24,52.05,52.62,51.28,11597192,-0.55,52.03
20241213,52.53,52.25,52.82,51.9,8747160,0.44,52.52
20241212,52.3,52.4,52.69,51.94,9454863,0.5,52.26
20241211,52.04,53.25,53.45,51.3,12544290,-1.33,52.04
20241210,52.74,53.77,53.77,52.34,7214824,0.06,52.82
20241209,52.71,54.0,54.46,52.66,7729356,-1.31,53.24
20241206,53.41,53.71,53.9,53.01,8577988,0.04,53.34
20241205,53.39,53.61,53.91,53.01,9421145,0.06,53.44
20241204,53.36,53.62,53.83,52.76,12723848,-0.56,53.15
20241203,53.66,55.1,55.21,53.48,12950696,-2.51,54.01
20241202,55.04,55.5,55.62,54.69,10534059,-0.99,55.15
20241129,55.59,56.43,56.99,55.59,8064422,0.16,56.03
20241127,55.5,55.2,56.07,55.15,11311282,1.3,55.57
20241126,54.79,57.65,58.32,54.73,25250247,-8.99,55.53
20241125,60.2,59.16,61.24,58.9,24495032,2.85,60.39
20241122,58.53,55.74,58.9,55.65,14129786,5.12,58.07
20241121,55.68,55.2,55.81,54.73,11207063,1.48,55.44
20241120,54.87,55.0,55.49,54.57,12097977,-0.44,54.84
20241119,55.11,55.02,56.78,54.77,14469383,-2.03,55.43
20241118,56.25,57.49,57.52,55.84,12268606,-1.38,56.42
20241115,57.04,57.53,57.82,56.94,12564223,-1.01,57.24
20241114,57.62,57.79,59.39,57.17,17720118,-0.16,58.22
20241113,57.71,57.61,58.42,57.54,10033872,0.52,57.9
20241112,57.41,57.5,58.29,57.02,10164450,-0.43,57.64
20241111,57.66,56.17,58.22,55.96,11258805,3.74,57.36
20241108,55.58,55.1,56.07,54.85,10223766,0.34,55.5
20241107,55.39,55.13,55.93,54.2,10819930,0.62,55.46
20241106,55.05,54.48,55.38,53.14,19131274,2.51,54.53
20241105,53.7,51.66,53.74,51.51,11504829,3.67,53.31
20241104,51.8,50.99,52.77,50.99,9758160,1.65,52.07
20241101,50.96,51.15,51.78,50.79,10238840,0.39,51.22
20241031,50.76,51.75,52.12,50.74,9322727,-2.33,51.1
20241030,51.97,51.5,52.73,51.5,8150856,0.83,52.22
20241029,51.54,52.13,52.22,50.97,13762938,-2.26,51.56
20241028,52.73,52.25,52.85,52.05,10868833,1.27,52.64
20241025,52.07,53.2,53.41,51.91,8484352,-1.23,52.35
20241024,52.72,53.65,54.29,52.48,11396856,-0.38,53.0
20241023,52.92,54.05,54.19,52.52,15982524,-1.51,53.16
20241022,53.73,50.02,54.18,49.99,42252301,9.81,53.0
20241021,48.93,49.26,49.6,48.63,11395868,-0.51,49.0
20241018,49.18,49.64,49.75,49.1,9083231,-0.41,49.31
20241017,49.38,49.0,49.49,48.64,8333574,0.75,49.26
20241016,49.01,48.49,49.27,48.36,10023036,2.42,48.97
20241015,47.85,48.22,48.9,47.81,12514883,-1.6,48.22
20241014,48.63,47.75,48.77,47.63,6705609,1.59,48.46
20241011,47.87,47.37,48.25,47.29,8956133,0.38,47.96
20241010,47.69,47.62,47.96,47.36,9690711,-0.5,47.71
20241009,47.93,46.04,47.98,45.67,13919942,4.17,47.51
20241008,46.01,46.07,47.35,45.77,16575750,0.07,46.31
20241007,45.98,45.42,46.12,45.26,11202454,0.66,45.85
20241004,45.68,45.81,46.15,45.5,11256274,1.56,45.75
20241003,44.98,44.42,45.03,44.06,9409856,0.36,44.69
20241002,44.82,44.78,45.54,44.73,10458188,-0.13,44.97
20241001,44.88,45.15,45.48,44.38,14969223,0.09,44.87
20240930,44.84,44.92,45.9,44.47,20101145,-3.53,44.95
20240927,46.48,46.37,47.07,45.99,12316559,1.46,46.52
20240926,45.81,45.72,46.12,45.45,11539071,0.17,45.85
20240925,45.73,45.95,46.44,44.98,22561782,-4.87,45.58
20240924,48.07,48.46,48.77,47.57,9500996,0.06,47.98
20240923,48.04,47.6,48.28,46.98,13655247,-1.72,47.63
20240920,48.88,48.24,48.99,47.9,18091563,0.53,48.63
20240919,48.62,49.49,49.86,48.2,13448848,-0.08,48.93
