trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,166.57,166.57,162.47,163.32,1924388,-2.13,163.66
2023-01-04,163.23,165.77,163.05,165.37,1133545,1.26,164.59
2023-01-05,165.03,165.14,161.01,162.13,995744,-1.96,162.24
2023-01-06,163.55,164.8,162.6,164.31,1042364,1.34,163.99
2023-01-09,164.73,166.43,163.73,163.9,874142,-0.25,164.65
2023-01-10,164.04,164.46,161.67,163.27,917761,-0.38,162.95
2023-01-11,163.65,164.67,162.58,162.7,1150124,-0.35,163.03
2023-01-12,162.87,163.19,161.14,162.5,1038840,-0.12,162.4
2023-01-13,161.79,163.6,161.68,163.08,1075021,0.36,162.92
2023-01-17,163.67,164.14,161.65,162.1,797995,-0.6,162.48
2023-01-18,162.57,163.51,159.55,159.85,834714,-1.39,160.9
2023-01-19,159.46,159.46,155.11,155.21,1024394,-2.9,156.16
2023-01-20,155.63,155.86,153.86,155.56,1347711,0.23,155.11
2023-01-23,156.48,157.67,155.14,156.49,768748,0.6,156.6
2023-01-24,156.87,160.38,155.86,159.12,816158,1.68,159.1
2023-01-25,158.36,160.27,157.67,160.11,653216,0.62,159.47
2023-01-26,160.62,161.77,160.02,161.57,722854,0.91,161.14
2023-01-27,161.72,161.72,158.84,159.6,832855,-1.22,159.63
2023-01-30,159.54,161.34,159.51,160.25,661991,0.41,160.28
2023-01-31,160.77,161.42,159.56,161.41,938810,0.72,160.67
2023-02-01,160.78,162.74,159.4,162.13,857771,0.45,161.11
2023-02-02,162.1,164.39,161.25,164.23,1178280,1.3,163.28
2023-02-03,164.03,164.37,161.83,161.86,847930,-1.44,162.63
2023-02-06,161.66,163.16,160.74,162.72,1443176,0.53,162.03
2023-02-07,162.23,163.03,160.02,162.52,642509,-0.12,161.9
2023-02-08,161.58,163.98,160.8,162.99,975064,0.29,163.15
2023-02-09,163.84,164.98,162.18,162.79,864726,-0.12,163.15
2023-02-10,162.65,166.74,162.48,166.43,940390,2.24,165.8
2023-02-13,166.41,170.61,166.09,169.08,1150769,1.59,169.17
2023-02-14,168.9,170.84,168.21,169.86,912545,0.46,169.8
2023-02-15,170.13,172.97,170.06,172.82,932164,1.74,172.12
2023-02-16,172.05,173.57,171.26,172.31,831998,-0.3,172.37
2023-02-17,172.38,173.83,171.7,173.26,850003,0.55,173.1
2023-02-21,171.29,171.64,167.68,167.68,1140226,-3.22,168.98
2023-02-22,168.86,169.55,166.94,167.27,988313,-0.24,167.96
2023-02-23,168.34,173.85,168.34,172.89,1476830,3.36,172.33
2023-02-24,172.04,173.4,169.89,171.99,1116304,-0.52,172.31
2023-02-27,173.75,174.44,170.96,171.53,1285735,-0.27,172.28
2023-02-28,171.67,172.7,169.52,170.1,1698027,-0.83,170.51
2023-03-01,168.41,168.89,163.09,163.8,1777128,-3.7,164.62
2023-03-02,162.86,165.49,161.38,165.32,2607826,0.93,164.38
2023-03-03,165.96,166.65,164.67,166.16,1280159,0.51,166.07
2023-03-06,166.16,168.25,165.93,167.92,1375381,1.06,167.67
2023-03-07,168.31,168.45,164.43,164.65,839815,-1.95,165.33
2023-03-08,164.8,165.22,162.57,163.19,841542,-0.89,163.48
2023-03-09,163.27,163.91,159.44,159.78,808096,-2.09,161.04
2023-03-10,159.95,160.84,157.24,157.64,1028036,-1.34,158.72
2023-03-13,155.92,159.28,155.36,157.17,1466761,-0.3,157.41
2023-03-14,158.7,159.58,156.62,158.43,1736930,0.8,158.32
2023-03-15,157.11,158.04,154.63,157.78,1459178,-0.41,156.94
2023-03-16,156.92,159.43,155.96,159.26,1493780,0.94,158.49
2023-03-17,158.48,158.94,155.19,156.75,6636996,-1.58,156.72
2023-03-20,157.61,160.35,157.42,159.35,1236754,1.66,159.34
2023-03-21,160.82,161.59,159.31,160.48,1197505,0.71,160.52
2023-03-22,160.26,160.82,157.26,157.3,1261674,-1.98,159.1
2023-03-23,157.29,158.02,147.94,149.23,1929737,-5.13,151.29
2023-03-24,150.96,152.59,149.73,151.73,1619899,1.68,151.59
2023-03-27,153.14,154.52,151.96,153.81,1187327,1.37,153.64
2023-03-28,154.08,156.6,154.03,156.05,987642,1.46,155.9
2023-03-29,156.43,157.21,154.51,157.21,1037535,0.74,156.23
2023-03-30,159.71,160.32,158.49,158.98,1021053,1.13,159.08
2023-03-31,159.61,161.95,159.61,161.82,799099,1.79,161.3
2023-04-03,161.7,163.59,161.7,162.76,837248,0.58,162.97
