trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,99.36,100.66,97.71,98.86,1845855,0.89,98.73
2023-01-04,100.02,102.58,99.65,102.1,1735065,3.28,101.53
2023-01-05,101.16,101.56,99.65,100.62,1193691,-1.45,100.52
2023-01-06,102.09,104.58,101.59,103.76,2002238,3.12,103.54
2023-01-09,103.8,106.17,103.57,105.04,1448307,1.23,105.0
2023-01-10,105.0,105.53,103.28,103.9,1115234,-1.09,104.15
2023-01-11,104.43,104.88,103.24,104.19,1140849,0.28,104.27
2023-01-12,104.51,106.95,104.36,106.9,1540979,2.6,106.14
2023-01-13,105.82,106.97,104.91,106.22,1356533,-0.64,106.32
2023-01-17,109.28,110.46,107.25,109.97,2491406,3.53,109.64
2023-01-18,111.05,111.92,107.72,107.75,1959571,-2.02,108.89
2023-01-19,106.1,107.9,105.65,107.19,1383004,-0.52,107.08
2023-01-20,107.76,110.62,107.0,110.44,1303496,3.03,109.53
2023-01-23,110.68,112.68,109.67,111.91,1438750,1.33,111.87
2023-01-24,111.93,113.19,110.48,110.79,1021007,-1.0,111.2
2023-01-25,108.87,110.42,107.34,110.19,1229526,-0.54,109.06
2023-01-26,111.29,111.66,109.53,111.01,1207536,0.74,110.53
2023-01-27,110.82,111.82,110.04,111.2,1267213,0.17,111.1
2023-01-30,110.0,110.44,108.64,108.81,1315841,-2.15,109.35
2023-01-31,108.65,111.31,108.49,111.21,1259134,2.21,110.56
2023-02-01,111.13,114.69,110.58,113.93,1366081,2.45,112.99
2023-02-02,115.58,117.53,114.18,114.6,1686755,0.59,115.82
2023-02-03,112.09,112.94,110.78,111.55,1525869,-2.66,111.68
2023-02-06,110.15,111.28,109.39,109.68,1397587,-1.68,110.15
2023-02-07,109.34,113.11,109.17,112.74,1601805,2.79,111.64
2023-02-08,112.1,112.58,109.73,110.14,1078636,-2.31,110.6
2023-02-09,111.79,113.41,110.08,110.15,2199292,0.01,111.21
2023-02-10,112.19,117.18,111.5,116.3,3204300,5.58,115.54
2023-02-13,115.3,115.43,112.07,113.24,3670634,-2.63,113.31
2023-02-14,112.52,116.6,111.68,114.63,2504685,1.23,114.7
2023-02-15,113.23,117.31,113.23,116.38,2331395,1.53,116.12
2023-02-16,114.4,116.86,113.97,115.78,1475340,-0.52,116.01
2023-02-17,115.0,115.42,113.22,114.75,1453820,-0.89,114.22
2023-02-21,113.39,113.66,111.39,111.61,1414814,-2.74,111.96
2023-02-22,111.91,112.85,111.58,112.42,1036146,0.73,112.17
2023-02-23,113.32,113.89,111.14,112.23,1322775,-0.17,112.31
2023-02-24,110.23,110.9,109.47,110.71,1546661,-1.35,110.29
2023-02-27,111.82,112.73,110.91,112.02,1690787,1.18,111.83
2023-02-28,111.97,112.39,110.59,110.7,1512988,-1.18,111.13
2023-03-01,110.09,110.66,108.48,110.19,1337412,-0.46,109.82
2023-03-02,109.78,110.29,108.52,109.24,1372185,-0.86,109.09
2023-03-03,109.9,111.46,109.54,111.29,996472,1.88,111.05
2023-03-06,111.45,112.9,111.02,111.1,935365,-0.17,111.58
2023-03-07,110.81,111.28,107.36,107.36,1689505,-3.37,108.06
2023-03-08,107.26,108.1,106.33,107.45,1551303,0.08,107.24
2023-03-09,107.98,107.98,103.6,103.8,1299965,-3.4,105.02
2023-03-10,102.89,103.3,98.27,98.66,2389984,-4.95,99.73
2023-03-13,96.93,97.42,92.79,94.7,3423251,-4.01,95.46
2023-03-14,98.07,100.38,97.84,99.85,2935022,5.44,99.35
2023-03-15,95.96,98.2,94.37,98.15,3633722,-1.7,97.06
2023-03-16,97.3,100.08,95.52,99.82,3091315,1.7,98.52
2023-03-17,99.79,99.79,96.88,97.48,5308399,-2.34,97.69
2023-03-20,98.11,99.89,97.65,98.74,2362690,1.29,98.95
2023-03-21,101.02,102.29,99.7,101.33,2477082,2.62,100.99
2023-03-22,100.92,101.54,97.81,97.84,1534086,-3.44,99.53
2023-03-23,97.87,99.82,96.14,97.37,1629605,-0.48,97.78
2023-03-24,95.94,97.56,94.74,97.36,1597481,-0.01,96.41
2023-03-27,99.2,100.61,97.61,98.07,2170941,0.73,98.49
2023-03-28,97.69,98.79,97.22,98.5,1480447,0.44,98.18
2023-03-29,100.3,102.42,99.78,102.2,2137496,3.76,101.57
2023-03-30,103.83,104.67,101.93,102.07,2091084,-0.13,103.03
2023-03-31,102.36,104.32,102.36,104.09,2111292,1.98,103.68
2023-04-03,103.95,104.46,103.34,104.1,1454677,0.01,103.99
2023-04-04,104.83,104.93,101.91,102.18,1914641,-1.84,102.53
2023-04-05,101.28,103.42,101.12,102.8,1753615,0.61,102.44
2023-04-06,102.39,104.26,101.94,103.96,1567359,1.13,103.59
