trade_date,close,open,high,low,vol,pct_change,vwap
20241231,1054.05,1059.86,1062.13,1051.05,168298,-0.39,1055.07
20241230,1058.21,1060.83,1065.88,1045.34,175188,-1.01,1058.37
20241227,1068.98,1074.83,1082.76,1064.8,171769,-1.26,1069.21
20241226,1082.63,1089.41,1089.67,1080.63,115170,-0.77,1084.09
20241224,1090.98,1084.74,1092.84,1082.88,120823,0.8,1087.62
20241223,1082.34,1088.2,1088.2,1075.19,254587,-0.97,1082.37
20241220,1092.96,1077.62,1099.16,1071.84,693479,1.05,1090.22
20241219,1081.55,1098.7,1103.87,1081.37,325244,-0.9,1086.48
20241218,1091.33,1122.77,1124.66,1089.63,336860,-2.59,1104.72
20241217,1120.31,1134.39,1136.32,1115.39,274522,-1.72,1122.22
20241216,1139.88,1145.42,1150.0,1136.92,233777,-0.24,1141.81
20241213,1142.62,1145.24,1149.59,1139.06,177937,-0.56,1142.86
20241212,1149.01,1159.12,1159.12,1141.39,208649,-0.56,1148.46
20241211,1155.5,1169.73,1169.73,1147.99,257910,-0.17,1157.81
20241210,1157.51,1158.78,1162.32,1143.43,284569,-0.39,1156.03
20241209,1162.05,1189.64,1189.64,1156.87,308428,-1.95,1164.28
20241206,1185.16,1190.51,1192.65,1181.13,193545,-0.29,1185.33
20241205,1188.65,1188.41,1195.31,1186.45,188841,-0.33,1190.1
20241204,1192.6,1193.42,1196.41,1188.45,171686,-0.05,1193.03
20241203,1193.16,1199.16,1201.68,1184.22,200191,-0.07,1191.96
20241202,1193.99,1208.05,1208.05,1190.49,195025,-0.94,1196.03
20241129,1205.34,1205.74,1215.0,1205.27,126632,-0.04,1208.13
20241127,1205.87,1220.0,1221.32,1203.37,162547,-0.94,1208.39
20241126,1217.3,1216.54,1219.69,1201.88,180036,0.13,1216.05
20241125,1215.76,1208.66,1227.44,1199.68,440082,0.75,1217.2
20241122,1206.65,1202.35,1207.47,1195.38,206595,1.02,1202.99
20241121,1194.41,1182.67,1199.44,1173.28,154098,1.35,1192.66
20241120,1178.45,1172.0,1179.47,1162.02,128704,0.54,1172.69
20241119,1172.07,1159.57,1177.43,1159.57,138244,-0.01,1171.1
20241118,1172.13,1181.6,1185.92,1167.7,191789,-0.53,1174.27
20241115,1178.33,1174.01,1179.29,1168.82,228414,0.2,1175.93
20241114,1176.01,1198.52,1200.0,1166.26,338092,-2.16,1178.24
20241113,1202.01,1207.21,1218.63,1198.32,185732,-0.52,1205.98
20241112,1208.34,1220.07,1222.34,1204.56,191773,-1.03,1210.84
20241111,1220.93,1207.6,1227.66,1207.6,223674,1.55,1221.0
20241108,1202.35,1188.0,1210.26,1181.11,287212,1.13,1201.92
20241107,1188.95,1193.4,1197.19,1179.73,263729,-0.5,1188.2
20241106,1194.96,1164.43,1199.0,1150.0,396963,6.5,1189.72
20241105,1122.02,1095.02,1122.78,1095.02,168576,2.4,1116.4
20241104,1095.68,1107.91,1107.91,1094.06,150930,-0.85,1097.26
20241101,1105.07,1111.51,1117.33,1101.48,236592,-0.38,1107.12
20241031,1109.23,1128.56,1130.0,1091.19,487393,0.9,1109.8
20241030,1099.34,1100.04,1112.88,1097.05,292183,0.09,1104.03
20241029,1098.35,1100.52,1107.58,1095.03,184015,-0.52,1100.96
20241028,1104.13,1101.03,1107.5,1094.42,172673,1.21,1103.04
20241025,1090.94,1083.27,1098.72,1083.27,157835,0.81,1089.83
20241024,1082.21,1090.48,1093.04,1081.47,146994,-0.94,1085.63
20241023,1092.53,1091.38,1097.73,1085.68,99931,-0.58,1091.85
20241022,1098.93,1118.85,1118.85,1093.56,204533,-1.91,1100.43
20241021,1120.36,1129.82,1129.92,1111.04,153439,-0.59,1120.68
20241018,1127.0,1124.29,1128.52,1114.28,240455,0.67,1124.52
20241017,1119.47,1107.33,1119.96,1103.04,134378,0.59,1115.59
20241016,1112.93,1094.2,1115.63,1094.2,208874,2.52,1111.6
20241015,1085.57,1104.51,1106.01,1084.6,264856,-1.17,1093.68
20241014,1098.37,1095.89,1103.65,1085.42,193552,1.23,1098.05
20241011,1085.04,1048.1,1088.84,1046.0,432566,5.84,1079.65
20241010,1025.16,1025.52,1037.39,1023.23,173804,-0.43,1027.08
20241009,1029.6,1025.52,1036.91,1024.22,231808,0.1,1028.35
20241008,1028.56,1029.94,1031.1,1024.31,131247,0.56,1028.28
20241007,1022.84,1018.59,1029.55,1018.59,219668,-1.01,1023.96
20241004,1033.24,1037.49,1037.49,1023.08,95962,0.4,1030.94
20241003,1029.15,1037.41,1037.41,1020.95,147708,-0.87,1027.89
20241002,1038.13,1038.0,1041.2,1035.02,91913,-0.17,1038.28
20241001,1039.9,1038.29,1046.75,1030.07,142059,0.1,1039.49
20240930,1038.81,1038.86,1044.49,1030.95,238128,0.28,1038.06
20240927,1035.94,1040.38,1046.27,1031.4,147778,-0.77,1038.06
20240926,1043.93,1036.84,1047.65,1035.28,193265,1.14,1043.22
20240925,1032.16,1046.3,1049.02,1031.36,246756,-0.82,1037.09
20240924,1040.71,1036.89,1043.34,1026.56,216195,-0.13,1039.56
