trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,222.31,223.41,219.96,221.03,212862,-1.01,221.3
2023-01-04,219.79,222.55,218.44,220.84,624414,-0.09,220.56
2023-01-05,220.85,221.48,217.57,219.67,359910,-0.53,219.45
2023-01-06,222.5,225.22,219.24,222.73,348173,1.39,222.06
2023-01-09,222.14,222.14,213.59,214.46,531353,-3.71,216.04
2023-01-10,215.47,218.67,213.11,216.79,452548,1.09,216.12
2023-01-11,217.32,220.02,215.53,219.75,411104,1.37,218.51
2023-01-12,219.76,222.88,219.31,221.14,286956,0.63,221.53
2023-01-13,216.71,218.46,213.23,215.92,368501,-2.36,215.5
2023-01-17,216.76,218.93,212.26,214.45,282295,-0.68,214.93
2023-01-18,214.5,214.61,211.1,212.3,352562,-1.0,212.7
2023-01-19,212.03,213.28,209.7,210.73,265397,-0.74,210.97
2023-01-20,211.63,213.14,209.49,211.11,356615,0.18,211.32
2023-01-23,212.14,213.91,210.81,210.95,384287,-0.08,211.72
2023-01-24,210.53,213.27,206.96,213.09,373748,1.01,211.61
2023-01-25,212.27,212.27,204.95,209.91,475037,-1.49,208.59
2023-01-26,210.72,213.66,209.46,210.56,358891,0.31,211.28
2023-01-27,211.48,213.37,209.6,211.22,244067,0.31,211.47
2023-01-30,212.34,213.39,208.86,209.72,292787,-0.71,210.12
2023-01-31,210.34,213.71,209.65,213.47,260584,1.79,212.27
2023-02-01,212.4,213.27,210.29,211.36,344327,-0.99,211.5
2023-02-02,210.12,212.54,207.6,210.73,521452,-0.3,210.83
2023-02-03,211.35,212.03,208.34,210.01,362368,-0.34,209.74
2023-02-06,210.56,215.09,210.56,214.89,564448,2.32,213.99
2023-02-07,214.52,218.99,211.87,218.08,446465,1.48,216.69
2023-02-08,216.33,219.22,215.92,218.46,377729,0.17,218.04
2023-02-09,213.91,215.93,205.14,213.38,1109033,-2.33,212.23
2023-02-10,214.15,215.99,212.81,214.23,492717,0.4,214.19
2023-02-13,214.81,216.53,210.24,211.92,509910,-1.08,212.0
2023-02-14,211.99,212.54,209.12,209.26,450381,-1.26,210.04
2023-02-15,208.19,212.3,207.49,211.41,541222,1.03,210.13
2023-02-16,210.11,215.07,210.11,211.9,302933,0.23,212.77
2023-02-17,212.17,218.63,212.17,217.34,1362004,2.57,216.89
2023-02-21,218.85,219.52,213.92,214.9,406427,-1.12,215.82
2023-02-22,215.28,216.57,212.61,213.67,338841,-0.57,214.17
2023-02-23,213.45,214.88,209.77,211.53,343212,-1.0,211.53
2023-02-24,211.03,215.17,210.39,214.88,578890,1.58,213.58
2023-02-27,215.17,216.4,211.54,211.6,425773,-1.53,212.57
2023-02-28,212.0,213.03,209.41,209.48,375113,-1.0,210.35
2023-03-01,208.52,210.15,207.82,209.99,242588,0.24,209.4
2023-03-02,209.14,211.86,208.22,211.73,203555,0.83,211.12
2023-03-03,212.57,212.97,210.81,212.69,263598,0.45,212.28
2023-03-06,212.56,213.81,210.05,211.06,311019,-0.77,211.1
2023-03-07,211.62,212.28,208.31,208.31,259076,-1.3,209.18
2023-03-08,209.17,209.77,204.86,206.7,322164,-0.77,206.89
2023-03-09,208.31,210.06,204.37,204.42,333634,-1.1,206.11
2023-03-10,203.91,205.11,201.43,202.43,266808,-0.97,202.85
2023-03-13,200.28,204.34,197.93,203.6,814265,0.58,202.54
2023-03-14,205.15,205.97,201.27,202.81,359885,-0.39,203.12
2023-03-15,200.76,201.49,197.36,199.97,339703,-1.4,199.33
2023-03-16,198.95,202.51,197.72,199.8,332956,-0.09,200.39
2023-03-17,199.3,199.3,193.47,194.07,753713,-2.87,194.75
2023-03-20,195.71,199.55,195.71,197.92,376130,1.98,198.08
2023-03-21,199.86,201.08,198.5,200.06,374270,1.08,200.0
2023-03-22,199.94,200.62,193.88,194.11,524847,-2.97,196.44
2023-03-23,193.4,194.17,190.54,191.5,412685,-1.34,192.17
2023-03-24,191.2,195.54,190.79,194.71,275523,1.68,193.91
2023-03-27,196.73,199.48,195.58,199.43,548141,2.42,198.47
2023-03-28,199.13,202.93,199.13,201.32,449992,0.95,201.29
2023-03-29,202.22,203.27,201.11,203.23,395460,0.95,202.33
2023-03-30,203.34,204.41,200.96,201.46,504921,-0.87,202.53
2023-03-31,202.61,203.18,200.7,201.51,573423,0.02,201.36
2023-04-03,201.89,206.55,201.89,203.44,562009,0.96,204.34
2023-04-04,203.18,204.11,201.69,202.79,554584,-0.32,202.98
2023-04-05,201.93,204.36,201.75,202.14,321100,-0.32,202.46
2023-04-06,203.2,204.13,200.53,200.65,381150,-0.74,201.58
2023-04-10,200.74,205.48,200.74,204.1,373487,1.72,204.06
2023-04-11,205.3,205.58,202.97,203.61,224701,-0.24,204.09
2023-04-12,203.96,206.73,203.87,204.93,217431,0.65,205.42
2023-04-13,204.39,206.77,203.08,205.83,255650,0.44,205.49
2023-04-14,204.91,205.84,203.01,204.37,197036,-0.71,204.25
2023-04-17,204.85,206.48,204.43,205.76,240020,0.68,205.47
2023-04-18,205.83,208.31,205.25,206.39,222679,0.31,206.59
2023-04-19,206.61,206.61,205.1,205.42,187656,-0.47,205.64
2023-04-20,205.46,206.08,204.31,206.07,149957,0.32,205.39
2023-04-21,207.04,207.04,202.22,203.16,197872,-1.41,203.58
2023-04-24,203.14,204.19,202.1,203.74,219273,0.29,203.44
2023-04-25,203.04,203.4,200.52,200.89,190787,-1.4,201.43
2023-04-26,199.57,199.98,194.45,194.54,352294,-3.16,195.5
2023-04-27,194.47,196.82,194.13,196.02,260084,0.76,195.77
2023-04-28,195.93,197.08,195.76,196.3,229539,0.14,196.45
2023-05-01,196.67,199.61,196.6,196.78,348625,0.24,197.65
2023-05-02,196.08,196.08,190.8,191.5,404858,-2.68,192.19
2023-05-03,192.42,193.64,190.97,191.6,333200,0.05,191.96
2023-05-04,195.81,195.81,183.5,187.6,601803,-2.09,187.35
2023-05-05,187.53,193.3,187.42,192.26,444222,2.48,191.27
2023-05-08,192.66,194.98,188.94,189.06,338254,-1.66,190.88
2023-05-09,189.3,190.86,188.23,189.31,456003,0.13,189.66
2023-05-10,189.82,193.29,189.33,193.06,360489,1.98,191.92
2023-05-11,191.64,193.03,189.93,191.53,329865,-0.79,191.37
