trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,208.25,208.25,205.41,207.43,2219496,0.0,206.79
2023-01-04,201.81,204.46,200.67,203.3,3860313,-1.99,202.74
2023-01-05,201.79,202.11,197.51,197.91,4057482,-2.65,198.86
2023-01-06,199.85,204.29,199.27,203.53,4056383,2.84,202.9
2023-01-09,203.53,206.78,202.82,203.91,2627479,0.19,204.45
2023-01-10,202.78,204.67,202.78,204.56,1775736,0.32,204.19
2023-01-11,205.18,206.08,203.27,205.49,2919491,0.45,204.88
2023-01-12,206.02,210.25,205.57,209.05,2964267,1.73,208.69
2023-01-13,207.61,209.87,206.07,209.66,1997090,0.29,208.43
2023-01-17,210.06,210.06,205.13,205.43,3281499,-2.02,206.17
2023-01-18,204.13,204.13,197.44,197.69,5101402,-3.77,199.32
2023-01-19,197.75,197.82,193.8,194.22,4549156,-1.76,195.11
2023-01-20,193.16,196.16,192.43,195.55,3977496,0.68,195.11
2023-01-23,196.05,199.24,194.92,197.9,2799719,1.2,197.7
2023-01-24,197.42,201.02,195.74,200.29,3217250,1.21,199.35
2023-01-25,197.98,200.51,197.22,200.04,2154853,-0.12,199.15
2023-01-26,201.13,202.7,199.29,202.63,1927499,1.29,201.82
2023-01-27,201.22,203.1,200.97,201.45,2122529,-0.58,201.73
2023-01-30,199.91,202.67,199.01,199.18,2545705,-1.13,200.12
2023-01-31,199.94,201.88,198.92,201.79,2298778,1.31,201.09
2023-02-01,200.76,201.76,197.27,200.09,5392234,-0.84,199.72
2023-02-02,192.57,201.54,191.35,200.73,7183496,0.32,197.39
2023-02-03,200.55,200.55,195.15,196.19,4457813,-2.26,196.75
2023-02-06,195.76,197.58,194.32,197.5,2854188,0.67,196.55
2023-02-07,196.49,199.41,195.31,198.88,2947917,0.7,197.86
2023-02-08,197.36,198.24,194.76,195.73,3562421,-1.58,195.86
2023-02-09,196.84,197.38,192.27,192.83,3013535,-1.48,194.07
2023-02-10,192.43,194.39,192.01,194.04,2890779,0.63,193.62
2023-02-13,193.77,197.2,193.34,196.85,2973187,1.45,196.27
2023-02-14,196.58,196.59,192.3,194.55,2999565,-1.17,194.37
2023-02-15,193.39,195.27,192.48,195.24,2532393,0.35,194.01
2023-02-16,192.39,195.08,191.63,192.97,2754941,-1.16,193.48
2023-02-17,192.87,195.5,192.29,194.96,2850383,1.03,194.43
2023-02-21,195.1,195.18,190.15,190.45,2831026,-2.31,191.2
2023-02-22,190.76,191.16,188.38,189.22,2963294,-0.65,189.61
2023-02-23,190.76,190.76,187.39,189.76,2446679,0.29,189.13
2023-02-24,188.66,188.66,185.72,186.86,3305720,-1.53,186.6
2023-02-27,189.18,189.74,186.57,187.26,3363256,0.21,187.55
2023-02-28,186.35,187.18,184.52,186.32,3110131,-0.5,186.26
2023-03-01,185.49,189.11,185.43,187.68,3231729,0.73,187.74
2023-03-02,186.43,189.86,186.34,189.21,4254285,0.82,188.49
2023-03-03,190.17,192.22,188.99,191.52,3116629,1.22,191.11
2023-03-06,191.88,193.94,191.35,191.73,2721778,0.11,192.36
2023-03-07,192.1,192.86,189.5,190.35,2781131,-0.72,190.85
2023-03-08,190.99,191.35,188.9,190.3,2065035,-0.03,190.07
2023-03-09,191.57,191.64,187.17,187.68,3188590,-1.38,188.97
2023-03-10,187.68,191.38,186.72,188.12,3667341,0.23,188.65
2023-03-13,187.8,189.97,186.99,187.9,3223590,-0.12,188.27
2023-03-14,190.78,190.89,185.04,187.77,4853203,-0.07,187.42
2023-03-15,184.95,185.86,179.78,183.05,3926282,-2.51,182.38
2023-03-16,182.32,184.66,181.28,184.04,3897012,0.54,183.8
2023-03-17,182.75,182.94,179.27,179.66,7383863,-2.38,180.61
2023-03-20,180.95,185.11,180.51,184.76,2840845,2.84,184.12
2023-03-21,185.92,186.96,184.05,186.01,3133912,0.68,185.68
2023-03-22,186.55,186.83,182.04,182.12,2348725,-2.09,183.94
2023-03-23,181.82,184.31,180.55,181.88,2360130,-0.13,182.34
2023-03-24,181.37,183.15,179.63,183.09,2332277,0.67,181.71
2023-03-27,183.55,184.49,182.38,182.92,2133141,-0.09,183.22
2023-03-28,182.69,184.5,182.35,182.86,2069760,-0.03,183.19
2023-03-29,184.55,184.6,182.7,183.97,2684187,0.61,183.55
2023-03-30,184.5,185.31,182.91,184.02,1999467,0.03,183.91
2023-03-31,185.0,186.22,184.23,185.97,2702570,1.06,185.55
2023-04-03,185.43,188.67,184.84,188.07,2873741,1.13,187.61
2023-04-04,187.92,188.02,184.57,185.79,2499133,-1.21,185.66
