trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,15.4,15.44,15.15,15.37,18233899,0.65,15.32
2023-01-04,15.45,15.81,15.42,15.71,15865606,2.21,15.66
2023-01-05,15.59,15.78,15.49,15.74,13099551,0.19,15.71
2023-01-06,15.96,16.47,15.95,16.37,15242469,4.0,16.31
2023-01-09,16.36,16.51,16.16,16.23,19294711,-0.86,16.34
2023-01-10,16.08,16.4,15.97,16.32,16777774,0.55,16.26
2023-01-11,16.26,16.31,16.06,16.18,16002829,-0.86,16.2
2023-01-12,15.89,16.0,15.61,15.62,22445829,-3.46,15.76
2023-01-13,15.47,15.75,15.42,15.74,12392122,0.77,15.63
2023-01-17,15.69,15.74,15.35,15.55,14189516,-1.21,15.52
2023-01-18,15.55,15.64,15.38,15.39,13629434,-1.03,15.49
2023-01-19,15.25,15.28,15.06,15.13,12533379,-1.69,15.17
2023-01-20,15.16,15.27,14.97,15.26,12713684,0.86,15.19
2023-01-23,15.34,15.59,15.3,15.47,10009641,1.38,15.47
2023-01-24,15.34,15.56,15.24,15.47,9550902,0.0,15.47
2023-01-25,15.34,15.47,15.09,15.43,10570711,-0.26,15.33
2023-01-26,15.55,15.59,15.3,15.52,11148762,0.58,15.44
2023-01-27,15.48,15.59,15.41,15.44,9423184,-0.52,15.49
2023-01-30,15.3,15.48,15.25,15.32,10476481,-0.78,15.36
2023-01-31,15.32,15.45,15.21,15.43,24130434,0.72,15.41
2023-02-01,15.42,15.48,15.22,15.42,18695055,-0.06,15.37
2023-02-02,15.5,15.8,15.48,15.7,13329239,1.82,15.66
2023-02-03,15.55,15.83,15.54,15.63,9682039,-0.45,15.69
2023-02-06,15.57,15.58,15.34,15.42,24139313,-1.34,15.43
2023-02-07,15.42,15.6,15.3,15.53,17657540,0.71,15.45
2023-02-08,15.4,15.41,15.21,15.32,18148930,-1.35,15.31
2023-02-09,15.5,15.59,15.45,15.54,18403606,1.44,15.54
2023-02-10,15.55,15.77,15.48,15.73,14023383,1.22,15.7
2023-02-13,15.7,15.98,15.68,15.94,9301934,1.34,15.9
2023-02-14,15.94,16.01,15.77,15.83,8792641,-0.69,15.86
2023-02-15,15.73,15.88,15.68,15.86,7088383,0.19,15.83
2023-02-16,15.75,15.87,15.58,15.75,10146583,-0.69,15.73
2023-02-17,15.69,15.74,15.59,15.65,7933207,-0.63,15.68
2023-02-21,15.58,15.58,15.29,15.29,8755883,-2.3,15.36
