trade_date,close,open,high,low,vol,pct_change,vwap
20241231,32.63,32.82,32.91,32.43,4119774,0.0,32.6
20241230,32.63,32.84,32.87,32.21,4240504,-1.95,32.62
20241227,33.28,33.29,33.39,32.97,4346184,-0.45,33.19
20241226,33.43,33.34,33.65,33.27,3058677,-0.03,33.47
20241224,33.44,33.33,33.47,33.17,2125476,0.63,33.36
20241223,33.23,32.84,33.26,32.65,5178731,0.88,33.04
20241220,32.94,32.29,33.19,32.14,17669383,1.48,32.87
20241219,32.46,32.57,33.14,32.27,7615738,-0.09,32.56
20241218,32.49,33.98,34.07,32.44,10024836,-3.99,33.02
20241217,33.84,33.52,34.36,33.33,8221461,-1.02,33.91
20241216,34.19,34.4,34.78,34.05,8121824,-1.04,34.3
20241213,34.55,35.06,35.08,34.35,5058266,-1.23,34.54
20241212,34.98,34.47,35.14,34.26,5143652,1.24,34.94
20241211,34.55,34.85,34.9,34.35,8133211,-1.12,34.54
20241210,34.94,36.15,36.27,34.9,7476504,-4.14,35.24
20241209,36.45,36.28,36.81,36.12,6003899,0.69,36.47
20241206,36.2,36.45,36.6,35.9,6547133,0.08,36.12
20241205,36.17,36.58,36.62,36.03,8032402,-0.52,36.2
20241204,36.36,36.89,36.93,35.96,8107344,-1.17,36.35
20241203,36.79,36.38,36.92,35.89,7301699,0.93,36.7
20241202,36.45,35.75,36.6,35.22,10881239,2.88,36.27
20241129,35.43,34.25,35.88,34.25,8201434,2.22,35.29
20241127,34.66,36.56,37.5,33.54,27025067,-11.36,34.49
20241126,39.1,39.25,39.62,38.94,11420903,-0.51,39.14
20241125,39.3,38.49,39.79,38.22,13996172,3.07,39.34
20241122,38.13,37.96,38.65,37.88,6955328,0.58,38.29
20241121,37.91,36.77,37.96,36.73,5914109,3.35,37.71
20241120,36.68,36.87,36.98,36.43,4862551,-0.52,36.7
20241119,36.87,37.07,37.24,36.7,4664852,-1.5,36.92
20241118,37.43,36.92,37.73,36.85,7306988,1.93,37.42
20241115,36.72,36.38,36.93,36.33,7227219,0.63,36.71
20241114,36.49,36.85,37.1,36.47,5477324,-0.87,36.7
20241113,36.81,37.14,37.24,36.73,5699684,-0.81,36.91
20241112,37.11,37.45,37.93,37.1,6535609,-1.49,37.36
20241111,37.67,36.99,38.67,36.8,9977852,2.31,37.76
20241108,36.82,37.2,37.32,36.68,5482434,-1.39,36.91
20241107,37.34,36.81,37.6,36.72,5751137,1.16,37.28
20241106,36.91,37.44,37.53,35.89,9562707,0.74,36.71
20241105,36.64,36.0,36.65,35.94,4159137,1.81,36.46
20241104,35.99,36.27,36.46,35.8,9196942,-0.8,36.05
20241101,36.28,35.49,36.57,35.49,6350652,2.14,36.24
20241031,35.52,36.36,36.41,35.39,6615438,-2.79,35.63
20241030,36.54,37.04,37.26,36.53,5682918,-1.4,36.72
20241029,37.06,37.43,37.43,37.04,4674070,-0.96,37.18
20241028,37.42,37.0,37.63,36.96,4860113,1.46,37.43
20241025,36.88,36.48,37.26,36.48,5018348,1.12,36.95
20241024,36.47,35.95,36.53,35.65,5911524,1.73,36.22
20241023,35.85,36.01,36.27,35.57,4664617,-1.05,35.88
20241022,36.23,36.32,36.37,35.9,4911633,-0.63,36.16
20241021,36.46,37.34,37.54,36.45,5593004,-2.2,36.74
20241018,37.28,37.7,37.8,37.15,4725231,-0.8,37.36
20241017,37.58,37.29,37.87,37.06,7099551,1.08,37.59
20241016,37.18,37.04,37.29,37.04,3412056,0.57,37.17
20241015,36.97,37.55,37.97,36.85,6494914,-1.26,37.28
20241014,37.44,37.0,37.46,36.91,5059731,1.16,37.27
20241011,37.01,36.94,37.48,36.86,5827817,0.71,37.11
20241010,36.75,36.56,36.86,36.41,4763246,0.46,36.72
20241009,36.58,35.98,36.82,35.86,5374223,1.61,36.54
20241008,36.0,35.8,36.15,35.21,8667102,0.25,35.8
20241007,35.91,35.97,36.23,35.71,4292836,-0.22,35.93
20241004,35.99,36.0,36.11,35.56,5114813,1.1,35.87
20241003,35.6,35.07,35.61,34.98,7227117,1.19,35.34
20241002,35.18,34.79,35.48,34.46,8637801,1.21,35.16
20241001,34.76,35.04,35.19,34.15,10294700,-3.09,34.57
20240930,35.87,35.5,35.99,35.5,8227902,1.3,35.81
20240927,35.41,35.76,36.08,35.11,9882789,-3.91,35.52
20240926,36.85,36.48,36.93,36.07,6244484,2.22,36.6
20240925,36.05,36.0,36.41,35.93,6516895,0.59,36.08
20240924,35.84,35.26,35.88,35.25,6576949,2.08,35.73
20240923,35.11,34.79,35.24,34.63,7896766,1.01,35.05
20240920,34.76,34.71,34.92,34.38,37215903,-0.17,34.74
20240919,34.82,35.1,35.22,34.8,7414184,0.84,34.97
20240918,34.53,34.6,34.98,34.3,7000344,0.29,34.6
20240917,34.43,34.05,34.9,33.99,9801606,1.98,34.44
20240916,33.76,33.19,33.85,33.14,7775914,1.32,33.58
20240913,33.32,33.2,33.55,33.13,5896266,0.66,33.3
20240912,33.1,33.24,33.4,32.95,6481707,-0.81,33.1
20240911,33.37,33.18,33.43,32.68,7079012,-0.3,33.15
20240910,33.47,34.02,34.18,33.37,7818750,-2.08,33.57
20240909,34.18,34.28,34.83,34.02,9648836,1.06,34.29
20240906,33.82,34.27,34.63,33.77,7990856,-1.69,34.0
20240905,34.4,34.84,35.03,34.34,6831649,-2.63,34.58
20240904,35.33,35.35,35.64,35.15,6397793,-0.14,35.34
20240903,35.38,35.99,36.17,35.14,9053301,-2.21,35.49
20240830,36.18,35.65,36.25,35.46,11855325,2.03,36.03
20240829,35.46,34.11,36.87,33.8,18653282,2.01,35.77
20240828,34.76,35.52,35.7,34.64,11880961,-2.36,34.96
20240827,35.6,35.5,35.68,35.34,6440641,0.08,35.58
20240826,35.57,35.85,36.16,35.34,5414594,-0.25,35.6
20240823,35.66,35.33,36.17,35.32,6313738,1.65,35.79
20240822,35.08,35.31,35.68,35.0,4951754,-0.54,35.24
20240821,35.27,35.0,35.32,34.82,4676633,1.32,35.18
20240820,34.81,34.6,35.05,34.59,6828176,0.61,34.82
20240819,34.6,34.62,35.29,34.28,9491703,-3.65,34.65
20240816,35.91,35.48,36.03,35.4,5575059,1.18,35.86
20240815,35.49,35.2,35.56,35.15,4823317,2.13,35.39
20240814,34.75,34.76,35.02,34.54,5079211,-0.03,34.8
20240813,34.76,34.01,34.78,33.97,6461906,2.9,34.61
20240812,33.78,33.63,34.17,33.58,5609027,0.72,33.84
20240809,33.54,32.86,33.89,32.86,6569727,1.57,33.57
20240808,33.02,32.29,33.09,32.29,5866942,3.12,32.81
20240807,32.02,32.91,33.08,31.95,7145078,-2.14,32.39
20240806,32.72,32.85,33.2,32.52,6116371,-0.09,32.86
20240805,32.75,32.58,32.98,32.16,7334957,-2.88,32.65
20240802,33.72,34.41,34.56,33.55,6426965,-4.12,33.79
20240801,35.17,35.98,36.29,34.99,5350555,-2.55,35.38
20240731,36.09,35.97,36.36,35.74,8189942,1.6,36.05
20240730,35.52,36.13,36.3,35.14,6908910,-1.69,35.74
20240729,36.13,36.4,36.43,35.75,4749348,-0.58,36.06
20240726,36.34,36.54,36.75,36.2,7184348,0.25,36.38
20240725,36.25,37.61,37.79,36.2,8544567,-4.15,36.74
20240724,37.82,37.58,38.12,37.5,6245375,0.29,37.82
20240722,38.02,37.62,38.04,37.42,4463817,2.34,37.85
20240719,37.15,37.41,37.44,36.88,4773664,-0.62,37.13
20240718,37.38,38.07,38.18,37.22,5795406,-1.92,37.58
20240717,38.11,37.6,38.42,37.37,8699680,0.29,38.13
20240716,38.0,37.6,38.13,37.49,8501461,1.77,37.87
20240715,37.34,36.43,37.35,36.41,5718887,1.66,37.12
20240712,36.73,36.23,36.91,35.93,6541508,1.75,36.61
20240711,36.1,36.2,36.55,36.02,6687996,0.08,36.26
20240710,36.07,35.72,36.1,35.52,5332676,1.84,35.92
20240709,35.42,35.27,35.62,35.15,5082180,0.28,35.43
20240708,35.32,34.85,35.5,34.8,6511281,1.99,35.28
20240705,34.63,34.89,34.9,34.39,4365508,-0.63,34.6
20240703,34.85,34.9,35.09,34.71,3984960,0.14,34.88
20240702,34.8,34.75,35.13,34.4,5786172,-0.49,34.69
20240701,34.97,35.2,35.23,34.71,4948449,-0.14,34.92
20240628,35.02,34.9,35.38,34.77,14322192,0.89,35.03
20240627,34.71,35.19,35.3,34.65,5674012,-1.08,34.8
20240626,35.09,36.12,36.15,34.77,9594059,-3.25,35.08
20240625,36.27,36.14,36.46,36.02,6002824,-0.08,36.25
20240624,36.3,36.35,36.9,36.15,5496070,-0.19,36.39
20240621,36.37,36.1,36.64,35.85,17244555,0.36,36.35
20240620,36.24,36.86,37.18,36.1,9193219,-1.39,36.38
20240618,36.75,36.11,36.8,35.93,9581012,2.28,36.49
20240617,35.93,35.61,36.09,35.22,7468363,1.18,35.81
20240614,35.51,36.22,36.63,35.43,8568766,-2.58,35.67
20240613,36.45,36.28,36.78,36.1,6828570,0.41,36.43
20240612,36.3,36.61,36.98,36.24,7337137,-0.06,36.53
20240611,36.32,36.15,36.47,35.88,7707008,0.39,36.24
20240610,36.18,36.3,36.35,35.49,8723512,-0.74,35.92
20240607,36.45,36.09,36.79,36.04,8571004,0.75,36.48
20240606,36.18,35.63,36.5,35.58,9080606,1.54,36.21
20240605,35.63,35.76,36.04,35.24,8137844,0.79,35.68
20240604,35.35,35.21,35.88,35.16,9600227,0.08,35.56
20240603,35.32,36.5,36.75,34.84,12368567,-3.23,35.45
20240531,36.5,37.59,37.62,34.91,29629989,-4.85,36.01
20240530,38.36,34.4,39.52,34.4,38102180,16.95,38.04
20240529,32.8,32.78,33.33,32.41,11789247,-1.03,33.01
20240528,33.14,32.89,33.45,32.85,7966969,1.19,33.17
20240524,32.75,32.78,32.92,32.53,6440317,0.31,32.72
20240523,32.65,33.18,33.38,32.59,6783465,-1.09,32.85
20240522,33.01,32.76,33.27,32.75,7707473,0.98,33.03
20240521,32.69,31.95,32.85,31.89,8166715,2.73,32.5
20240520,31.82,31.38,31.93,31.26,5586641,2.02,31.78
20240517,31.19,31.23,31.28,31.01,4617520,0.39,31.14
20240516,31.07,31.26,31.35,31.0,5577320,-0.92,31.15
20240515,31.36,31.0,31.4,30.99,6435004,1.95,31.26
20240514,30.76,30.14,30.91,30.02,7954914,2.74,30.71
20240513,29.94,29.84,30.23,29.81,5376910,0.74,30.01
20240510,29.72,29.84,29.88,29.62,4867274,0.24,29.73
