trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,43.09,43.51,42.94,43.33,1546913,0.44,43.22
2023-01-04,43.4,43.73,43.16,43.46,1654535,0.3,43.44
2023-01-05,43.5,43.68,43.15,43.61,1640125,0.35,43.53
2023-01-06,43.95,44.54,43.95,44.43,1348234,1.88,44.4
2023-01-09,44.3,44.42,43.6,43.65,2395446,-1.76,43.82
2023-01-10,43.81,43.91,43.42,43.48,1434520,-0.39,43.6
2023-01-11,43.74,44.35,43.68,44.34,2048873,1.98,44.09
2023-01-12,44.45,44.46,43.7,44.07,1654962,-0.61,44.02
2023-01-13,44.12,44.22,43.69,43.92,1099663,-0.34,43.9
2023-01-17,44.12,44.66,44.0,44.16,1767351,0.55,44.29
2023-01-18,43.86,44.03,42.32,42.36,2082875,-4.08,42.77
2023-01-19,42.41,42.56,42.12,42.36,1681542,0.0,42.35
2023-01-20,42.41,42.51,41.99,42.47,2119997,0.26,42.32
2023-01-23,42.49,42.7,42.4,42.54,1305162,0.16,42.56
2023-01-24,42.67,42.8,42.26,42.49,1602661,-0.12,42.46
2023-01-25,42.48,42.66,42.3,42.64,1411024,0.35,42.52
2023-01-26,42.52,42.65,42.33,42.64,1422493,0.0,42.54
2023-01-27,42.67,42.87,42.41,42.77,1369459,0.3,42.69
2023-01-30,42.83,43.18,42.55,42.66,1344830,-0.26,42.77
2023-01-31,42.75,43.17,42.61,43.17,3358137,1.2,43.05
2023-02-01,42.94,43.45,42.92,43.19,1485393,0.05,43.18
2023-02-02,43.04,43.49,42.68,43.19,1614257,0.0,43.18
2023-02-03,43.21,43.35,42.53,43.1,1369930,-0.21,42.94
2023-02-06,42.9,43.56,42.78,43.48,1740744,0.88,43.42
2023-02-07,43.22,43.36,42.55,43.04,1410670,-1.01,42.92
2023-02-08,42.89,42.9,42.45,42.51,1442114,-1.23,42.59
2023-02-09,42.57,42.72,42.31,42.42,1525988,-0.21,42.46
2023-02-10,42.57,42.85,42.4,42.82,1051121,0.94,42.74
2023-02-13,42.93,43.35,42.93,43.22,1637323,0.93,43.19
2023-02-14,43.21,43.27,42.68,42.86,1109385,-0.83,42.93
2023-02-15,42.88,43.01,42.68,43.0,1085157,0.33,42.89
2023-02-16,42.69,42.98,42.48,42.82,1174096,-0.42,42.81
2023-02-17,42.91,43.64,42.78,43.58,1575696,1.77,43.43
2023-02-21,43.58,43.69,43.18,43.33,1457315,-0.57,43.4
2023-02-22,43.48,43.86,43.24,43.26,1288050,-0.16,43.45
2023-02-23,43.26,43.55,42.94,43.12,1058590,-0.32,43.19
2023-02-24,42.98,43.05,42.73,42.97,1258011,-0.35,42.92
2023-02-27,43.13,43.13,42.58,42.68,1618194,-0.67,42.79
2023-02-28,42.53,42.75,42.26,42.28,2482991,-0.94,42.42
2023-03-01,42.09,42.24,41.57,41.76,2263933,-1.23,41.78
2023-03-02,40.6,40.6,38.79,39.85,4071945,-4.57,39.85
2023-03-03,39.06,39.08,38.16,38.71,3952658,-2.86,38.71
2023-03-06,38.88,39.22,38.51,38.61,2860495,-0.26,38.75
2023-03-07,38.61,38.62,38.08,38.09,2439021,-1.35,38.25
2023-03-08,38.17,38.45,37.96,38.33,2148629,0.63,38.26
2023-03-09,38.51,38.54,37.82,37.84,2153411,-1.28,38.06
2023-03-10,37.8,37.89,37.18,37.33,2523730,-1.35,37.39
2023-03-13,37.35,38.03,37.32,37.47,2321976,0.38,37.59
2023-03-14,37.71,37.77,37.1,37.45,2341564,-0.05,37.35
2023-03-15,37.31,37.67,36.94,37.57,2224613,0.32,37.45
2023-03-16,37.57,37.78,37.06,37.31,2403559,-0.69,37.32
2023-03-17,37.29,37.29,36.41,36.54,4484836,-2.06,36.64
2023-03-20,36.61,37.05,36.58,36.93,2260148,1.07,36.85
2023-03-21,37.0,37.0,36.42,36.69,2314795,-0.65,36.69
2023-03-22,36.76,37.02,36.36,36.37,2031762,-0.87,36.65
