trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,79.65,80.24,78.7,79.6,814976,-0.34,79.49
2023-01-04,80.02,82.77,80.02,82.39,1026393,3.51,81.96
2023-01-05,81.98,82.47,79.47,80.03,1172606,-2.86,80.23
2023-01-06,80.82,81.86,80.08,81.61,636234,1.97,81.29
2023-01-09,81.81,82.25,80.25,80.53,725380,-1.32,80.93
2023-01-10,80.69,80.79,79.38,79.97,699024,-0.7,79.98
2023-01-11,80.49,80.89,79.84,80.62,792702,0.81,80.4
2023-01-12,80.93,81.01,79.24,79.51,864585,-1.38,79.88
2023-01-13,79.34,80.48,79.09,80.37,677806,1.08,79.94
2023-01-17,80.53,81.04,80.23,80.86,1003432,0.61,80.73
2023-01-18,80.83,81.31,80.23,80.32,754803,-0.67,80.62
2023-01-19,79.98,80.55,78.84,80.22,760809,-0.12,79.88
2023-01-20,80.49,81.09,80.27,80.86,611464,0.8,80.74
2023-01-23,81.04,82.32,80.7,81.28,483206,0.52,81.48
2023-01-24,81.28,81.7,80.48,80.75,651465,-0.65,80.8
2023-01-25,80.16,83.79,80.1,83.75,977774,3.72,82.89
2023-01-26,83.69,85.84,83.69,85.51,1175045,2.1,85.33
2023-01-27,85.19,86.51,84.59,86.14,827764,0.74,85.72
2023-01-30,85.96,86.35,85.15,85.29,1309928,-0.99,85.67
2023-01-31,85.45,86.16,85.09,86.15,891593,1.01,85.78
2023-02-01,85.94,87.84,85.68,87.06,1099915,1.06,86.79
2023-02-02,87.11,89.72,86.49,89.08,1376633,2.32,89.02
2023-02-03,88.47,89.1,86.44,86.76,797673,-2.6,87.04
2023-02-06,86.86,87.67,85.82,86.23,843512,-0.61,86.56
2023-02-07,85.62,87.51,85.33,87.14,884202,1.06,86.48
2023-02-08,86.73,87.65,86.09,86.74,538141,-0.46,86.72
2023-02-09,86.74,87.38,85.45,85.76,773882,-1.13,86.16
2023-02-10,85.43,86.68,85.3,86.08,722169,0.37,86.03
2023-02-13,88.08,89.42,87.8,88.82,1148659,3.18,88.81
2023-02-14,87.34,89.6,87.34,88.98,1033723,0.18,89.05
2023-02-15,88.17,89.0,87.92,88.64,1113528,-0.38,88.41
2023-02-16,86.26,86.92,81.68,82.82,2609539,-6.57,83.17
2023-02-17,82.36,83.94,82.18,83.14,1630336,0.39,83.21
2023-02-21,82.54,82.96,81.41,82.0,908659,-1.37,81.97
2023-02-22,82.25,82.71,81.56,81.79,773751,-0.26,82.02
2023-02-23,81.76,82.75,81.32,81.52,701113,-0.33,81.74
2023-02-24,80.85,81.28,80.08,80.82,852874,-0.86,80.65
2023-02-27,81.58,82.38,77.93,78.36,1376467,-3.04,79.33
2023-02-28,78.22,79.47,78.07,78.31,1161812,-0.06,78.76
2023-03-01,77.78,78.52,76.96,77.75,971338,-0.72,77.63
2023-03-02,77.07,78.03,76.55,77.89,617037,0.18,77.68
2023-03-03,78.3,78.96,77.47,78.9,565529,1.3,78.57
2023-03-06,78.47,79.12,78.05,78.56,893187,-0.43,78.64
2023-03-07,78.78,79.0,77.62,77.65,708383,-1.16,77.94
2023-03-08,77.45,78.02,77.31,77.81,827550,0.21,77.7
2023-03-09,78.07,78.3,76.9,77.25,772287,-0.72,77.42
2023-03-10,77.47,78.13,76.51,77.04,959238,-0.27,77.29
2023-03-13,76.79,77.69,76.26,77.56,915452,0.67,77.22
2023-03-14,78.19,79.0,77.22,77.77,1027487,0.27,77.95
2023-03-15,76.66,78.06,76.41,77.49,1229562,-0.36,77.32
2023-03-16,76.85,78.73,76.85,78.15,744184,0.85,78.11
2023-03-17,78.37,78.37,76.93,77.27,1253732,-1.13,77.43
2023-03-20,77.43,79.0,77.42,78.82,649666,2.01,78.61
2023-03-21,79.23,80.5,79.08,80.24,687773,1.8,79.82
2023-03-22,80.21,80.55,78.4,78.45,596397,-2.23,79.4
2023-03-23,78.35,79.1,77.46,78.13,754926,-0.41,78.34
2023-03-24,78.13,79.25,78.04,79.17,660642,1.33,78.87
2023-03-27,80.1,80.99,79.52,79.64,619808,0.59,79.8
2023-03-28,79.32,80.14,78.68,79.65,454130,0.01,79.6
2023-03-29,79.85,80.37,79.44,79.75,481355,0.13,79.81
2023-03-30,80.05,80.71,80.04,80.12,639599,0.46,80.3
2023-03-31,80.33,81.63,80.31,81.54,667466,1.77,81.18
