trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,15.03,15.15,14.74,14.83,7739094,-0.74,14.87
2023-01-04,14.94,15.21,14.89,15.05,8853531,1.48,15.03
2023-01-05,14.91,14.93,14.57,14.7,6846317,-2.33,14.7
2023-01-06,14.78,15.14,14.77,15.05,7354586,2.38,15.05
2023-01-09,14.99,15.18,14.94,15.08,8344324,0.2,15.09
2023-01-10,15.11,15.47,15.01,15.31,5901422,1.53,15.27
2023-01-11,15.52,16.09,15.48,16.07,7420172,4.96,15.95
2023-01-12,16.18,16.32,16.06,16.2,7238762,0.81,16.19
2023-01-13,16.04,16.2,15.77,15.83,9097320,-2.28,15.91
2023-01-17,15.92,16.25,15.91,16.21,8762137,2.4,16.13
2023-01-18,16.15,16.25,15.87,15.95,6599887,-1.6,16.0
2023-01-19,15.89,15.99,15.76,15.9,4927059,-0.31,15.9
2023-01-20,15.97,16.42,15.85,16.39,4884512,3.08,16.21
2023-01-23,16.45,16.73,16.35,16.72,5527145,2.01,16.59
2023-01-24,16.71,16.91,16.54,16.88,4273352,0.96,16.81
2023-01-25,16.83,17.1,16.74,16.99,10330090,0.65,16.99
2023-01-26,17.02,17.14,16.82,17.07,9464715,0.47,16.99
2023-01-27,17.12,17.46,17.03,17.34,6593688,1.58,17.34
2023-01-30,17.1,17.4,17.1,17.25,4058099,-0.52,17.27
2023-01-31,17.28,17.6,17.25,17.55,7041262,1.74,17.5
2023-02-01,17.33,17.6,17.05,17.5,8266949,-0.28,17.41
2023-02-02,17.63,17.99,17.56,17.9,6673594,2.29,17.84
2023-02-03,17.67,18.07,17.64,17.75,9431168,-0.84,17.81
2023-02-06,17.72,17.72,17.11,17.24,6105070,-2.87,17.27
2023-02-07,17.24,17.49,17.0,17.42,7734840,1.04,17.29
2023-02-08,17.32,17.44,17.15,17.27,3636750,-0.86,17.29
2023-02-09,17.42,17.48,17.11,17.17,6192746,-0.58,17.23
2023-02-10,17.09,17.09,16.63,16.92,5483680,-1.46,16.84
2023-02-13,16.92,17.25,16.82,17.18,5437363,1.54,17.16
2023-02-14,17.11,17.48,17.02,17.25,9730926,0.41,17.29
2023-02-15,17.12,17.28,16.97,17.16,10475036,-0.52,17.16
2023-02-16,15.82,16.42,15.41,16.15,17484786,-5.89,16.17
2023-02-17,16.06,16.08,15.69,15.77,9009383,-2.35,15.82
2023-02-21,15.6,15.83,15.4,15.81,8998223,0.25,15.71
2023-02-22,15.86,16.02,15.76,15.9,7020024,0.57,15.9
2023-02-23,15.97,16.25,15.82,16.15,5445063,1.57,16.07
2023-02-24,15.81,16.05,15.68,15.81,5924742,-2.11,15.8
2023-02-27,16.04,16.15,15.85,15.9,5861910,0.57,15.97
2023-02-28,15.95,15.98,15.59,15.64,15455856,-1.64,15.7
2023-03-01,15.8,15.88,15.53,15.83,6347637,1.21,15.77
2023-03-02,15.69,15.9,15.63,15.81,4620430,-0.13,15.77
2023-03-03,15.92,16.03,15.78,15.89,4776465,0.51,15.91
