trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,39.2,39.4,38.64,38.86,2088558,-0.89,38.95
2023-01-04,38.91,39.53,38.88,39.34,2553255,1.24,39.28
2023-01-05,39.17,39.34,38.88,39.12,1523913,-0.56,39.12
2023-01-06,39.54,40.4,39.49,40.25,2511469,2.89,40.11
2023-01-09,40.52,40.78,39.79,39.87,1943617,-0.94,40.2
2023-01-10,39.65,40.35,39.44,40.34,1615316,1.18,40.06
2023-01-11,40.51,40.76,40.09,40.18,2372948,-0.4,40.28
2023-01-12,40.29,40.81,40.18,40.46,2736316,0.7,40.48
2023-01-13,39.98,40.63,39.72,40.54,1518817,0.2,40.33
2023-01-17,40.48,40.77,40.17,40.4,1900296,-0.35,40.43
2023-01-18,40.7,40.7,39.29,39.32,2708287,-2.67,39.61
2023-01-19,39.02,39.12,38.2,38.23,2456282,-2.77,38.44
2023-01-20,38.43,38.56,38.11,38.5,1698039,0.71,38.4
2023-01-23,38.61,39.3,38.5,39.23,2483536,1.9,38.99
2023-01-24,39.18,39.55,38.64,39.21,2589532,-0.05,39.19
2023-01-25,38.77,39.46,38.53,39.4,1781330,0.48,39.19
2023-01-26,39.71,40.63,39.28,40.61,2243793,3.07,40.27
2023-01-27,40.51,40.88,40.08,40.19,1720701,-1.03,40.36
2023-01-30,39.87,40.35,39.82,39.98,1487047,-0.52,40.06
2023-01-31,40.01,40.49,39.65,40.48,1823392,1.25,40.17
2023-02-01,40.26,40.56,39.73,40.38,2352309,-0.25,40.24
2023-02-02,40.41,40.51,39.65,40.02,2309287,-0.89,39.98
2023-02-03,39.89,40.29,39.46,39.65,2086589,-0.92,39.74
2023-02-06,39.5,39.76,39.28,39.75,1744556,0.25,39.61
2023-02-07,39.7,40.77,39.59,40.65,2267030,2.26,40.27
2023-02-08,40.36,40.74,40.36,40.63,1979330,-0.05,40.58
2023-02-09,40.9,41.25,40.28,40.28,2302113,-0.86,40.69
2023-02-10,40.24,40.4,39.82,40.35,2981873,0.17,40.13
2023-02-13,40.45,41.16,40.45,40.91,4347918,1.39,40.89
2023-02-14,40.13,43.02,39.11,42.84,5376039,4.72,42.03
2023-02-15,42.32,43.25,42.14,43.23,3131994,0.91,42.97
2023-02-16,42.79,43.65,42.65,42.77,2836630,-1.06,43.04
2023-02-17,42.75,42.98,42.47,42.84,2012453,0.16,42.81
2023-02-21,42.84,42.93,41.81,41.91,2345103,-2.17,42.01
2023-02-22,41.73,42.51,41.66,41.81,2293452,-0.24,41.99
2023-02-23,42.06,42.49,41.57,41.85,4853477,0.1,42.0
2023-02-24,41.4,41.88,41.09,41.78,2847693,-0.17,41.49
2023-02-27,42.13,42.31,41.84,42.14,1995439,0.86,42.1
2023-02-28,42.07,44.18,41.72,42.0,4889399,-0.33,42.17
2023-03-01,42.01,42.71,41.76,42.62,3331820,1.48,42.44
2023-03-02,42.4,43.23,42.06,43.17,3253285,1.29,42.96
2023-03-03,43.45,43.71,42.87,43.57,3189039,0.93,43.48
2023-03-06,43.6,43.99,43.26,43.58,3575617,0.02,43.54
2023-03-07,43.58,43.72,43.16,43.17,4328395,-0.94,43.37
2023-03-08,43.25,43.56,42.93,43.55,3865637,0.88,43.33
2023-03-09,43.79,43.79,41.7,41.88,5598180,-3.83,42.37
2023-03-10,41.78,41.82,40.14,40.67,4154051,-2.89,40.77
2023-03-13,40.1,40.45,39.44,39.86,4438215,-1.99,39.92
2023-03-14,40.63,41.1,40.12,40.61,3872262,1.88,40.6
2023-03-15,39.6,39.73,38.01,39.21,5743332,-3.45,39.0
2023-03-16,38.85,40.44,38.67,40.28,5196391,2.73,40.11
2023-03-17,40.03,40.23,38.81,39.04,7541332,-3.08,39.11
2023-03-20,39.08,39.84,39.08,39.31,5920067,0.69,39.39
2023-03-21,40.2,40.95,39.99,40.38,5558367,2.72,40.42
2023-03-22,40.45,41.16,40.31,40.34,4330977,-0.1,40.75
2023-03-23,40.2,40.83,39.74,40.02,3417160,-0.79,40.27
