trade_date,close,open,high,low,vol,pct_change,vwap
20241231,84.55,84.43,84.96,84.02,713701,0.7,84.45
20241230,83.96,84.16,84.54,83.38,987412,-0.74,83.94
20241227,84.59,84.3,85.32,84.25,736375,-0.4,84.55
20241226,84.93,84.74,85.44,84.6,592616,-0.21,85.05
20241224,85.11,85.0,85.53,84.73,377632,0.38,85.05
20241223,84.79,85.47,85.61,83.85,1307767,-1.11,84.56
20241220,85.74,85.25,86.82,84.75,4202875,-0.23,85.74
20241219,85.94,84.92,87.04,84.61,1624670,0.68,86.13
20241218,85.36,86.3,87.31,85.33,1255652,-1.62,85.86
20241217,86.77,86.8,87.68,86.68,1120779,-0.44,87.03
20241216,87.15,87.22,87.92,86.37,1347344,-0.29,87.28
20241213,87.4,87.75,87.89,86.47,1156170,-0.79,87.11
20241212,88.1,88.0,88.9,87.61,1700011,0.3,88.13
20241211,87.84,88.54,88.8,87.11,1982312,-0.8,87.69
20241210,88.55,89.16,89.28,88.14,915820,-0.65,88.69
20241209,89.13,89.44,90.64,88.91,1095992,0.24,89.49
20241206,88.92,89.26,90.0,88.66,992215,-0.09,89.16
20241205,89.0,89.08,89.51,88.62,1082204,-0.34,89.03
20241204,89.3,89.55,89.85,88.56,1528242,-0.95,89.23
20241203,90.16,91.14,91.15,89.56,1400164,-1.22,90.03
20241202,91.27,91.3,91.37,90.15,1374861,-0.1,90.96
20241129,91.36,90.61,91.48,90.06,806480,0.59,90.96
20241127,90.82,91.36,91.65,90.57,1035775,-0.12,90.96
20241126,90.93,90.89,91.39,89.95,1163306,0.04,90.8
20241125,90.89,90.86,91.63,90.36,2504271,0.09,90.92
20241122,90.81,90.01,90.9,89.27,1601681,1.15,90.31
20241121,89.78,88.39,89.97,87.92,1162033,1.06,89.6
20241120,88.84,89.39,89.79,87.85,1560463,-0.1,88.67
20241119,88.93,86.5,89.41,86.19,2213237,2.68,88.67
20241118,86.61,85.95,86.63,85.4,1784574,0.55,86.17
