trade_date,close,open,high,low,vol,pct_change,vwap
20241231,69.07,68.54,69.2,68.19,959853,0.95,68.9
20241230,68.42,68.56,68.87,67.7,825873,-1.17,68.39
20241227,69.23,68.71,69.9,68.19,966368,-0.47,69.18
20241226,69.56,69.52,70.12,69.25,764511,-0.5,69.72
20241224,69.91,69.88,70.1,68.92,395905,0.1,69.78
20241223,69.84,68.58,70.19,68.15,1565808,1.45,69.63
20241220,68.84,66.89,69.11,66.89,6766277,2.65,68.62
20241219,67.06,68.64,68.64,66.33,2028314,-0.73,66.92
20241218,67.55,69.18,69.63,67.55,1854425,-2.67,68.02
20241217,69.4,68.78,69.74,68.51,1876266,-0.57,69.25
20241216,69.8,69.31,70.88,68.62,2687794,1.82,69.97
20241213,68.55,70.64,70.79,68.52,1714711,-3.22,68.94
20241212,70.83,70.5,72.11,70.48,1387881,-2.29,71.19
20241211,72.49,72.65,73.5,72.1,1084542,0.01,72.66
20241210,72.48,72.11,73.1,71.35,2089462,0.51,72.43
20241209,72.11,75.94,75.98,71.8,1701053,-5.02,72.59
20241206,75.92,75.27,76.46,75.02,1321625,1.33,75.87
20241205,74.92,73.02,75.37,72.87,1658007,0.4,74.8
20241204,74.62,73.4,75.32,73.34,2566663,3.6,74.38
20241203,72.03,72.73,72.96,71.72,1650346,-1.65,72.26
20241202,73.24,74.28,74.7,72.64,1701404,-1.81,73.22
20241129,74.59,75.71,76.08,74.22,797636,-1.14,74.86
20241127,75.45,75.0,76.14,74.75,1136080,0.87,75.36
20241126,74.8,74.14,74.95,73.1,1456968,1.74,74.39
20241125,73.52,72.34,73.87,72.25,3319402,2.51,73.36
20241122,71.72,70.43,72.0,70.33,1521686,1.89,71.47
20241121,70.39,71.33,71.4,69.3,2143636,-0.93,70.32
20241120,71.05,70.66,71.68,70.25,2148456,0.69,71.09
20241119,70.56,67.11,74.1,65.02,10778208,-8.33,68.9
20241118,76.97,75.89,77.01,75.42,1804761,1.45,76.46
20241115,75.87,77.15,77.87,73.25,3800396,-2.39,75.68
20241114,77.73,80.15,80.46,77.58,1862517,-3.42,78.54
20241113,80.48,80.8,81.7,80.37,1498368,-0.12,80.92
20241112,80.58,81.55,82.02,80.2,1730582,-1.17,80.73
20241111,81.53,83.54,83.54,81.16,1816224,-2.22,81.89
20241108,83.38,82.59,83.95,82.15,2948472,1.26,83.29
20241107,82.34,81.0,82.97,79.53,2475575,1.72,81.64
20241106,80.95,78.45,82.19,78.21,5152606,4.75,80.99
20241105,77.28,75.77,77.37,75.34,1251559,2.02,76.89
20241104,75.75,75.07,76.57,75.07,1463498,-0.5,75.93
20241101,76.13,74.12,76.33,73.91,2224998,2.71,75.83
20241031,74.12,73.91,74.68,73.28,2007794,0.26,74.21
20241030,73.93,73.6,74.6,72.5,2458870,0.45,73.5
20241029,73.6,67.53,74.07,66.95,4413766,12.04,72.37
20241028,65.69,65.49,65.88,64.86,1996108,0.95,65.42
20241025,65.07,65.32,65.74,64.99,1041513,-0.26,65.36
20241024,65.24,65.24,65.91,65.08,1208613,0.11,65.35
20241023,65.17,65.49,66.1,64.76,1251934,-0.64,65.19
20241022,65.59,65.03,65.78,64.6,716982,0.49,65.45
20241021,65.27,66.33,66.55,64.87,818591,-1.69,65.32
20241018,66.39,66.41,66.95,65.9,742298,-0.06,66.34
20241017,66.43,65.99,66.49,65.43,1355836,0.39,66.22
20241016,66.17,66.38,66.61,65.93,857179,-0.18,66.24
20241015,66.29,65.89,67.06,65.68,1160477,1.3,66.45
20241014,65.44,65.79,65.79,64.93,724386,-1.03,65.31
20241011,66.12,65.49,66.25,65.38,1592792,1.15,65.97
20241010,65.37,65.3,65.5,64.59,1073973,-0.59,65.12
20241009,65.76,65.63,66.52,65.24,997458,0.03,65.93
20241008,65.74,65.58,66.31,65.46,993565,-0.03,65.93
20241007,65.76,67.36,67.47,65.7,1509950,-2.56,66.01
20241004,67.49,67.37,67.56,66.45,1177436,0.67,67.13
20241003,67.04,67.28,67.98,66.83,1426463,-0.87,67.3
20241002,67.63,67.68,67.82,66.26,1348717,-0.63,67.44
20241001,68.06,66.68,68.17,65.99,2634152,2.97,67.55
20240930,66.1,65.4,66.96,65.27,1574865,0.41,66.17
20240927,65.83,65.64,66.79,65.63,1568929,1.07,66.08
20240926,65.13,63.1,65.21,62.86,1949492,3.02,64.83
20240925,63.22,64.12,64.59,62.57,1513349,-0.75,63.23
20240924,63.7,64.15,64.2,62.96,2036198,-0.66,63.64
20240923,64.12,65.97,65.97,64.07,2031246,-2.46,64.43
20240920,65.74,66.2,66.2,64.99,7670508,-1.62,65.71
20240919,66.82,66.22,66.95,65.27,1809858,2.53,66.52
20240918,65.17,65.25,66.08,64.38,2213957,-1.9,65.13
20240917,66.43,66.42,67.74,66.2,1645434,0.03,66.68
20240916,66.41,63.94,66.48,63.9,1859599,4.48,65.73
20240913,63.56,63.37,64.17,63.07,1935319,0.32,63.52
20240912,63.36,62.94,63.46,61.63,1356010,0.36,63.0
20240911,63.13,63.04,63.16,61.67,1487330,0.0,62.81
20240910,63.13,62.19,63.34,61.45,1613901,1.4,62.85
20240909,62.26,61.48,62.83,61.19,1663987,1.63,62.21
20240906,61.26,63.2,63.76,61.19,1741261,-2.7,61.75
20240905,62.96,64.32,64.85,61.15,2286860,-2.13,62.59
20240904,64.33,66.42,66.74,64.13,2006066,-2.99,64.71
20240903,66.31,65.76,67.09,65.26,1945006,0.99,66.37
20240830,65.66,65.91,66.32,64.99,2525947,-0.38,65.56
20240829,65.91,65.8,67.48,65.1,1488507,0.41,66.29
20240828,65.64,65.52,65.91,65.32,1315008,0.02,65.63
20240827,65.63,65.32,65.7,64.9,1490839,0.72,65.44
20240826,65.16,64.26,65.4,63.94,1741934,1.59,65.09
20240823,64.14,63.52,64.46,63.05,1566668,1.78,64.04
20240822,63.02,64.36,64.36,62.69,1929738,-1.76,63.17
20240821,64.15,64.42,64.9,64.04,1761141,-0.36,64.27
20240820,64.38,63.09,64.78,63.04,1942912,1.77,64.34
20240819,63.26,62.23,63.3,62.06,1405949,1.77,63.09
20240816,62.16,61.88,62.47,61.38,1330098,0.78,62.09
20240815,61.68,61.79,62.22,61.32,1309333,0.82,61.7
20240814,61.18,61.8,61.99,60.99,1466701,-1.35,61.35
20240813,62.02,61.16,62.24,60.95,2015192,1.47,61.87
20240812,61.12,60.96,61.71,60.26,1404963,0.07,61.19
20240809,61.08,61.39,62.23,60.83,1300405,-1.13,61.33
20240808,61.78,60.3,62.03,60.2,2473859,2.47,61.61
20240807,60.29,61.55,62.59,60.2,1993979,-1.6,60.87
20240806,61.27,61.81,62.42,60.99,2397352,-1.18,61.63
20240805,62.0,63.35,64.17,61.95,2353111,-3.83,62.51
20240802,64.47,64.27,65.15,62.97,1917318,0.08,64.13
20240801,64.42,65.2,65.68,64.08,2021391,-1.0,64.48
20240731,65.07,67.83,68.98,64.81,2837849,-4.01,65.48
20240730,67.79,69.33,69.33,64.74,4609430,-1.17,66.89
20240729,68.59,68.51,69.14,68.02,2777405,-0.03,68.6
20240726,68.61,68.57,69.85,68.24,2156623,0.06,68.81
20240725,68.57,67.0,70.36,66.99,2736597,2.48,68.88
20240724,66.91,66.01,66.98,65.62,2401810,1.69,66.71
20240723,65.8,65.08,66.12,64.54,1104080,0.94,65.64
20240722,65.19,66.09,66.16,64.3,1239560,-1.03,65.2
20240719,65.87,65.54,66.1,64.98,1559059,0.76,65.76
20240718,65.37,65.3,66.78,64.61,1990459,0.11,65.75
20240717,65.3,63.96,65.34,63.5,1774252,2.03,64.96
20240716,64.0,64.19,64.5,63.48,1448750,-0.39,63.98
20240715,64.25,63.49,64.59,63.26,1476621,0.93,64.22
20240712,63.66,63.0,63.93,62.61,1933435,2.2,63.5
20240711,62.29,60.84,62.63,60.75,2268672,2.57,62.24
20240710,60.73,60.96,61.0,59.74,2524928,0.05,60.49
20240709,60.7,58.33,60.91,58.1,2332552,4.35,60.21
20240708,58.17,57.36,58.62,57.17,2669763,1.47,58.11
20240705,57.33,57.48,57.58,56.75,2092546,-0.57,57.22
20240703,57.66,59.12,59.22,57.58,1472468,-2.3,57.87
20240702,59.02,59.2,60.48,58.63,3156205,-3.04,59.12
20240701,60.87,60.5,61.99,60.37,2128959,0.41,61.1
20240628,60.62,61.54,61.54,60.07,10944364,-1.19,60.54
20240627,61.35,61.97,62.13,60.81,1631535,-0.65,61.3
20240626,61.75,63.01,63.01,61.59,2333862,-2.14,61.91
20240625,63.1,63.6,63.73,63.08,1666380,-1.02,63.3
20240624,63.75,63.37,64.09,62.78,2614807,0.84,63.76
20240621,63.22,63.07,63.81,62.46,9700688,1.38,63.18
20240620,62.36,61.27,62.95,61.19,3373054,1.5,62.25
20240618,61.44,62.65,64.3,61.18,5011793,-1.99,61.92
20240617,62.69,61.76,62.83,61.48,5634274,0.93,62.41
20240614,62.11,62.28,63.08,61.42,4009826,-0.93,62.07
20240613,62.69,59.98,62.96,59.96,5371051,4.59,62.19
20240612,59.94,59.59,60.66,59.37,5473070,0.77,59.99
20240611,59.48,59.41,59.66,57.97,7376891,0.13,59.06
20240610,59.4,59.01,59.48,58.91,10118543,0.41,59.19
20240607,59.16,58.14,59.24,58.02,8706020,1.28,58.99
20240606,58.41,58.91,59.27,58.18,7586602,-1.05,58.5
20240605,59.03,58.6,59.1,57.95,5680340,0.79,58.89
20240604,58.57,58.67,59.32,58.52,5361332,-0.39,58.83
20240603,58.8,57.56,59.07,57.56,6801098,1.75,58.77
20240531,57.79,57.36,57.98,57.3,4548395,0.86,57.73
20240530,57.3,57.05,57.55,56.8,2378047,0.67,57.3
20240529,56.92,56.87,57.3,56.41,4170457,-0.58,56.8
20240528,57.25,57.25,57.5,56.62,2276488,-0.1,57.05
20240524,57.31,57.56,57.78,57.19,1963598,-0.24,57.39
20240523,57.45,57.87,58.19,57.28,2184291,-1.29,57.66
20240522,58.2,57.38,58.38,57.34,2665948,1.39,58.03
20240521,57.4,57.11,57.51,56.93,1759775,0.37,57.29
20240520,57.19,57.21,57.37,56.99,1938035,0.16,57.16
20240517,57.1,56.83,57.24,56.4,1607011,0.42,57.04
20240516,56.86,56.86,57.38,56.37,3028434,-0.33,56.8
20240515,57.05,57.43,57.44,56.77,2824802,0.0,57.09
20240514,57.05,57.6,58.11,56.85,2705898,-0.95,57.18
20240513,57.6,57.0,58.93,56.62,7056805,8.56,57.53
20240510,53.06,53.39,53.67,52.81,1505318,-0.82,53.18
20240509,53.5,53.76,53.94,53.1,1403344,-0.02,53.41
20240508,53.51,54.37,54.49,53.23,2208603,-1.58,53.6
20240507,54.37,54.5,54.92,53.96,1901252,0.54,54.36
20240506,54.08,53.79,54.19,53.45,2016047,0.6,53.97
20240503,53.76,53.7,53.87,52.73,1407345,1.26,53.45
20240502,53.09,53.02,53.46,52.28,2018992,0.28,53.02
20240501,52.94,51.87,53.98,51.75,3575584,1.71,53.04
20240430,52.05,50.4,53.84,50.35,4770738,-0.97,51.91
20240429,52.56,51.75,53.27,51.71,3081700,1.7,52.71
20240426,51.68,50.99,51.85,50.87,1564278,0.98,51.62
20240425,51.18,51.58,51.85,50.35,1771923,-1.08,50.96
20240424,51.74,51.65,51.84,51.14,1545531,0.17,51.57
20240423,51.65,52.0,52.22,51.39,2493646,-0.52,51.76
20240422,51.92,52.43,52.62,51.88,1751562,-0.82,52.18
20240419,52.35,52.97,53.0,52.0,2181059,-0.89,52.4
20240418,52.82,52.96,53.15,52.26,1830343,0.19,52.68
20240417,52.72,53.22,53.8,52.7,2525527,-0.94,53.02
20240416,53.22,53.34,54.09,53.15,1464974,-0.39,53.55
20240415,53.43,53.91,54.3,53.41,1573551,-0.78,53.78
20240412,53.85,54.72,55.03,53.76,1177680,-1.95,54.14
20240411,54.92,55.34,55.99,54.63,1580228,-0.15,55.06
20240410,55.0,54.85,55.25,54.47,1052587,-0.54,54.91
20240409,55.3,55.2,56.46,55.19,1483414,0.45,55.51
20240408,55.05,54.97,55.42,54.42,1238951,-0.34,55.08
20240405,55.24,54.84,55.41,54.26,1603328,0.45,55.09
20240404,54.99,55.55,55.85,54.82,1515982,-0.58,55.19
20240403,55.31,55.84,56.21,55.0,1856178,-0.93,55.28
20240402,55.83,56.56,57.15,55.79,2046930,-1.43,56.29
20240401,56.64,56.97,57.0,56.03,1270492,-0.58,56.6
20240328,56.97,57.25,57.4,56.61,1861512,-0.26,56.92
20240327,57.12,56.52,57.35,56.5,1653629,1.01,56.99
20240326,56.55,57.53,57.55,56.51,1805713,-1.62,56.67
20240325,57.48,57.14,57.59,56.57,1882107,0.88,57.12
20240322,56.98,57.98,57.98,56.96,1192536,-1.28,57.28
20240321,57.72,58.57,59.03,57.47,1535568,-0.89,57.85
20240320,58.24,58.03,58.43,57.49,1714109,-0.15,58.04
20240319,58.33,57.7,58.44,57.18,2502761,1.73,57.96
20240318,57.34,58.75,58.78,57.3,1786323,-1.76,57.77
20240315,58.37,58.3,58.76,57.53,4894902,-0.29,58.21
20240314,58.54,58.75,59.12,58.1,1215041,-0.64,58.5
20240313,58.92,59.35,60.22,58.6,1335257,-0.69,59.13
20240312,59.33,60.72,60.9,58.9,1592147,-2.4,59.62
20240311,60.79,60.15,61.16,59.7,2171693,1.28,60.58
20240308,60.02,59.17,60.17,59.14,1492177,1.68,59.89
20240307,59.03,59.49,59.72,58.33,1407742,-0.39,59.0
20240306,59.26,59.21,59.7,58.52,1797283,0.61,59.05
20240305,58.9,59.96,60.19,58.07,1859511,-1.37,58.67
20240304,59.72,59.25,59.77,58.07,1655526,1.13,59.22
20240301,59.05,58.7,59.66,58.37,1538333,1.18,59.14
20240229,58.36,60.21,60.21,58.25,3085315,-2.7,58.6
20240228,59.98,60.77,61.0,59.91,1118593,-1.67,60.23
20240227,61.0,60.65,61.48,59.73,1305386,0.78,60.83
20240226,60.53,60.33,61.44,60.1,1246738,-0.1,60.56
20240223,60.59,61.8,61.87,60.31,1372697,-0.53,60.91
20240222,60.91,60.33,61.34,59.46,1701379,0.96,60.68
20240221,60.33,59.08,60.46,59.05,1960923,2.57,60.02
20240220,58.82,57.79,59.5,57.62,1902199,1.48,58.78
20240216,57.96,58.88,59.1,57.92,1131990,-1.71,58.37
20240215,58.97,58.09,59.87,57.89,1436372,1.87,58.87
20240214,57.89,58.59,60.2,57.51,2235180,-2.44,58.24
20240213,59.34,60.04,60.7,57.83,3494464,2.59,59.5
20240212,57.84,57.79,58.43,57.38,2211408,0.31,57.86
20240209,57.66,57.37,57.96,57.09,1761929,0.52,57.65
20240208,57.36,57.35,57.72,56.1,1703691,0.03,57.02
20240207,57.34,59.24,59.57,57.34,1367742,-3.84,57.83
20240206,59.63,58.5,59.94,57.69,2025232,2.7,59.24
20240205,58.06,58.0,58.47,57.63,1223346,-0.5,58.08
20240202,58.35,58.63,59.27,58.05,1148059,-1.37,58.46
20240201,59.16,58.52,59.27,58.03,1202237,0.66,58.93
20240131,58.77,59.3,59.48,58.52,1674129,-0.86,58.88
20240130,59.28,60.5,60.5,59.15,1585990,-1.97,59.51
20240129,60.47,60.36,60.84,59.77,1228686,-0.28,60.46
20240126,60.64,61.32,61.71,60.3,1030054,-0.46,60.67
20240125,60.92,60.73,61.32,59.58,1114564,0.13,60.53
20240124,60.84,62.05,62.14,60.78,1317323,-1.66,61.21
20240123,61.87,61.73,62.19,60.93,1097511,0.6,61.78
20240122,61.5,61.8,61.93,60.61,1115113,0.02,61.23
20240119,61.49,61.28,61.67,60.45,1211978,0.51,61.4
20240118,61.18,61.3,61.55,60.27,1138780,-0.49,61.12
20240117,61.48,61.18,61.84,60.37,1218619,0.23,61.36
20240116,61.34,62.59,62.63,61.22,1352648,-2.23,61.5
20240112,62.74,63.3,63.88,62.46,1111161,-0.59,62.93
20240111,63.11,63.58,63.58,62.7,1780236,-1.61,63.11
20240110,64.14,64.2,65.18,63.87,1728978,-0.37,64.31
20240109,64.38,65.82,66.17,63.45,1946107,-2.19,64.74
20240108,65.82,64.9,65.84,62.35,2097359,0.86,64.73
20240105,65.26,66.32,66.47,65.18,1845184,-2.0,65.63
20240104,66.59,65.46,67.37,65.36,2781935,1.65,66.73
20240103,65.51,65.45,67.06,65.13,2226630,0.09,66.03
20240102,65.45,62.39,65.49,62.39,1456137,4.24,65.07
20231229,62.79,62.44,63.07,62.4,992847,0.1,62.7
20231228,62.73,62.9,63.57,62.59,972918,0.08,62.84
20231227,62.68,62.44,62.79,62.13,1146729,0.21,62.48
20231226,62.55,63.1,63.23,62.21,745860,-0.48,62.6
20231222,62.85,61.92,63.41,61.81,979550,1.88,62.93
20231221,61.69,61.15,61.82,60.91,2091188,1.53,61.44
20231220,60.76,62.0,62.19,60.62,1868137,-1.84,61.02
20231219,61.9,60.97,62.26,60.64,1789790,2.11,61.65
20231218,60.62,62.28,62.32,60.35,2273211,-2.7,60.91
20231215,62.3,63.82,64.3,61.48,6177121,-2.41,62.34
20231214,63.84,64.5,64.99,63.66,2998483,-0.55,64.09
20231213,64.19,62.45,64.84,62.24,3948153,3.77,64.03
20231212,61.86,57.36,62.45,57.12,6115387,8.45,61.26
20231211,57.04,54.82,57.1,54.74,2385149,4.28,56.5
20231208,54.7,55.17,55.17,54.3,1517279,-0.87,54.73
20231207,55.18,55.66,55.66,54.7,1276180,-0.43,55.11
20231206,55.42,54.71,55.64,54.25,1340898,1.09,55.33
20231205,54.82,54.69,55.42,54.52,1429845,-0.25,54.81
20231204,54.96,55.28,55.94,54.68,1863027,1.74,55.08
20231201,54.02,54.42,54.61,53.62,1882470,-0.59,54.06
20231130,54.34,53.93,54.53,53.63,4005422,1.78,54.22
20231129,53.39,52.92,53.66,52.79,1534984,1.31,53.29
