trade_date,close,open,high,low,vol,pct_change,vwap
20241231,53.82,54.07,54.15,53.5,1639208,0.32,53.8
20241230,53.65,54.08,54.16,53.46,2262448,-1.54,53.66
20241227,54.49,55.0,55.16,54.27,1678673,-1.3,54.55
20241226,55.21,55.1,55.35,54.89,1741688,0.18,55.18
20241224,55.11,54.85,55.15,54.6,878367,1.14,54.96
20241223,54.49,54.05,54.49,53.35,2490639,0.07,54.12
20241220,54.45,53.67,54.49,53.51,6567074,1.13,54.27
20241219,53.84,53.5,54.08,53.05,3787860,0.37,53.71
20241218,53.64,55.51,55.71,53.59,2855752,-2.9,54.43
20241217,55.24,55.51,55.75,55.13,2198360,-0.99,55.35
20241216,55.79,55.69,56.14,55.6,3042912,0.45,55.8
20241213,55.54,54.9,55.61,54.71,3102106,1.24,55.36
20241212,54.86,54.05,55.35,53.86,3228953,0.62,54.84
20241211,54.52,54.55,54.83,54.11,4204981,-0.44,54.5
20241210,54.76,55.48,55.55,54.63,2792620,-1.83,54.9
20241209,55.78,57.03,57.2,55.63,4072636,-1.76,55.9
20241206,56.78,57.0,57.05,56.29,2170473,0.12,56.62
20241205,56.71,57.06,57.43,56.61,3664421,-1.75,56.89
20241204,57.72,58.5,58.63,57.49,3272918,-1.69,57.83
20241203,58.71,58.2,58.9,57.92,2700333,0.43,58.56
20241202,58.46,58.53,58.59,57.48,2875571,-0.63,58.19
20241129,58.83,58.39,58.98,57.96,1819835,0.77,58.61
20241127,58.38,59.26,59.26,58.15,2350302,-1.23,58.49
20241126,59.11,59.71,59.85,58.58,4050025,-0.77,59.01
20241125,59.57,59.79,60.36,59.17,6719297,0.42,59.63
20241122,59.32,58.94,59.98,58.57,3453892,0.24,59.35
20241121,59.18,58.2,59.53,57.94,4161734,0.58,58.91
20241120,58.84,57.4,60.22,57.1,7558649,1.73,58.74
20241119,57.84,56.9,58.0,56.62,4149805,0.24,57.6
20241118,57.7,57.41,58.25,57.26,3876339,0.21,57.74
20241115,57.58,56.04,57.68,56.01,5180059,1.14,57.11
20241114,56.93,55.97,56.97,55.91,3650154,0.98,56.49
20241113,56.38,56.25,57.01,55.82,5814567,-1.62,56.41
20241112,57.31,57.23,57.57,56.58,3385242,-0.61,57.13
20241111,57.66,57.41,58.1,57.39,2135995,0.49,57.64
20241108,57.38,57.98,58.59,57.36,4379559,-1.76,57.72
20241107,58.41,58.68,59.14,58.16,4269910,-0.71,58.6
20241106,58.83,59.35,59.52,58.08,6508742,2.21,58.78
20241105,57.56,56.76,57.8,56.7,7457699,1.7,57.46
20241104,56.6,56.05,56.9,56.04,6933137,1.49,56.58
20241101,55.77,55.2,55.88,54.7,10194665,0.41,55.32
20241031,55.54,52.51,56.26,52.5,13960997,13.28,55.28
20241030,49.03,47.52,49.47,47.47,9488270,3.68,48.86
20241029,47.29,48.4,48.59,47.25,4870469,-2.78,47.75
20241028,48.64,48.25,48.95,48.25,4164035,0.14,48.7
20241025,48.57,48.72,48.96,48.3,2458638,-0.14,48.57
20241024,48.64,49.1,49.14,48.41,4044883,-0.84,48.62
20241023,49.05,47.87,49.12,47.74,4680828,3.2,48.79
20241022,47.53,46.79,47.71,46.77,4951742,1.28,47.41
20241021,46.93,46.6,46.96,46.38,4185352,0.32,46.78
20241018,46.78,46.5,46.81,45.73,5224254,0.32,46.38
20241017,46.63,47.3,47.52,46.38,6931422,-2.81,46.95
20241016,47.98,47.7,48.16,47.61,4876906,0.5,47.97
20241015,47.74,48.08,48.25,47.59,4507500,-0.71,47.86
20241014,48.08,47.73,48.24,47.61,2257875,-0.23,48.01
20241011,48.19,47.0,48.43,46.99,4481152,2.53,47.96
