trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,269.59,270.89,263.67,265.63,1391916,0.11,265.83
2023-01-04,269.36,271.01,266.84,270.0,1435393,1.65,269.46
2023-01-05,267.69,271.87,266.51,268.62,1803880,-0.51,269.55
2023-01-06,271.17,273.4,264.68,270.39,1659514,0.66,270.09
2023-01-09,272.59,273.58,264.21,264.93,1509131,-2.02,267.86
2023-01-10,263.33,271.41,263.33,271.36,1316962,2.43,269.79
2023-01-11,261.39,265.49,254.56,259.96,3506758,-4.2,258.91
2023-01-12,258.74,260.35,254.98,256.94,1925139,-1.16,257.16
2023-01-13,255.4,259.8,253.77,258.9,1716105,0.76,258.13
2023-01-17,258.48,261.97,254.86,261.73,1595346,1.09,260.56
2023-01-18,261.57,264.89,255.61,256.35,1641591,-2.06,258.9
2023-01-19,254.84,255.68,250.62,252.5,1758537,-1.5,252.73
2023-01-20,252.44,256.84,248.96,256.77,1968527,1.69,253.92
2023-01-23,256.77,257.87,254.01,255.98,2008569,-0.31,256.2
2023-01-24,254.6,259.41,254.23,257.98,3127241,0.78,257.58
2023-01-25,241.09,247.0,238.84,243.8,5863586,-5.5,242.89
2023-01-26,246.48,250.82,243.5,250.55,1788514,2.77,247.81
2023-01-27,248.58,250.21,246.89,247.26,1568605,-1.31,248.03
2023-01-30,245.0,246.81,241.98,242.23,1642957,-2.03,243.72
2023-01-31,243.2,245.73,241.19,245.69,1782630,1.43,244.16
2023-02-01,246.8,253.54,244.66,251.19,1646575,2.24,249.12
2023-02-02,253.85,261.95,252.88,260.9,2197290,3.87,259.11
2023-02-03,257.81,260.5,252.93,254.68,1691448,-2.38,256.5
2023-02-06,251.76,252.97,248.24,248.98,1329176,-2.24,249.71
2023-02-07,247.81,254.55,246.9,253.06,1359638,1.64,251.06
2023-02-08,249.15,253.23,248.2,248.85,1318947,-1.66,249.7
2023-02-09,250.52,251.07,243.65,244.18,1425884,-1.88,245.79
2023-02-10,242.91,246.53,242.6,245.27,1199572,0.45,244.96
2023-02-13,246.09,246.54,244.74,245.13,1277001,-0.06,245.38
2023-02-14,243.42,245.66,239.67,241.09,1799218,-1.65,242.05
2023-02-15,239.75,245.5,239.1,244.77,1341372,1.53,243.49
2023-02-16,240.77,244.06,238.54,240.16,1615338,-1.88,241.22
2023-02-17,238.95,240.02,236.61,238.91,1595736,-0.52,238.58
2023-02-21,236.55,236.98,232.87,233.58,1852188,-2.23,234.33
2023-02-22,233.88,236.49,232.96,233.55,1456154,-0.01,234.29
2023-02-23,234.85,235.82,231.93,234.9,1427234,0.58,234.28
2023-02-24,230.61,232.39,229.04,231.05,1417087,-1.64,230.86
2023-02-27,233.96,233.96,231.0,231.74,1421595,0.3,232.35
2023-02-28,230.74,231.74,228.74,229.39,1366842,-1.01,229.84
2023-03-01,228.47,229.29,226.28,227.33,1290780,-0.9,227.42
2023-03-02,226.07,229.41,224.48,228.9,1153045,0.69,227.42
2023-03-03,230.48,235.2,229.29,234.87,1458455,2.61,233.74
2023-03-06,233.59,236.78,233.04,234.85,1204946,-0.01,235.36
2023-03-07,235.42,236.14,229.42,230.71,1680628,-1.76,231.34
2023-03-08,230.0,231.71,227.96,231.09,661804,0.16,230.43
2023-03-09,232.73,235.26,228.18,228.57,1181781,-1.09,231.33
2023-03-10,228.77,229.76,223.39,224.75,1778632,-1.67,225.74
2023-03-13,224.0,232.45,222.65,227.78,1539277,1.35,228.89
2023-03-14,232.54,235.62,231.17,235.28,2109659,3.29,234.31
2023-03-15,232.01,235.81,229.72,234.18,1594099,-0.47,233.44
2023-03-16,232.59,242.37,231.5,240.5,2072127,2.7,239.42
2023-03-17,240.39,242.0,236.26,237.8,2304603,-1.12,238.34
2023-03-20,238.12,242.03,237.58,240.5,995530,1.14,240.38
2023-03-21,242.45,247.37,242.12,246.68,1560298,2.57,244.97
2023-03-22,245.44,248.28,240.54,240.81,1151808,-2.38,244.38
2023-03-23,244.12,247.31,242.29,244.47,1735061,1.52,245.05
2023-03-24,248.0,257.46,248.0,256.42,3269871,4.89,253.6
2023-03-27,257.51,259.02,251.89,252.57,1682686,-1.5,253.86
2023-03-28,253.0,253.37,248.5,249.49,1179536,-1.22,250.18
2023-03-29,250.0,251.55,246.63,250.76,1538323,0.51,249.77
2023-03-30,254.05,254.2,248.29,251.3,1908912,0.22,250.15
2023-03-31,253.22,256.74,252.07,255.47,1575223,1.66,255.1
2023-04-03,254.3,254.44,250.01,253.53,1554762,-0.76,253.15
2023-04-04,253.58,256.23,253.11,254.71,1354779,0.47,254.9
2023-04-05,254.23,258.89,253.75,257.99,1366398,1.29,257.48
2023-04-06,258.33,259.33,255.24,256.9,1026602,-0.42,256.89
2023-04-10,255.6,259.11,252.04,258.94,1160895,0.79,256.93
2023-04-11,259.6,263.62,259.17,262.77,1620683,1.48,262.37
2023-04-12,265.0,265.9,261.42,261.77,1154340,-0.38,263.03
2023-04-13,264.0,266.7,262.87,266.56,1444552,1.83,265.13
2023-04-14,265.54,268.4,264.57,267.02,1319552,0.17,266.63
2023-04-17,266.99,268.94,265.83,268.89,1231080,0.7,267.48
2023-04-18,270.0,270.23,266.45,269.28,2632769,0.15,268.34
2023-04-19,292.0,304.84,292.0,298.57,6178192,10.88,300.83
2023-04-20,298.96,302.23,296.76,297.41,2809140,-0.39,298.99
2023-04-21,297.87,300.88,296.5,300.22,2180217,0.94,299.1
2023-04-24,299.11,303.1,297.73,300.46,2154748,0.08,300.9
2023-04-25,299.83,301.57,292.91,294.97,2431201,-1.83,296.34
2023-04-26,293.03,296.95,291.02,294.96,1649628,0.0,294.92
2023-04-27,295.41,296.31,290.67,295.92,1487111,0.33,294.38
2023-04-28,297.62,301.57,296.75,301.22,1940778,1.79,300.21
2023-05-01,301.0,308.46,300.26,303.02,1440458,0.6,303.72
