trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,68.48,68.8,66.65,66.87,1054017,-1.5,67.26
2023-01-04,67.45,68.08,65.34,65.7,1141024,-1.75,66.3
2023-01-05,65.12,65.42,64.44,65.14,1840914,-0.85,64.97
2023-01-06,66.02,67.73,65.32,67.67,1171186,3.88,67.11
2023-01-09,68.47,71.34,68.47,70.97,1963006,4.88,70.71
2023-01-10,70.97,72.06,70.84,71.86,1406434,1.25,71.68
2023-01-11,71.65,74.77,71.43,74.66,2535227,3.9,73.89
2023-01-12,74.64,76.23,74.47,75.72,2215391,1.42,75.63
2023-01-13,74.93,77.33,74.84,77.3,1514098,2.09,76.48
2023-01-17,76.55,78.67,76.53,77.97,2245892,0.87,77.91
2023-01-18,78.39,79.3,77.75,78.03,1901131,0.08,78.34
2023-01-19,77.11,78.15,76.85,77.7,1404553,-0.42,77.55
2023-01-20,77.93,79.06,77.37,79.06,1370300,1.75,78.29
2023-01-23,79.24,81.08,79.2,80.67,1811233,2.04,80.52
2023-01-24,79.63,81.25,79.63,80.27,1241219,-0.5,80.62
2023-01-25,78.7,79.59,78.06,79.5,1264069,-0.96,78.98
2023-01-26,79.99,80.27,77.14,77.92,1670978,-1.99,77.88
2023-01-27,77.29,78.32,76.83,76.85,723220,-1.37,77.27
2023-01-30,76.05,76.85,75.82,76.45,872344,-0.52,76.38
2023-01-31,76.75,78.34,76.21,78.27,1329266,2.38,77.86
2023-02-01,77.5,80.2,77.36,79.62,1762000,1.72,79.03
2023-02-02,80.18,81.83,79.83,80.98,1639172,1.71,81.06
2023-02-03,80.13,82.31,80.13,81.79,1665657,1.0,81.67
2023-02-06,80.95,82.4,80.49,82.24,1192918,0.55,81.93
2023-02-07,82.58,83.28,81.35,83.06,2014883,1.0,82.5
2023-02-08,82.3,82.86,81.58,82.08,1115857,-1.18,82.14
2023-02-09,82.85,83.13,80.59,81.26,1728305,-1.0,81.51
2023-02-10,80.7,82.4,80.54,82.27,1092284,1.24,81.92
2023-02-13,82.25,83.71,81.96,83.61,966512,1.63,83.26
2023-02-14,82.83,84.57,82.71,84.05,814352,0.53,83.83
2023-02-15,83.2,84.28,83.15,83.78,784329,-0.32,83.77
2023-02-16,82.63,84.61,82.4,84.4,1311450,0.74,84.23
2023-02-17,84.05,84.37,83.21,83.54,1315059,-1.02,83.66
2023-02-21,83.41,84.33,82.15,82.38,1094636,-1.39,82.77
2023-02-22,82.05,82.87,81.35,82.12,1068173,-0.32,82.11
2023-02-23,83.2,83.45,81.63,82.78,656670,0.8,82.64
2023-02-24,81.09,83.11,80.98,83.07,1084622,0.35,82.53
2023-02-27,83.7,84.36,82.86,83.21,801612,0.17,83.33
2023-02-28,82.98,83.4,82.38,82.73,1292894,-0.58,82.83
2023-03-01,83.06,84.5,82.5,83.88,1185247,1.39,83.74
2023-03-02,83.19,84.02,82.37,83.83,912367,-0.06,83.48
2023-03-03,84.19,85.39,83.99,84.96,972828,1.35,84.88
2023-03-06,85.07,85.37,83.94,84.2,1479906,-0.89,84.59
2023-03-07,84.33,84.78,83.16,83.73,770219,-0.56,83.91
2023-03-08,84.22,84.88,83.76,84.53,715841,0.96,84.35
2023-03-09,84.85,85.13,82.89,83.07,883751,-1.73,83.75
2023-03-10,82.74,83.19,81.21,81.61,1088615,-1.76,81.84
2023-03-13,79.95,82.3,79.71,81.05,1057786,-0.69,81.22
2023-03-14,82.78,83.57,81.29,82.65,1605738,1.97,82.56
2023-03-15,80.17,80.42,78.24,80.04,2286648,-3.16,79.43
2023-03-16,79.74,79.74,73.89,78.09,3109685,-2.44,77.11
2023-03-17,78.1,79.06,76.86,78.67,3090685,0.74,78.3
2023-03-20,79.25,81.0,79.14,80.81,1667160,2.72,80.51
2023-03-21,82.11,82.47,80.76,82.24,1225859,1.77,81.78
2023-03-22,82.07,83.79,81.71,82.03,1704826,-0.26,82.77
2023-03-23,82.63,84.43,81.96,82.84,1672565,0.99,83.16
2023-03-24,82.16,83.22,81.32,83.07,1361195,0.28,82.46
2023-03-27,83.36,83.69,82.3,82.68,837506,-0.47,82.91
2023-03-28,83.06,83.13,81.99,82.94,1140192,0.31,82.71
2023-03-29,83.53,84.67,82.98,84.31,948127,1.65,84.02
2023-03-30,84.89,86.48,84.72,86.42,988556,2.5,86.08
2023-03-31,86.56,87.97,86.42,87.84,1332244,1.64,87.53
2023-04-03,87.88,88.78,86.34,87.14,1133959,-0.8,87.09
2023-04-04,86.99,87.14,84.14,84.79,1117125,-2.7,85.06
2023-04-05,84.19,84.22,81.65,82.9,1106073,-2.23,82.62
2023-04-06,82.3,82.96,81.57,81.78,818566,-1.35,82.08
2023-04-10,81.55,83.31,81.55,82.75,1112503,1.19,82.69
2023-04-11,82.9,83.63,82.41,82.82,881544,0.08,82.87
2023-04-12,83.23,83.96,83.05,83.14,819916,0.39,83.37
2023-04-13,83.61,84.23,82.34,83.8,899441,0.79,83.5
2023-04-14,83.45,84.78,82.55,83.46,732131,-0.41,83.39
2023-04-17,83.3,83.7,82.81,83.22,471632,-0.29,83.18
2023-04-18,83.86,84.59,83.22,83.85,675495,0.76,83.74
2023-04-19,83.24,83.24,80.64,81.41,1413962,-2.91,81.54
2023-04-20,80.48,81.94,80.06,81.09,868629,-0.39,81.21
2023-04-21,80.35,80.86,77.97,78.52,1605863,-3.17,78.61
2023-04-24,78.58,79.06,78.01,78.99,885982,0.6,78.71
2023-04-25,78.15,78.44,75.37,75.46,1220381,-4.47,76.29
2023-04-26,75.5,77.55,75.23,76.95,968939,1.97,76.84
2023-04-27,77.16,78.01,75.45,77.57,1198355,0.81,77.19
2023-04-28,76.82,78.04,76.74,77.87,970116,0.39,77.61
2023-05-01,77.62,80.0,77.62,79.02,601577,1.48,78.98
2023-05-02,78.17,79.08,76.69,77.76,1367086,-1.59,77.59
2023-05-03,78.29,78.95,76.78,77.12,743385,-0.82,77.6
2023-05-04,76.63,76.99,75.21,75.49,706700,-2.11,75.82
2023-05-05,76.45,77.86,76.45,76.99,777393,1.99,77.11
2023-05-08,77.37,78.28,76.94,78.1,604323,1.44,77.78
2023-05-09,77.52,78.19,77.28,77.48,502729,-0.79,77.54
2023-05-10,78.28,78.67,77.15,77.96,759195,0.62,78.01
2023-05-11,77.46,79.15,77.46,78.81,716857,1.09,78.53
2023-05-12,79.15,80.13,78.5,79.38,757694,0.72,79.15
2023-05-15,79.44,80.21,78.87,79.84,595123,0.58,79.68
2023-05-16,79.47,81.29,79.33,80.43,730843,0.74,80.59
2023-05-17,80.93,82.69,80.0,82.53,974178,2.61,82.04
2023-05-18,82.53,83.92,82.46,83.68,768515,1.39,83.5
2023-05-19,84.29,84.3,83.27,83.78,713727,0.12,83.77
2023-05-22,83.41,84.85,83.41,84.36,1088873,0.69,84.11
2023-05-23,83.85,85.29,83.59,85.02,844954,0.78,84.82
2023-05-24,84.37,85.02,83.42,84.46,835375,-0.66,84.38
2023-05-25,85.53,88.48,85.5,88.05,1116513,4.25,87.64
2023-05-26,88.76,91.95,88.58,91.33,1302683,3.73,91.13
2023-05-30,92.13,92.41,90.37,91.02,1285203,-0.34,91.02
2023-05-31,89.78,90.71,88.64,89.28,1111740,-1.91,89.45
2023-06-01,89.4,90.45,88.42,89.71,837294,0.48,89.69
2023-06-02,90.35,92.29,90.35,92.03,735172,2.59,91.82
2023-06-05,91.42,92.23,89.83,91.34,654101,-0.75,91.45
2023-06-06,90.83,92.94,90.83,92.59,586264,1.37,92.48
2023-06-07,92.76,94.64,92.23,93.49,778879,0.97,93.71
2023-06-08,93.41,94.43,93.15,93.93,861059,0.47,93.81
2023-06-09,94.51,95.24,93.96,94.35,790820,0.45,94.59
2023-06-12,95.06,98.74,95.06,98.21,1668256,4.09,97.55
2023-06-13,98.96,100.1,97.62,98.44,1756160,0.23,98.7
2023-06-14,98.2,99.74,97.99,99.43,1912855,1.01,99.09
2023-06-15,99.73,105.3,99.73,104.37,2663442,4.97,103.75
2023-06-16,105.67,106.22,103.04,105.08,2298168,0.68,104.78
2023-06-21,104.95,107.02,104.26,104.84,1429511,-0.73,105.25
2023-06-22,104.34,104.74,102.87,103.58,1094299,-1.2,103.61
2023-06-23,102.37,103.51,101.98,102.77,1540199,-0.78,102.72
2023-06-26,102.97,104.07,100.98,101.16,783493,-1.57,101.97
2023-06-27,101.45,103.52,100.95,103.22,894492,2.04,102.71
2023-06-28,102.89,104.53,102.21,104.26,1018439,1.01,104.04
2023-06-29,105.91,107.12,104.58,107.11,1260338,2.73,106.42
2023-06-30,107.77,108.71,106.71,107.65,1183646,0.5,108.0
2023-07-03,107.49,108.86,107.12,108.54,486967,0.83,108.03
2023-07-05,107.68,109.2,107.49,108.55,780411,0.01,108.41
2023-07-06,107.68,108.61,106.53,107.78,758922,-0.71,107.58
2023-07-07,107.95,110.87,107.72,108.9,1180637,1.04,109.38
2023-07-10,108.9,111.08,108.72,111.02,836122,1.95,110.53
2023-07-11,111.46,111.98,110.31,111.35,716896,0.3,111.11
2023-07-12,112.68,112.74,110.4,110.51,729515,-0.75,111.12
2023-07-13,110.97,112.65,110.22,112.56,1074814,1.86,111.9
2023-07-14,112.12,112.56,110.67,111.32,750478,-1.1,111.35
2023-07-17,111.08,113.06,110.66,112.47,796460,1.03,112.36
2023-07-18,112.51,114.84,112.38,114.54,867488,1.84,113.93
2023-07-19,114.27,114.95,113.36,114.84,1603491,0.26,114.32
2023-07-20,114.13,114.69,112.12,113.11,2003496,-1.51,113.06
2023-07-21,113.79,114.18,111.97,112.1,1106156,-0.89,112.51
2023-07-24,112.23,112.48,110.61,111.21,1233215,-0.79,111.19
2023-07-25,111.35,113.29,111.35,111.68,819499,0.42,111.91
2023-07-26,110.91,112.2,109.72,110.56,921298,-1.0,110.55
2023-07-27,111.51,112.13,107.69,108.66,1755757,-1.72,109.21
2023-07-28,109.58,109.69,107.39,108.64,1111961,-0.02,108.48
2023-07-31,108.98,110.73,108.98,110.38,846657,1.6,110.09
2023-08-01,109.11,109.53,108.09,108.67,1215054,-1.55,108.63
2023-08-02,107.69,108.44,106.34,107.92,1075471,-0.69,107.73
2023-08-03,106.98,109.08,106.43,108.56,728849,0.59,108.33
2023-08-04,108.56,109.63,107.25,108.34,718740,-0.2,108.43
2023-08-07,109.1,109.28,107.96,108.51,935285,0.16,108.44
2023-08-08,108.09,108.18,105.37,108.03,964707,-0.44,107.69
2023-08-09,107.7,108.05,106.89,106.94,880694,-1.01,107.33
2023-08-10,107.29,107.99,105.66,106.35,845839,-0.55,106.52
2023-08-11,106.12,106.57,105.28,105.55,845145,-0.75,105.83
2023-08-14,105.37,106.92,105.0,106.71,536219,1.1,106.52
2023-08-15,106.3,106.3,105.15,105.72,705526,-0.93,105.81
2023-08-16,105.1,106.07,102.98,103.26,747858,-2.33,103.8
2023-08-17,103.81,104.66,102.16,102.2,708162,-1.03,102.98
2023-08-18,100.92,102.77,99.99,102.22,701801,0.02,102.14
2023-08-21,102.54,103.27,102.14,102.68,1109135,0.45,102.67
2023-08-22,103.6,104.64,103.02,103.13,1103266,0.44,103.58
2023-08-23,103.2,104.7,102.93,104.52,714192,1.35,104.28
2023-08-24,104.8,105.6,103.33,103.42,915606,-1.05,103.98
2023-08-25,103.92,104.46,101.64,103.03,944166,-0.38,103.01
2023-08-28,108.75,112.81,108.38,112.16,3961700,8.86,111.5
2023-08-29,111.79,115.2,111.54,115.18,2284474,2.69,114.26
2023-08-30,115.01,117.07,114.9,115.55,1882105,0.32,116.0
2023-08-31,115.78,116.2,114.19,114.21,7858676,-1.16,114.46
2023-09-01,114.93,116.22,114.08,115.2,1147339,0.87,115.41
2023-09-05,114.15,114.68,112.01,112.55,1364604,-2.3,112.82
2023-09-06,112.24,113.85,110.43,111.47,985283,-0.96,111.54
2023-09-07,110.88,110.93,107.38,108.45,1596007,-2.71,108.56
2023-09-08,108.17,109.0,106.69,107.13,1174409,-1.22,107.33
2023-09-11,108.08,108.37,106.78,107.42,981853,0.27,107.37
2023-09-12,106.93,108.09,106.73,107.01,735750,-0.38,107.12
2023-09-13,106.76,107.99,106.66,107.21,1244899,0.19,107.35
2023-09-14,107.75,108.56,106.12,108.48,1023914,1.18,108.02
2023-09-15,107.86,108.27,105.46,105.86,1989295,-2.42,106.01
2023-09-18,105.6,106.87,105.08,106.63,979419,0.73,106.46
2023-09-19,106.48,107.09,106.03,106.9,795404,0.25,106.69
2023-09-20,107.29,108.76,107.06,107.13,998719,0.22,107.63
2023-09-21,106.15,106.15,104.25,105.17,883095,-1.83,105.37
2023-09-22,105.98,107.66,105.71,107.4,863597,2.12,107.25
2023-09-25,107.07,109.22,107.07,107.53,1095209,0.12,108.04
2023-09-26,106.44,107.22,104.52,104.8,1103559,-2.54,105.24
2023-09-27,106.06,106.68,104.83,104.98,1564435,0.17,105.52
2023-09-28,111.34,125.77,111.34,124.72,7087008,18.8,121.12
2023-09-29,126.72,127.11,124.57,126.65,3125256,1.55,126.23
2023-10-02,126.18,128.86,126.06,128.63,2255051,1.56,127.86
2023-10-03,127.65,129.99,125.92,127.34,1556758,-1.0,127.44
2023-10-04,127.74,130.4,127.74,129.99,1480237,2.08,129.47
2023-10-05,129.26,130.53,126.56,128.76,1806528,-0.95,128.29
2023-10-06,128.76,131.59,128.42,129.71,1815400,0.74,130.25
2023-10-09,128.69,134.25,128.33,133.75,1979810,3.11,132.99
2023-10-10,133.55,135.99,133.4,134.08,1609637,0.25,134.39
2023-10-11,134.5,138.91,134.26,138.24,2283350,3.1,137.61
2023-10-12,138.56,141.12,137.74,138.86,1865512,0.45,139.31
2023-10-13,138.24,139.65,134.82,135.73,1785981,-2.25,136.25
2023-10-16,136.53,139.23,136.5,136.88,1433890,0.85,137.58
2023-10-17,135.75,138.49,135.32,137.16,1826451,0.2,137.3
2023-10-18,135.75,136.81,134.42,135.15,1357496,-1.47,135.31
2023-10-19,136.02,136.62,129.86,130.1,1736109,-3.74,131.36
2023-10-20,129.51,129.85,124.25,124.79,2743413,-4.08,125.61
2023-10-23,124.03,125.59,122.41,124.0,1585611,-0.63,124.46
2023-10-24,124.17,124.91,123.08,124.24,1863247,0.19,124.23
2023-10-25,123.79,123.97,120.87,121.55,1856649,-2.17,122.01
2023-10-26,121.27,123.02,120.17,121.69,1885926,0.12,121.67
2023-10-27,121.75,122.91,120.57,122.32,1208434,0.52,122.12
2023-10-30,123.38,124.32,119.8,120.19,1808550,-1.74,121.02
2023-10-31,120.22,122.86,119.02,122.57,1572044,1.98,122.13
2023-11-01,122.35,124.62,122.31,124.59,1367250,1.65,123.8
2023-11-02,125.85,126.72,123.66,124.71,1344532,0.1,124.85
2023-11-03,125.46,128.75,125.46,128.16,1329503,2.77,127.77
2023-11-06,128.04,128.56,125.83,126.92,1288288,-0.97,126.61
2023-11-07,126.0,126.55,124.88,126.06,729119,-0.68,125.85
2023-11-08,126.21,127.85,125.78,126.35,940961,0.23,126.71
2023-11-09,126.57,127.55,124.34,125.39,1154293,-0.76,125.46
2023-11-10,126.23,128.69,125.83,128.02,1079078,2.1,127.36
2023-11-13,127.54,130.57,127.23,129.33,1270192,1.02,129.41
2023-11-14,130.77,133.04,130.37,131.71,1168610,1.84,132.06
2023-11-15,131.98,134.76,131.98,132.56,1401955,0.65,133.02
2023-11-16,130.92,132.14,129.94,130.62,1859819,-1.46,130.72
2023-11-17,130.95,132.01,129.96,131.23,1099002,0.47,131.25
2023-11-20,132.16,132.77,131.17,132.25,1020103,0.78,132.3
2023-11-21,131.96,132.59,130.47,130.81,812641,-1.09,131.24
2023-11-22,131.66,132.82,129.26,130.34,1033939,-0.36,130.79
2023-11-24,130.83,131.09,129.94,131.01,389209,0.51,130.68
2023-11-27,130.35,132.09,129.43,131.16,1334833,0.11,131.31
2023-11-28,130.9,131.22,129.05,130.52,1770984,-0.49,130.35
2023-11-29,117.42,119.85,111.48,115.1,9292465,-11.81,114.84
2023-11-30,115.37,115.65,113.61,115.18,3976020,0.07,114.89
2023-12-01,114.65,118.58,113.36,116.76,2232265,1.37,117.08
2023-12-04,117.65,117.65,114.31,115.21,2919743,-1.33,115.51
2023-12-05,114.56,114.96,113.22,114.12,1588187,-0.95,114.26
2023-12-06,115.94,116.6,114.12,114.25,1248577,0.11,114.92
2023-12-07,114.41,116.76,114.41,116.27,1484903,1.77,116.05
2023-12-08,116.23,119.71,116.23,118.85,1833573,2.22,118.62
2023-12-11,119.85,121.41,118.74,120.84,1578067,1.67,120.5
2023-12-12,120.98,121.8,119.59,120.0,1570300,-0.7,120.35
2023-12-13,119.89,121.05,118.68,120.45,2750634,0.38,119.99
2023-12-14,129.98,137.08,125.63,136.25,6272656,13.12,132.0
2023-12-15,136.8,137.77,131.59,132.74,27702504,-2.58,132.99
2023-12-18,134.17,134.73,129.79,130.05,2267864,-2.03,130.93
2023-12-19,131.91,131.91,128.98,131.07,1538156,0.78,130.63
2023-12-20,130.72,133.33,128.35,128.43,1643949,-2.01,130.38
