trade_date,close,open,high,low,vol,pct_change,vwap
20241231,78.93,79.61,79.95,78.64,1685486,-0.27,78.95
20241230,79.14,78.75,79.59,78.13,1612656,-0.85,79.15
20241227,79.82,79.78,80.8,79.49,1601489,-1.27,79.9
20241226,80.85,80.76,81.28,80.5,1348547,-0.17,80.93
20241224,80.99,80.05,80.99,79.98,1238809,0.85,80.61
20241223,80.31,79.84,80.72,79.54,3293653,-0.41,80.32
20241220,80.64,78.6,81.03,78.27,6244227,2.45,80.36
20241219,78.71,80.05,81.34,78.49,3905604,-0.14,79.18
20241218,78.82,82.69,82.85,78.75,4050185,-3.7,80.47
20241217,81.85,83.41,83.99,81.57,4428594,-2.58,82.53
20241216,84.02,82.34,84.63,81.89,4578707,1.68,83.84
20241213,82.63,83.02,83.76,82.51,2338093,-0.84,82.95
20241212,83.33,84.02,84.48,83.3,2121565,-0.82,83.65
20241211,84.02,83.28,84.18,82.54,3271821,1.5,83.63
20241210,82.78,83.5,83.7,82.2,2847637,-1.36,82.9
20241209,83.92,83.99,85.13,83.73,4136508,-0.5,84.18
20241206,84.34,83.37,84.37,83.1,3192447,1.5,83.91
20241205,83.09,83.27,84.0,83.0,3222268,-0.84,83.41
20241204,83.79,82.24,84.16,82.02,2440869,1.59,83.66
20241203,82.48,83.64,84.09,82.44,2080130,-1.42,82.69
20241202,83.67,84.16,84.43,83.65,2689089,-0.23,83.94
20241129,83.86,84.17,85.58,83.86,2897793,0.18,84.24
20241127,83.71,83.92,84.48,83.37,2146765,-0.05,83.73
20241126,83.75,83.03,84.12,82.32,3549182,0.49,83.55
20241125,83.34,84.13,84.43,83.27,4662672,-0.13,83.6
20241122,83.45,83.77,84.17,83.14,3552885,-0.64,83.66
20241121,83.99,83.45,84.75,83.08,2275237,1.22,84.21
20241120,82.98,83.61,83.69,82.58,3333982,-0.66,82.88
20241119,83.53,82.9,83.92,82.44,3389576,-0.14,83.47
20241118,83.65,84.27,84.5,83.54,3426443,-0.89,83.86
20241115,84.4,84.58,85.23,84.29,3138104,-0.87,84.55
20241114,85.14,85.41,85.98,84.87,3483840,-0.67,85.21
20241113,85.71,85.44,86.46,85.25,3444415,0.65,85.83
20241112,85.16,86.09,86.88,84.56,3420012,-1.66,85.32
20241111,86.6,84.78,87.16,84.78,5379774,2.34,86.49
20241108,84.62,81.87,84.79,81.86,4338051,3.31,84.34
20241107,81.91,81.46,82.21,80.27,4770785,0.54,81.75
20241106,81.47,77.55,81.98,77.1,7687777,8.83,80.62
20241105,74.86,74.03,74.99,73.91,4228172,0.85,74.66
20241104,74.23,75.31,75.85,73.81,3410662,-1.68,74.46
20241101,75.5,75.95,76.21,75.37,2264779,-0.07,75.62
20241031,75.55,75.9,76.52,75.38,3602731,-1.01,75.69
20241030,76.32,76.39,76.84,76.08,3824923,-0.97,76.4
20241029,77.07,77.1,77.45,76.5,2972273,-0.85,77.12
20241028,77.73,77.32,77.99,77.2,6945500,1.29,77.56
20241025,76.74,77.35,77.88,76.53,3222071,-0.16,77.23
20241024,76.86,77.12,77.26,75.73,3880404,0.5,76.75
20241023,76.48,76.44,77.57,76.1,3258373,-0.21,76.67
20241022,76.64,76.91,77.21,76.05,2163984,-0.69,76.58
20241021,77.17,77.47,77.88,76.73,2521963,-0.35,77.13
20241018,77.44,77.65,77.75,77.02,2560087,0.25,77.37
20241017,77.25,77.1,77.39,76.6,2407777,1.13,77.08
20241016,76.39,76.69,77.09,76.11,2546797,-0.27,76.48
20241015,76.6,77.52,77.75,76.48,2921292,-1.39,76.77
20241014,77.68,77.43,77.76,77.13,1788927,0.09,77.51
20241011,77.61,76.43,77.83,76.36,2420547,0.9,77.49
20241010,76.92,77.37,77.58,76.64,2179947,-1.0,77.0
20241009,77.7,76.64,77.87,76.47,3162157,1.77,77.6
20241008,76.35,75.78,76.49,75.28,3644536,1.06,76.26
20241007,75.55,75.03,75.74,74.62,2249493,-0.17,75.44
20241004,75.68,76.08,76.17,74.85,2400225,0.25,75.47
20241003,75.49,76.3,76.46,74.98,2443913,-1.41,75.46
20241002,76.57,76.19,77.13,76.1,2266911,-0.31,76.57
20241001,76.81,78.02,78.23,76.51,3424818,-1.03,77.06
20240930,77.61,76.96,77.7,76.74,5004789,0.52,77.3
20240927,77.21,76.95,77.71,76.74,3792258,0.88,77.22
20240926,76.54,76.58,76.93,75.96,3916380,0.94,76.37
20240925,75.83,75.54,75.95,75.24,5379715,0.37,75.66
20240924,75.55,75.55,75.98,75.22,5299621,0.37,75.57
20240923,75.27,75.0,75.81,74.67,7032277,1.58,75.23
20240920,74.1,73.77,74.21,73.54,7051336,-0.18,74.0
20240919,74.23,74.57,74.89,73.81,4352297,2.01,74.31
20240918,72.77,72.23,73.97,72.19,3274755,-0.14,72.95
20240917,72.87,72.86,73.15,72.25,2993292,0.5,72.8
20240916,72.51,73.01,73.38,72.43,2674692,-0.06,72.66
20240913,72.55,71.5,72.96,71.34,4191684,1.87,72.43
20240912,71.22,70.7,71.23,69.82,3960298,0.76,70.79
20240911,70.68,70.12,70.96,68.41,2650872,0.48,70.12
20240910,70.34,70.42,70.53,69.39,3714079,2.54,70.03
20240909,68.6,68.39,69.13,68.03,3857535,1.12,68.65
20240906,67.84,69.57,70.32,67.68,3831543,-2.22,68.17
20240905,69.38,70.13,70.91,68.79,3627543,-0.94,69.36
20240904,70.04,70.63,71.1,69.77,3000703,-1.02,70.32
20240903,70.76,72.75,73.06,70.37,2417139,-2.87,71.0
20240830,72.85,71.5,72.96,71.25,2673935,2.49,72.42
20240829,71.08,71.23,71.92,70.64,2053511,0.41,71.33
20240828,70.79,71.47,71.55,70.48,3438457,-0.92,70.93
20240827,71.45,71.11,71.51,70.74,2220870,0.0,71.21
20240826,71.45,71.51,71.79,71.02,4822895,0.29,71.43
20240823,71.24,71.11,71.56,70.71,3038950,0.91,71.13
20240822,70.6,70.71,71.02,70.07,3006919,0.07,70.61
20240821,70.55,70.69,71.06,70.32,5098367,0.36,70.6
20240820,70.3,70.5,70.7,70.1,1782026,-0.33,70.31
20240819,70.53,69.71,70.63,69.45,2881787,1.66,70.36
20240816,69.38,69.58,69.85,69.05,3266245,-0.54,69.32
20240815,69.76,69.34,69.96,68.95,3044016,1.84,69.56
20240814,68.5,68.03,69.03,67.99,3150127,1.0,68.51
20240813,67.82,67.27,68.34,67.12,3693344,1.89,67.78
20240812,66.56,67.47,67.79,66.4,4415938,-1.61,66.79
20240809,67.65,67.77,68.07,66.98,2700567,-0.18,67.51
20240808,67.77,66.37,68.05,66.16,6298430,3.06,67.25
20240807,65.76,67.51,68.69,65.69,4549461,-1.41,66.5
20240806,66.7,65.78,67.73,65.61,3284446,1.51,66.84
20240805,65.71,65.6,66.12,64.31,5964442,-2.54,65.47
20240802,67.42,69.0,69.08,66.87,8784602,-4.14,67.52
20240801,70.33,71.79,72.97,69.91,5970402,-1.69,70.56
20240731,71.54,75.0,75.36,70.72,13980071,3.64,72.37
20240730,69.03,69.36,69.98,68.98,4019179,-0.39,69.27
20240729,69.3,68.92,69.63,68.85,2887587,0.77,69.29
20240726,68.77,67.85,69.23,67.71,4756168,3.07,68.82
20240725,66.72,67.55,68.03,66.58,5817371,-1.21,67.11
