trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,34.1,34.15,33.62,34.0,6040461,-0.32,33.89
2023-01-04,34.27,34.31,33.79,34.28,6617445,0.82,34.11
2023-01-05,34.0,34.18,33.87,33.94,7552320,-0.99,34.03
2023-01-06,34.2,35.0,34.12,34.87,8038625,2.74,34.79
2023-01-09,34.8,35.16,34.63,34.65,4344137,-0.63,34.84
2023-01-10,34.62,34.79,34.14,34.33,4133863,-0.92,34.34
2023-01-11,34.57,34.61,34.17,34.4,7269676,0.2,34.37
2023-01-12,34.28,34.38,33.94,34.21,5248641,-0.55,34.2
2023-01-13,34.16,34.36,34.0,34.33,5821172,0.35,34.2
2023-01-17,34.5,34.71,34.28,34.37,7441891,0.12,34.41
2023-01-18,34.37,34.41,33.5,33.6,6287012,-2.24,33.79
2023-01-19,33.52,33.59,33.03,33.05,11358309,-1.64,33.23
2023-01-20,32.97,33.44,32.89,33.38,7148836,1.0,33.19
2023-01-23,33.37,33.61,33.22,33.36,4860777,-0.06,33.39
2023-01-24,33.36,33.68,32.99,33.64,7954684,0.84,33.48
2023-01-25,33.58,33.65,33.27,33.62,4943574,-0.06,33.51
2023-01-26,33.58,33.7,33.33,33.6,5555012,-0.06,33.58
2023-01-27,33.52,33.56,33.21,33.37,6367168,-0.68,33.39
2023-01-30,33.37,33.82,33.24,33.39,4571363,0.06,33.51
2023-01-31,33.73,33.95,33.43,33.93,5887738,1.62,33.78
2023-02-01,33.86,34.24,33.61,33.99,4645688,0.18,33.94
2023-02-02,33.86,33.95,33.51,33.86,6256609,-0.38,33.83
2023-02-03,33.9,33.97,33.19,33.81,7050797,-0.15,33.64
2023-02-06,33.8,33.95,33.63,33.87,6003293,0.18,33.82
2023-02-07,33.64,33.91,33.39,33.86,5858567,-0.03,33.69
2023-02-08,33.78,33.86,33.47,33.54,4687383,-0.95,33.61
2023-02-09,33.85,33.99,33.5,33.54,5883949,0.0,33.64
2023-02-10,33.7,33.99,33.37,33.93,9337418,1.16,33.82
2023-02-13,33.99,34.3,33.88,34.3,4040177,1.09,34.11
2023-02-14,34.24,34.28,33.82,34.04,8663590,-0.76,34.02
2023-02-15,33.99,34.37,33.89,34.34,6004961,0.88,34.23
2023-02-16,34.33,34.63,34.02,34.53,8732965,0.55,34.48
2023-02-17,34.53,34.58,34.2,34.31,7953309,-0.64,34.34
2023-02-21,34.26,34.33,33.79,34.19,7087711,-0.35,34.14
2023-02-22,34.3,34.67,34.3,34.41,8021285,0.64,34.49
2023-02-23,34.41,34.85,33.82,34.73,6437949,0.93,34.55
2023-02-24,34.53,34.55,34.1,34.42,5762117,-0.89,34.39
2023-02-27,34.51,34.54,33.92,34.02,12114864,-1.16,34.21
2023-02-28,33.11,33.52,33.04,33.23,21571364,-2.32,33.28
2023-03-01,33.1,33.1,32.71,32.88,8861746,-1.05,32.86
2023-03-02,33.15,33.33,32.89,33.26,8231273,1.16,33.19
2023-03-03,33.24,33.36,32.97,33.23,8223988,-0.09,33.22
2023-03-06,33.22,33.61,33.12,33.49,6975891,0.78,33.43
2023-03-07,33.5,33.68,33.22,33.5,6903582,0.03,33.44
2023-03-08,33.48,33.75,33.29,33.45,6891457,-0.15,33.52
2023-03-09,33.56,33.75,33.19,33.24,6029613,-0.63,33.42
2023-03-10,33.33,33.4,32.78,33.01,6530141,-0.69,33.0
2023-03-13,33.08,33.57,32.92,32.94,7907402,-0.21,33.17
2023-03-14,33.04,33.34,32.93,33.31,6526332,1.12,33.2
2023-03-15,33.21,33.65,33.1,33.59,8896762,0.84,33.42
2023-03-16,33.53,33.87,33.46,33.76,8904820,0.51,33.72
2023-03-17,33.69,33.93,33.47,33.53,15595180,-0.68,33.61
2023-03-20,33.93,33.93,33.54,33.87,8142223,1.01,33.78
2023-03-21,33.92,33.99,33.57,33.81,12071075,-0.18,33.77
2023-03-22,33.72,34.0,33.31,33.35,9456672,-1.36,33.65
2023-03-23,33.23,33.36,32.75,32.81,11424344,-1.62,32.98
2023-03-24,32.96,33.61,32.86,33.54,8625152,2.22,33.42
2023-03-27,33.66,34.05,33.65,33.76,9291949,0.66,33.83
2023-03-28,33.86,33.95,33.73,33.8,7743453,0.12,33.83
2023-03-29,33.93,33.99,33.82,33.94,6616274,0.41,33.9
2023-03-30,34.05,34.11,33.9,33.98,8181102,0.12,33.98
2023-03-31,34.25,34.26,34.02,34.13,11182883,0.44,34.13
2023-04-03,34.17,34.37,34.03,34.23,8911629,0.29,34.26
2023-04-04,34.26,34.29,34.09,34.2,6453977,-0.09,34.19
2023-04-05,34.34,34.72,34.2,34.24,12154079,0.12,34.36
2023-04-06,34.27,34.72,34.27,34.47,8511688,0.67,34.51
2023-04-10,34.34,34.35,33.95,34.08,6801813,-1.13,34.08
2023-04-11,34.12,34.25,34.0,34.1,5616938,0.06,34.14
2023-04-12,34.02,34.29,33.93,34.06,7503797,-0.12,34.1
2023-04-13,34.04,34.16,33.7,34.09,6089809,0.09,33.96
2023-04-14,33.88,34.21,33.86,33.95,6577055,-0.41,33.98
2023-04-17,34.11,34.26,34.0,34.23,5871727,0.82,34.18
2023-04-18,34.29,34.29,33.85,34.23,5223313,0.0,34.11
2023-04-19,34.34,34.44,34.16,34.19,5794602,-0.12,34.27
2023-04-20,34.21,34.48,34.07,34.37,5106348,0.53,34.33
2023-04-21,34.51,34.58,34.1,34.15,7459848,-0.64,34.22
2023-04-24,34.24,34.44,34.14,34.2,7346012,0.15,34.26
2023-04-25,34.14,34.81,34.11,34.72,10945950,1.52,34.67
2023-04-26,34.38,34.63,34.33,34.34,8548840,-1.09,34.45
2023-04-27,33.5,33.52,31.85,32.44,17056868,-5.53,32.48
2023-04-28,32.36,32.5,31.23,31.63,19267071,-2.5,31.62
2023-05-01,31.59,31.89,31.47,31.5,9019031,-0.41,31.63
2023-05-02,31.34,31.48,30.86,31.48,12960356,-0.06,31.23
2023-05-03,31.35,32.01,31.18,31.72,13047891,0.76,31.75
2023-05-04,31.63,31.8,31.27,31.43,9702234,-0.91,31.42
2023-05-05,31.58,32.22,31.53,32.14,11869790,2.26,31.98
2023-05-08,32.09,32.14,31.7,31.78,7797699,-1.12,31.8
2023-05-09,31.77,31.82,31.55,31.64,6139414,-0.44,31.65
2023-05-10,31.6,31.8,31.26,31.52,6270727,-0.38,31.53
2023-05-11,31.42,31.52,31.27,31.37,6421734,-0.48,31.39
2023-05-12,31.33,31.62,31.33,31.6,9123020,0.73,31.56
2023-05-15,31.68,31.74,31.2,31.3,5532695,-0.95,31.32
2023-05-16,31.28,31.28,30.8,30.82,6447262,-1.53,30.92
2023-05-17,30.85,31.11,30.69,31.07,7575098,0.81,30.94
2023-05-18,30.81,30.91,30.6,30.83,5969531,-0.77,30.75
2023-05-19,30.95,31.04,30.73,30.79,4508199,-0.13,30.83
2023-05-22,30.91,30.96,30.59,30.87,7028652,0.26,30.78
2023-05-23,31.01,31.02,30.82,30.97,6309652,0.32,30.95
2023-05-24,31.0,31.08,30.66,30.88,10550008,-0.29,30.87
2023-05-25,30.53,30.67,30.25,30.52,9500445,-1.17,30.52
2023-05-26,30.4,30.63,30.19,30.38,13065325,-0.46,30.38
2023-05-30,30.26,30.54,29.86,29.99,11161879,-1.28,30.09
2023-05-31,30.11,30.23,29.69,30.1,21178879,0.37,30.06
2023-06-01,30.3,30.3,30.01,30.15,7627043,0.17,30.13
2023-06-02,30.26,30.48,30.13,30.42,7180078,0.9,30.35
2023-06-05,30.5,30.81,30.27,30.29,5118277,-0.43,30.46
2023-06-06,29.87,30.15,29.79,30.06,12374860,-0.76,30.01
2023-06-07,30.0,30.33,29.79,30.29,10559133,0.77,30.17
2023-06-08,30.24,30.4,30.14,30.38,9675211,0.3,30.29
2023-06-09,30.29,30.32,30.15,30.29,6253848,-0.3,30.27
2023-06-12,30.28,30.31,29.97,30.21,16031012,-0.26,30.08
2023-06-13,30.24,30.53,30.13,30.49,10548375,0.93,30.41
2023-06-14,30.6,30.81,30.54,30.72,11167704,0.75,30.7
2023-06-15,30.94,30.94,30.67,30.72,14698805,0.0,30.8
2023-06-16,30.81,31.22,30.62,31.12,15546598,1.3,31.07
2023-06-21,30.89,31.0,30.49,30.7,8777785,-0.62,30.75
2023-06-22,30.85,30.98,30.69,30.88,10435684,0.59,30.86
2023-06-23,30.91,30.94,30.08,30.16,12388543,-2.33,30.28
2023-06-26,30.13,30.17,29.87,30.1,6104399,-0.2,30.06
2023-06-27,30.1,30.29,30.04,30.23,6715805,0.43,30.19
2023-06-28,30.08,30.08,29.71,29.89,6315363,-1.12,29.86
2023-06-29,29.76,29.97,29.67,29.95,9003180,0.2,29.87
2023-06-30,30.06,30.49,30.01,30.44,7932805,1.64,30.34
2023-07-03,30.42,30.65,30.34,30.64,3517233,0.66,30.58
2023-07-05,30.59,30.92,30.41,30.91,7314649,0.88,30.78
2023-07-06,31.36,31.58,31.17,31.35,16423309,1.42,31.4
2023-07-07,31.18,31.24,30.88,30.92,9743598,-1.37,31.03
2023-07-10,30.63,30.9,30.6,30.63,14525227,-0.94,30.68
2023-07-11,30.74,30.74,30.46,30.56,8589828,-0.23,30.56
2023-07-12,30.65,30.8,30.42,30.44,8681590,-0.39,30.57
2023-07-13,30.47,30.72,30.42,30.68,7415238,0.79,30.64
2023-07-14,30.72,30.94,30.42,30.82,7371332,0.46,30.77
2023-07-17,30.8,31.05,30.64,30.77,5706797,-0.16,30.85
