trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,58.06,58.72,57.77,58.26,870068,0.45,58.17
2023-01-04,58.68,59.42,58.5,58.93,787552,1.15,59.0
2023-01-05,58.74,58.9,58.23,58.87,710590,-0.1,58.69
2023-01-06,59.35,60.2,59.35,60.13,699057,2.14,59.99
2023-01-09,60.07,60.07,58.6,58.64,799894,-2.48,59.0
2023-01-10,58.68,58.91,58.36,58.71,703203,0.12,58.69
2023-01-11,58.81,59.51,58.66,59.49,602905,1.33,59.22
2023-01-12,59.79,59.84,59.43,59.54,627490,0.08,59.62
2023-01-13,59.14,59.94,59.05,59.88,515347,0.57,59.74
2023-01-17,59.94,59.94,58.92,59.01,654257,-1.45,59.26
2023-01-18,59.04,59.25,58.02,58.14,847079,-1.47,58.42
2023-01-19,57.77,58.13,57.54,57.74,762810,-0.69,57.8
2023-01-20,57.87,58.64,57.2,58.63,775859,1.54,58.23
2023-01-23,58.78,59.4,58.52,59.24,505396,1.04,59.08
2023-01-24,59.28,59.98,59.01,59.89,598715,1.1,59.69
2023-01-25,59.67,60.29,59.52,60.25,482745,0.6,60.03
2023-01-26,60.32,60.84,60.22,60.8,504683,0.91,60.65
2023-01-27,60.62,60.93,60.2,60.64,526124,-0.26,60.64
2023-01-30,60.47,61.11,60.04,60.08,470199,-0.92,60.3
2023-01-31,60.15,61.14,59.7,61.13,729413,1.75,60.79
2023-02-01,60.49,60.8,59.72,60.2,776687,-1.52,60.22
2023-02-02,60.06,60.25,58.99,59.84,1044248,-0.6,59.77
2023-02-03,59.76,59.95,59.38,59.76,1033383,-0.13,59.64
2023-02-06,59.77,61.43,59.57,61.09,1142689,2.23,60.76
2023-02-07,60.7,62.65,60.7,62.39,946204,2.13,61.86
2023-02-08,62.06,62.37,61.71,61.71,898989,-1.09,61.95
2023-02-09,61.96,62.88,61.37,61.4,917420,-0.5,61.75
2023-02-10,61.37,61.88,61.11,61.82,891656,0.68,61.64
2023-02-13,61.64,62.33,61.58,62.22,745348,0.65,62.15
2023-02-14,62.05,62.33,61.37,61.43,892215,-1.27,61.69
2023-02-15,61.11,61.91,60.8,61.8,3252836,0.6,61.17
2023-02-16,61.53,61.93,61.0,61.31,517593,-0.79,61.52
2023-02-17,61.28,61.28,60.77,61.16,639799,-0.24,61.11
2023-02-21,61.35,61.35,60.25,60.5,563568,-1.08,60.5
2023-02-22,60.26,60.81,60.14,60.36,383305,-0.23,60.41
2023-02-23,60.52,60.84,60.07,60.42,647670,0.1,60.45
2023-02-24,60.02,60.86,59.56,60.8,702694,0.63,60.58
2023-02-27,61.11,61.37,60.53,60.62,449317,-0.3,60.75
2023-02-28,60.7,61.07,60.65,60.81,1396528,0.31,60.85
2023-03-01,60.47,61.11,60.46,60.96,521259,0.25,60.91
2023-03-02,60.76,61.15,60.45,61.15,704569,0.31,60.95
2023-03-03,61.23,61.51,60.73,61.47,500646,0.52,61.31
2023-03-06,61.57,61.82,60.99,61.04,911181,-0.7,61.21
2023-03-07,60.93,61.08,59.43,59.45,916975,-2.6,59.81
2023-03-08,59.55,59.92,58.52,58.58,772514,-1.46,58.92
2023-03-09,58.65,58.95,57.7,57.9,829307,-1.16,58.24
2023-03-10,57.47,57.79,56.73,57.08,1044973,-1.42,57.17
2023-03-13,55.9,56.09,54.86,55.28,1079114,-3.15,55.48
2023-03-14,56.58,56.8,55.48,56.02,1094447,1.34,56.01
2023-03-15,54.38,54.86,53.27,54.06,1262714,-3.5,53.88
2023-03-16,53.67,55.92,53.32,55.61,1455380,2.87,55.25
2023-03-17,55.33,55.33,53.27,53.34,2776292,-4.08,53.66
2023-03-20,53.8,55.28,53.76,55.0,1157546,3.11,54.95
2023-03-21,56.12,56.28,55.67,55.76,1176548,1.38,55.89
2023-03-22,55.74,55.94,54.17,54.19,1064816,-2.82,54.95
2023-03-23,54.03,54.43,53.24,53.53,990644,-1.22,53.78
2023-03-24,52.89,54.39,52.6,54.31,1061103,1.46,53.96
2023-03-27,55.1,55.63,54.78,55.36,1240111,1.93,55.36
2023-03-28,55.17,55.64,55.03,55.62,936921,0.47,55.46
2023-03-29,56.35,56.65,56.23,56.63,1065454,1.82,56.54
2023-03-30,56.76,57.05,56.53,57.03,850929,0.71,56.86
2023-03-31,57.41,57.87,57.32,57.75,1295918,1.26,57.69
2023-04-03,57.78,58.33,57.28,57.32,1008178,-0.74,57.52
2023-04-04,57.5,57.52,55.59,55.95,839831,-2.39,56.01
2023-04-05,55.5,56.11,55.34,55.96,690632,0.02,55.89
2023-04-06,56.11,56.32,55.62,56.12,591466,0.29,56.06
2023-04-10,56.05,56.41,55.98,56.19,668421,0.12,56.18
2023-04-11,56.31,56.88,56.17,56.61,689220,0.75,56.61
2023-04-12,56.78,57.05,56.16,56.33,572681,-0.49,56.39
2023-04-13,55.93,56.48,55.81,56.45,595614,0.21,56.37
2023-04-14,56.72,56.87,55.62,55.98,503429,-0.83,56.07
2023-04-17,55.87,56.97,55.63,56.93,673450,1.7,56.64
2023-04-18,56.97,57.3,56.6,57.24,754421,0.54,57.09
2023-04-19,57.2,57.49,57.11,57.22,431485,-0.03,57.25
2023-04-20,57.2,57.23,56.54,56.85,480581,-0.65,56.84
2023-04-21,56.68,56.69,55.63,56.18,475211,-1.18,56.14
2023-04-24,56.29,56.59,56.11,56.37,425898,0.34,56.36
2023-04-25,55.91,56.07,55.56,55.85,722905,-0.92,55.83
2023-04-26,55.44,56.03,55.05,55.44,1101512,-0.73,55.5
2023-04-27,55.49,56.61,55.38,56.6,612933,2.09,56.27
2023-04-28,56.53,57.65,56.53,57.3,961202,1.24,57.37
2023-05-01,59.08,60.01,57.73,59.85,1183464,4.45,59.64
2023-05-02,59.52,59.61,57.87,58.74,744162,-1.85,58.69
2023-05-03,59.06,59.2,58.11,58.15,701213,-1.0,58.48
2023-05-04,57.93,58.23,57.28,57.81,668629,-0.58,57.8
2023-05-05,58.51,59.14,58.27,58.35,498618,0.93,58.49
2023-05-08,58.5,58.75,58.33,58.54,792997,0.33,58.54
2023-05-09,58.4,58.74,58.22,58.35,730214,-0.32,58.45
2023-05-10,58.59,58.73,57.44,58.22,662380,-0.22,58.04
2023-05-11,57.91,58.14,57.55,58.13,817250,-0.15,57.98
2023-05-12,58.66,58.84,57.75,58.24,427134,0.19,58.18
2023-05-15,58.58,58.58,57.97,58.11,499631,-0.22,58.17
2023-05-16,58.0,58.13,57.49,57.56,516224,-0.95,57.7
2023-05-17,57.8,58.28,57.59,57.97,690039,0.71,57.96
2023-05-18,57.87,58.63,57.6,58.6,517363,1.09,58.31
2023-05-19,59.02,59.32,58.32,58.53,558373,-0.12,58.63
2023-05-22,58.55,58.72,57.83,58.41,515379,-0.21,58.4
2023-05-23,58.11,58.49,57.63,57.7,689076,-1.22,57.94
2023-05-24,57.39,57.61,56.89,56.96,798667,-1.28,57.08
2023-05-25,56.75,57.02,56.32,56.77,647568,-0.33,56.74
2023-05-26,56.77,57.18,56.48,56.9,800842,0.23,56.85
2023-05-30,56.66,57.28,56.53,57.19,575966,0.51,57.06
2023-05-31,56.87,57.08,55.74,55.8,3131919,-2.43,55.92
2023-06-01,56.08,56.57,55.88,56.19,1184861,0.7,56.21
2023-06-02,56.65,57.93,56.39,57.81,736572,2.88,57.71
2023-06-05,58.33,58.62,57.84,58.26,1192740,0.78,58.35
2023-06-06,58.32,58.76,58.17,58.42,651480,0.27,58.46
2023-06-07,58.43,59.71,58.25,59.51,620111,1.87,59.3
2023-06-08,59.44,59.59,58.59,59.11,536785,-0.67,59.04
2023-06-09,58.95,59.38,58.6,59.13,470654,0.03,59.13
2023-06-12,58.89,59.26,58.41,58.67,617456,-0.78,58.72
2023-06-13,58.73,59.58,58.46,59.04,625926,0.63,59.1
2023-06-14,59.23,59.4,57.65,57.91,814447,-1.91,58.26
2023-06-15,57.9,58.64,57.72,58.63,914924,1.24,58.43
2023-06-16,59.0,59.06,58.27,58.36,2988284,-0.46,58.47
2023-06-21,57.59,58.38,57.29,58.02,688773,0.24,58.09
2023-06-22,58.19,58.21,57.72,58.01,580364,-0.02,57.95
2023-06-23,57.57,58.0,57.34,57.69,1098289,-0.55,57.7
2023-06-26,57.76,58.42,57.53,58.11,766517,0.73,58.13
2023-06-27,58.26,58.94,58.18,58.74,450467,1.08,58.68
2023-06-28,58.44,58.44,57.79,58.01,691859,-1.24,57.98
2023-06-29,58.05,59.06,58.0,58.9,775343,1.53,58.84
2023-06-30,59.21,59.57,58.98,59.17,619811,0.46,59.25
2023-07-03,58.99,59.95,58.99,59.51,308961,0.57,59.58
2023-07-05,59.03,59.54,58.6,59.46,686753,-0.08,59.34
2023-07-06,59.04,59.87,58.97,59.74,585528,0.47,59.56
2023-07-07,59.57,60.97,59.36,60.23,1176603,0.82,60.35
2023-07-10,60.05,60.46,59.28,59.33,751874,-1.49,59.64
2023-07-11,59.44,60.34,59.44,60.32,560347,1.67,60.13
2023-07-12,60.81,61.0,60.08,60.23,681002,-0.15,60.39
2023-07-13,59.53,60.46,59.53,60.27,511252,0.07,60.26
2023-07-14,60.41,60.41,59.16,59.23,739359,-1.73,59.33
2023-07-17,59.24,60.33,59.24,59.89,400489,1.11,60.0
2023-07-18,59.71,60.59,59.69,60.12,548793,0.38,60.16
2023-07-19,60.04,60.66,60.03,60.42,613107,0.5,60.37
2023-07-20,60.84,61.64,60.65,61.6,440538,1.95,61.35
2023-07-21,61.8,61.8,61.26,61.28,437084,-0.52,61.38
2023-07-24,61.09,61.57,60.95,61.26,341241,-0.03,61.29
2023-07-25,61.26,61.26,60.76,60.78,432003,-0.78,60.86
2023-07-26,60.99,61.67,60.99,61.41,397186,1.04,61.4
2023-07-27,61.73,62.09,61.2,61.82,652233,0.67,61.85
2023-07-28,62.54,62.54,61.87,61.97,506562,0.24,62.04
2023-07-31,62.95,63.7,62.25,62.42,758846,0.73,62.55
2023-08-01,62.45,62.76,61.88,62.73,546228,0.5,62.53
2023-08-02,62.47,63.2,62.3,62.64,502477,-0.14,62.69
2023-08-03,62.58,63.35,62.19,63.09,543662,0.72,63.0
2023-08-04,63.27,63.6,62.57,62.69,629745,-0.63,63.0
2023-08-07,63.13,63.64,63.05,63.27,541705,0.93,63.29
2023-08-08,62.75,63.46,62.5,63.38,543307,0.17,63.2
2023-08-09,63.33,63.65,62.85,62.94,502640,-0.69,63.12
2023-08-10,63.33,63.69,62.57,62.71,685529,-0.37,62.89
2023-08-11,62.69,63.21,62.35,63.19,427749,0.77,63.03
2023-08-14,63.08,63.08,62.3,62.71,880497,-0.76,62.6
2023-08-15,62.25,62.38,61.95,62.19,504124,-0.83,62.19
2023-08-16,62.2,62.71,62.2,62.28,587208,0.14,62.4
2023-08-17,62.69,62.69,61.4,61.45,577421,-1.33,61.76
2023-08-18,61.25,61.66,61.22,61.43,1012837,-0.03,61.44
2023-08-21,61.58,61.8,61.2,61.54,569765,0.18,61.51
2023-08-22,61.49,61.85,61.17,61.22,416112,-0.52,61.29
2023-08-23,61.24,61.81,61.24,61.8,484184,0.95,61.66
2023-08-24,61.57,62.49,61.57,61.93,446491,0.21,62.05
2023-08-25,61.98,62.2,61.53,61.9,354130,-0.05,61.93
2023-08-28,61.97,62.53,61.69,62.07,404295,0.27,62.02
2023-08-29,62.25,62.25,61.59,62.11,482944,0.06,62.02
2023-08-30,62.14,62.48,61.87,61.9,399757,-0.34,62.01
2023-08-31,62.17,62.18,61.55,61.93,966519,0.05,61.9
2023-09-01,62.42,62.59,62.12,62.14,471381,0.34,62.24
2023-09-05,61.97,62.75,61.57,61.57,880789,-0.92,61.84
2023-09-06,61.31,61.83,61.13,61.56,754882,-0.02,61.61
2023-09-07,61.82,62.12,61.58,61.89,1489691,0.54,61.93
2023-09-08,61.93,62.65,61.79,62.27,841429,0.61,62.31
2023-09-11,62.65,63.22,62.61,62.73,762698,0.74,62.82
2023-09-12,62.87,63.87,62.81,63.84,866594,1.77,63.65
2023-09-13,64.15,64.18,63.63,63.64,1369234,-0.31,63.75
2023-09-14,64.16,64.53,63.91,64.37,955582,1.15,64.32
2023-09-15,63.93,64.65,63.79,64.08,2695999,-0.45,64.12
2023-09-18,64.24,64.46,63.83,64.39,763317,0.48,64.34
2023-09-19,64.6,65.14,64.4,64.91,926583,0.81,64.89
2023-09-20,64.99,65.22,64.75,64.8,703282,-0.17,64.93
2023-09-21,64.66,64.79,63.95,64.02,960114,-1.2,64.15
2023-09-22,64.0,64.73,63.94,64.33,848392,0.48,64.33
2023-09-25,63.98,64.6,63.9,64.52,526818,0.3,64.43
2023-09-26,64.26,64.61,63.65,63.75,1061385,-1.19,63.93
2023-09-27,63.95,63.97,63.25,63.63,799872,-0.19,63.62
2023-09-28,63.81,64.24,63.6,63.72,931153,0.14,63.86
2023-09-29,63.73,63.74,62.87,63.14,922755,-0.91,63.19
2023-10-02,63.01,63.04,61.65,62.14,913350,-1.58,62.13
2023-10-03,61.97,62.63,61.45,61.66,834806,-0.77,61.78
