trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,102.28,102.8,100.51,102.53,687881,-0.46,101.95
2023-01-04,102.2,103.01,101.38,102.19,786313,-0.33,102.33
2023-01-05,101.94,103.64,101.22,101.84,836273,-0.34,102.06
2023-01-06,102.56,104.74,102.1,102.76,613700,0.9,103.0
2023-01-09,102.73,103.24,97.8,98.24,1236214,-4.4,99.21
2023-01-10,98.44,98.85,97.74,97.89,601058,-0.36,98.1
2023-01-11,97.8,97.94,97.23,97.55,878583,-0.35,97.61
2023-01-12,97.41,97.94,96.29,96.65,1170593,-0.92,97.04
2023-01-13,95.59,96.66,95.31,96.3,931566,-0.36,96.23
2023-01-17,96.86,97.04,95.74,95.8,743780,-0.52,96.33
2023-01-18,95.74,96.38,93.54,93.55,1929059,-2.35,93.9
2023-01-19,93.51,94.13,92.58,92.6,706529,-1.02,93.23
2023-01-20,92.66,94.55,92.15,94.06,727048,1.58,93.77
2023-01-23,94.44,94.68,93.77,94.36,538271,0.32,94.28
2023-01-24,94.7,95.73,94.18,95.27,994326,0.96,95.26
2023-01-25,94.97,96.2,94.52,96.1,971711,0.87,95.87
2023-01-26,96.69,96.69,95.45,95.74,583656,-0.37,95.86
2023-01-27,95.74,95.93,93.86,94.48,705895,-1.32,94.51
2023-01-30,95.04,96.39,94.9,95.28,834350,0.85,95.43
2023-01-31,95.68,96.78,95.18,96.78,1197898,1.57,96.27
2023-02-01,96.57,97.09,95.46,95.79,752875,-1.02,96.05
2023-02-02,94.99,96.34,94.56,95.89,659337,0.1,95.88
2023-02-03,96.06,96.48,95.08,96.01,515378,0.13,95.92
2023-02-06,96.19,97.19,95.93,96.29,605462,0.29,96.29
2023-02-07,96.14,97.15,95.0,96.93,676556,0.66,96.3
2023-02-08,96.4,97.34,96.22,96.9,629306,-0.03,96.9
2023-02-09,97.01,97.31,95.8,95.91,812451,-1.02,96.16
2023-02-10,96.16,98.73,96.16,98.72,844863,2.93,98.07
2023-02-13,98.79,100.14,97.98,98.61,1127138,-0.11,98.75
2023-02-14,96.59,98.09,92.99,93.26,1805280,-5.43,94.36
2023-02-15,92.42,96.0,91.42,95.9,1259605,2.83,94.73
2023-02-16,95.36,97.81,95.36,97.36,322766,1.52,97.21
2023-02-17,97.73,99.49,97.42,99.13,1282069,1.82,98.89
2023-02-21,99.16,99.71,97.83,97.92,1408372,-1.22,98.28
2023-02-22,97.95,98.99,97.35,98.05,808854,0.13,98.3
2023-02-23,98.04,99.26,97.18,97.49,977108,-0.57,97.8
2023-02-24,96.56,97.62,96.56,97.21,579444,-0.29,97.16
