trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,195.44,196.23,191.22,193.07,2602208,-0.1,192.95
2023-01-04,195.38,196.28,191.58,195.35,2507434,1.18,194.75
2023-01-05,193.32,195.39,191.55,194.74,1942252,-0.31,194.11
2023-01-06,194.71,195.73,188.61,194.94,3121509,0.1,193.2
2023-01-09,196.34,198.0,193.36,193.45,2748474,-0.76,195.49
2023-01-10,193.92,195.62,192.58,195.36,2200918,0.99,194.15
2023-01-11,196.09,202.46,196.08,202.33,2780964,3.57,200.97
2023-01-12,203.95,205.22,200.39,203.95,2690152,0.8,203.74
2023-01-13,201.57,207.15,201.57,205.79,3875862,0.9,205.9
2023-01-17,205.8,208.53,202.97,203.23,2943807,-1.24,204.36
2023-01-18,204.4,207.75,201.86,202.24,3575106,-0.49,204.05
2023-01-19,201.28,201.66,195.15,196.06,3508807,-3.06,196.85
2023-01-20,195.32,198.84,192.7,198.39,3517607,1.19,195.92
2023-01-23,197.41,200.7,195.73,198.95,3473698,0.28,198.94
2023-01-24,197.54,201.41,197.54,201.25,2862499,1.16,200.58
2023-01-25,199.4,201.13,196.79,200.95,2283441,-0.15,199.87
2023-01-26,199.24,203.55,196.59,196.76,3426079,-2.09,198.44
2023-01-27,196.41,198.33,195.42,197.42,2907889,0.34,197.01
2023-01-30,196.92,199.44,196.12,196.86,2786376,-0.28,197.68
2023-01-31,198.16,203.12,197.43,203.04,3415828,3.14,201.27
2023-02-01,202.26,209.76,199.28,208.22,3363932,2.55,204.49
2023-02-02,210.64,217.72,210.58,216.02,4156770,3.75,215.42
2023-02-03,211.71,212.93,209.44,210.57,3047868,-2.52,210.62
2023-02-06,208.89,211.41,208.7,210.47,2380640,-0.05,210.29
2023-02-07,207.56,210.18,205.15,209.36,2552300,-0.53,207.83
2023-02-08,208.85,208.85,205.79,207.44,2421051,-0.92,207.15
2023-02-09,209.4,209.85,202.76,203.42,2386806,-1.94,205.37
2023-02-10,202.27,203.7,201.17,203.56,1836457,0.07,202.72
2023-02-13,204.06,208.94,202.24,208.78,2363984,2.56,207.09
2023-02-14,206.72,209.74,205.86,208.41,2316568,-0.18,207.84
2023-02-15,207.04,210.11,205.98,209.65,1851560,0.59,208.85
2023-02-16,204.94,210.66,204.37,208.66,2479039,-0.47,208.69
2023-02-17,207.9,208.36,203.67,207.43,3462070,-0.59,206.14
2023-02-21,200.13,201.72,196.19,196.8,3942873,-5.12,197.57
2023-02-22,196.18,199.32,195.05,197.56,2667375,0.39,197.63
2023-02-23,197.49,198.65,194.15,197.15,2332267,-0.21,196.27
2023-02-24,194.79,197.52,193.49,196.5,2163697,-0.33,195.83
2023-02-27,199.22,201.32,198.35,199.13,2765044,1.34,199.37
2023-02-28,198.88,203.06,198.21,200.6,4391371,0.74,201.21
2023-03-01,200.3,200.49,186.49,189.45,9814301,-5.56,189.99
2023-03-02,187.84,190.56,187.23,190.22,4097297,0.41,189.51
2023-03-03,190.88,195.53,190.18,194.73,3483230,2.37,193.95
2023-03-06,195.29,198.61,195.05,196.53,3160916,0.92,197.16
2023-03-07,197.42,197.42,192.32,192.47,3320205,-2.07,193.74
2023-03-08,193.26,197.02,192.74,196.11,2670533,1.89,195.33
2023-03-09,197.03,198.94,193.57,194.07,2440684,-1.04,196.03
2023-03-10,194.14,196.64,191.18,191.74,2986817,-1.2,193.01
2023-03-13,190.84,196.35,189.86,192.61,3116451,0.45,193.64
2023-03-14,194.41,195.08,188.97,191.9,3909236,-0.37,191.59
2023-03-15,190.94,195.43,189.74,193.62,3794220,0.9,192.07
2023-03-16,192.63,195.07,191.52,194.67,3154009,0.54,194.05
2023-03-17,194.79,196.26,190.89,192.42,7271375,-1.16,192.8
2023-03-20,192.08,192.94,190.52,191.87,2405200,-0.29,191.78
2023-03-21,193.53,193.8,190.3,191.87,2940356,0.0,191.84
2023-03-22,191.96,192.55,186.57,186.78,3275746,-2.65,190.05
2023-03-23,187.9,188.27,183.36,184.94,3346503,-0.99,185.93
2023-03-24,184.03,185.51,182.75,184.72,2692548,-0.12,184.35
2023-03-27,185.31,187.14,184.17,185.76,2488490,0.56,185.83
2023-03-28,185.69,187.62,184.88,185.39,1872337,-0.2,185.63
2023-03-29,186.17,187.19,185.25,187.14,2436492,0.94,186.48
2023-03-30,189.22,190.32,187.49,187.83,2157103,0.37,188.34
2023-03-31,189.23,195.22,188.8,194.97,3151577,3.8,193.35
2023-04-03,196.04,199.12,195.94,198.89,3471080,2.01,197.84
2023-04-04,198.41,199.16,195.73,197.92,2500147,-0.49,197.45
2023-04-05,197.93,198.26,193.68,194.44,2417870,-1.76,194.79
2023-04-06,193.16,194.49,190.61,193.6,2403332,-0.43,193.16
2023-04-10,192.66,196.14,191.3,194.78,2387668,0.61,194.97
2023-04-11,195.96,197.86,195.73,196.3,2458989,0.78,196.62
2023-04-12,198.31,199.59,194.42,194.77,2665419,-0.78,196.68
2023-04-13,194.77,196.79,191.32,196.43,2778705,0.85,195.06
2023-04-14,196.48,198.78,196.07,197.12,2028284,0.35,197.05
2023-04-17,197.43,199.9,197.35,199.87,2420060,1.4,198.89
2023-04-18,201.12,203.41,200.6,202.89,2685246,1.51,202.53
2023-04-19,201.99,203.82,201.1,203.6,2488819,0.35,203.11
2023-04-20,203.26,207.06,203.23,204.51,2948979,0.45,205.05
2023-04-21,206.05,207.18,204.76,205.76,2864183,0.61,205.84
2023-04-24,205.04,206.72,204.83,205.76,2758708,0.0,205.59
2023-04-25,206.74,206.98,201.63,201.73,2723867,-1.96,204.14
2023-04-26,201.35,201.57,196.07,196.75,3409008,-2.47,197.76
2023-04-27,196.58,200.7,196.58,200.41,2498982,1.86,199.13
2023-04-28,200.48,203.69,200.22,203.64,2451890,1.61,202.43
2023-05-01,203.64,204.71,202.96,204.03,2282164,0.19,203.83
2023-05-02,204.3,204.3,199.15,201.82,2201912,-1.08,201.16
2023-05-03,202.22,206.08,201.02,201.17,2386576,-0.32,203.78
2023-05-04,201.11,202.47,197.22,198.71,2375943,-1.22,199.28
2023-05-05,199.94,202.36,199.21,201.66,2495636,1.48,200.97
2023-05-08,201.46,201.97,198.94,199.94,1586594,-0.85,200.22
2023-05-09,199.99,203.01,199.15,202.95,2249984,1.51,201.87
2023-05-10,203.76,204.55,197.91,200.2,2715621,-1.36,200.6
2023-05-11,199.89,200.32,197.77,199.2,3015622,-0.5,198.79
2023-05-12,199.22,200.38,197.2,199.16,2261757,-0.02,198.64
2023-05-15,198.37,198.86,195.33,197.49,2971473,-0.84,196.91
2023-05-16,192.51,195.94,189.69,195.21,4685914,-1.15,194.15
2023-05-17,195.35,203.25,194.75,203.03,3756108,4.01,201.13
2023-05-18,203.32,205.04,201.36,204.95,2275344,0.95,203.61
2023-05-19,204.14,204.32,200.81,202.11,2768457,-1.39,202.37
2023-05-22,202.54,204.17,198.82,199.06,3536961,-1.51,200.1
2023-05-23,198.74,205.52,198.36,202.49,6507461,1.72,203.21
2023-05-24,202.58,204.71,198.03,199.53,2829807,-1.46,199.8
2023-05-25,198.91,199.9,196.85,196.99,3030425,-1.27,198.12
2023-05-26,197.99,202.61,197.16,202.36,3072744,2.73,201.1
2023-05-30,202.83,203.26,199.67,201.56,2534120,-0.4,201.15
2023-05-31,200.01,200.01,195.48,197.08,3894803,-2.22,197.15
2023-06-01,196.91,200.61,193.5,199.81,2764765,1.39,198.48
2023-06-02,201.36,206.06,201.36,205.58,2834616,2.89,204.62
2023-06-05,204.1,204.79,202.11,202.61,2490516,-1.44,203.16
2023-06-06,202.38,204.3,201.49,202.99,2804958,0.19,203.36
2023-06-07,203.81,207.58,203.81,206.95,3334704,1.95,206.24
2023-06-08,207.58,209.48,206.02,206.22,2409775,-0.35,207.17
2023-06-09,207.0,207.23,204.56,204.91,2093011,-0.64,205.39
2023-06-12,205.97,209.54,204.99,209.06,2465152,2.03,208.43
2023-06-13,210.67,213.1,209.78,212.97,3056105,1.87,212.21
2023-06-14,212.42,213.88,209.44,210.53,3080477,-1.15,211.25
2023-06-15,211.45,215.18,211.44,214.52,3186992,1.9,213.97
2023-06-16,214.92,215.06,212.48,212.71,6874356,-0.84,213.23
2023-06-21,211.3,211.46,209.55,209.93,3364501,-0.56,210.23
2023-06-22,209.48,211.03,207.36,210.49,2781938,0.27,209.99
2023-06-23,209.61,212.04,208.81,210.88,3997351,0.19,210.88
2023-06-26,211.61,214.62,211.22,213.57,2392096,1.28,213.44
2023-06-27,214.58,219.48,214.58,219.06,4223484,2.57,218.67
2023-06-28,217.77,219.63,217.09,218.04,3372676,-0.47,218.18
2023-06-29,218.73,219.3,217.35,218.33,3058232,0.13,218.38
2023-06-30,219.59,221.93,219.08,221.15,3633322,1.29,220.81
2023-07-03,220.09,221.5,218.99,220.07,1498445,-0.49,220.49
2023-07-05,219.89,222.38,219.6,220.95,2876405,0.4,220.72
2023-07-06,218.31,219.05,216.82,216.96,3012138,-1.81,217.6
2023-07-07,216.6,219.39,216.28,217.47,2345358,0.24,217.85
2023-07-10,218.62,224.54,218.39,224.5,2536242,3.23,223.01
2023-07-11,226.61,226.61,224.24,224.81,2219693,0.14,225.15
2023-07-12,227.08,230.33,226.44,227.43,2256058,1.17,228.51
2023-07-13,227.88,228.56,223.84,224.92,1882917,-1.1,225.03
2023-07-14,225.32,226.21,223.88,224.13,1536023,-0.35,224.66
2023-07-17,224.1,225.46,222.67,223.38,1951534,-0.33,224.13
2023-07-18,223.16,226.46,221.99,225.28,1858121,0.85,224.99
2023-07-19,224.97,227.55,224.86,226.24,1649635,0.43,226.2
2023-07-20,226.72,226.72,223.82,226.34,1959688,0.04,225.67
2023-07-21,227.77,230.29,227.05,229.07,3348441,1.21,229.13
2023-07-24,229.48,231.06,228.87,229.29,2018959,0.1,229.68
2023-07-25,228.77,230.75,227.6,230.31,1547780,0.44,229.87
2023-07-26,230.07,231.51,229.22,230.44,1720191,0.06,230.35
2023-07-27,232.42,233.52,230.76,231.25,1973004,0.35,231.89
2023-07-28,233.28,233.52,230.81,231.44,1767327,0.08,231.7
2023-07-31,231.43,232.28,229.12,230.63,2614906,-0.35,230.46
