trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,87.53,87.6,84.92,85.6,1990094,-2.36,85.88
2023-01-04,85.6,86.15,84.61,85.83,1946403,0.27,85.49
2023-01-05,93.08,95.04,91.75,94.22,5677742,9.78,93.77
2023-01-06,95.99,98.33,95.09,97.73,3048927,3.73,97.27
2023-01-09,97.03,98.27,96.48,96.8,1710117,-0.95,97.13
2023-01-10,97.17,97.78,95.83,96.2,1304806,-0.62,96.71
2023-01-11,96.53,97.04,94.28,95.4,1591075,-0.83,95.03
2023-01-12,95.7,96.27,94.68,95.23,1116241,-0.18,95.37
2023-01-13,95.51,96.49,94.69,96.31,995196,1.13,95.82
2023-01-17,97.33,98.87,97.14,98.1,1708480,1.86,98.09
2023-01-18,97.8,97.84,94.65,95.26,1548086,-2.9,95.54
2023-01-19,95.02,95.33,93.79,93.83,1080845,-1.5,94.3
2023-01-20,94.47,94.92,93.37,94.74,1934738,0.97,94.36
2023-01-23,95.34,95.5,94.16,94.32,2006947,-0.44,94.59
2023-01-24,94.79,96.28,93.85,95.15,937737,0.88,95.19
2023-01-25,94.73,95.94,94.63,95.91,957759,0.8,95.46
2023-01-26,96.29,96.94,95.18,96.89,1261004,1.02,96.4
2023-01-27,97.1,97.14,95.55,96.45,939428,-0.45,96.37
2023-01-30,96.63,97.08,96.22,96.69,781576,0.25,96.65
2023-01-31,97.14,98.19,96.8,98.0,1696390,1.35,97.76
2023-02-01,97.63,98.33,97.19,97.72,1392618,-0.29,97.76
2023-02-02,96.76,96.8,94.9,95.52,1533299,-2.25,95.77
2023-02-03,95.62,97.16,94.93,96.54,1292195,1.07,96.25
2023-02-06,96.54,98.29,96.49,97.54,996997,1.04,97.48
2023-02-07,96.95,97.58,96.24,97.46,1107444,-0.08,97.13
2023-02-08,97.27,97.75,96.95,97.4,935952,-0.06,97.33
2023-02-09,97.65,98.49,96.42,96.54,1230335,-0.88,96.86
2023-02-10,96.42,97.7,96.18,97.67,1089295,1.17,97.1
2023-02-13,98.07,98.37,97.42,97.99,813522,0.33,97.89
2023-02-14,98.04,98.32,96.99,97.67,935970,-0.33,97.68
2023-02-15,97.51,98.66,96.93,98.5,1761169,0.85,97.66
2023-02-16,97.73,98.86,96.85,98.4,350088,-0.1,98.36
2023-02-17,98.55,99.34,98.42,98.86,1300141,0.47,98.91
2023-02-21,98.96,99.23,98.0,98.71,984861,-0.15,98.72
2023-02-22,99.07,100.57,99.07,99.67,1854619,0.97,99.95
2023-02-23,99.99,100.83,98.44,98.71,984263,-0.96,99.08
2023-02-24,98.29,98.73,97.41,98.37,713919,-0.34,98.3
2023-02-27,98.66,99.42,98.35,99.4,1138922,1.05,99.19
2023-02-28,99.37,99.74,98.88,99.02,1264578,-0.38,99.19
2023-03-01,98.78,99.43,98.31,99.26,1270471,0.24,99.05
2023-03-02,99.55,101.11,98.99,100.65,913212,1.4,100.54
2023-03-03,100.45,100.73,99.93,100.34,872523,-0.31,100.42
2023-03-06,100.15,100.62,99.1,100.35,1365571,0.01,100.06
2023-03-07,100.53,100.84,99.3,99.34,1539318,-1.01,99.73
2023-03-08,99.58,99.72,97.62,98.32,1441736,-1.03,98.3
2023-03-09,98.78,98.78,97.34,97.6,1504998,-0.73,97.89
2023-03-10,97.52,98.01,95.6,96.06,1514410,-1.58,96.39
2023-03-13,95.44,96.76,94.5,94.76,1295884,-1.35,95.37
2023-03-14,95.67,97.13,95.33,97.03,1369859,2.4,96.64
2023-03-15,96.0,96.43,94.9,96.41,1515268,-0.64,95.87
2023-03-16,96.03,97.03,95.37,96.71,1079568,0.31,96.45
2023-03-17,96.24,96.41,95.5,95.74,2661211,-1.0,95.89
2023-03-20,96.22,97.88,95.8,97.48,1537948,1.82,97.32
2023-03-21,98.39,98.88,97.45,98.04,1335887,0.57,97.95
2023-03-22,98.38,98.98,97.54,98.1,1528881,0.06,98.3
2023-03-23,98.19,98.54,96.46,97.19,1123520,-0.93,97.57
