trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,146.71,148.25,143.59,144.84,405506,-1.0,145.13
2023-01-04,145.55,147.77,145.55,147.0,598196,1.49,146.86
2023-01-05,145.35,145.65,141.8,142.6,545930,-2.99,142.86
2023-01-06,143.38,148.24,142.86,147.54,336634,3.46,146.46
2023-01-09,146.27,148.28,144.95,145.16,437879,-1.61,146.33
2023-01-10,144.5,145.57,143.39,144.19,622375,-0.67,144.4
2023-01-11,144.98,150.0,144.98,149.67,758327,3.8,148.38
2023-01-12,150.27,152.52,148.57,150.88,824967,0.81,150.66
2023-01-13,149.21,151.0,148.09,150.34,735820,-0.36,149.7
2023-01-17,150.39,152.33,150.12,151.71,543715,0.91,151.61
2023-01-18,151.87,152.26,148.17,148.26,805032,-2.27,149.73
2023-01-19,147.75,149.98,145.79,145.97,827786,-1.54,147.07
2023-01-20,145.9,146.44,143.52,146.15,1151665,0.12,145.0
2023-01-23,146.28,147.88,144.96,147.81,855473,1.14,147.04
2023-01-24,148.52,152.48,146.66,151.59,940546,2.56,150.69
2023-01-25,150.86,152.83,150.0,152.74,1337476,0.76,152.22
2023-01-26,153.6,154.7,152.45,152.82,572401,0.05,153.28
2023-01-27,152.79,155.96,152.49,155.08,426809,1.48,154.86
2023-01-30,153.64,154.91,151.99,152.07,602071,-1.94,152.96
2023-01-31,151.99,157.05,151.34,156.74,913589,3.07,155.74
2023-02-01,155.57,159.56,155.12,158.36,1301544,1.03,157.08
2023-02-02,158.97,164.41,158.44,163.69,1123830,3.37,162.39
2023-02-03,162.05,162.79,157.35,162.69,1190133,-0.61,161.33
2023-02-06,161.06,163.86,160.63,162.38,1047657,-0.19,162.66
2023-02-07,161.19,164.56,160.02,163.05,876233,0.41,162.59
2023-02-08,162.31,164.38,161.68,164.16,584444,0.68,163.42
2023-02-09,165.01,165.8,160.77,161.27,532112,-1.76,161.93
2023-02-10,160.66,161.63,159.21,161.11,621443,-0.1,160.51
2023-02-13,161.22,163.05,161.22,161.9,543583,0.49,161.87
2023-02-14,161.53,162.87,160.03,160.64,443072,-0.78,160.87
2023-02-15,159.82,160.49,158.73,160.12,607863,-0.32,159.58
2023-02-16,158.29,159.66,156.91,157.94,917415,-1.36,158.24
2023-02-17,158.12,158.53,155.2,158.26,2145592,0.2,157.77
2023-02-21,157.35,157.7,153.99,155.06,420975,-2.02,155.1
2023-02-22,155.65,156.63,153.87,154.93,412355,-0.08,155.11
2023-02-23,156.73,156.73,154.33,155.47,779075,0.35,155.45
2023-02-24,153.91,154.26,152.41,154.11,294933,-0.87,153.63
2023-02-27,155.87,156.0,151.38,151.8,442143,-1.5,152.8
2023-02-28,151.85,153.02,150.45,150.52,898551,-0.84,151.15
2023-03-01,149.47,149.69,145.12,146.27,820013,-2.82,146.35
2023-03-02,145.32,147.9,145.04,147.47,710819,0.82,146.72
2023-03-03,148.61,150.37,148.43,149.92,468816,1.66,149.68
2023-03-06,150.53,151.9,149.5,150.24,502019,0.21,150.37
2023-03-07,150.06,150.12,142.49,142.82,942300,-4.94,144.1
2023-03-08,142.51,147.72,142.51,146.59,838703,2.64,146.3
2023-03-09,146.8,146.88,143.16,143.76,1047074,-1.93,144.51
2023-03-10,143.86,144.33,138.84,140.13,1213290,-2.53,140.82
2023-03-13,139.49,144.57,139.31,142.43,661184,1.64,142.84
2023-03-14,143.68,144.44,141.29,142.34,994040,-0.06,142.26
2023-03-15,141.24,143.08,139.82,141.8,760062,-0.38,141.62
2023-03-16,140.83,141.44,138.2,140.48,847940,-0.93,140.32
2023-03-17,140.0,140.34,136.53,136.59,1025336,-2.77,137.66
2023-03-20,136.62,138.39,135.64,137.79,525900,0.88,137.51
2023-03-21,138.24,138.36,134.25,136.22,1032631,-1.14,135.88
2023-03-22,135.2,136.06,132.25,132.32,726845,-2.86,134.1
2023-03-23,132.56,134.26,131.14,131.61,778909,-0.54,132.42
2023-03-24,130.7,134.85,130.38,134.76,810820,2.39,133.21
2023-03-27,135.75,136.13,134.49,134.62,946605,-0.1,135.08
2023-03-28,133.18,135.46,132.63,134.98,883397,0.27,134.8
2023-03-29,136.36,138.03,136.21,137.97,779356,2.22,137.41
2023-03-30,139.54,140.3,138.91,139.59,686207,1.17,139.48
2023-03-31,139.93,142.12,139.5,142.0,773692,1.73,141.22
2023-04-03,141.4,143.56,139.89,140.85,724071,-0.81,141.14
