trade_date,close,open,high,low,vol,pct_change,vwap
20241231,278.94,280.98,281.2,278.21,740194,-0.49,279.31
20241230,280.31,281.68,282.1,277.49,1018661,-1.18,280.46
20241227,283.66,284.01,286.05,280.78,705278,-1.01,283.12
20241226,286.56,285.01,287.27,284.85,473673,0.06,286.43
20241224,286.39,283.63,286.55,282.76,423922,0.97,285.39
20241223,283.63,283.49,284.16,280.48,907640,-0.12,282.95
20241220,283.96,276.83,286.93,276.81,2618818,1.77,282.95
20241219,279.02,281.2,282.79,278.19,1490454,0.49,279.74
20241218,277.65,289.5,291.25,277.53,1851995,-4.07,282.48
20241217,289.44,288.77,291.32,288.46,1237127,-0.33,289.77
20241216,290.4,287.58,292.07,286.34,963190,1.16,290.39
20241213,287.08,288.61,289.59,286.07,777566,-1.0,287.41
20241212,289.99,292.68,294.01,289.75,1168265,-0.6,292.06
20241211,291.73,289.99,292.96,289.54,839030,1.41,291.64
20241210,287.67,289.01,289.75,285.5,846494,0.24,287.81
20241209,286.97,292.49,293.87,286.28,1053364,-1.92,288.53
20241206,292.59,292.69,295.45,292.34,1007772,0.04,293.45
20241205,292.48,289.96,294.65,289.88,1299577,0.98,292.96
20241204,289.63,286.08,290.01,284.5,944044,1.65,288.2
20241203,284.93,287.21,287.99,283.71,924744,-0.46,284.98
20241202,286.24,288.97,289.94,284.64,1544151,-0.99,286.35
20241129,289.09,285.55,290.43,285.54,702415,1.22,289.04
20241127,285.6,287.88,287.9,284.62,1112800,-0.9,285.61
20241126,288.18,288.8,289.8,286.53,1448836,0.06,287.85
20241125,288.0,286.08,289.63,285.79,1802448,1.3,288.27
20241122,284.29,283.33,284.95,282.88,977503,0.3,284.28
20241121,283.44,281.92,283.82,280.27,941648,1.16,282.97
20241120,280.18,279.55,280.82,278.54,908163,0.33,279.78
20241119,279.27,279.3,280.71,276.28,889968,-0.77,278.98
20241118,281.45,280.59,282.24,278.05,1478986,0.96,281.25
20241115,278.78,281.99,282.47,277.67,1588730,-1.15,279.13
20241114,282.02,286.48,287.51,281.76,1328238,-1.55,283.77
20241113,286.47,284.69,289.04,284.36,1268624,0.16,287.09
20241112,286.02,285.62,287.0,283.71,1140027,0.04,285.65
20241111,285.91,281.07,286.19,281.07,1895358,1.82,285.02
20241108,280.8,277.81,282.8,277.21,1491869,1.12,280.89
20241107,277.68,276.13,278.5,273.86,1454581,0.51,276.99
20241106,276.26,270.11,277.41,268.49,2147931,6.39,275.41
20241105,259.66,254.08,261.07,254.08,1585647,1.26,258.94
20241104,256.43,255.43,256.69,249.55,2200568,-1.59,255.15
20241101,260.57,258.48,263.39,258.43,1462470,0.21,261.15
20241031,260.02,264.26,265.37,259.92,1299730,-1.6,261.1
20241030,264.26,263.67,265.6,263.25,890416,0.14,264.51
20241029,263.89,262.8,265.11,262.28,778919,0.51,264.07
20241028,262.55,264.35,264.6,260.68,1012355,0.16,262.26
20241025,262.12,263.31,265.13,261.36,1124421,0.57,262.84
20241024,260.63,259.97,261.82,257.43,1122535,1.09,260.41
20241023,257.82,260.48,263.0,255.48,1948587,-2.89,258.13
20241022,265.5,264.8,265.89,263.35,1198109,0.2,265.31
20241021,264.97,264.49,266.44,263.26,843781,-0.24,264.87
20241018,265.6,264.57,266.58,263.08,886746,0.39,265.42
20241017,264.57,264.5,265.2,262.29,1163408,0.76,264.27
20241016,262.57,260.43,263.29,259.6,709016,0.76,262.31
20241015,260.58,261.37,263.32,259.5,1237663,-0.37,260.92
20241014,261.56,261.22,263.34,260.42,1139622,-0.41,261.86
20241011,262.63,261.23,264.14,261.05,1084710,0.8,262.83
20241010,260.54,260.89,261.92,259.29,1031710,-0.51,260.5
20241009,261.88,256.29,263.02,256.0,1442306,2.07,261.34
20241008,256.58,255.32,257.34,253.53,1194600,0.56,256.2
20241007,255.16,254.0,255.85,253.07,2292947,0.22,254.88
20241004,254.61,253.28,254.84,252.22,1101536,2.06,253.93
20241003,249.48,246.06,249.67,246.01,935371,0.27,248.64
20241002,248.82,245.29,249.0,244.85,857466,1.11,248.03
20241001,246.08,248.71,249.31,243.1,1381877,-1.01,246.04
20240930,248.6,252.05,253.95,246.46,1619380,-1.75,248.48
20240927,253.04,252.81,254.43,251.67,1236227,0.93,253.12
20240926,250.71,248.17,251.0,246.22,1425230,2.12,249.45
20240925,245.5,247.47,247.62,244.63,937065,-0.76,245.8
20240924,247.38,243.02,247.46,242.85,1225328,2.36,246.0
20240923,241.67,244.85,245.13,241.36,1316724,-1.11,241.99
20240920,244.39,243.9,244.74,240.9,3663555,-0.03,243.93
20240919,244.46,242.97,246.02,242.04,1667565,2.4,244.33
20240918,238.74,238.9,241.73,236.8,1539539,1.33,238.53
20240917,235.61,233.73,236.23,232.76,1004891,1.36,235.06
20240916,232.46,233.07,235.75,231.9,993122,0.31,232.79
20240913,231.74,231.55,232.56,229.67,1010752,0.45,231.49
20240912,230.7,228.8,230.82,227.59,1043842,1.48,229.95
20240911,227.33,225.67,227.78,221.84,1324455,0.74,225.63
20240910,225.67,227.68,229.0,221.95,1742415,-1.28,224.42
20240909,228.59,228.93,230.95,226.54,1829723,0.43,228.79
20240906,227.6,229.47,232.9,227.16,3327121,-0.64,229.02
20240905,229.06,229.73,230.55,226.86,1807530,-0.17,228.61
20240904,229.46,230.0,230.66,228.11,1411186,-0.55,229.34
20240903,230.72,234.2,234.7,229.74,1802006,-1.69,231.85
20240830,234.69,232.56,235.43,231.04,2193610,1.43,233.7
20240829,231.37,229.75,233.61,228.88,1953228,1.78,231.74
20240828,227.32,226.42,228.18,226.18,1011317,-0.13,227.08
20240827,227.62,224.4,228.18,223.8,1016374,1.31,227.23
20240826,224.67,226.57,228.13,224.15,1091974,-0.26,225.19
20240823,225.26,225.98,227.65,224.95,957556,0.51,225.93
20240822,224.12,223.81,225.9,223.13,972458,-0.17,224.44
20240821,224.51,224.07,225.14,223.06,710473,0.62,224.2
20240820,223.13,224.5,225.48,222.87,1069732,-0.9,223.74
20240819,225.15,221.3,226.0,221.06,1068485,2.08,224.42
20240816,220.56,221.61,221.67,219.73,1005310,-0.6,220.68
20240815,221.9,219.68,222.95,218.93,1725826,2.21,221.36
20240814,217.1,217.0,217.71,215.54,847251,0.31,216.97
20240813,216.43,215.26,216.85,213.27,1039440,0.82,215.83
20240812,214.68,217.95,217.95,214.41,1067922,-1.51,215.34
20240809,217.97,215.5,219.0,214.05,1191690,1.01,217.15
20240808,215.8,215.45,217.81,214.78,1317360,0.48,216.2
20240807,214.77,215.94,217.64,213.78,2827965,-0.22,215.79
20240806,215.25,212.5,218.41,211.19,1894894,1.85,215.95
20240805,211.35,209.07,212.34,204.55,4053521,-1.09,209.99
20240802,213.67,215.12,216.64,210.02,3654824,-2.34,213.85
20240801,218.78,226.15,226.49,215.6,3027585,-3.75,219.03
20240731,227.3,230.0,236.22,222.93,4316715,-4.8,226.9
20240730,238.77,239.0,241.54,238.05,1736457,0.13,239.51
20240729,238.45,237.94,239.52,235.7,1219966,0.78,238.28
20240726,236.6,235.6,237.74,234.0,916691,1.22,236.27
20240725,233.75,235.0,237.51,232.32,1359783,-0.55,234.92
20240724,235.04,241.24,241.61,234.9,1749346,-3.0,236.39
20240723,242.31,242.66,245.6,241.97,724643,-0.26,243.09
20240722,242.94,243.61,244.0,241.15,1175527,-0.4,242.7
20240719,243.91,245.0,245.72,242.65,1342586,-0.07,244.06
20240718,244.09,244.77,248.5,244.05,1393454,-1.4,245.42
20240717,247.55,253.25,255.32,247.49,1741685,-2.96,250.49
20240716,255.11,247.94,255.19,247.69,1553739,3.42,253.41
