trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,64.2,64.39,63.11,63.96,6545336,-0.59,63.77
2023-01-04,64.06,65.05,63.97,64.42,6086938,0.72,64.54
2023-01-05,64.67,64.81,63.74,63.9,5353410,-0.81,63.99
2023-01-06,64.82,65.89,64.57,65.66,5845531,2.75,65.48
2023-01-09,65.33,65.96,64.9,64.91,4132676,-1.14,65.33
2023-01-10,64.7,65.14,64.68,64.98,3560583,0.11,64.92
2023-01-11,65.23,65.47,64.62,65.23,4928711,0.38,65.1
2023-01-12,65.08,65.19,64.26,64.45,4945828,-1.2,64.6
2023-01-13,64.28,64.78,63.93,64.74,4712727,0.45,64.43
2023-01-17,64.85,65.16,64.61,64.7,6245391,-0.06,64.75
2023-01-18,64.42,64.53,62.2,62.33,6751688,-3.66,62.87
2023-01-19,62.17,62.56,61.54,61.63,5933652,-1.12,62.02
2023-01-20,61.55,61.82,61.07,61.82,7524301,0.31,61.57
2023-01-23,61.91,62.53,61.71,62.13,6108871,0.5,62.18
2023-01-24,62.17,62.75,61.55,62.59,5024973,0.74,62.38
2023-01-25,62.69,62.77,61.87,62.75,4505555,0.26,62.41
2023-01-26,62.6,62.6,62.05,62.29,5051590,-0.73,62.32
2023-01-27,62.22,62.7,61.84,62.48,7141828,0.31,62.27
2023-01-30,62.55,63.17,62.18,62.59,7920656,0.18,62.63
2023-01-31,62.73,63.21,62.47,63.17,5938668,0.93,62.94
2023-02-01,63.39,64.81,63.17,64.42,8004668,1.98,64.14
2023-02-02,63.96,64.48,63.52,64.35,6776215,-0.11,64.17
2023-02-03,64.51,64.55,63.25,63.63,6271305,-1.12,63.63
2023-02-06,63.63,63.99,63.38,63.88,4852719,0.39,63.76
2023-02-07,63.41,63.41,61.9,62.83,8080652,-1.64,62.67
2023-02-08,62.51,62.73,62.2,62.55,4792461,-0.45,62.54
2023-02-09,62.92,63.11,62.0,62.06,4150031,-0.78,62.31
2023-02-10,62.06,63.31,61.89,63.23,5509449,1.89,62.94
2023-02-13,63.49,64.43,63.49,63.98,5588199,1.19,64.02
