trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,74.14,74.48,73.58,74.42,6544559,0.7,74.11
2023-01-04,75.25,77.76,74.93,76.99,9769531,3.45,76.7
2023-01-05,76.91,77.18,76.07,76.1,7048102,-1.16,76.47
2023-01-06,76.54,77.24,75.45,76.89,5994449,1.04,76.61
2023-01-09,76.79,77.27,73.67,73.73,11108688,-4.11,75.21
2023-01-10,74.05,75.51,73.93,75.02,6494660,1.75,74.94
2023-01-11,75.56,76.49,74.3,76.38,8366488,1.81,75.75
2023-01-12,76.62,76.72,75.02,75.93,5738184,-0.59,75.89
2023-01-13,75.28,76.73,75.04,76.63,6024039,0.92,76.28
2023-01-17,76.62,76.98,75.48,76.41,8383020,-0.29,76.39
2023-01-18,76.33,76.44,74.8,74.86,5792188,-2.03,75.27
2023-01-19,74.53,76.13,74.05,75.62,7831402,1.02,75.43
2023-01-20,76.12,77.01,75.44,76.94,6806430,1.75,76.33
2023-01-23,77.04,78.88,76.79,78.33,9491527,1.81,78.15
2023-01-24,77.72,78.31,76.55,76.83,7180274,-1.91,77.08
2023-01-25,76.41,77.37,76.18,77.21,4200777,0.49,76.81
2023-01-26,77.73,77.86,77.04,77.82,4162730,0.79,77.46
2023-01-27,78.15,79.09,76.84,78.53,4858531,0.91,78.4
2023-01-30,78.7,78.91,78.18,78.53,6559098,0.0,78.55
2023-01-31,78.69,79.6,78.53,79.58,7396055,1.34,79.3
2023-02-01,79.88,81.86,79.5,81.56,8395750,2.49,80.9
2023-02-02,81.59,83.54,81.5,83.28,6940445,2.11,83.01
2023-02-03,82.44,83.24,82.25,82.82,4949934,-0.55,82.75
2023-02-06,82.57,82.63,81.04,81.06,4731270,-2.13,81.39
2023-02-07,81.3,82.66,80.92,82.33,5129645,1.57,81.83
2023-02-08,82.25,82.73,81.78,81.93,5454551,-0.49,82.18
2023-02-09,81.84,82.26,79.31,79.51,6188012,-2.95,80.35
2023-02-10,79.38,79.83,78.74,79.58,4544012,0.09,79.43
2023-02-13,79.57,80.27,79.46,80.25,4279500,0.84,79.89
2023-02-14,79.97,80.35,78.82,79.31,4527758,-1.17,79.5
2023-02-15,78.77,80.35,78.46,80.34,4585750,1.3,79.86
2023-02-16,79.66,80.95,79.57,80.07,4784832,-0.34,80.3
2023-02-17,80.07,80.76,79.29,80.64,6825098,0.71,80.18
2023-02-21,80.09,82.34,80.09,81.29,8135902,0.81,81.2
2023-02-22,81.99,82.2,80.57,80.92,6083637,-0.46,81.33
2023-02-23,80.65,80.91,79.33,79.87,6695059,-1.3,80.05
2023-02-24,79.26,79.56,78.3,79.39,7401520,-0.6,79.01
2023-02-27,79.52,80.0,79.16,79.3,6379547,-0.11,79.57
2023-02-28,79.23,79.58,78.71,78.74,6657449,-0.71,79.0
2023-03-01,78.35,78.47,77.66,78.05,5249067,-0.88,78.11
2023-03-02,77.49,78.51,77.21,78.22,4985285,0.22,77.99
2023-03-03,78.73,79.52,78.39,79.32,4771832,1.41,79.02
