trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,33.93,34.42,33.23,33.28,3642742,-0.75,33.63
2023-01-04,33.8,35.54,33.75,35.54,4450856,6.79,35.0
2023-01-05,35.09,35.71,34.99,35.15,3461554,-1.1,35.28
2023-01-06,35.49,37.36,35.28,37.2,6592484,5.83,36.64
2023-01-09,37.58,38.24,37.52,37.64,5376555,1.18,37.84
2023-01-10,37.67,38.86,37.58,38.85,4313152,3.21,38.25
2023-01-11,38.87,39.33,38.41,38.58,3614707,-0.69,38.81
2023-01-12,38.81,39.21,38.4,38.93,3680368,0.91,38.95
2023-01-13,38.54,39.61,38.52,39.54,2499816,1.57,39.24
2023-01-17,39.12,39.71,38.93,38.97,3200288,-1.44,39.18
2023-01-18,39.4,39.54,38.27,38.28,3089228,-1.77,38.75
2023-01-19,37.77,38.44,37.48,38.16,3930794,-0.31,37.96
2023-01-20,38.47,39.14,38.2,39.05,3101156,2.33,38.88
2023-01-23,39.24,40.08,39.24,39.9,3815414,2.18,39.81
2023-01-24,39.48,40.43,39.48,40.28,2918539,0.95,40.17
2023-01-25,39.7,40.29,39.34,40.28,2683754,0.0,39.91
2023-01-26,41.05,41.24,39.94,40.91,3843647,1.56,40.62
2023-01-27,40.8,41.29,40.57,41.01,2553137,0.24,40.98
2023-01-30,40.25,40.71,39.81,39.86,4935250,-2.8,40.12
2023-01-31,39.88,41.43,39.77,41.41,4323328,3.89,40.84
2023-02-01,41.5,42.07,40.69,41.91,3614132,1.21,41.52
2023-02-02,42.25,42.33,41.0,41.39,4270805,-1.24,41.58
2023-02-03,40.91,42.21,40.81,41.71,3258861,0.77,41.82
2023-02-06,41.16,41.57,40.91,41.24,2602637,-1.13,41.26
2023-02-07,41.15,42.16,41.07,41.99,3450554,1.82,41.62
2023-02-08,41.68,42.05,41.12,41.43,3858311,-1.33,41.44
2023-02-09,44.39,45.64,43.94,44.1,11926200,6.44,44.67
2023-02-10,43.84,44.43,43.5,43.83,6243137,-0.61,43.91
2023-02-13,43.8,44.38,43.74,44.12,4679609,0.66,44.17
2023-02-14,43.89,44.32,43.62,44.14,5923555,0.05,44.0
2023-02-15,43.97,44.33,43.76,44.18,3718046,0.09,44.12
2023-02-16,43.71,44.96,43.52,44.2,3860876,0.05,44.48
2023-02-17,43.94,44.1,43.14,43.56,3638327,-1.45,43.55
2023-02-21,42.86,43.66,42.79,42.98,3808357,-1.33,43.06
2023-02-22,43.11,43.61,42.82,43.27,2585133,0.67,43.23
2023-02-23,43.54,44.19,42.9,43.15,3284838,-0.28,43.37
2023-02-24,42.54,43.12,42.18,42.6,3505401,-1.27,42.54
2023-02-27,43.15,43.25,42.7,42.84,3261726,0.56,42.94
2023-02-28,42.75,43.54,42.71,43.01,4665016,0.4,43.18
2023-03-01,43.0,44.65,43.0,44.38,6025567,3.19,44.21
2023-03-02,44.19,45.59,44.01,45.27,5705344,2.01,45.03
2023-03-03,45.6,46.1,45.16,45.91,4914039,1.41,45.66
2023-03-06,45.99,46.24,45.27,45.29,5225629,-1.35,45.71
2023-03-07,45.39,45.61,44.68,44.82,2926633,-1.04,45.12
2023-03-08,44.91,45.19,44.54,45.18,4465824,0.8,44.95
2023-03-09,45.17,45.3,43.11,43.18,5926852,-4.43,43.91
2023-03-10,43.01,43.56,41.78,42.68,5725352,-1.16,42.73
2023-03-13,41.84,42.4,40.94,41.74,6417750,-2.2,41.79
2023-03-14,42.5,43.03,41.92,42.33,3543535,1.41,42.45
2023-03-15,41.06,41.41,39.98,41.04,6511160,-3.05,40.68
2023-03-16,40.47,42.52,40.44,41.95,6117434,2.22,41.92
2023-03-17,41.53,41.94,40.76,41.25,7077883,-1.67,41.26
2023-03-20,41.59,42.39,41.41,41.79,3621308,1.31,41.97
2023-03-21,42.48,43.17,42.47,42.68,3442528,2.13,42.78
2023-03-22,42.63,42.85,41.58,41.59,3221100,-2.55,42.18
2023-03-23,41.91,42.5,40.63,41.23,3999295,-0.87,41.5
2023-03-24,40.71,41.28,39.85,41.11,4209274,-0.29,40.74
2023-03-27,41.63,41.92,40.87,41.73,3141591,1.51,41.52
2023-03-28,42.08,42.2,41.62,41.81,2582433,0.19,41.88
2023-03-29,42.26,43.22,42.26,43.08,3551659,3.04,42.93
2023-03-30,43.7,43.92,43.13,43.33,3437055,0.58,43.44
2023-03-31,44.09,44.64,44.0,44.42,3749038,2.52,44.36
2023-04-03,44.39,44.99,44.11,44.25,3754488,-0.38,44.36
2023-04-04,44.54,44.63,43.03,44.03,3211451,-0.5,43.7
2023-04-05,43.78,43.94,42.85,43.18,3221408,-1.93,43.21
2023-04-06,43.32,43.43,42.58,42.98,3726960,-0.46,43.01
2023-04-10,42.74,43.55,42.74,43.18,4817668,0.47,43.2
2023-04-11,43.31,43.78,42.98,43.36,3368608,0.42,43.47
2023-04-12,44.3,44.66,42.8,42.98,4192953,-0.88,43.45
2023-04-13,43.56,43.95,43.29,43.6,3473829,1.44,43.67
