trade_date,close,open,high,low,vol,pct_change,vwap
20241231,119.13,118.96,119.4,117.84,385930,0.5,118.75
20241230,118.54,117.97,119.01,116.31,420601,-0.24,118.36
20241227,118.82,118.57,120.48,118.0,369216,-0.7,118.84
20241226,119.66,118.9,120.08,118.36,286106,-0.44,119.62
20241224,120.19,118.55,120.19,118.24,174277,0.54,119.56
20241223,119.54,118.0,120.07,117.25,568302,0.32,119.25
20241220,119.16,116.82,120.9,116.74,1627604,2.0,119.15
20241219,116.82,119.15,120.23,115.82,973076,-1.91,116.76
20241218,119.1,125.72,126.34,118.98,552108,-4.49,121.44
20241217,124.7,125.79,127.04,124.36,481591,-1.59,125.07
20241216,126.71,128.58,128.7,125.83,679383,-0.86,127.13
20241213,127.81,129.53,129.91,127.49,485538,-1.99,127.99
20241212,130.4,131.51,131.53,129.55,458704,-0.44,130.43
20241211,130.97,132.11,133.0,130.18,409615,0.0,131.22
20241210,130.97,131.52,132.74,128.91,538685,-1.5,131.17
20241209,132.97,130.88,134.79,130.23,766367,1.57,133.2
20241206,130.92,132.5,133.32,129.6,1042119,-0.39,130.67
20241205,131.43,132.14,133.57,130.9,803072,0.16,131.79
20241204,131.22,133.68,134.38,129.9,1400466,-3.11,131.55
20241203,135.43,136.9,137.22,133.79,932403,-0.66,135.12
20241202,136.33,138.5,138.72,136.0,968964,-1.8,136.69
20241129,138.83,140.54,141.3,138.29,314818,-0.19,139.13
20241127,139.1,140.82,142.88,138.45,402989,-0.59,139.29
20241126,139.92,142.64,143.47,139.26,494902,-3.52,140.31
20241125,145.03,140.92,146.93,140.84,778906,4.51,145.4
20241122,138.77,138.31,139.69,138.08,434974,0.93,139.0
20241121,137.49,136.67,139.45,135.83,409515,1.3,137.91
20241120,135.73,135.5,136.67,134.84,585193,0.07,135.57
20241119,135.64,137.17,137.17,135.51,478081,-2.04,136.08
20241118,138.47,139.68,140.29,138.23,603448,-1.33,139.01
20241115,140.33,140.94,142.08,139.48,574971,-0.01,140.4
20241114,140.34,142.32,142.97,139.99,535703,-0.81,141.07
20241113,141.48,144.44,144.44,140.53,502783,-0.24,141.76
20241112,141.82,144.41,144.73,141.72,556728,-2.52,142.35
20241111,145.49,147.71,148.29,145.05,592149,-0.31,146.01
20241108,145.94,145.66,148.57,143.89,784121,0.6,146.34
20241107,145.07,145.34,147.0,142.82,1133851,-1.71,144.78
20241106,147.6,141.92,148.19,141.55,1949759,5.1,146.2
20241105,140.44,135.76,140.51,135.76,854422,2.7,139.62
20241104,136.75,134.51,137.98,133.97,895177,1.84,136.48
20241101,134.28,136.47,136.87,133.88,673995,0.01,134.58
20241031,134.27,134.22,135.61,133.64,567197,-0.75,134.54
20241030,135.29,132.06,138.1,132.06,1028370,2.18,135.96
20241029,132.41,127.96,133.01,127.96,1176865,0.53,131.93
20241028,131.71,131.08,135.32,131.0,1542614,0.63,133.16
20241025,130.88,134.9,139.11,130.41,3194482,-13.82,133.84
20241024,151.87,151.98,152.89,150.45,1053082,0.11,151.69
20241023,151.7,151.96,153.72,150.87,638360,-0.8,152.1
20241022,152.93,155.0,155.56,151.19,1024426,-5.16,153.13
20241021,161.25,163.85,164.29,159.56,619496,0.12,161.49
20241018,161.05,160.3,161.43,158.52,577431,1.16,160.46
20241017,159.2,160.67,160.75,158.55,468569,-1.09,159.32
20241016,160.96,161.76,162.94,160.31,720496,0.69,161.46
20241015,159.85,158.55,162.4,157.67,740701,1.06,160.3
20241014,158.18,157.3,158.52,155.1,431091,0.56,157.49
20241011,157.3,156.87,157.91,156.31,284114,0.33,157.14
20241010,156.78,156.89,157.75,155.43,474264,-1.4,156.71
20241009,159.0,156.19,159.61,156.13,783966,2.22,158.73
20241008,155.54,155.2,157.35,152.13,496815,0.22,155.55
20241007,155.2,152.94,155.22,151.39,754354,0.49,153.86
20241004,154.44,160.08,161.38,153.49,667786,-2.56,155.01
20241003,158.5,158.13,160.0,156.65,685238,-0.62,158.72
20241002,159.49,158.0,160.34,157.76,535561,0.0,159.42
20241001,159.49,160.68,160.71,157.44,403006,-0.74,159.43
20240930,160.68,157.65,161.38,157.35,581264,1.18,160.09
20240927,158.81,157.91,159.8,156.51,441885,1.48,158.57
20240926,156.5,156.03,157.8,155.7,394726,1.4,156.55
20240925,154.34,157.03,157.03,152.95,449703,-1.74,154.44
20240924,157.08,157.76,158.77,156.26,380192,-0.53,157.06
20240923,157.91,158.85,160.52,157.51,384516,0.2,158.36
20240920,157.6,153.84,159.15,153.37,2765578,-0.36,157.48
20240919,158.17,160.17,160.17,156.07,707445,1.0,157.77
20240918,156.61,155.4,160.0,153.12,585850,1.07,156.04
20240917,154.95,156.73,157.66,154.58,467341,-0.56,155.53
20240916,155.82,157.21,158.52,154.43,573289,-0.47,155.82
20240913,156.55,151.24,156.7,151.06,672926,4.31,155.44
20240912,150.08,148.38,150.56,147.61,457703,1.15,149.26
20240911,148.38,148.41,149.51,145.0,590969,-0.99,147.83
20240910,149.86,149.26,150.18,147.25,411764,0.48,149.02
20240909,149.14,148.04,151.87,147.44,859784,0.82,150.0
20240906,147.92,148.68,152.06,147.09,489521,-0.54,148.43
20240905,148.73,151.19,151.29,147.6,551627,-1.26,148.69
20240904,150.63,150.29,151.31,148.91,575986,-0.14,150.25
20240903,150.84,154.17,155.25,149.35,515885,-2.77,151.35
20240830,155.14,155.14,155.38,153.0,433638,0.95,154.6
20240829,153.68,154.41,155.82,152.0,338282,-0.56,154.2
20240828,154.54,152.95,155.47,152.75,492383,0.31,154.54
20240827,154.07,153.97,154.2,152.46,287363,-0.68,153.73
20240826,155.13,159.15,159.49,155.08,569233,-1.66,156.37
20240823,157.75,151.0,157.77,149.39,675654,5.25,156.06
20240822,149.88,150.42,150.42,147.98,442373,-0.29,149.52
20240821,150.32,149.41,150.58,147.56,582534,1.68,149.45
20240820,147.84,149.11,150.04,145.95,380240,-1.03,147.84
20240819,149.38,147.14,150.09,146.56,495439,2.02,149.2
20240816,146.42,146.57,148.46,146.15,527288,-0.2,146.68
