trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,338.73,339.96,333.31,335.05,405321,0.06,335.63
2023-01-04,340.46,344.98,337.28,344.52,358850,2.83,342.48
2023-01-05,340.64,340.88,334.6,334.84,242395,-2.81,336.62
2023-01-06,339.23,349.01,336.46,347.91,285425,3.9,345.36
2023-01-09,348.71,349.29,341.11,341.93,372882,-1.72,344.61
2023-01-10,340.81,341.74,338.02,340.77,329264,-0.34,340.0
2023-01-11,344.0,354.19,343.16,351.69,542072,3.2,350.17
2023-01-12,352.94,352.94,346.28,348.32,305759,-0.96,348.71
2023-01-13,346.57,352.74,345.04,352.08,382801,1.08,350.4
2023-01-17,351.02,351.34,346.81,349.82,309068,-0.64,349.28
2023-01-18,351.71,355.17,348.39,348.54,406181,-0.37,351.15
2023-01-19,346.83,348.16,338.29,339.92,330373,-2.47,341.03
2023-01-20,340.38,346.68,337.94,344.47,317630,1.34,343.49
2023-01-23,344.33,348.06,339.92,345.7,274370,0.36,345.32
2023-01-24,341.58,343.67,338.7,343.21,345947,-0.72,342.28
2023-01-25,338.8,345.59,337.26,344.2,213941,0.29,342.76
2023-01-26,345.74,345.76,334.78,345.76,502134,0.45,341.25
2023-01-27,345.51,348.64,344.28,344.6,245963,-0.34,345.88
2023-01-30,342.43,346.89,342.43,344.15,240735,-0.13,344.7
2023-01-31,346.87,356.58,343.57,356.31,343085,3.53,352.14
2023-02-01,355.13,361.65,349.2,358.65,377949,0.66,357.01
2023-02-02,360.36,370.93,360.04,366.8,392163,2.27,366.11
2023-02-03,362.36,366.79,356.42,357.29,272845,-2.59,358.88
2023-02-06,354.09,357.07,350.13,353.59,263320,-1.04,352.52
2023-02-07,351.86,356.81,348.61,355.14,305356,0.44,352.72
2023-02-08,352.63,354.94,351.28,352.9,317866,-0.63,352.95
2023-02-09,356.57,359.62,349.43,349.97,253554,-0.83,353.14
2023-02-10,347.3,349.67,341.95,347.98,364841,-0.57,346.11
2023-02-13,349.29,353.62,346.06,353.15,361609,1.49,351.81
2023-02-14,351.49,356.54,348.52,352.9,455030,-0.07,352.89
2023-02-15,366.12,383.15,364.0,379.25,1036418,7.47,376.95
2023-02-16,370.61,378.19,364.57,365.51,997301,-3.62,370.75
2023-02-17,363.86,373.12,363.86,368.23,522897,0.74,369.22
2023-02-21,364.09,367.54,356.36,356.37,486190,-3.22,359.13
2023-02-22,358.61,362.43,355.99,357.89,378296,0.43,359.32
2023-02-23,358.87,361.1,353.85,359.61,354624,0.48,357.38
2023-02-24,355.23,359.59,354.21,358.72,251787,-0.25,357.37
2023-02-27,362.41,362.41,355.1,356.6,278802,-0.59,357.23
