trade_date,close,open,high,low,vol,pct_change,vwap
20241231,52.29,52.21,52.36,51.84,4668246,0.4,52.13
20241230,52.08,52.24,52.33,51.63,5363313,-0.57,51.92
20241227,52.38,52.34,52.85,52.1,6182820,-0.42,52.43
20241226,52.6,52.28,52.78,51.96,5044481,-1.63,52.53
20241224,53.47,53.62,53.64,53.39,5396582,-0.21,53.56
20241223,53.58,53.84,53.85,52.95,7049195,-0.48,53.42
20241220,53.84,52.92,53.88,52.85,24470036,1.6,53.66
20241219,52.99,53.43,53.78,52.98,10823516,-0.49,53.18
20241218,53.25,54.02,54.17,53.21,9420188,-1.63,53.52
20241217,54.13,54.59,54.69,53.95,8750399,-1.04,54.2
20241216,54.7,55.1,55.18,54.66,6717711,-0.4,54.85
20241213,54.92,54.85,55.18,54.55,6530656,-0.13,54.9
20241212,54.99,54.9,55.05,54.52,6278750,0.55,54.85
20241211,54.69,55.69,56.0,54.61,9213926,-1.44,55.1
20241210,55.49,55.7,56.13,55.41,8252231,-0.66,55.68
20241209,55.86,57.39,57.39,55.32,8618660,-2.55,55.95
20241206,57.32,57.63,58.01,57.01,5697340,0.72,57.28
20241205,56.91,56.65,57.37,56.6,5390977,0.81,57.02
20241204,56.45,56.6,56.83,56.3,5765633,-0.79,56.49
20241203,56.9,57.25,57.34,56.83,6688211,-0.49,56.96
20241202,57.18,57.62,57.66,56.95,5598676,-0.97,57.2
20241129,57.74,57.54,57.75,57.21,3635350,0.16,57.57
20241127,57.65,57.59,58.04,57.45,5473598,0.1,57.77
20241126,57.59,56.87,57.6,56.77,6576125,1.48,57.38
20241125,56.75,56.91,57.2,56.4,13536262,0.04,56.72
20241122,56.73,56.25,56.84,56.24,5622684,1.25,56.62
20241121,56.03,55.99,56.48,55.72,5305856,0.09,56.12
20241120,55.98,55.98,56.07,55.4,5712024,0.21,55.8
20241119,55.86,56.29,56.49,55.83,6592699,-0.85,56.06
20241118,56.34,56.03,56.55,55.98,8716676,0.73,56.26
20241115,55.93,55.55,56.32,55.53,8174410,0.97,55.97
20241114,55.39,54.8,55.62,54.49,6651281,0.25,55.33
20241113,55.25,54.72,55.4,54.4,7146723,1.49,55.15
20241112,54.44,54.07,54.71,53.78,7370047,0.95,54.34
20241111,53.93,54.11,54.79,53.82,5476453,-0.22,54.14
20241108,54.05,53.54,54.27,53.5,5675543,0.95,54.02
20241107,53.54,54.33,54.46,53.43,6358379,-1.38,53.75
20241106,54.29,54.58,55.05,54.08,8925387,0.18,54.46
20241105,54.19,53.8,54.3,53.59,5795258,0.58,54.1
20241104,53.88,53.93,54.05,53.57,7670371,0.02,53.84
20241101,53.87,54.46,54.6,53.74,9480203,-1.08,54.11
20241031,54.46,51.38,54.84,51.34,25188872,7.84,54.07
20241030,50.5,49.9,50.67,49.88,10819333,1.1,50.41
20241029,49.95,50.02,50.43,49.95,7074879,-0.6,50.07
20241028,50.25,49.75,50.38,49.73,5154039,1.09,50.19
20241025,49.71,49.99,50.1,49.59,5264949,-0.46,49.83
20241024,49.94,49.89,50.16,49.68,4264109,0.28,49.86
20241023,49.8,50.0,50.04,49.6,5479809,-0.52,49.81
20241022,50.06,49.44,50.12,49.16,6053035,2.04,49.82
20241021,49.06,49.62,49.69,48.98,4999848,-1.11,49.17
20241018,49.61,49.68,49.72,48.86,7109930,-0.26,49.51
20241017,49.74,50.08,50.31,49.68,6263942,-0.84,49.85
20241016,50.16,49.97,50.38,49.87,4887465,0.52,50.16
20241015,49.9,50.0,50.34,49.73,5104359,0.08,49.94
20241014,49.86,49.75,49.89,49.32,5664774,0.04,49.71
20241011,49.84,49.9,49.99,49.56,4533535,0.32,49.77
20241010,49.68,50.49,50.74,49.57,8779965,-1.09,50.14
20241009,50.23,49.66,50.34,49.61,7314121,1.37,50.14
20241008,49.55,49.98,50.15,49.46,5124902,-0.74,49.61
20241007,49.92,50.1,50.14,49.69,6206703,-0.36,49.86
20241004,50.1,49.7,50.12,49.6,7176645,0.24,49.91
20241003,49.98,50.5,50.51,49.68,6877621,-1.21,49.95
20241002,50.59,50.9,50.93,50.36,7136356,-0.67,50.55
20241001,50.93,51.06,51.33,50.77,7237527,-0.22,50.97
20240930,51.04,51.17,51.36,50.56,10014340,-0.02,50.99
20240927,51.05,51.2,51.37,51.01,4585649,-0.08,51.12
20240926,51.09,50.79,51.44,50.73,5948781,0.1,51.08
20240925,51.04,51.44,51.46,50.93,7027699,-0.29,51.11
20240924,51.19,50.79,51.38,50.64,7712695,0.33,51.14
20240923,51.02,50.4,51.2,50.3,9434508,1.25,50.93
20240920,50.39,50.25,50.4,49.92,22650481,0.32,50.29
20240919,50.23,50.62,50.74,50.07,10454586,-0.79,50.29
20240918,50.63,50.5,51.04,50.38,7770399,0.26,50.73
20240917,50.5,51.47,51.59,50.43,10860407,-2.32,50.81
20240916,51.7,52.04,52.3,51.62,11012250,-2.38,51.85
20240913,52.96,52.8,52.96,52.58,7820215,0.61,52.83
20240912,52.64,53.01,53.22,52.52,7311625,-1.0,52.74
20240911,53.17,53.96,53.96,52.52,7589867,-1.68,53.02
20240910,54.08,54.11,54.29,53.84,6116188,-0.09,54.05
20240909,54.13,53.7,54.2,53.6,8143809,0.82,54.01
20240906,53.69,54.27,54.54,53.56,8186926,-1.07,53.87
20240905,54.27,54.88,54.95,54.2,7996856,-0.8,54.42
20240904,54.71,54.24,54.76,54.18,7595824,1.18,54.56
20240903,54.07,53.78,54.48,53.74,10498176,0.56,54.18
20240830,53.77,53.45,53.82,53.25,7950992,0.77,53.63
20240829,53.36,53.31,53.46,53.09,4878508,0.26,53.33
20240828,53.22,53.15,53.53,52.99,6250645,0.4,53.24
20240827,53.01,52.91,53.03,52.62,4662817,0.57,52.86
20240826,52.71,52.51,53.08,52.45,8055113,0.51,52.76
20240823,52.44,51.98,52.46,51.75,9133555,1.18,52.21
20240822,51.83,51.89,51.94,51.47,6976731,0.04,51.71
20240821,51.81,51.54,51.86,51.44,6156074,0.72,51.71
20240820,51.44,51.33,51.7,51.2,7300719,0.23,51.4
20240819,51.32,51.38,51.56,51.21,6497192,0.0,51.38
20240816,51.32,50.77,51.36,50.7,7708184,1.14,51.1
20240815,50.74,51.25,51.36,50.63,8325863,-0.88,50.85
20240814,51.19,50.99,51.4,50.84,5256535,0.16,51.18
20240813,51.11,50.34,51.16,50.34,6648262,1.59,50.96
20240812,50.31,50.44,50.74,50.15,5319738,-0.24,50.39
20240809,50.43,50.36,50.66,50.26,5390930,-0.04,50.47
20240808,50.45,49.73,50.8,49.73,7634203,0.84,50.44
20240807,50.03,49.58,50.68,49.54,9625883,1.11,50.23
20240806,49.48,49.32,50.13,49.3,7918168,0.26,49.79
20240805,49.35,49.99,50.77,49.01,14226399,-3.37,49.45
20240802,51.07,50.39,51.4,49.88,11915786,2.1,50.73
20240801,50.02,49.61,50.04,49.4,9646145,2.06,49.83
20240731,49.01,48.4,49.05,47.57,19165993,-3.05,48.5
20240730,50.55,50.38,50.85,50.27,8653609,0.04,50.56
20240729,50.53,50.35,50.73,49.99,6150649,0.2,50.45
20240726,50.43,49.8,50.47,49.55,6967309,1.27,50.12
20240725,49.8,49.73,50.47,49.6,9322609,0.77,49.89
20240724,49.42,49.19,49.54,48.71,8764188,0.61,49.3
20240722,49.4,49.41,49.56,49.04,5069129,-0.1,49.36
20240719,49.45,49.61,49.64,49.27,5776516,0.24,49.5
20240718,49.33,49.05,49.92,48.94,6782516,-0.12,49.49
20240717,49.39,48.13,49.47,48.13,10018418,2.83,49.1
20240716,48.03,47.85,48.18,47.66,6177012,0.65,48.0
20240715,47.72,47.8,48.06,47.53,8630781,-0.02,47.8
20240712,47.73,47.2,47.82,47.11,7315625,1.38,47.62
20240711,47.08,46.8,47.13,46.6,7347688,0.32,46.94
20240710,46.93,46.87,47.21,46.54,9536820,0.49,46.82
20240709,46.7,46.03,46.99,46.02,9379680,1.48,46.69
20240708,46.02,46.1,46.37,45.87,5318813,-0.17,46.04
20240705,46.1,45.89,46.1,45.76,6881461,0.33,45.97
20240703,45.95,46.05,46.14,45.73,3663541,-0.22,45.89
20240702,46.05,46.0,46.13,45.76,5458430,0.04,45.99
20240701,46.03,45.9,46.41,45.75,7065984,1.05,46.01
20240628,45.55,45.5,45.62,45.27,11747458,0.2,45.52
20240627,45.46,46.32,46.4,45.17,8614840,-1.94,45.5
20240626,46.36,46.2,46.56,46.18,7374527,-0.13,46.39
20240625,46.42,46.49,46.59,46.27,9570832,-0.06,46.44
20240624,46.45,45.99,46.59,45.85,10236352,1.55,46.31
20240621,45.74,45.6,45.99,45.45,28886684,0.68,45.74
20240620,45.43,44.65,45.55,44.53,8950504,1.41,45.26
20240618,44.8,44.63,44.89,44.41,14504145,0.22,44.75
20240617,44.7,44.22,44.71,43.92,8219684,0.86,44.48
20240614,44.32,44.49,44.55,43.83,10599395,-3.13,44.17
20240613,45.75,45.85,46.07,45.53,8795172,-0.26,45.81
20240612,45.87,46.54,46.6,45.71,9840535,-1.14,46.01
20240611,46.4,46.53,46.59,46.21,7390277,-0.19,46.42
20240610,46.49,46.6,46.79,46.24,7906317,-0.45,46.55
20240607,46.7,46.69,46.99,46.58,6411801,0.02,46.82
20240606,46.69,46.67,47.19,46.58,9313750,0.04,46.81
20240605,46.67,46.78,46.78,46.38,6627078,-0.34,46.58
20240604,46.83,46.4,46.85,46.38,8527219,0.6,46.69
20240603,46.55,46.04,46.65,46.02,8068984,0.65,46.37
20240531,46.25,45.4,46.33,45.32,13799696,1.78,46.0
20240530,45.44,45.32,45.6,45.24,6544039,0.64,45.41
20240529,45.15,45.3,45.35,45.04,6416430,-0.73,45.19
20240528,45.48,45.4,45.63,45.21,7572945,-0.02,45.41
20240524,45.49,45.84,46.0,45.34,4663863,-0.33,45.55
20240523,45.64,46.1,46.1,45.51,10232004,-1.47,45.69
20240522,46.32,46.14,46.6,46.11,12240184,-0.02,46.35
20240521,46.33,46.01,46.44,45.94,8565328,0.94,46.25
20240520,45.9,46.09,46.25,45.77,8071863,-0.39,45.99
20240517,46.08,46.05,46.25,45.92,9230418,0.28,46.08
20240516,45.95,45.95,46.21,45.9,9118055,0.22,46.01
20240515,45.85,45.6,45.95,45.59,9321270,0.77,45.82
20240514,45.5,45.08,45.55,45.04,9303879,1.02,45.42
20240513,45.04,44.9,45.37,44.9,8218211,0.31,45.06
20240510,44.9,44.79,45.04,44.74,11315836,0.42,44.88
20240509,44.71,44.39,44.77,44.27,7964973,0.95,44.64
20240508,44.29,43.9,44.4,43.9,9872660,1.0,44.24
20240507,43.85,43.6,44.0,43.58,10992551,0.83,43.81
20240506,43.49,43.69,43.83,43.44,9025512,-0.23,43.53
20240503,43.59,44.0,44.12,43.37,11196836,-0.89,43.6
20240502,43.98,44.0,44.21,43.82,9048590,0.37,44.01
20240501,43.82,43.7,44.18,43.69,7359231,0.02,43.94
20240430,43.81,43.99,44.14,43.63,11552083,-0.02,43.89
20240429,43.82,43.4,43.84,43.37,8623172,1.01,43.71
20240425,43.54,43.25,43.65,42.76,14204934,1.44,43.32
20240424,42.92,42.7,43.05,42.4,12425989,0.12,42.88
