trade_date,close,open,high,low,vol,pct_change,vwap
20241231,139.5,135.85,139.75,135.7,2127057,2.88,138.96
20241230,135.6,135.57,137.16,134.52,2008025,-0.05,135.87
20241227,135.67,135.19,137.0,133.94,1748610,0.21,135.37
20241226,135.39,135.47,135.81,134.01,1530097,0.03,135.09
20241224,135.35,133.82,135.35,132.72,1418547,1.02,134.41
20241223,133.98,133.6,134.54,131.88,3429291,0.45,133.48
20241220,133.38,132.0,133.42,130.54,11049958,1.31,132.94
20241219,131.65,135.83,136.81,130.71,3897329,-2.52,132.27
20241218,135.06,137.52,138.29,134.16,3572530,-2.12,136.06
20241217,137.99,137.17,140.11,136.43,3879565,-0.14,138.0
20241216,138.19,144.32,145.01,137.89,3445158,-5.06,140.06
20241213,145.56,145.98,146.44,144.35,2010868,-0.49,145.44
20241212,146.28,151.65,151.89,146.18,2723225,-3.74,147.46
20241211,151.97,151.06,153.17,149.61,2784381,0.6,151.43
20241210,151.06,152.82,153.79,149.77,3351554,-1.26,151.72
20241209,152.98,151.89,155.75,151.52,2423602,1.35,153.67
20241206,150.94,150.27,151.21,149.02,2683635,0.56,150.37
20241205,150.1,150.96,151.5,148.13,2136417,-0.2,150.18
20241204,150.4,154.62,154.9,149.08,2208346,-3.27,150.46
20241203,155.49,158.0,159.1,155.29,2029607,-1.22,155.99
20241202,157.41,156.15,157.58,153.55,2230476,0.81,156.34
20241129,156.15,155.72,156.55,154.23,965499,0.51,155.63
20241127,155.36,157.16,158.99,155.04,1284885,-1.13,155.89
20241126,157.14,156.85,157.95,155.83,2059751,0.41,156.98
20241125,156.5,158.62,160.0,156.19,3715903,-1.25,157.04
20241122,158.48,159.34,160.66,158.07,1401133,-0.51,159.05
20241121,159.29,160.29,161.61,158.46,1464770,-0.06,160.01
20241120,159.38,158.33,159.45,156.61,1599406,0.37,158.53
20241119,158.8,158.22,161.1,157.96,1628910,-0.7,159.49
20241118,159.92,158.46,160.19,157.26,1833381,1.52,159.09
20241115,157.52,156.01,160.01,156.01,1931330,-0.39,157.72
20241114,158.14,159.16,159.86,156.53,1793136,-0.61,157.94
20241113,159.11,154.4,159.2,154.1,2194186,2.51,157.8
20241112,155.21,155.76,156.43,154.38,1603143,-0.54,155.14
20241111,156.06,153.47,156.14,152.65,1862101,1.5,155.14
20241108,153.75,153.31,154.0,151.28,1478181,-0.16,153.2
