trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,355.64,357.01,335.5,339.13,588651,-3.01,340.04
2023-01-04,344.8,357.08,344.64,353.85,591837,4.34,352.83
2023-01-05,348.26,353.45,342.47,343.19,627070,-3.01,346.66
2023-01-06,347.05,366.49,341.85,363.36,549913,5.88,358.02
2023-01-09,372.8,387.14,368.33,379.19,615047,4.36,381.51
2023-01-10,379.15,387.06,377.09,383.85,391783,1.23,383.67
2023-01-11,386.02,393.47,384.19,392.94,486309,2.37,390.17
2023-01-12,393.57,400.02,382.8,395.19,457586,0.57,393.86
2023-01-13,388.38,394.3,386.98,394.02,208956,-0.3,391.64
2023-01-17,391.51,399.28,391.51,397.21,478474,0.81,396.49
2023-01-18,401.27,405.01,392.8,393.42,307491,-0.95,396.26
2023-01-19,387.23,388.86,374.87,379.02,650543,-3.66,380.09
2023-01-20,386.03,393.51,379.01,393.35,358878,3.78,388.05
2023-01-23,399.49,424.82,394.62,423.74,792509,7.73,418.61
2023-01-24,421.18,429.96,410.89,414.46,445814,-2.19,417.09
2023-01-25,403.25,421.45,397.66,419.96,350830,1.33,414.79
2023-01-26,426.65,431.56,416.08,427.94,295811,1.9,424.66
2023-01-27,423.87,427.96,417.43,420.34,484221,-1.78,422.87
2023-01-30,411.81,413.63,401.63,403.08,635018,-4.11,405.32
2023-01-31,403.25,422.04,401.18,421.81,466563,4.65,418.03
2023-02-01,421.8,459.54,421.69,452.67,1083162,7.32,443.95
2023-02-02,456.25,474.24,456.25,468.68,608464,3.54,465.44
2023-02-03,455.26,468.04,448.56,451.22,693489,-3.73,455.43
2023-02-06,441.86,458.04,440.05,444.67,473168,-1.45,448.49
2023-02-07,446.62,465.79,444.46,462.41,598564,3.99,456.12
2023-02-08,454.88,466.19,452.31,457.84,727105,-0.99,457.29
2023-02-09,484.23,524.05,484.23,504.75,1784961,10.25,509.42
2023-02-10,502.94,503.11,483.48,486.54,580316,-3.61,488.79
2023-02-13,487.27,497.77,480.64,495.84,621032,1.91,492.02
2023-02-14,487.99,517.04,485.68,514.76,661053,3.82,510.02
2023-02-15,510.37,524.74,508.35,524.19,453912,1.83,517.86
2023-02-16,512.54,519.02,504.81,507.65,484226,-3.16,510.94
2023-02-17,506.43,508.33,492.96,496.5,488928,-2.2,497.54
2023-02-21,486.96,495.45,474.71,476.55,645660,-4.02,481.03
2023-02-22,479.6,483.92,469.45,477.33,383802,0.16,476.79
2023-02-23,497.29,500.52,472.48,489.39,661158,2.53,487.28
2023-02-24,480.56,483.49,474.54,477.68,372491,-2.39,477.75
2023-02-27,484.12,486.56,479.59,480.84,342821,0.66,482.51
2023-02-28,477.87,488.42,475.97,478.9,379315,-0.4,481.81
2023-03-01,481.01,488.39,477.3,481.11,281531,0.46,481.97
