trade_date,close,open,high,low,vol,pct_change,vwap
20241231,99.48,98.5,99.53,98.43,6509902,1.13,99.25
20241230,98.37,99.57,99.57,98.27,6841621,-1.33,98.57
20241227,99.7,99.5,100.35,99.24,6140660,-0.17,99.66
20241226,99.87,99.09,99.94,98.92,4372078,0.42,99.64
20241224,99.45,99.22,99.64,98.79,3702780,0.08,99.41
20241223,99.37,99.09,99.59,98.2,8392719,1.35,99.04
20241220,98.05,98.83,99.68,97.9,29265844,-1.48,98.46
20241219,99.52,98.56,99.93,97.82,12110778,1.2,99.24
20241218,98.34,100.19,101.5,98.27,11527778,-1.72,99.35
20241217,100.06,99.9,100.8,99.36,13893778,0.0,100.1
20241216,100.06,101.25,102.28,100.05,11266094,-1.9,100.89
20241213,102.0,101.13,102.57,100.53,10104762,0.74,101.89
20241212,101.25,101.69,103.0,100.12,9554399,1.5,101.01
20241211,99.75,100.7,101.45,99.26,21568469,-1.24,99.94
20241210,101.0,103.77,103.77,100.74,11170040,-2.69,101.43
20241209,103.79,102.86,105.07,102.33,16570426,0.68,104.04
20241206,103.09,103.61,103.95,102.69,11441700,-0.44,103.29
20241205,103.55,101.49,104.14,101.35,10905211,2.15,103.36
20241204,101.37,102.03,102.09,101.05,10439676,-0.47,101.53
20241203,101.85,100.75,102.45,100.62,11259208,1.23,101.85
20241202,100.61,101.73,101.85,100.46,13693036,-1.01,100.75
20241129,101.64,102.88,103.04,101.53,6079082,-1.44,101.9
20241127,103.12,101.65,103.45,101.64,9517527,1.48,102.91
20241126,101.62,101.48,101.8,99.7,8818520,0.45,100.97
20241125,101.16,100.09,101.74,99.51,34454157,2.0,101.16
20241122,99.18,100.33,101.79,98.93,13600161,-0.68,100.08
20241121,99.86,97.72,100.48,96.95,15631801,2.48,99.09
20241120,97.44,96.98,98.84,96.66,10215711,0.93,97.49
20241119,96.54,96.73,97.55,95.26,12823731,-0.02,96.3
20241118,96.56,96.56,97.29,95.42,13623938,0.26,96.37
20241115,96.31,97.92,97.92,94.48,16260516,-2.08,96.22
20241114,98.36,99.18,99.4,97.95,8469313,-0.14,98.62
20241113,98.5,98.51,99.45,97.9,8824070,-0.08,98.55
20241112,98.58,100.76,100.77,98.5,12151532,-2.13,99.33
20241111,100.73,102.53,103.4,100.46,9825453,-2.13,101.14
20241108,102.92,101.48,103.23,101.0,9143223,1.73,102.61
20241107,101.17,101.44,101.69,100.85,7888453,0.44,101.25
20241106,100.73,103.18,103.23,100.6,9476828,-0.91,101.34
20241105,101.65,101.36,101.73,100.52,6668559,-0.22,101.37
20241104,101.87,102.0,102.53,100.95,9129676,-0.01,101.59
20241101,101.88,101.78,102.72,101.21,9224820,-0.43,102.01
20241031,102.32,100.93,103.23,98.6,17149551,-2.39,101.72
20241030,104.83,103.46,105.0,102.9,13825559,1.06,104.26
20241029,103.73,104.32,105.11,103.7,8518774,-0.48,104.22
20241028,104.23,104.6,105.0,103.93,6479055,0.24,104.25
20241025,103.98,106.49,106.49,103.86,9569859,-1.79,104.58
20241024,105.88,106.05,106.62,105.26,8245234,-0.47,105.75
20241023,106.38,106.74,107.36,106.2,8073055,-0.24,106.52
20241022,106.64,105.91,106.9,105.71,9583012,0.28,106.48
20241021,106.34,109.08,109.17,106.18,10705586,-2.17,107.0
20241018,108.7,109.9,109.92,108.56,9339414,-0.96,108.99
20241017,109.75,110.14,110.19,109.5,8541680,-0.61,109.81
20241016,110.42,111.0,111.2,109.02,8694039,-1.0,110.34
20241015,111.53,109.96,111.58,109.89,9036594,1.68,111.1
20241014,109.69,109.43,110.07,108.68,7722223,-0.04,109.48
20241011,109.73,109.1,109.92,107.9,8564227,0.3,109.2
20241010,109.4,110.7,110.83,109.17,5986250,-0.79,109.57
20241009,110.27,108.41,110.3,108.2,8587879,1.61,109.63
20241008,108.52,107.97,108.75,107.81,8813305,-0.06,108.36
20241007,108.59,109.7,110.98,108.18,8611793,-1.07,109.14
20241004,109.77,109.49,110.3,109.39,9598254,-0.37,109.76
20241003,110.18,111.82,112.08,109.83,10280555,-1.7,110.53
20241002,112.08,114.55,114.6,111.98,8982883,-2.32,112.79
20241001,114.74,113.96,114.79,113.11,7713352,1.04,114.27
20240930,113.56,113.61,114.01,112.7,9791059,-0.11,113.48
20240927,113.69,113.17,114.34,113.0,11829458,0.53,113.57
20240926,113.09,113.88,114.0,112.93,11020797,-1.43,113.28
20240925,114.73,115.3,116.02,114.62,7898727,-0.2,115.2
