trade_date,close,open,high,low,vol,pct_change,vwap
20241231,41.58,39.71,41.79,39.39,7391152,5.59,41.01
20241230,39.38,39.74,40.5,38.88,5423324,-1.87,39.34
20241227,40.13,40.35,41.49,39.79,4816996,-0.74,40.33
20241226,40.43,39.56,40.55,39.24,4168359,0.4,40.12
20241224,40.27,39.59,40.35,38.75,2521452,1.72,39.59
20241223,39.59,39.19,40.34,38.52,5043883,0.51,39.56
20241220,39.39,39.2,40.83,39.12,35451770,-0.43,39.56
20241219,39.56,38.56,39.87,37.44,7497492,3.13,38.89
20241218,38.36,40.05,41.73,38.2,8493598,-5.89,39.68
20241217,40.76,41.85,43.17,40.63,6247867,-2.58,41.6
20241216,41.84,42.16,44.38,41.28,7995223,0.02,42.37
20241213,41.83,42.24,42.69,41.38,4804711,-2.31,41.97
20241212,42.82,42.55,43.8,41.7,5236563,-0.09,42.84
20241211,42.86,41.9,43.25,41.06,5543567,3.25,42.41
20241210,41.51,45.36,45.49,41.05,10446985,-9.07,42.56
20241209,45.65,44.77,47.41,44.1,7225590,2.72,45.84
20241206,44.44,43.52,46.62,43.16,8720121,3.49,45.0
20241205,42.94,41.9,44.45,41.74,8000988,3.15,43.08
20241204,41.63,42.76,42.8,41.48,4996684,-2.23,41.97
20241203,42.58,43.98,44.25,42.36,7163192,-3.8,42.87
20241202,44.26,43.33,44.66,42.07,6737379,2.79,43.55
20241129,43.06,43.25,43.85,42.3,3589568,-0.76,43.22
20241127,43.39,42.49,43.46,42.08,5027926,3.19,42.99
20241126,42.05,43.13,43.3,41.47,7164867,-3.69,42.05
20241125,43.66,43.0,46.3,42.83,15751106,6.2,44.37
20241122,41.11,38.44,42.4,37.76,13358813,7.48,40.91
20241121,38.25,36.55,38.82,35.96,8879051,3.55,37.67
20241120,36.94,37.29,38.22,36.41,7295774,-0.94,37.06
20241119,37.29,38.9,39.28,37.01,9002070,-5.62,37.9
20241118,39.51,38.31,39.77,37.1,13478989,7.22,38.65
20241115,36.85,38.55,38.7,35.8,24278329,-7.34,37.09
20241114,39.77,42.05,42.06,38.76,12731145,-5.62,40.43
20241113,42.14,43.25,43.28,41.71,7703137,-3.06,42.31
20241112,43.47,42.19,44.11,41.54,10698016,1.68,43.15
20241111,42.75,46.83,46.88,42.25,15844000,-8.71,43.69
20241108,46.83,50.42,50.9,46.57,13480153,-6.86,47.82
20241107,50.28,56.6,56.7,49.94,17884563,-2.95,52.0
20241106,51.81,52.61,52.85,49.6,10356020,-2.78,51.57
20241105,53.29,53.53,54.32,52.08,5708227,-0.47,53.02
20241104,53.54,54.6,55.65,53.41,4004306,-2.0,54.17
20241101,54.63,54.49,55.35,53.89,4752805,0.5,54.76
20241031,54.36,54.35,54.57,52.92,4478024,-0.66,53.9
20241030,54.72,54.37,55.04,53.5,4271731,-0.91,54.39
20241029,55.22,55.21,57.69,54.88,5566953,0.77,55.86
