trade_date,close,open,high,low,vol,pct_change,vwap
20241231,125.72,126.33,126.83,125.2,2962077,-0.02,125.78
20241230,125.75,124.55,126.16,124.02,2623607,-0.8,125.51
20241227,126.76,127.05,127.86,125.82,3077146,-0.99,126.65
20241226,128.03,126.53,128.17,126.49,2979921,0.76,127.67
20241224,127.06,125.07,127.22,124.59,2902565,2.1,126.56
20241223,124.45,123.1,124.67,122.79,4504117,0.82,124.07
20241220,123.44,121.2,124.54,120.53,13012684,2.44,123.26
20241219,120.5,124.78,124.94,120.3,8634570,-0.45,121.35
20241218,121.04,128.16,128.39,120.29,7593234,-5.25,123.38
20241217,127.74,128.1,128.7,127.18,7105074,-1.0,127.8
20241216,129.03,127.74,129.31,127.39,5650992,1.28,128.61
20241213,127.4,128.0,128.81,126.71,6081785,-0.4,127.62
20241212,127.91,127.89,128.83,127.36,3610681,0.25,127.92
20241211,127.59,127.75,127.95,126.28,8820539,0.63,127.36
20241210,126.79,127.63,128.61,126.53,6378344,-1.39,127.22
20241209,128.58,130.52,130.77,128.33,7739887,-1.06,129.06
20241206,129.96,130.52,130.57,129.18,4660301,-0.28,129.89
20241205,130.32,129.94,131.86,129.42,4894922,0.25,130.75
20241204,129.99,130.19,131.2,129.64,6177633,-0.34,130.27
20241203,130.44,133.19,133.19,130.01,4788672,-0.45,130.86
20241202,131.03,132.3,133.0,130.83,5507172,-0.44,131.57
20241129,131.61,132.28,132.73,131.42,4068221,0.3,131.96
20241127,131.21,131.49,132.43,130.57,5459109,-0.05,131.27
20241126,131.28,130.75,131.79,128.53,8808793,-1.78,130.7
20241125,133.66,135.44,136.24,133.58,7962656,-0.76,134.05
20241122,134.69,134.68,135.67,133.96,6104672,-0.22,134.74
20241121,134.99,133.2,135.57,133.14,5533063,2.51,134.8
20241120,131.69,133.16,133.65,131.05,4968734,-0.42,131.87
20241119,132.24,133.26,134.09,131.93,7240859,-1.15,132.79
20241118,133.78,134.69,135.51,133.42,6356395,-0.21,134.19
20241115,134.06,133.37,134.4,132.54,7176531,1.23,133.51
20241114,132.43,133.1,134.91,131.98,7324250,-0.25,132.94
20241113,132.76,133.46,134.65,132.47,6111254,0.34,133.32
20241112,132.31,133.19,133.82,131.71,5536805,-0.91,132.37
20241111,133.52,130.55,133.99,130.55,6848777,3.08,133.21
20241108,129.53,128.98,130.52,127.76,6927793,0.85,129.5
20241107,128.44,130.74,131.55,128.08,7770848,-2.32,129.29
20241106,131.49,129.51,133.52,127.66,22587747,11.61,130.89
20241105,117.81,116.09,117.9,116.09,4779008,1.44,117.47
20241104,116.14,117.01,117.45,115.94,4251922,-0.61,116.47
20241101,116.85,116.67,118.02,116.3,4247801,0.52,117.15
20241031,116.25,117.13,117.91,115.7,5354852,-1.42,116.46
20241030,117.92,118.61,119.32,117.79,5651547,-1.16,118.37
20241029,119.3,118.89,120.09,118.82,4620582,0.14,119.45
20241028,119.13,118.12,119.68,117.51,5993836,1.93,119.07
20241025,116.88,120.0,120.0,116.33,7259813,-1.92,117.69
20241024,119.17,118.4,119.34,117.94,5596188,0.75,118.81
20241023,118.28,117.89,118.74,117.2,4879777,-0.03,118.11
20241022,118.32,117.65,118.61,117.25,4361067,0.03,118.05
20241021,118.28,120.37,120.69,117.88,7175684,-2.3,118.47
20241018,121.06,119.53,121.12,119.11,6823774,1.36,120.45
20241017,119.44,119.77,120.36,118.73,9357152,-0.06,119.58
20241016,119.51,116.88,121.45,116.5,20996067,6.5,119.7
20241015,112.22,115.43,116.06,112.03,8903176,-0.05,112.97
20241014,112.28,111.05,112.44,110.55,6790078,1.65,111.83
20241011,110.46,109.0,111.48,109.0,5817863,2.2,110.58
20241010,108.08,108.44,109.03,107.65,4059078,-0.88,108.11
20241009,109.04,107.22,109.37,107.22,4234828,1.44,108.86
20241008,107.49,107.65,108.21,107.39,3595151,-0.14,107.67
