trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,253.65,254.94,250.97,252.77,531518,-0.12,252.35
2023-01-04,254.74,255.99,251.46,253.38,646541,0.24,253.55
2023-01-05,252.32,252.83,249.69,250.54,497957,-1.12,250.9
2023-01-06,254.21,260.33,252.05,259.1,359308,3.42,258.58
2023-01-09,259.7,263.31,255.61,255.93,492067,-1.22,258.1
2023-01-10,256.27,257.68,254.99,257.64,411569,0.67,256.71
2023-01-11,253.66,259.75,252.51,259.59,830361,0.76,257.07
2023-01-12,261.0,261.83,257.81,259.95,884658,0.14,259.79
2023-01-13,256.1,261.77,255.34,261.23,556296,0.49,259.98
2023-01-17,261.17,262.75,257.74,258.56,749495,-1.02,259.39
2023-01-18,259.13,259.67,251.91,252.24,533430,-2.44,253.64
2023-01-19,250.87,252.14,247.13,247.99,829241,-1.68,248.67
2023-01-20,248.11,250.87,246.49,250.72,488307,1.1,249.26
2023-01-23,250.54,254.23,249.36,252.21,419485,0.59,252.25
2023-01-24,250.98,252.68,247.63,251.63,418802,-0.23,251.17
2023-01-25,249.92,254.37,249.7,253.92,479159,0.91,252.98
2023-01-26,256.26,256.76,250.91,252.63,620245,-0.51,252.55
2023-01-27,252.07,253.09,249.44,249.83,507960,-1.11,250.6
2023-01-30,249.09,250.6,247.42,247.71,732789,-0.85,248.57
2023-01-31,248.72,252.41,248.13,252.39,713689,1.89,250.99
2023-02-01,250.92,255.89,249.33,255.1,583025,1.07,252.89
2023-02-02,255.86,256.33,249.76,251.32,856817,-1.48,251.6
2023-02-03,250.7,253.74,249.81,251.83,588753,0.2,251.82
2023-02-06,250.95,254.89,250.37,253.6,619989,0.7,253.41
2023-02-07,251.13,254.25,246.74,253.17,778472,-0.17,250.46
2023-02-08,252.0,255.35,250.69,253.36,633545,0.08,253.52
2023-02-09,254.84,256.93,252.51,252.53,817459,-0.33,254.15
2023-02-10,259.79,268.09,257.52,266.64,1397984,5.59,264.61
2023-02-13,267.11,268.88,263.79,266.69,993515,0.02,266.02
2023-02-14,265.98,267.24,263.43,265.56,690355,-0.42,265.79
2023-02-15,264.25,267.12,264.22,267.12,719370,0.59,266.09
2023-02-16,265.26,266.27,261.6,262.56,596942,-1.71,263.38
2023-02-17,262.73,266.32,260.73,264.58,785572,0.77,264.31
2023-02-21,264.17,264.43,261.37,263.6,676266,-0.37,263.26
2023-02-22,263.73,264.15,258.08,259.36,818540,-1.61,260.31
2023-02-23,260.93,261.33,257.41,259.26,852386,-0.04,259.25
2023-02-24,257.2,258.6,255.09,257.1,840438,-0.83,256.65
2023-02-27,259.72,260.33,256.93,258.22,561679,0.44,258.27
2023-02-28,257.94,260.26,257.55,258.09,732174,-0.05,258.69
2023-03-01,256.53,258.83,256.0,258.62,544394,0.21,257.99
2023-03-02,258.01,259.75,256.57,258.82,436045,0.08,258.35
2023-03-03,260.16,261.81,259.36,261.77,495407,1.14,261.04
2023-03-06,263.04,264.89,262.25,263.18,498556,0.54,263.2
2023-03-07,264.37,264.86,259.27,261.18,706806,-0.76,261.08
2023-03-08,262.06,263.43,260.88,262.78,494553,0.61,262.32
2023-03-09,263.92,266.14,260.22,260.41,550171,-0.9,262.86
2023-03-10,260.2,260.79,256.05,256.78,546274,-1.39,257.79
2023-03-13,254.59,259.59,253.26,256.46,840749,-0.12,257.24
2023-03-14,259.43,263.45,257.86,262.35,890743,2.3,261.76
2023-03-15,259.31,259.64,252.1,254.93,1030203,-2.83,254.59
2023-03-16,257.48,265.34,257.03,264.65,952582,3.81,262.87
2023-03-17,264.97,265.55,258.3,260.37,1475738,-1.62,260.76
2023-03-20,261.12,266.34,261.06,264.18,743281,1.46,264.79
2023-03-21,266.86,269.03,264.97,267.68,781485,1.32,267.53
2023-03-22,267.03,269.11,263.43,263.62,463636,-1.52,266.09
2023-03-23,263.75,268.26,262.11,264.23,601511,0.23,265.08
2023-03-24,264.23,267.96,262.05,267.7,625324,1.31,266.06
2023-03-27,269.51,271.79,269.06,270.18,521229,0.93,270.6
2023-03-28,270.18,271.12,268.32,268.88,559717,-0.48,269.53
2023-03-29,271.21,273.56,270.5,272.76,498941,1.44,272.61
2023-03-30,275.9,278.03,274.86,277.52,825969,1.75,276.57
2023-03-31,279.01,282.05,278.55,281.94,730601,1.59,280.9
2023-04-03,279.65,282.02,279.58,281.25,672558,-0.24,281.09
2023-04-04,282.02,282.02,278.13,281.71,650137,0.16,280.99
2023-04-05,281.82,282.02,278.93,281.95,1043371,0.09,280.7
2023-04-06,279.79,280.39,277.81,279.31,795330,-0.94,279.0
2023-04-10,278.85,279.78,277.3,279.47,590877,0.06,278.92
2023-04-11,278.85,280.56,278.42,279.35,625063,-0.04,279.44
2023-04-12,280.55,283.21,279.03,281.53,639296,0.78,281.84
2023-04-13,283.0,285.5,281.57,285.16,755682,1.29,284.22
2023-04-14,285.68,287.87,284.74,287.19,969457,0.71,287.14
2023-04-17,287.12,288.01,285.22,286.66,656528,-0.18,286.48
2023-04-18,287.95,289.02,284.8,286.24,563732,-0.15,286.28
2023-04-19,285.45,285.54,283.24,284.64,513123,-0.56,284.43
2023-04-20,283.49,284.53,281.88,283.51,600054,-0.4,283.61
2023-04-21,285.49,288.69,284.62,288.46,615279,1.75,287.39
2023-04-24,288.71,290.23,287.18,289.1,501758,0.22,288.72
2023-04-25,289.32,289.32,284.77,285.06,564717,-1.4,286.01
2023-04-26,282.66,284.97,282.45,283.48,610209,-0.55,283.74
2023-04-27,284.63,289.5,283.2,289.35,841077,2.07,287.38
2023-04-28,288.29,289.34,284.54,287.13,886966,-0.77,286.49
2023-05-01,288.22,290.77,288.15,290.25,460923,1.09,290.02
2023-05-02,289.63,290.34,285.92,288.87,665788,-0.48,288.12
2023-05-03,290.68,290.68,284.25,284.39,595591,-1.55,286.32
2023-05-04,283.91,288.38,283.62,286.16,968799,0.62,286.55
2023-05-05,280.94,284.63,272.92,277.44,1501288,-3.05,279.03
2023-05-08,279.85,282.95,278.66,280.73,1096083,1.19,280.62
2023-05-09,280.36,282.92,279.76,282.37,590257,0.58,281.41
2023-05-10,283.81,287.09,282.99,285.31,545954,1.04,285.25
2023-05-11,285.66,285.66,282.85,284.19,461118,-0.39,284.48
2023-05-12,285.88,289.0,285.08,288.67,610145,1.58,287.5
2023-05-15,288.31,289.31,284.76,287.6,508641,-0.37,286.59
2023-05-16,287.32,288.14,286.2,287.11,455860,-0.17,287.22
2023-05-17,288.9,289.21,284.98,288.36,651324,0.44,287.92
2023-05-18,286.71,292.53,286.71,292.19,654082,1.33,290.91
2023-05-19,294.13,295.04,292.79,293.09,727788,0.31,293.69
2023-05-22,292.09,293.31,288.85,289.46,792087,-1.24,290.54
2023-05-23,287.3,287.43,280.83,281.25,751714,-2.84,282.79
2023-05-24,280.65,280.9,277.75,279.43,595643,-0.65,279.32
2023-05-25,280.51,280.73,277.74,277.87,946737,-0.56,278.63
2023-05-26,279.71,283.52,279.46,280.4,932085,0.91,281.27
2023-05-30,280.63,283.29,279.06,280.85,1052798,0.16,280.58
2023-05-31,281.12,282.65,277.46,277.79,2279470,-1.09,278.27
2023-06-01,277.79,278.7,275.72,278.09,912647,0.11,277.67
2023-06-02,277.37,279.86,276.78,278.59,1361486,0.18,278.39
2023-06-05,280.84,282.34,278.92,279.1,698968,0.18,280.35
2023-06-06,278.56,279.26,271.84,274.17,982160,-1.77,273.75
2023-06-07,274.17,277.03,274.05,276.75,650302,0.94,276.22
2023-06-08,276.21,276.51,274.14,275.12,1193589,-0.59,275.33
2023-06-09,275.87,276.0,272.7,273.92,716236,-0.44,274.05
2023-06-12,274.35,277.21,272.94,277.18,736831,1.19,276.05
2023-06-13,277.27,278.04,274.15,275.89,695237,-0.47,275.65
2023-06-14,275.89,277.17,273.41,275.1,1375354,-0.29,274.84
2023-06-15,274.77,279.4,274.23,279.01,889422,1.42,278.25
2023-06-16,279.73,281.41,276.33,277.02,1303084,-0.71,277.76
2023-06-21,275.67,279.38,273.6,277.91,927486,0.73,277.38
2023-06-22,278.5,280.45,277.28,280.41,679673,0.9,279.35
2023-06-23,278.62,279.2,273.21,275.39,4768387,-1.79,275.29
2023-06-26,276.69,279.52,276.31,277.15,525935,0.64,277.38
2023-06-27,278.04,281.74,277.68,280.6,549009,1.24,280.33
2023-06-28,278.86,281.78,277.98,280.27,442547,-0.12,280.39
2023-06-29,281.27,285.62,281.08,285.26,539078,1.78,284.62
2023-06-30,287.38,290.95,286.07,289.89,875154,1.62,289.41
2023-07-03,287.53,289.38,285.99,289.38,328360,-0.18,288.3
2023-07-05,287.96,289.65,285.8,289.36,945805,-0.01,288.22
2023-07-06,287.7,292.9,286.54,292.21,811740,0.98,291.2
2023-07-07,289.74,290.83,288.31,288.5,654625,-1.27,289.17
2023-07-10,288.99,292.79,288.99,291.57,512721,1.06,291.14
2023-07-11,292.08,293.78,291.17,292.88,665458,0.45,292.65
2023-07-12,292.84,294.67,290.77,291.46,749766,-0.48,292.23
2023-07-13,292.32,293.88,288.55,288.79,644354,-0.92,289.58
2023-07-14,286.47,288.78,285.84,287.7,598567,-0.38,287.51
2023-07-17,287.04,289.03,286.8,288.13,544809,0.15,288.07
2023-07-18,287.93,288.33,285.6,287.35,405789,-0.27,287.12
2023-07-19,288.12,289.79,285.67,288.59,452425,0.43,288.21
2023-07-20,288.39,292.41,287.49,292.1,611243,1.22,291.2
2023-07-21,293.22,294.95,292.5,292.77,530983,0.23,293.5
2023-07-24,293.27,293.36,290.96,292.15,362597,-0.21,292.05
2023-07-25,291.75,294.72,291.18,294.52,365597,0.81,293.46
2023-07-26,293.6,294.23,290.03,291.99,608592,-0.86,291.66
2023-07-27,292.62,293.39,288.15,288.32,773645,-1.26,289.61
2023-07-28,288.46,291.4,287.41,287.69,899032,-0.22,288.87
2023-07-31,287.32,287.32,279.73,283.32,1800529,-1.52,282.42
2023-08-01,285.46,287.64,283.47,284.8,882721,0.52,285.34
2023-08-02,283.84,285.9,282.04,284.33,651246,-0.17,284.65
2023-08-03,281.57,286.17,280.13,284.39,799371,0.02,284.46
2023-08-04,289.75,290.71,275.25,275.63,1307849,-3.08,279.85
2023-08-07,276.92,279.61,273.73,277.17,895414,0.56,276.1
2023-08-08,276.85,280.33,274.38,274.59,747479,-0.93,275.97
2023-08-09,274.43,280.41,274.06,277.97,1085411,1.23,277.76
