trade_date,close,open,high,low,vol,pct_change,vwap
20241231,1223.68,1227.7,1240.65,1213.7,126524,0.31,1226.14
20241230,1219.92,1222.67,1231.84,1209.99,73541,-1.16,1221.26
20241227,1234.23,1231.36,1245.76,1228.87,70525,-0.89,1234.78
20241226,1245.28,1234.43,1247.02,1234.43,39713,-0.08,1242.68
20241224,1246.3,1233.77,1248.2,1229.77,33618,0.96,1242.0
20241223,1234.39,1219.44,1236.33,1219.15,87452,0.3,1231.52
20241220,1230.74,1206.07,1240.66,1197.12,273241,2.05,1229.56
20241219,1206.02,1213.72,1219.51,1198.25,125228,-0.69,1206.38
20241218,1214.44,1244.1,1252.39,1211.05,136267,-2.6,1224.2
20241217,1246.88,1257.67,1279.12,1241.98,118483,-1.1,1252.51
20241216,1260.73,1267.79,1287.23,1257.14,113912,-1.27,1265.51
20241213,1276.98,1276.92,1280.0,1259.04,113724,0.0,1270.91
20241212,1276.92,1261.29,1282.41,1261.29,82944,0.5,1275.7
20241211,1270.63,1287.33,1292.88,1270.46,79837,0.0,1276.2
20241210,1270.69,1289.88,1292.5,1264.51,106299,-0.86,1276.39
20241209,1281.69,1262.6,1285.72,1258.28,149003,1.89,1278.17
20241206,1257.92,1264.7,1289.89,1253.78,108460,0.8,1264.31
20241205,1247.9,1259.23,1266.42,1245.99,105356,-1.18,1251.93
20241204,1262.75,1251.0,1272.34,1245.87,74689,0.39,1262.77
20241203,1257.86,1250.64,1261.67,1232.28,96371,-0.08,1253.35
20241202,1258.88,1248.48,1261.56,1232.42,96651,0.61,1252.86
20241129,1251.2,1248.69,1256.56,1242.54,74430,0.63,1251.85
20241127,1243.4,1242.48,1249.78,1234.61,88989,0.9,1243.46
20241126,1232.3,1193.03,1233.19,1192.97,176147,0.64,1218.76
20241125,1224.47,1228.72,1264.87,1222.13,254732,0.53,1232.22
20241122,1217.97,1196.31,1226.1,1194.37,169646,1.77,1216.55
20241121,1196.82,1166.9,1197.87,1156.88,164425,2.56,1183.8
20241120,1166.9,1160.67,1175.07,1155.59,272929,0.54,1165.12
20241119,1160.67,1162.17,1176.04,1160.67,178862,-1.18,1165.7
20241118,1174.56,1176.1,1191.51,1172.75,162870,-0.43,1178.28
20241115,1179.58,1237.19,1237.19,1176.66,355963,-4.7,1197.7
20241114,1237.78,1255.0,1255.0,1228.29,177448,-1.66,1238.77
20241113,1258.66,1254.84,1266.48,1253.15,116440,-0.18,1260.11
20241112,1260.97,1255.7,1270.09,1245.0,160929,0.87,1257.18
20241111,1250.07,1310.43,1311.7,1235.98,295697,-4.58,1258.85
20241108,1310.03,1342.83,1363.75,1302.64,252451,-7.19,1317.71
20241107,1411.52,1410.0,1417.0,1387.41,154012,0.95,1404.7
20241106,1398.19,1431.46,1431.46,1362.16,210417,0.89,1386.94
20241105,1385.79,1358.71,1390.08,1348.43,103516,1.6,1378.0
20241104,1364.02,1349.96,1371.54,1348.14,117713,1.63,1362.71
20241101,1342.09,1338.6,1387.73,1323.88,173842,3.9,1352.1
20241031,1291.75,1289.0,1304.15,1288.38,117063,-0.81,1294.79
20241030,1302.24,1299.85,1317.03,1299.85,81539,0.39,1307.41
20241029,1297.17,1286.37,1300.0,1285.26,92350,0.17,1294.84
20241028,1294.92,1308.41,1308.52,1285.67,132569,0.17,1294.41
20241025,1292.77,1302.73,1305.06,1289.51,91366,-0.05,1295.65
20241024,1293.38,1320.15,1320.15,1290.18,138737,-2.04,1298.65
20241023,1320.35,1354.12,1354.14,1314.09,138373,-2.33,1324.25
20241022,1351.78,1349.93,1356.83,1332.72,123553,-1.02,1351.38
20241021,1365.68,1363.14,1372.7,1357.08,93980,-0.6,1363.74
20241018,1373.98,1377.45,1379.38,1357.17,119783,0.72,1369.74
20241017,1364.19,1422.37,1430.37,1360.5,160861,-2.87,1378.72
20241016,1404.47,1445.11,1456.0,1389.4,183592,-3.37,1411.16
20241015,1453.4,1459.22,1486.76,1449.69,93860,-0.24,1464.24
20241014,1456.89,1448.98,1459.46,1437.36,69798,0.41,1452.6
20241011,1450.95,1449.28,1463.39,1446.9,61629,0.6,1451.53
20241010,1442.34,1434.23,1454.21,1425.05,66471,-0.57,1444.12
20241009,1450.6,1459.73,1471.79,1442.57,95566,-0.06,1449.36
20241008,1451.47,1461.44,1461.44,1439.76,75053,-0.94,1448.81
20241007,1465.25,1444.89,1469.25,1437.46,106292,0.86,1457.52
20241004,1452.82,1477.9,1477.9,1447.88,99968,-0.72,1455.87
20241003,1463.4,1485.82,1488.75,1461.0,80843,-2.32,1470.78
20241002,1498.12,1468.0,1521.01,1460.53,226628,1.39,1505.11
20241001,1477.64,1494.09,1495.74,1463.95,130773,-1.47,1481.37
20240930,1499.7,1471.84,1500.0,1452.77,128896,1.41,1489.97
20240927,1478.92,1485.75,1515.63,1462.66,140254,-0.81,1483.11
20240926,1491.02,1434.23,1492.92,1430.66,164068,4.97,1478.37
20240925,1420.36,1440.98,1440.98,1405.63,91278,-1.55,1419.69
20240924,1442.66,1404.95,1446.34,1404.95,124432,2.61,1435.26
20240923,1405.9,1413.78,1413.78,1388.21,58458,-0.01,1402.89
