trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,50.12,50.52,49.12,49.93,12422762,0.79,49.87
2023-01-04,52.59,54.05,52.27,53.73,25077301,7.61,53.23
2023-01-05,53.42,54.91,53.42,54.23,18030891,0.93,54.22
2023-01-06,54.95,56.79,53.56,56.28,21069766,3.78,55.71
2023-01-09,56.33,57.01,55.17,55.87,15715899,-0.73,56.18
2023-01-10,55.67,56.78,55.37,56.71,10571344,1.5,56.19
2023-01-11,56.85,57.96,56.42,57.55,12142993,1.48,57.28
2023-01-12,57.6,57.73,55.94,56.77,14888083,-1.36,56.68
2023-01-13,56.24,56.47,55.63,56.43,12520633,-0.6,56.16
2023-01-17,56.66,58.09,56.06,56.36,10962708,-0.12,56.79
2023-01-18,57.01,57.54,55.87,56.02,10035266,-0.6,56.5
2023-01-19,55.23,56.59,54.8,55.87,12034243,-0.27,55.71
2023-01-20,56.97,58.06,56.27,57.95,13826368,3.72,57.36
2023-01-23,58.41,61.37,58.35,61.28,20175379,5.75,60.57
2023-01-24,60.67,61.18,60.34,60.73,10183215,-0.9,60.75
2023-01-25,60.14,61.13,59.89,61.0,10787200,0.44,60.6
2023-01-26,62.04,62.5,60.76,62.25,12219465,2.05,61.88
2023-01-27,61.6,63.78,61.42,63.31,15895821,1.7,63.05
2023-01-30,62.21,62.73,61.15,61.17,16168977,-3.38,61.67
2023-01-31,58.59,59.81,58.14,59.78,23856293,-2.27,59.28
2023-02-01,60.09,62.68,59.86,62.06,20902196,3.81,61.25
2023-02-02,63.01,63.36,61.32,62.62,15877622,0.9,62.39
2023-02-03,61.46,63.23,61.36,61.87,12187051,-1.2,62.28
2023-02-06,60.41,60.65,59.22,59.46,11484266,-3.9,59.73
2023-02-07,59.57,61.84,59.18,61.59,12713114,3.58,60.74
2023-02-08,60.91,61.79,59.71,59.73,9510473,-3.02,60.25
2023-02-09,60.67,61.28,59.17,59.66,10094688,-0.12,60.15
2023-02-10,59.97,60.23,58.73,59.3,11429708,-0.6,59.31
2023-02-13,59.3,59.76,58.33,59.6,11466243,0.51,59.26
2023-02-14,59.0,61.76,58.52,61.53,12496243,3.24,60.57
2023-02-15,60.8,61.4,59.93,61.3,10461965,-0.37,60.79
2023-02-16,60.25,60.82,59.33,59.53,12683411,-2.89,60.01
2023-02-17,59.32,59.65,58.0,58.5,10874860,-1.73,58.57
2023-02-21,57.83,59.19,56.99,57.1,12667500,-2.39,57.8
2023-02-22,57.23,58.06,56.33,56.48,12260336,-1.09,56.9
2023-02-23,58.63,59.23,56.94,58.24,16094551,3.12,58.1
2023-02-24,57.2,57.86,56.85,57.67,9867371,-0.98,57.37
2023-02-27,58.65,59.04,57.33,57.4,8513992,-0.47,57.84
2023-02-28,57.14,58.22,56.9,57.32,10493266,-0.14,57.53
2023-03-01,57.36,58.04,56.72,56.84,9141395,-0.84,57.19
2023-03-02,55.02,56.2,54.24,55.94,16628954,-1.58,55.17
2023-03-03,55.97,56.38,54.96,56.29,13769227,0.63,55.89
2023-03-06,56.78,58.14,56.05,56.34,14472223,0.09,56.88
2023-03-07,56.01,56.24,54.83,55.08,13278336,-2.24,55.26
2023-03-08,55.35,56.42,54.87,56.39,11515668,2.38,55.84
2023-03-09,56.15,57.06,55.06,55.12,10199961,-2.25,55.84
2023-03-10,55.18,56.02,54.06,54.45,14180700,-1.22,54.79
2023-03-13,53.5,54.08,52.3,53.43,17365239,-1.87,53.26
2023-03-14,54.49,54.94,53.23,53.8,14657040,0.69,54.0
2023-03-15,52.87,53.8,52.42,53.66,14643637,-0.26,53.11
2023-03-16,53.22,56.22,53.14,56.08,14794235,4.51,55.11
2023-03-17,56.31,57.22,55.73,56.17,26655250,0.16,56.29
2023-03-20,56.21,57.36,55.59,57.14,10610208,1.73,56.58
2023-03-21,57.87,59.0,57.09,58.12,14613708,1.72,58.02
2023-03-22,57.89,59.88,57.58,57.66,16949317,-0.79,58.5
2023-03-23,58.66,61.24,58.62,60.81,23903102,5.46,60.44
2023-03-24,59.98,60.87,59.97,60.63,18740563,-0.3,60.43
2023-03-27,60.66,60.89,58.66,59.27,15901000,-2.24,59.57
2023-03-28,59.28,59.35,57.31,58.76,20496262,-0.86,58.23
2023-03-29,60.38,63.86,60.34,62.99,51939840,7.2,62.59
2023-03-30,63.47,63.54,61.94,62.54,23038348,-0.71,62.53
2023-03-31,59.82,61.12,59.38,59.81,35416497,-4.37,60.29
2023-04-03,59.28,59.28,57.37,59.09,23610825,-1.2,58.44
2023-04-04,59.16,59.57,56.45,56.77,21303219,-3.93,57.6
2023-04-05,56.33,56.61,55.52,56.52,19456215,-0.44,56.09
2023-04-06,56.57,58.75,56.42,58.17,21496508,2.92,58.08
2023-04-10,60.77,63.34,60.59,62.85,43280137,8.05,62.67
2023-04-11,63.21,63.86,62.62,63.14,23090192,0.46,63.19
2023-04-12,63.93,63.93,61.43,61.54,16694110,-2.53,62.24
2023-04-13,61.1,62.95,60.38,62.58,23286547,1.69,62.0
2023-04-14,62.76,62.8,61.35,62.21,14953016,-0.59,62.04
2023-04-17,61.8,62.35,61.56,62.12,11546754,-0.14,61.94
2023-04-18,62.91,63.02,61.07,61.52,12175168,-0.97,61.61
2023-04-19,60.57,60.8,59.98,60.24,11652637,-2.08,60.33
2023-04-20,59.48,61.53,59.47,61.05,14382204,1.34,60.97
2023-04-21,60.74,61.03,60.32,60.72,9606176,-0.54,60.68
2023-04-24,59.69,60.47,58.95,59.11,13402645,-2.65,59.49
2023-04-25,58.73,58.94,57.64,57.75,15987313,-2.3,58.04
2023-04-26,59.18,60.77,58.94,60.61,25385016,4.95,60.18
2023-04-27,60.34,61.54,59.73,61.49,13524586,1.45,60.93
2023-04-28,62.01,64.0,61.88,63.93,18094719,3.97,63.24
2023-05-01,63.46,63.67,61.89,61.93,12823372,-3.13,62.29
2023-05-02,61.81,62.16,60.83,61.49,12237629,-0.71,61.49
2023-05-03,61.08,61.76,60.41,60.5,10818079,-1.61,60.94
2023-05-04,60.14,60.55,59.5,60.1,13357926,-0.66,59.97
2023-05-05,60.2,61.33,59.7,60.82,12312661,1.2,60.82
2023-05-08,60.84,60.93,59.9,60.46,11510442,-0.59,60.5
2023-05-09,59.48,60.98,59.15,60.52,11895219,0.1,60.29
2023-05-10,61.51,61.89,59.39,59.59,14548696,-1.54,60.12
2023-05-11,60.18,61.4,59.66,61.2,15536579,2.7,60.78
2023-05-12,61.57,61.77,59.75,60.51,12131368,-1.13,60.75
2023-05-15,61.81,64.44,61.39,64.21,22227200,6.11,63.17
2023-05-16,64.12,64.78,62.88,63.3,15266399,-1.42,63.72
2023-05-17,64.15,64.88,63.01,64.48,15947696,1.86,64.19
2023-05-18,65.54,68.13,64.64,67.12,30688020,4.09,67.21
2023-05-19,67.12,67.93,65.98,67.71,16812098,0.88,67.29
2023-05-22,65.31,66.3,64.33,65.79,37491047,-2.84,65.42
2023-05-23,65.41,67.11,65.27,65.57,15896231,-0.33,66.11
2023-05-24,64.51,66.28,64.45,66.08,15806645,0.78,65.45
2023-05-25,69.28,69.41,67.06,69.14,29021516,4.63,68.58
2023-05-26,69.41,74.09,69.33,73.43,33409985,6.2,72.71
2023-05-30,73.89,74.27,71.1,71.21,24454684,-3.02,71.94
2023-05-31,68.43,69.38,67.46,67.74,30403610,-4.87,68.02
2023-06-01,68.48,69.32,67.64,68.63,18153028,1.31,68.54
2023-06-02,69.52,70.07,67.83,68.71,13468239,0.12,68.69
2023-06-05,69.03,69.03,67.06,67.32,12441090,-2.02,67.56
2023-06-06,66.58,68.38,66.37,67.09,12476559,-0.34,67.23
2023-06-07,67.95,68.2,66.5,66.61,14610809,-0.72,67.16
2023-06-08,66.06,66.07,63.58,64.88,25856754,-2.6,64.59
2023-06-09,65.49,65.96,64.03,64.99,14652512,0.17,65.01
2023-06-12,65.4,67.09,65.35,67.0,14742477,3.09,66.56
2023-06-13,68.1,68.42,67.15,67.42,11911879,0.63,67.73
2023-06-14,67.09,68.75,67.07,68.66,11085817,1.84,68.05
2023-06-15,68.13,69.05,67.9,68.36,11842645,-0.44,68.42
2023-06-16,69.68,70.03,65.62,67.21,32259692,-1.68,67.31
2023-06-21,66.3,66.75,64.9,65.36,10427172,-1.64,65.65
2023-06-22,65.09,66.21,65.07,65.81,8646856,0.69,65.75
2023-06-23,65.01,65.52,64.41,64.84,12663594,-1.47,64.92
2023-06-26,65.19,66.25,64.97,65.01,13772051,0.26,65.5
2023-06-27,64.83,66.39,63.37,66.34,18305176,2.05,65.32
2023-06-28,65.21,67.28,64.95,66.62,27100090,0.42,66.41
2023-06-29,67.39,67.49,63.12,63.9,51141899,-4.08,64.11
2023-06-30,64.06,64.66,62.48,62.69,31549614,-1.89,63.14
2023-07-03,63.01,63.89,62.83,63.47,12921258,1.24,63.32
2023-07-05,63.07,63.32,61.6,61.64,16552989,-2.88,62.12
2023-07-06,60.58,61.38,60.09,60.82,15622711,-1.33,60.62
2023-07-07,61.13,61.19,60.33,60.36,15028086,-0.76,60.75
2023-07-10,60.53,62.53,60.29,62.18,16953141,3.02,61.8
2023-07-11,62.3,63.36,62.01,63.29,13464461,1.79,62.84
2023-07-12,64.16,64.39,62.82,63.48,13953590,0.3,63.42
2023-07-13,63.87,64.33,63.24,64.22,11384661,1.17,63.97
2023-07-14,63.99,65.22,63.37,63.77,13860247,-0.7,64.05
2023-07-17,63.49,65.35,63.03,64.85,11333641,1.69,64.55
2023-07-18,64.06,64.81,63.44,64.63,10402309,-0.34,64.13
2023-07-19,65.31,65.44,64.49,64.65,9463942,0.03,64.92
2023-07-20,64.09,65.23,63.94,64.38,12745071,-0.42,64.58
2023-07-21,64.97,65.84,64.03,65.33,24540157,1.48,65.24
2023-07-24,65.04,66.32,64.91,65.16,10275071,-0.26,65.46
2023-07-25,65.08,65.68,64.77,65.36,8610906,0.31,65.32
2023-07-26,64.69,67.55,64.69,67.05,14920571,2.59,66.78
2023-07-27,70.14,71.99,69.62,70.73,25068348,5.49,70.82
2023-07-28,71.23,71.78,70.31,70.86,11935821,0.18,71.02
2023-07-31,70.78,71.42,70.53,71.05,11193790,0.27,70.99
2023-08-01,70.66,70.74,69.55,70.42,13153446,-0.89,70.29
2023-08-02,69.41,69.51,67.01,67.84,14012012,-3.66,67.95
2023-08-03,67.24,69.05,66.84,68.85,11081192,1.49,68.21
2023-08-04,69.16,70.59,68.8,69.57,11255547,1.05,69.7
2023-08-07,69.51,69.89,68.5,69.04,10537536,-0.76,69.14
2023-08-08,68.37,68.43,66.64,67.32,14767793,-2.49,67.27
2023-08-09,67.45,67.64,66.3,66.38,10043176,-1.4,66.9
2023-08-10,66.74,67.13,64.62,65.12,12775329,-1.9,65.59
2023-08-11,64.59,64.99,63.76,64.06,11823083,-1.63,64.2
2023-08-14,64.06,68.15,63.89,67.95,21953958,6.07,67.19
2023-08-15,67.26,67.3,65.0,65.01,13808528,-4.33,65.76
2023-08-16,64.69,64.91,63.78,63.91,9895359,-1.69,64.23
2023-08-17,64.18,64.4,63.09,63.25,9933301,-1.03,63.62
2023-08-18,62.01,63.55,61.45,63.28,9576535,0.05,62.99
2023-08-21,63.37,63.88,62.56,63.65,11311887,0.58,63.37
2023-08-22,63.99,64.77,62.98,63.1,8877758,-0.86,63.56
2023-08-23,63.26,65.3,62.86,64.88,10747418,2.82,64.48
2023-08-24,65.82,65.92,63.06,63.38,12661625,-2.31,63.93
2023-08-25,63.15,64.08,62.32,63.41,9409035,0.05,63.23
2023-08-28,65.4,65.79,64.35,64.99,9904856,2.49,65.04
2023-08-29,64.59,66.71,64.56,66.36,9954961,2.11,66.09
2023-08-30,66.87,68.37,66.2,67.76,16892172,2.11,67.44
