trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,60.06,60.38,59.59,60.28,1595989,0.67,60.04
2023-01-04,60.74,61.16,59.9,60.18,2093299,-0.17,60.41
2023-01-05,59.76,59.9,58.68,58.8,1724365,-2.29,59.07
2023-01-06,59.44,60.33,59.06,60.18,1536014,2.35,59.99
2023-01-09,60.45,61.7,60.28,61.11,2466483,1.55,61.18
2023-01-10,60.99,61.57,60.74,61.05,1291174,-0.1,61.09
2023-01-11,61.23,61.83,61.23,61.51,2482470,0.75,61.55
2023-01-12,61.65,61.74,60.69,61.48,2557981,-0.05,61.4
2023-01-13,60.93,62.15,60.83,61.84,2881994,0.59,61.59
2023-01-17,61.64,62.2,61.34,61.86,2909386,0.03,61.9
2023-01-18,61.93,62.37,61.21,61.3,3289459,-0.91,61.59
2023-01-19,60.68,61.03,59.49,59.54,1617112,-2.87,59.89
2023-01-20,59.54,60.64,59.19,60.58,2766489,1.75,60.0
2023-01-23,60.43,61.29,60.06,60.83,2227100,0.41,60.81
2023-01-24,60.93,61.02,60.28,60.44,3403219,-0.64,60.6
2023-01-25,57.54,57.54,54.56,56.91,8213348,-5.84,56.16
2023-01-26,56.5,58.73,56.12,58.67,4697676,3.09,58.04
2023-01-27,58.38,59.22,58.2,59.05,3123656,0.65,58.96
2023-01-30,59.03,59.17,57.9,58.22,2268309,-1.41,58.34
2023-01-31,58.42,58.75,57.95,58.75,2587110,0.91,58.37
2023-02-01,58.75,58.91,57.56,58.08,2492863,-1.14,58.11
2023-02-02,58.31,59.2,58.22,59.12,2331008,1.79,58.87
2023-02-03,58.47,59.53,58.4,59.1,1639128,-0.03,59.05
2023-02-06,58.6,58.84,57.8,57.88,1490882,-2.06,58.12
2023-02-07,57.88,58.75,57.3,58.52,2477961,1.11,58.09
2023-02-08,58.37,58.65,58.02,58.22,1851880,-0.51,58.29
2023-02-09,58.41,58.56,57.38,57.57,1590365,-1.12,57.89
2023-02-10,57.2,58.22,57.11,58.2,2040998,1.09,57.83
2023-02-13,58.46,58.7,57.75,58.17,1974541,-0.05,58.21
2023-02-14,58.12,58.54,57.03,57.22,1870295,-1.63,57.44
2023-02-15,56.92,57.81,56.88,57.75,1732788,0.93,57.53
2023-02-16,57.46,57.69,56.99,57.04,1167362,-1.23,57.26
2023-02-17,56.86,57.24,56.69,57.16,1148329,0.21,57.01
2023-02-21,56.55,56.63,55.15,55.42,3089069,-3.04,55.48
2023-02-22,55.6,55.86,55.19,55.74,2670079,0.58,55.61
2023-02-23,55.87,56.16,55.22,55.83,1909423,0.16,55.75
2023-02-24,55.48,55.76,55.23,55.69,1160561,-0.25,55.56
2023-02-27,56.23,56.37,54.99,55.0,1328898,-1.24,55.29
2023-02-28,55.04,55.13,54.64,54.72,3278178,-0.51,54.87
2023-03-01,54.46,54.91,54.09,54.22,2272471,-0.91,54.36
2023-03-02,53.77,54.77,53.74,54.66,2043405,0.81,54.41
2023-03-03,54.91,54.98,54.47,54.88,2373689,0.4,54.76
2023-03-06,54.99,55.36,54.62,54.73,2277591,-0.27,54.87
2023-03-07,54.62,54.87,53.64,53.7,1914655,-1.88,54.03
2023-03-08,53.69,54.07,53.51,53.81,1859031,0.2,53.78
2023-03-09,53.93,54.07,52.8,53.02,2524582,-1.47,53.32
2023-03-10,52.61,52.61,50.95,51.34,3462165,-3.17,51.61
2023-03-13,51.21,51.76,50.69,50.73,3742413,-1.19,51.12
2023-03-14,51.95,52.36,51.18,51.5,2754660,1.52,51.67
2023-03-15,50.45,51.21,50.23,50.67,2629874,-1.61,50.64
2023-03-16,50.43,52.47,50.07,52.04,2856753,2.7,51.95
2023-03-17,52.12,52.77,51.1,51.69,5554934,-0.67,51.78
2023-03-20,51.61,52.15,51.48,51.86,2829153,0.33,51.84
2023-03-21,52.61,53.19,52.28,52.92,2606882,2.04,52.86
2023-03-22,52.92,53.34,51.87,51.87,2309270,-1.98,52.46
2023-03-23,51.76,52.03,51.07,51.43,2829299,-0.85,51.54
2023-03-24,51.0,52.0,50.95,52.0,2892697,1.11,51.65
2023-03-27,52.53,52.62,52.05,52.18,1330006,0.35,52.21
2023-03-28,51.93,52.16,51.57,51.87,2570350,-0.59,51.83
2023-03-29,52.39,53.19,52.28,53.0,2123498,2.18,52.84
2023-03-30,53.23,53.69,52.86,52.94,2599682,-0.11,53.13
2023-03-31,53.28,53.6,52.94,53.57,2895920,1.19,53.28
2023-04-03,53.28,53.5,52.94,53.31,3159101,-0.49,53.19
2023-04-04,53.34,53.83,53.15,53.6,2515985,0.54,53.45
2023-04-05,53.56,53.98,53.2,53.46,2933346,-0.26,53.47
2023-04-06,53.53,53.93,53.28,53.8,2440168,0.64,53.71
2023-04-10,53.34,53.62,52.89,53.29,1641222,-0.95,53.21
2023-04-11,53.29,53.6,53.01,53.26,2566698,-0.06,53.29
2023-04-12,53.67,54.27,53.58,53.79,2942424,1.0,53.86
2023-04-13,53.79,54.53,53.57,54.44,3513787,1.21,54.28
2023-04-14,54.38,54.48,53.78,54.05,6008234,-0.72,54.02
2023-04-17,53.77,54.78,53.76,54.65,3195755,1.11,54.48
2023-04-18,54.61,55.07,54.39,54.49,3626428,-0.29,54.62
2023-04-19,55.85,56.82,55.69,56.21,5782961,3.16,56.3
