trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,129.31,130.89,127.35,128.57,1653344,-0.57,128.9
2023-01-04,129.2,135.54,129.17,134.4,2183148,4.53,133.47
2023-01-05,133.91,135.81,131.81,134.45,1712309,0.04,134.21
2023-01-06,136.65,143.13,136.62,141.2,2092470,5.02,141.03
2023-01-09,142.34,142.86,138.34,138.39,1670847,-1.99,140.53
2023-01-10,139.43,148.42,139.27,148.29,2801060,7.15,145.72
2023-01-11,148.28,151.62,148.28,151.56,2274519,2.21,150.28
2023-01-12,152.54,153.4,150.04,152.75,1698610,0.79,152.16
2023-01-13,152.06,155.05,151.55,154.57,1330270,1.19,153.88
2023-01-17,154.21,156.89,150.95,152.18,2028853,-1.55,153.27
2023-01-18,153.7,156.59,149.36,149.46,1769770,-1.79,152.27
2023-01-19,148.13,149.84,146.81,147.93,1389428,-1.02,148.18
2023-01-20,147.81,150.56,146.96,150.55,1564642,1.77,149.45
2023-01-23,150.78,151.93,149.24,150.93,1246331,0.25,150.74
2023-01-24,150.16,160.42,147.64,151.1,1688307,0.11,150.3
2023-01-25,149.25,153.97,148.92,153.69,1552604,1.71,152.55
2023-01-26,156.96,167.32,156.57,166.59,4133180,8.39,163.9
2023-01-27,166.16,168.29,162.3,163.7,2383475,-1.73,164.83
2023-01-30,162.03,166.33,162.03,163.21,1592261,-0.3,164.3
2023-01-31,162.13,165.98,160.62,165.81,3212707,1.59,164.72
2023-02-01,164.56,172.41,162.94,171.66,2398016,3.53,168.59
2023-02-02,171.88,173.76,168.53,173.32,2181032,0.97,171.6
2023-02-03,173.09,179.21,172.44,173.27,2211457,-0.03,174.81
2023-02-06,171.6,172.34,165.79,166.64,1999274,-3.83,167.5
2023-02-07,166.64,167.36,161.37,164.0,2108113,-1.58,164.04
2023-02-08,162.01,165.25,161.61,163.15,1369189,-0.52,163.53
2023-02-09,165.54,166.16,160.11,160.48,1649868,-1.64,162.35
2023-02-10,159.42,162.32,158.98,160.99,1481684,0.32,161.06
2023-02-13,161.08,165.84,159.17,164.43,1722400,2.14,163.84
2023-02-14,163.18,169.11,162.96,168.01,1878087,2.18,167.12
2023-02-15,165.73,166.95,163.26,166.85,1354128,-0.69,165.44
2023-02-16,165.54,169.83,165.1,166.59,1373021,-0.16,167.72
2023-02-17,166.26,166.61,163.97,164.88,1229649,-1.03,164.93
2023-02-21,164.64,167.75,159.7,160.43,1333572,-2.7,162.15
2023-02-22,160.43,162.88,159.66,160.36,1411059,-0.04,160.94
