trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,78.83,79.18,77.91,78.67,1217139,1.17,78.54
2023-01-04,79.12,80.63,78.92,80.49,1612934,2.31,80.06
2023-01-05,80.37,81.23,79.8,81.14,1575920,0.81,80.68
2023-01-06,81.27,82.55,81.27,82.06,1330560,1.13,81.97
2023-01-09,82.08,82.6,81.59,81.69,1540701,-0.45,81.98
2023-01-10,81.75,81.84,80.88,81.79,1061314,0.12,81.43
2023-01-11,81.6,81.69,80.09,81.01,1458904,-0.95,80.78
2023-01-12,81.28,81.51,80.27,80.41,1509164,-0.74,80.81
2023-01-13,79.59,80.44,79.59,80.13,1404852,-0.35,80.04
2023-01-17,80.0,80.0,78.99,79.77,1267573,-0.45,79.65
2023-01-18,79.77,80.0,78.23,78.72,1262412,-1.32,78.85
2023-01-19,78.45,79.01,78.04,78.27,1182055,-0.57,78.52
2023-01-20,78.76,80.14,77.77,79.86,1651475,2.03,79.26
2023-01-23,79.92,80.95,79.73,80.59,1013753,0.91,80.49
2023-01-24,80.67,82.41,79.85,82.11,1425661,1.89,81.91
2023-01-25,81.89,82.74,81.56,82.71,1223168,0.73,82.38
2023-01-26,82.71,83.44,81.91,82.01,1455385,-0.85,82.39
2023-01-27,81.89,82.31,81.1,81.29,1127095,-0.88,81.46
2023-01-30,80.79,81.32,80.56,80.87,1105924,-0.52,80.86
2023-01-31,81.25,82.14,80.89,81.97,2309407,1.36,81.76
2023-02-01,81.58,83.72,81.31,83.53,2262559,1.9,82.63
2023-02-02,84.84,87.79,84.63,87.54,2857125,4.8,86.65
2023-02-03,87.45,88.38,87.11,87.42,2528305,-0.14,87.67
2023-02-06,87.26,87.64,86.24,86.79,1617079,-0.72,86.7
2023-02-07,86.64,87.36,85.9,86.67,2094193,-0.14,86.49
2023-02-08,88.74,92.01,88.43,88.54,3402207,2.16,89.51
2023-02-09,88.94,91.43,88.02,88.89,2550569,0.4,89.8
2023-02-10,88.46,88.66,86.24,86.88,2362353,-2.26,87.01
2023-02-13,86.93,88.67,86.38,88.63,1960280,2.01,88.1
2023-02-14,88.41,89.1,87.54,88.83,1658467,0.23,88.52
2023-02-15,88.53,88.91,87.55,88.87,2308911,0.05,88.39
2023-02-16,87.84,89.2,87.73,88.84,1274956,-0.03,88.71
2023-02-17,88.84,89.49,88.11,89.34,1945903,0.56,88.99
2023-02-21,88.17,89.11,87.12,87.17,1422934,-2.43,87.78
2023-02-22,87.12,88.43,86.93,87.56,1954017,0.45,87.79
2023-02-23,87.63,88.37,87.05,87.63,1693791,0.08,87.57
2023-02-24,86.99,87.44,86.24,87.32,1299911,-0.35,87.02
2023-02-27,87.37,88.18,86.56,86.77,1829353,-0.63,87.06
2023-02-28,86.73,87.33,86.18,86.34,1730811,-0.5,86.55
2023-03-01,86.02,87.22,85.68,87.2,1885793,1.0,86.95
2023-03-02,86.69,87.53,86.15,87.53,2032459,0.38,87.08
2023-03-03,87.97,87.97,87.14,87.41,1663542,-0.14,87.51
2023-03-06,87.66,88.05,86.8,87.51,2071190,0.11,87.37
2023-03-07,87.63,88.19,86.43,86.56,1499168,-1.09,87.06
2023-03-08,86.58,86.69,85.03,85.85,1811371,-0.82,85.88
2023-03-09,85.84,85.97,84.46,84.53,1525885,-1.54,85.19
2023-03-10,84.38,85.26,83.53,84.03,1932469,-0.59,84.31
2023-03-13,82.66,84.04,81.89,82.28,2955387,-2.08,82.87
2023-03-14,83.84,84.44,82.76,83.94,2759597,2.02,83.62
2023-03-15,82.06,82.33,80.57,82.31,2691327,-1.94,81.78
2023-03-16,81.27,84.0,81.09,83.88,2119859,1.91,83.25
2023-03-17,83.04,83.41,82.14,82.79,9950656,-1.3,82.84
2023-03-20,83.32,85.63,83.25,85.19,1595635,2.9,85.04
2023-03-21,86.38,86.94,85.78,86.37,1459257,1.39,86.35
2023-03-22,86.52,86.83,84.16,84.2,1714069,-2.51,85.44
