trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,63.95,64.14,61.07,61.61,4364520,-1.22,61.9
2023-01-04,62.68,63.39,61.15,62.2,6189656,0.96,62.23
2023-01-05,61.12,63.77,59.61,59.74,9253774,-3.95,60.97
2023-01-06,60.85,62.74,59.75,62.47,7144438,4.57,61.77
2023-01-09,64.6,66.29,64.23,64.65,6407957,3.49,65.09
2023-01-10,61.55,64.45,61.3,64.27,8248195,-0.59,63.0
2023-01-11,64.46,64.85,63.08,64.63,4889074,0.56,64.28
2023-01-12,65.0,65.6,63.29,64.93,4807152,0.46,64.7
2023-01-13,64.4,65.22,63.28,65.15,3409021,0.34,64.61
2023-01-17,65.29,66.73,64.57,65.87,3902213,1.11,65.66
2023-01-18,67.34,68.52,66.1,66.33,5834301,0.7,66.95
2023-01-19,65.72,65.88,63.2,63.49,5883598,-4.28,64.01
2023-01-20,64.68,66.4,63.91,66.26,5133430,4.36,65.51
2023-01-23,67.67,71.27,67.39,70.8,7583254,6.85,70.18
2023-01-24,70.0,71.2,69.25,70.08,4543379,-1.02,70.03
2023-01-25,68.96,71.86,68.76,71.81,5100563,2.47,70.76
2023-01-26,72.89,73.9,71.16,73.68,5875410,2.6,72.93
2023-01-27,73.53,74.82,73.22,73.67,4376469,-0.01,74.02
2023-01-30,72.72,73.23,70.86,71.02,4783375,-3.6,71.68
2023-01-31,71.2,73.48,71.07,73.45,5066731,3.42,72.96
2023-02-01,73.92,78.5,73.69,77.84,9111223,5.98,76.39
2023-02-02,78.97,82.22,78.15,82.12,9221352,5.5,80.81
2023-02-03,80.0,83.25,79.4,80.89,8475442,-1.5,81.37
2023-02-06,77.75,84.7,77.5,80.4,15910325,-0.61,81.55
2023-02-07,81.06,86.15,80.84,85.53,11489165,6.38,84.01
2023-02-08,84.27,85.2,82.93,83.6,9982492,-2.26,83.72
2023-02-09,85.13,87.55,83.97,84.75,9180102,1.38,86.15
2023-02-10,83.76,84.11,82.2,83.8,6678156,-1.12,83.3
2023-02-13,84.63,84.77,83.66,84.38,5708520,0.69,84.23
2023-02-14,83.6,87.41,83.35,86.88,6033125,2.96,86.38
2023-02-15,85.67,87.02,85.46,86.71,6711539,-0.2,86.4
2023-02-16,85.12,86.68,83.88,84.13,5871809,-2.98,84.91
2023-02-17,83.39,83.63,80.38,81.86,7136688,-2.7,81.76
2023-02-21,80.4,81.76,79.05,79.28,6312844,-3.15,79.83
2023-02-22,79.45,79.91,77.68,78.56,5674895,-0.91,78.38
2023-02-23,79.38,79.91,76.19,78.39,14747875,-0.22,77.84
2023-02-24,77.1,77.12,75.52,76.28,16699950,-2.69,76.38
2023-02-27,77.69,78.8,76.63,77.73,6844516,1.9,77.7
2023-02-28,77.51,78.73,76.82,77.41,6796313,-0.41,77.76
2023-03-01,78.12,79.24,77.31,78.23,4733305,1.06,78.41
2023-03-02,73.56,77.32,72.0,76.75,14200395,-1.89,74.57
2023-03-03,76.98,79.07,76.05,78.94,6046656,2.85,78.04
2023-03-06,79.47,79.81,76.98,77.41,4968027,-1.94,78.19
2023-03-07,78.03,79.6,77.83,78.7,6445461,1.67,78.62
2023-03-08,79.72,83.4,79.62,83.1,8939426,5.59,82.13
2023-03-09,82.88,84.97,81.26,81.41,8241953,-2.03,83.04
2023-03-10,82.34,82.6,77.53,78.38,6366527,-3.72,79.14
2023-03-13,76.71,79.14,76.37,77.75,6913781,-0.8,77.72
2023-03-14,80.16,82.75,79.47,81.2,6098817,4.44,80.94
2023-03-15,79.11,79.85,76.14,78.0,7514840,-3.94,77.76
2023-03-16,77.63,80.85,77.0,80.5,7266481,3.21,79.54
2023-03-17,80.31,80.53,77.7,78.28,6981770,-2.76,78.54
2023-03-20,78.73,80.52,77.59,79.98,4822238,2.17,79.53
2023-03-21,80.89,82.87,79.81,81.35,4828254,1.71,81.26
2023-03-22,81.52,82.39,78.41,78.82,5511942,-3.11,80.53
2023-03-23,80.12,82.87,78.79,80.97,6181488,2.73,81.07
2023-03-24,79.82,80.48,77.1,77.81,5794098,-3.9,78.16
2023-03-27,78.05,78.18,74.47,75.67,10190965,-2.75,76.1
2023-03-28,75.1,77.71,73.69,76.53,12414145,1.14,75.54
2023-03-29,78.28,80.69,77.18,79.87,7228352,4.36,79.19
2023-03-30,81.03,82.52,80.57,81.83,6133078,2.45,81.76
2023-03-31,81.58,82.55,81.04,82.32,5852336,0.6,81.96
2023-04-03,81.72,82.21,79.88,81.14,4431067,-1.43,80.74
2023-04-04,81.51,81.51,77.84,78.49,5617945,-3.27,78.85
2023-04-05,77.46,77.88,75.42,76.54,4944309,-2.48,76.33
2023-04-06,75.24,76.37,74.39,75.34,3530706,-1.57,75.54
2023-04-10,74.65,77.88,74.54,77.7,4284609,3.13,77.09
2023-04-11,78.63,78.93,77.05,77.22,3608691,-0.62,77.82
2023-04-12,78.78,78.79,76.32,76.46,4850293,-0.98,77.05
2023-04-13,76.67,78.11,75.9,77.59,3290259,1.48,77.41
2023-04-14,77.6,79.42,76.6,77.92,3725291,0.43,77.8
2023-04-17,77.09,78.57,76.69,78.41,3808807,0.63,77.77
2023-04-18,79.23,80.07,78.37,79.21,4168430,1.02,79.19
2023-04-19,78.15,78.65,76.37,76.92,4336242,-2.89,77.04
2023-04-20,73.28,75.77,72.18,74.26,7685332,-3.46,74.43
2023-04-21,74.0,74.21,73.02,73.74,4078275,-0.7,73.67
2023-04-24,73.77,74.39,73.19,74.38,2845158,0.87,73.86
2023-04-25,73.3,73.5,70.27,70.35,7889328,-5.42,71.09
2023-04-26,71.54,72.44,70.53,71.95,5871270,2.27,71.74
2023-04-27,68.68,70.08,66.67,69.98,14023825,-2.74,68.62
2023-04-28,69.97,72.06,68.84,71.96,10274840,2.83,70.79
2023-05-01,74.89,78.98,74.17,78.33,16264735,8.85,77.3
2023-05-02,79.38,81.38,77.87,79.17,8329004,1.07,79.5
2023-05-03,79.05,80.37,78.43,78.58,5127141,-0.75,79.28
2023-05-04,78.0,79.26,77.09,77.83,5189414,-0.95,78.0
2023-05-05,77.66,81.58,77.33,81.22,7088137,4.36,80.12
2023-05-08,81.24,81.72,79.58,80.52,3421550,-0.86,80.49
2023-05-09,79.21,79.94,77.47,78.81,4736883,-2.12,78.64
2023-05-10,80.5,80.72,78.87,79.87,5187102,1.35,79.93
2023-05-11,79.42,80.75,78.42,80.32,4438203,0.56,79.78
2023-05-12,81.22,83.04,80.07,81.34,6478910,1.27,81.1
2023-05-15,81.76,82.46,80.56,82.39,6125195,1.29,81.83
2023-05-16,82.01,85.39,81.71,83.04,10999000,0.79,83.46
2023-05-17,84.63,86.9,82.11,85.63,12764700,3.12,85.46
2023-05-18,86.0,87.07,84.91,86.49,7624180,1.0,86.14
2023-05-19,86.19,86.46,83.58,84.36,8190590,-2.46,84.36
2023-05-22,83.91,85.59,83.71,85.24,5091484,1.04,85.0
2023-05-23,84.33,84.65,81.8,82.54,6675672,-3.17,82.94
2023-05-24,80.14,80.86,78.35,79.79,8641774,-3.33,79.66
2023-05-25,80.12,82.71,77.92,82.0,9598512,2.77,81.04
2023-05-26,82.87,87.77,82.83,86.62,10518743,5.63,86.0
2023-05-30,89.35,89.84,83.45,83.97,9087879,-3.06,85.22
2023-05-31,82.35,85.25,82.0,83.6,9835590,-0.44,83.68
2023-06-01,84.94,88.31,84.05,87.95,6930656,5.2,87.05
2023-06-02,88.8,89.44,85.87,86.83,5137305,-1.27,87.05
2023-06-05,87.08,87.24,84.95,85.63,3770612,-1.38,85.85
2023-06-06,85.55,89.11,85.52,88.48,5217942,3.33,88.12
2023-06-07,89.14,92.13,89.03,89.24,7824731,0.86,90.27
2023-06-08,89.86,90.71,88.71,89.99,4131105,0.84,89.98
2023-06-09,91.76,92.68,88.11,89.02,6365414,-1.08,89.51
2023-06-12,90.19,91.36,89.36,91.06,6531352,2.29,90.78
2023-06-13,92.04,93.44,91.34,92.67,7615149,1.77,92.41
2023-06-14,92.12,93.35,90.67,92.74,7149141,0.08,92.4
2023-06-15,91.29,92.0,90.65,91.0,8116426,-1.88,91.22
2023-06-16,91.79,92.08,89.61,90.15,28125293,-0.93,90.23
2023-06-21,88.77,89.79,87.56,88.07,4972953,-1.47,88.39
2023-06-22,87.07,89.26,87.0,88.95,4636305,1.0,88.57
2023-06-23,86.94,87.98,86.2,87.52,9135145,-1.61,87.38
2023-06-26,88.64,90.0,87.97,88.62,4224797,1.26,88.95
2023-06-27,88.63,91.95,88.1,91.87,5379953,3.67,90.64
2023-06-28,90.62,92.78,90.57,91.21,4346660,-0.72,91.69
2023-06-29,92.0,92.32,90.72,92.08,3831248,0.95,91.74
2023-06-30,93.0,95.32,92.61,94.58,5395352,2.72,94.38
2023-07-03,95.46,96.85,94.72,96.83,3602015,2.38,95.75
2023-07-05,95.51,95.93,92.87,92.95,5814695,-4.01,93.64
2023-07-06,91.66,92.72,90.69,92.61,4687824,-0.37,91.99
2023-07-07,93.34,94.81,92.35,93.3,4145371,0.75,93.76
2023-07-10,93.98,96.03,93.55,95.98,4799254,2.87,95.28
2023-07-11,97.34,97.52,95.18,96.64,3961981,0.69,96.35
2023-07-12,98.37,98.98,97.14,98.63,4783524,2.06,98.41
2023-07-13,99.39,102.31,98.63,102.04,6467426,3.46,100.99
2023-07-14,102.0,102.65,99.11,99.68,4976914,-2.31,100.62
2023-07-17,99.8,104.88,99.5,104.33,6872762,4.66,103.52
2023-07-18,104.06,105.35,102.9,104.84,5224676,0.49,104.33
2023-07-19,104.81,104.81,101.88,101.91,6101164,-2.79,102.85
2023-07-20,100.17,101.52,96.3,97.3,9221168,-4.52,98.22
2023-07-21,98.41,99.29,97.75,98.76,10007797,1.5,98.66
2023-07-24,96.33,98.06,95.88,97.69,5177563,-1.08,97.05
2023-07-25,98.46,101.57,98.29,100.04,5920031,2.41,100.35
2023-07-26,99.32,100.33,97.96,99.25,5532188,-0.79,99.17
2023-07-27,103.06,104.53,100.8,102.11,7432406,2.88,102.5
2023-07-28,103.7,105.39,102.5,105.09,7613684,2.92,104.58
2023-07-31,109.74,111.35,107.08,107.75,14155493,2.53,108.59
2023-08-01,107.73,109.41,106.6,108.09,5446942,0.32,108.21
2023-08-02,106.89,107.16,103.12,103.57,6910152,-4.18,104.46
2023-08-03,101.45,102.95,100.4,102.7,6054422,-0.84,102.14
2023-08-04,101.43,103.71,100.48,102.31,6470910,-0.38,102.07
2023-08-07,104.0,104.87,102.69,103.59,4112645,1.25,103.63
2023-08-08,102.33,102.33,99.9,101.38,4184156,-2.13,101.07
2023-08-09,101.37,101.52,98.88,99.09,4853965,-2.26,99.62
2023-08-10,100.55,101.15,97.06,97.73,4730656,-1.37,98.4
2023-08-11,96.51,96.7,94.31,94.57,5443410,-3.23,95.02
2023-08-14,94.2,97.15,93.57,97.12,5280586,2.7,96.29
2023-08-15,96.21,96.41,93.89,94.13,4850656,-3.08,94.6
2023-08-16,94.29,94.58,92.03,92.18,5262289,-2.07,92.85
2023-08-17,92.09,92.68,89.91,90.03,6768922,-2.33,90.6
