trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,313.76,315.53,299.31,301.9,251679,-1.83,303.46
2023-01-04,304.62,305.64,298.71,301.18,433159,-0.24,301.84
2023-01-05,295.53,295.84,289.35,291.98,474818,-3.05,292.59
2023-01-06,294.96,294.96,281.7,284.08,1122394,-2.71,284.27
2023-01-09,287.0,295.16,285.66,289.97,1099463,2.07,290.29
2023-01-10,286.93,297.52,283.16,295.67,659295,1.97,290.81
2023-01-11,299.54,302.9,297.88,301.53,390334,1.98,301.08
2023-01-12,303.67,307.34,296.18,301.56,420545,0.01,300.81
2023-01-13,297.02,303.12,296.36,301.74,415736,0.06,300.32
2023-01-17,301.73,309.86,299.45,307.52,460332,1.92,306.78
2023-01-18,311.55,318.31,307.45,308.98,526034,0.47,310.26
2023-01-19,304.16,307.63,301.1,302.07,265337,-2.24,303.55
2023-01-20,302.53,311.3,301.4,310.66,292610,2.84,308.18
2023-01-23,310.52,320.4,308.14,319.19,340449,2.75,317.88
2023-01-24,316.52,319.94,315.13,317.06,265744,-0.67,317.14
2023-01-25,308.06,313.39,295.26,311.79,411603,-1.66,306.41
2023-01-26,316.41,319.52,312.13,318.58,246822,2.18,316.44
2023-01-27,315.37,322.48,314.93,319.36,353691,0.24,318.35
2023-01-30,314.6,319.94,312.83,312.93,254468,-2.01,315.31
2023-01-31,314.91,321.04,313.23,321.04,372908,2.59,318.17
2023-02-01,321.17,339.98,320.66,337.72,636871,5.2,332.45
2023-02-02,348.72,359.12,346.05,349.26,583376,3.42,351.4
2023-02-03,339.49,347.37,333.93,334.42,387760,-4.25,339.4
2023-02-06,329.74,332.82,325.74,326.74,578319,-2.3,328.25
2023-02-07,325.43,344.29,322.41,341.44,504667,4.5,336.78
2023-02-08,327.05,327.75,309.4,318.34,1536645,-6.77,316.09
2023-02-09,324.17,327.14,318.01,319.59,1018760,0.39,321.63
2023-02-10,316.15,317.53,310.69,314.25,479255,-1.67,313.49
2023-02-13,316.44,320.86,314.39,319.86,451887,1.79,318.41
2023-02-14,316.85,323.51,316.15,321.78,624246,0.6,320.85
2023-02-15,320.42,323.5,315.07,317.14,638066,-1.44,316.89
2023-02-16,307.23,313.38,304.22,304.7,597914,-3.92,308.12
2023-02-17,303.0,303.0,295.61,301.17,966286,-1.16,298.78
2023-02-21,296.25,298.42,293.44,293.86,465358,-2.43,295.26
2023-02-22,297.32,301.73,294.96,296.26,492436,0.82,296.91
2023-02-23,299.78,300.31,291.79,297.25,238733,0.33,295.9
2023-02-24,292.72,293.14,289.17,290.79,313342,-2.17,290.88
2023-02-27,294.03,294.2,290.78,291.49,480885,0.24,292.38
