trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,15.96,16.13,15.46,15.65,18080270,-3.57,15.71
2023-01-04,15.72,15.96,15.62,15.85,16603024,1.28,15.84
2023-01-05,15.73,15.77,15.55,15.63,8869016,-1.39,15.67
2023-01-06,15.83,15.97,15.62,15.86,10362317,1.47,15.83
2023-01-09,15.9,16.16,15.83,15.93,10312399,0.44,16.01
2023-01-10,15.62,15.93,15.47,15.91,32406676,-0.13,15.71
2023-01-11,15.87,15.92,15.68,15.73,13152875,-1.13,15.77
2023-01-12,15.77,16.09,15.7,15.94,23975668,1.34,15.96
2023-01-13,15.83,15.9,15.64,15.86,12116118,-0.5,15.79
2023-01-17,15.88,15.97,15.78,15.84,12794645,-0.13,15.87
2023-01-18,15.95,15.95,15.52,15.58,15019700,-1.64,15.65
2023-01-19,15.47,15.61,15.29,15.41,12618188,-1.09,15.41
2023-01-20,15.43,15.64,15.34,15.62,10179750,1.36,15.55
2023-01-23,15.59,15.87,15.54,15.7,9675469,0.51,15.75
2023-01-24,15.7,15.89,15.63,15.8,8008813,0.64,15.82
2023-01-25,15.66,15.97,15.62,15.97,11417543,1.08,15.87
2023-01-26,15.93,15.99,15.77,15.82,15471434,-0.94,15.88
2023-01-27,15.84,16.1,15.81,16.03,9739719,1.33,15.98
2023-01-30,15.94,16.08,15.81,15.82,7910613,-1.31,15.94
2023-01-31,15.84,15.88,15.71,15.87,8837524,0.32,15.8
2023-02-01,15.77,15.83,15.44,15.61,15549352,-1.64,15.6
2023-02-02,15.69,15.78,15.41,15.6,21030758,-0.06,15.6
2023-02-03,15.51,15.58,15.34,15.52,13305297,-0.51,15.48
2023-02-06,15.48,15.63,15.34,15.63,10516989,0.71,15.49
2023-02-07,15.56,15.65,15.36,15.61,14946997,-0.13,15.5
2023-02-08,15.56,15.56,15.4,15.42,17201399,-1.22,15.45
2023-02-09,15.47,15.65,15.42,15.43,14830700,0.06,15.52
2023-02-10,15.48,15.62,15.39,15.51,12446825,0.52,15.48
2023-02-13,15.5,15.66,15.47,15.63,7887219,0.77,15.6
2023-02-14,15.57,15.79,15.42,15.55,7120125,-0.51,15.57
2023-02-15,15.48,15.84,15.44,15.8,8237477,1.61,15.71
2023-02-16,15.6,15.69,15.52,15.52,8072340,-1.77,15.6
2023-02-17,15.48,15.64,15.41,15.54,14652555,0.13,15.52
2023-02-21,15.49,15.53,15.4,15.42,8136504,-0.77,15.46
2023-02-22,15.29,15.6,15.22,15.49,11073524,0.45,15.51
2023-02-23,15.57,15.63,14.87,15.25,20598325,-1.55,15.26
2023-02-24,15.32,15.85,15.23,15.75,22768649,3.28,15.63
2023-02-27,15.83,16.01,15.61,15.72,14505899,-0.19,15.76
2023-02-28,15.66,15.85,15.55,15.59,17590524,-0.83,15.67
2023-03-01,15.51,15.63,15.37,15.58,12277891,-0.06,15.51
2023-03-02,15.54,15.87,15.5,15.82,10877454,1.54,15.76
2023-03-03,15.91,16.43,15.76,16.32,21831493,3.16,16.2
2023-03-06,16.27,16.72,16.2,16.71,24730352,2.39,16.58
2023-03-07,16.71,16.8,16.25,16.3,19183270,-2.45,16.49
2023-03-08,16.29,16.38,16.04,16.29,14022485,-0.06,16.27
2023-03-09,16.32,16.47,16.04,16.12,10157055,-1.04,16.23
2023-03-10,16.1,16.21,15.67,15.8,15193329,-1.99,15.87
2023-03-13,15.67,16.07,15.45,15.73,16752852,-0.44,15.84
2023-03-14,15.95,16.2,15.83,15.96,16025297,1.46,16.05
2023-03-15,15.76,15.91,15.61,15.83,19732176,-0.81,15.76
