trade_date,close,open,high,low,vol,pct_change,vwap
20241231,152.06,151.8,153.15,150.94,4212617,0.22,151.76
20241230,151.72,152.66,153.09,151.09,5326301,-0.77,151.91
20241227,152.89,151.29,153.47,151.26,4250106,0.3,152.86
20241226,152.44,152.53,153.18,152.24,4102817,-0.24,152.59
20241224,152.81,150.5,152.83,150.41,3399568,1.0,152.26
20241223,151.29,152.41,152.41,149.71,6677734,-0.98,150.83
20241220,152.79,150.86,153.49,150.51,19126790,0.87,152.38
20241219,151.47,153.09,154.08,151.41,9829488,-1.92,152.41
20241218,154.43,155.03,155.83,154.11,7450192,-1.1,154.75
20241217,156.14,155.74,158.5,155.24,6511895,0.08,156.49
20241216,156.02,157.85,158.82,155.88,6558008,-1.23,157.04
20241213,157.97,157.53,159.57,157.06,4166789,-0.59,158.34
20241212,158.9,159.09,159.4,157.97,6849508,1.36,158.73
20241211,156.77,160.21,160.51,156.26,7910563,-1.92,157.47
20241210,159.84,159.0,160.42,157.35,5326746,0.23,159.39
20241209,159.47,157.91,161.5,157.14,8116039,1.06,159.68
20241206,157.79,159.35,160.8,157.69,8343184,-1.68,158.59
20241205,160.49,160.93,161.01,158.83,5178184,0.19,160.2
20241204,160.18,160.6,161.03,159.41,6755992,-0.94,160.04
20241203,161.7,162.84,163.05,161.42,4272559,-0.83,162.14
20241202,163.05,163.32,163.65,161.76,4966793,-0.24,162.83
20241129,163.45,161.43,163.59,160.95,2799123,0.45,162.97
20241127,162.72,161.94,165.13,161.68,3618588,0.35,163.18
20241126,162.16,163.27,163.68,161.9,4652180,-0.55,162.26
20241125,163.05,162.7,163.59,162.0,8232875,0.65,162.86
20241122,162.0,160.9,162.06,159.89,5329645,1.04,161.09
20241121,160.34,158.39,160.5,157.95,5385688,1.01,159.75
20241120,158.74,156.45,159.11,156.2,4983500,1.29,158.19
20241119,156.72,157.75,157.87,155.85,6649676,-1.02,156.69
20241118,158.33,159.41,159.85,157.76,6960242,-0.18,158.8
20241115,158.62,164.38,164.38,158.05,9073340,-3.95,159.55
20241114,165.15,164.74,166.88,163.83,5345188,0.25,165.55
20241113,164.74,163.49,164.8,162.37,4094528,0.24,163.84
20241112,164.34,164.09,165.0,163.15,5187809,0.05,164.15
20241111,164.26,164.41,166.15,163.98,3359506,-0.51,164.58
20241108,165.11,163.84,165.82,163.65,4065065,0.68,165.15
20241107,164.0,164.5,164.9,163.47,4907942,-0.43,164.21
20241106,164.71,167.37,167.41,163.6,7385547,-1.87,164.83
20241105,167.85,165.95,167.96,165.67,3388038,0.91,167.46
20241104,166.34,165.59,166.65,165.19,4253172,0.45,166.09
20241101,165.59,166.09,166.25,165.21,5579109,-0.3,165.7
20241031,166.08,166.1,167.5,165.81,5474285,-0.08,166.5
20241030,166.21,167.0,167.64,166.08,4789281,-0.77,166.55
20241029,167.5,169.2,169.2,166.97,5124266,-1.38,167.78
20241028,169.84,172.98,172.98,169.73,4425555,-1.14,170.33
20241025,171.79,172.47,174.0,171.6,4441176,-0.21,172.53
20241024,172.16,172.92,173.54,171.7,4243527,-0.46,172.25
20241023,172.95,173.7,173.84,172.47,3789327,-0.81,173.13
20241022,174.37,174.51,174.95,173.51,3775808,-0.37,174.28
20241021,175.01,174.46,177.5,174.35,6249578,-0.03,175.53
20241018,175.06,172.3,175.33,172.12,5008051,0.22,174.46
20241017,174.67,174.38,175.47,173.7,4123559,0.11,174.55
20241016,174.48,175.01,175.33,173.63,4389969,-0.81,174.39
20241015,175.9,176.35,177.39,175.12,5780043,-0.11,176.03
20241014,176.1,174.96,176.27,174.44,4437484,0.74,175.47
20241011,174.81,174.0,175.18,172.87,4715039,1.05,174.26
20241010,172.99,172.07,173.06,171.22,5289574,0.26,172.44
20241009,172.54,169.38,173.28,169.1,6958805,1.24,172.08
20241008,170.42,167.72,170.65,166.85,8295336,1.92,169.39
