trade_date,close,open,high,low,vol,pct_change,vwap
20241231,108.9,109.6,109.99,108.56,1216633,0.04,108.99
20241230,108.86,109.25,109.41,107.7,1133280,-0.6,108.85
20241227,109.52,109.73,111.11,108.93,988653,-1.02,109.72
20241226,110.65,109.82,111.11,109.38,1243833,-0.09,110.6
20241224,110.75,109.86,110.83,109.61,700240,0.56,110.44
20241223,110.13,109.95,110.58,109.0,1456626,-0.35,110.06
20241220,110.52,109.17,111.18,108.57,4379762,1.5,110.34
20241219,108.89,107.9,110.72,107.21,3832185,-2.16,109.13
20241218,111.29,116.4,116.91,111.17,2788960,-3.97,113.79
20241217,115.89,116.93,117.99,115.19,2155352,-0.98,116.05
20241216,117.04,118.26,119.83,116.56,2067678,-1.17,117.46
20241213,118.42,119.65,119.8,117.02,2174517,-1.88,118.08
20241212,120.69,120.45,121.94,120.36,1898331,-1.0,120.96
20241211,121.91,125.9,126.01,121.41,2634043,-2.74,122.49
20241210,125.34,125.77,126.95,124.01,2144072,-2.44,125.53
20241209,128.47,127.78,128.59,126.45,1773820,1.3,127.65
20241206,126.82,129.95,130.73,125.37,1673029,-0.82,126.82
20241205,127.87,129.33,129.82,127.57,1568970,-1.11,128.12
20241204,129.3,132.32,133.06,128.78,1880509,-3.51,129.59
20241203,134.0,135.83,136.14,133.94,862943,-0.84,134.37
20241202,135.14,134.92,136.09,133.46,1500141,-0.1,135.07
20241129,135.27,138.0,139.31,135.24,1072654,-0.92,135.85
20241127,136.53,137.94,138.53,136.24,1237543,0.69,136.83
20241126,135.6,136.31,137.4,133.8,1459806,-1.49,135.19
20241125,137.65,131.73,139.09,130.79,3131633,6.08,137.43
20241122,129.76,129.16,130.0,127.8,1315140,1.28,129.25
20241121,128.12,128.53,130.13,127.9,1507568,0.05,128.66
20241120,128.06,128.38,128.6,127.02,1129289,-0.35,128.01
20241119,128.51,128.18,129.06,126.42,1291476,-0.05,128.35
20241118,128.57,127.99,129.55,127.46,1112162,-0.25,128.52
20241115,128.89,129.05,129.88,127.72,1499252,-0.42,129.08
20241114,129.44,128.56,131.09,127.95,1416293,1.54,129.7
20241113,127.48,131.0,131.4,127.22,1490436,-1.08,128.35
20241112,128.87,132.55,133.23,128.62,1410201,-3.44,129.72
20241111,133.46,133.53,134.74,132.38,1045936,0.57,133.37
20241108,132.7,131.2,134.49,131.2,1597885,1.17,133.07
20241107,131.16,129.0,132.17,128.78,1566510,1.54,130.77
20241106,129.17,126.59,129.66,124.34,3670186,-3.07,127.59
20241105,133.26,128.39,133.36,128.0,1536040,2.91,132.29
20241104,129.49,129.32,132.5,129.21,1783071,0.86,130.31
20241101,128.38,131.19,132.5,128.21,1809912,-0.89,129.21
20241031,129.53,129.48,130.69,128.57,1846654,-0.56,129.54
20241030,130.26,129.0,132.0,128.57,1405478,0.52,130.54
20241029,129.58,124.59,130.06,122.08,3713730,-3.21,127.91
20241028,133.88,134.01,135.24,132.84,1327593,1.06,133.75
20241025,132.47,136.01,136.28,132.37,1654428,-2.48,133.31
20241024,135.84,134.25,136.67,133.87,2020546,2.01,135.69
20241023,133.16,132.68,135.13,131.97,2507088,-0.49,133.28
20241022,133.81,138.58,139.51,133.78,3647812,-7.24,135.48
20241021,144.26,148.75,149.47,143.83,2279360,-3.21,145.23
20241018,149.04,147.2,149.32,146.11,1656296,2.11,148.13
20241017,145.96,146.8,147.3,145.46,1430532,-0.57,146.13
20241016,146.8,146.25,147.46,145.77,1245940,1.51,146.85
20241015,144.62,143.48,146.37,143.48,1396776,1.46,144.96
20241014,142.54,139.58,142.68,138.98,1087082,2.4,141.84
20241011,139.2,138.92,140.15,138.62,785671,0.39,139.42
20241010,138.66,137.88,139.95,137.48,965996,-0.52,138.88
20241009,139.39,140.34,140.85,138.54,1252973,-0.56,139.44
20241008,140.17,140.25,141.93,138.94,977423,0.53,140.51
20241007,139.43,137.71,139.91,136.57,1763938,-0.01,138.98
20241004,139.44,143.62,143.62,137.81,1456961,-2.47,139.15
20241003,142.97,142.99,143.81,141.09,1124288,-0.23,142.52
20241002,143.3,143.03,144.01,141.65,1057914,-0.91,143.17
20241001,144.61,144.34,145.54,142.79,1296340,0.75,144.37
20240930,143.53,142.64,143.7,141.18,1247029,0.25,142.93
20240927,143.17,141.52,144.61,140.59,1340198,2.29,143.01
20240926,139.97,141.9,142.1,139.67,1195435,-0.35,140.33
20240925,140.46,142.0,142.74,140.1,1578582,-1.95,141.03
20240924,143.26,142.75,144.22,142.0,1958251,-0.2,143.1
20240923,143.54,143.04,143.82,140.18,1577746,1.18,142.87
20240920,141.86,143.28,143.81,140.89,7599590,-2.15,142.02
20240919,144.98,144.87,145.84,141.22,2152997,2.83,144.15
20240918,140.99,140.83,144.18,138.73,2196217,0.38,141.03
