trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,122.25,123.52,121.28,122.94,508587,0.9,122.61
2023-01-04,124.11,125.51,123.69,124.6,597907,1.35,124.55
2023-01-05,123.47,124.15,121.8,123.72,577143,-0.71,123.22
2023-01-06,125.19,126.48,124.84,125.92,514054,1.78,125.88
2023-01-09,127.9,129.06,125.91,126.2,804593,0.22,127.01
2023-01-10,126.45,126.78,125.07,126.44,466607,0.19,126.29
2023-01-11,126.97,127.7,126.34,127.25,461661,0.64,127.05
2023-01-12,128.21,129.66,126.9,129.52,509768,1.78,128.96
2023-01-13,128.85,129.1,127.76,128.98,568922,-0.42,128.61
2023-01-17,129.05,129.6,126.89,127.17,594028,-1.4,127.59
2023-01-18,127.81,127.84,124.67,124.7,530328,-1.94,125.6
2023-01-19,124.3,124.3,122.21,123.62,718484,-0.87,123.4
2023-01-20,124.18,126.45,123.16,126.2,491774,2.09,125.54
2023-01-23,126.23,127.61,125.11,125.79,684937,-0.32,126.25
2023-01-24,124.46,124.98,122.75,123.86,671407,-1.53,123.83
2023-01-25,123.24,123.9,121.1,123.03,877817,-0.67,122.86
2023-01-26,121.45,132.24,121.45,132.05,1253277,7.33,130.13
2023-01-27,132.05,133.66,130.55,131.85,706451,-0.15,131.73
2023-01-30,131.2,134.28,131.2,132.11,760880,0.2,132.91
2023-01-31,133.55,135.93,131.26,135.93,3179280,2.89,135.44
2023-02-01,133.71,136.31,132.83,135.41,897912,-0.38,134.86
2023-02-02,135.45,138.54,134.6,138.21,895627,2.07,137.08
2023-02-03,137.66,139.31,137.53,137.57,857923,-0.46,138.34
2023-02-06,136.23,136.57,135.29,135.83,524114,-1.26,135.81
2023-02-07,135.27,137.21,134.01,136.58,630247,0.55,136.19
2023-02-08,135.95,136.45,133.77,135.09,781069,-1.09,135.06
2023-02-09,135.85,136.46,133.06,133.46,606496,-1.21,133.96
2023-02-10,133.08,133.57,131.78,133.29,554810,-0.13,132.88
2023-02-13,133.71,135.5,132.74,135.34,424535,1.54,134.76
2023-02-14,135.2,136.51,134.31,135.87,422496,0.39,135.77
2023-02-15,135.15,136.54,134.68,135.84,351705,-0.02,135.69
2023-02-16,134.6,135.78,133.8,134.77,275481,-0.79,134.93
2023-02-17,134.65,134.78,133.45,134.32,394289,-0.33,134.26
2023-02-21,132.69,132.88,127.31,127.81,585003,-4.85,128.67
2023-02-22,128.24,129.21,127.46,128.33,589753,0.41,128.38
2023-02-23,129.03,130.99,127.67,130.88,504296,1.99,129.88
2023-02-24,129.34,131.47,128.85,131.27,597427,0.3,130.72
2023-02-27,132.64,133.43,129.52,130.38,624383,-0.68,130.77
2023-02-28,129.87,131.01,129.59,130.24,682040,-0.11,130.35
2023-03-01,129.9,132.97,129.87,132.12,479231,1.44,131.91
2023-03-02,131.67,134.58,131.6,134.32,964662,1.67,133.23
2023-03-03,134.91,136.16,133.13,135.59,647593,0.95,135.38
2023-03-06,135.11,135.11,130.67,131.23,951102,-3.22,132.18
2023-03-07,130.95,132.02,130.25,130.76,637860,-0.36,130.8
2023-03-08,130.81,132.24,130.61,131.52,549384,0.58,131.4
2023-03-09,131.95,132.48,129.09,129.17,642121,-1.79,130.21
2023-03-10,128.75,128.75,124.82,126.14,558934,-2.35,126.37
2023-03-13,124.73,127.18,123.43,124.49,836336,-1.31,125.11
2023-03-14,126.41,127.36,124.78,126.33,788194,1.48,126.15
2023-03-15,123.79,124.49,122.2,123.59,938287,-2.17,123.33
2023-03-16,122.09,125.13,121.98,124.23,794613,0.52,124.16
2023-03-17,124.51,124.51,121.4,122.45,4941840,-1.43,122.46
2023-03-20,124.47,129.11,124.47,128.4,961152,4.86,127.99
2023-03-21,130.13,130.44,127.34,127.88,819477,-0.4,128.21
2023-03-22,128.21,128.66,125.58,125.72,523844,-1.69,126.94
2023-03-23,125.42,127.35,124.8,126.07,556841,0.28,126.13
2023-03-24,125.37,128.24,124.26,128.06,470090,1.58,127.32
2023-03-27,128.71,128.79,126.97,127.2,545449,-0.67,127.73
2023-03-28,127.26,129.57,127.26,129.38,332235,1.71,129.1
2023-03-29,130.75,131.64,129.63,131.45,497416,1.6,131.11
2023-03-30,132.71,132.77,131.7,132.32,492768,0.66,132.35
2023-03-31,133.02,133.84,132.79,133.52,572112,0.91,133.35
2023-04-03,133.33,135.47,133.33,134.94,843524,1.06,134.66
2023-04-04,134.92,135.88,132.96,133.62,1159861,-0.98,133.91
2023-04-05,133.61,135.07,132.81,135.02,653394,1.05,134.19
2023-04-06,135.34,136.4,134.38,135.76,703391,0.55,135.6
2023-04-10,135.37,136.26,134.53,135.56,478943,-0.15,135.45
2023-04-11,136.52,138.9,136.28,137.77,597073,1.63,138.07
2023-04-12,138.62,139.12,136.35,136.76,480300,-0.73,137.28
2023-04-13,136.92,137.63,135.02,136.97,420738,0.15,136.6
2023-04-14,136.44,137.3,134.42,135.76,508082,-0.88,135.63
2023-04-17,136.18,137.5,135.4,137.43,454807,1.23,136.76
2023-04-18,137.59,138.09,136.26,137.42,429040,-0.01,137.07
2023-04-19,137.17,137.56,136.02,136.93,780733,-0.36,136.9
2023-04-20,137.04,138.06,135.64,137.86,565998,0.68,137.04
2023-04-21,137.71,138.12,135.77,137.76,480724,-0.07,137.37
2023-04-24,138.18,139.62,138.18,139.37,822522,1.17,139.2
2023-04-25,129.49,132.99,128.59,129.24,1350981,-7.27,130.53
2023-04-26,127.73,129.38,126.71,127.04,799605,-1.7,127.79
2023-04-27,126.96,128.24,125.19,128.21,930182,0.92,126.64
2023-04-28,128.46,130.89,128.04,130.09,645575,1.47,129.99
2023-05-01,129.56,133.18,129.56,132.87,924466,2.14,132.64
2023-05-02,131.98,131.98,126.62,128.45,919242,-3.33,128.43
2023-05-03,129.07,130.82,128.21,128.54,917844,0.07,129.51
2023-05-04,128.75,129.32,127.08,127.96,657027,-0.45,128.34
2023-05-05,129.46,131.33,129.09,130.2,536329,1.75,130.37
2023-05-08,130.78,131.66,129.61,130.83,439831,0.48,130.87
2023-05-09,130.7,130.71,127.82,128.25,651969,-1.97,128.62
2023-05-10,129.12,129.5,126.18,128.19,601668,-0.05,127.54
2023-05-11,127.34,128.07,126.63,127.28,454280,-0.71,127.21
2023-05-12,127.9,128.35,126.2,127.36,323421,0.06,127.14
2023-05-15,127.28,127.28,124.75,125.45,685314,-1.5,125.44
2023-05-16,124.44,124.87,121.97,122.15,808450,-2.63,122.53
2023-05-17,122.62,124.25,122.12,124.03,490586,1.54,123.61
2023-05-18,123.65,124.36,122.5,124.29,398759,0.21,123.72
2023-05-19,125.28,125.7,123.56,124.5,399726,0.17,124.43
2023-05-22,124.18,125.31,122.91,124.14,679501,-0.29,124.4
2023-05-23,124.0,124.63,122.77,123.04,619632,-0.89,123.48
2023-05-24,122.51,123.18,121.44,122.54,474627,-0.41,122.38
2023-05-25,121.91,122.96,121.1,122.46,513592,-0.07,122.27
2023-05-26,122.99,124.11,122.16,122.34,355649,-0.1,122.73
2023-05-30,122.14,122.48,120.05,121.56,430534,-0.64,121.2
2023-05-31,120.98,121.37,118.98,119.29,893511,-1.87,119.42
2023-06-01,120.09,120.82,117.53,120.06,891308,0.65,119.75
2023-06-02,121.54,123.25,121.05,123.18,919888,2.6,122.75
2023-06-05,122.86,123.66,121.54,122.29,859844,-0.72,122.6
2023-06-06,122.1,125.19,122.1,124.62,507909,1.91,124.38
2023-06-07,125.23,128.04,124.59,127.77,515785,2.53,127.25
2023-06-08,128.02,128.02,125.35,125.82,646690,-1.53,125.93
2023-06-09,125.7,126.45,124.27,125.8,408143,-0.02,125.84
2023-06-12,124.94,126.4,123.65,125.84,517575,0.03,125.67
2023-06-13,126.55,129.04,126.36,126.92,843862,0.86,127.52
2023-06-14,127.94,129.78,127.06,127.55,610280,0.5,128.07
2023-06-15,127.13,129.32,126.78,128.81,461717,0.99,128.51
2023-06-16,129.18,129.98,127.49,128.58,1738211,-0.18,128.61
2023-06-21,127.13,128.9,125.87,127.84,600383,-0.02,128.07
2023-06-22,127.48,127.48,125.76,127.01,542326,-0.65,126.89
2023-06-23,125.86,126.66,124.89,125.08,836962,-1.52,125.29
2023-06-26,125.43,127.65,125.43,127.12,440642,1.63,126.88
2023-06-27,127.15,128.65,125.96,127.84,473607,0.57,127.93
2023-06-28,127.45,127.79,124.19,125.64,875437,-1.72,125.48
2023-06-29,125.15,128.17,125.0,128.03,881234,1.9,126.97
2023-06-30,127.68,128.91,126.57,128.32,648828,0.23,128.08
2023-07-03,128.09,129.63,127.96,128.76,363462,0.34,128.98
2023-07-05,126.83,126.86,125.24,126.26,784785,-1.94,126.24
2023-07-06,125.49,126.76,123.99,126.37,695435,0.09,125.78
2023-07-07,126.05,129.8,126.05,128.65,701980,1.8,128.65
2023-07-10,127.76,129.15,127.11,128.1,610569,-0.43,127.94
2023-07-11,128.5,129.15,127.89,128.66,621608,0.44,128.37
2023-07-12,129.97,130.6,128.87,129.57,415129,0.71,129.55
2023-07-13,129.25,130.66,128.92,130.17,497596,0.46,130.03
2023-07-14,130.11,130.76,129.35,130.31,564519,0.11,130.07
2023-07-17,129.56,130.73,128.85,130.1,508666,-0.16,130.0
2023-07-18,129.72,131.55,129.72,131.48,498043,1.06,130.98
2023-07-19,131.31,132.08,130.5,131.93,590552,0.34,131.64
2023-07-20,132.56,132.97,131.18,132.03,386512,0.08,132.18
2023-07-21,132.07,133.55,131.61,133.36,677211,1.01,133.03
2023-07-24,133.66,135.36,132.58,134.65,1005116,0.97,134.62
2023-07-25,140.86,149.88,140.31,148.22,2218479,10.08,147.93
2023-07-26,147.3,147.39,143.72,146.18,1378932,-1.38,145.35
2023-07-27,147.48,150.89,146.23,148.01,916971,1.25,149.0
2023-07-28,150.02,150.88,147.82,148.38,561118,0.25,149.03
2023-07-31,148.58,150.09,148.1,148.9,728332,0.35,148.84
2023-08-01,148.26,149.66,147.58,148.66,653522,-0.16,148.9
2023-08-02,148.83,151.67,147.84,150.15,674393,1.0,150.25
2023-08-03,152.06,154.06,149.42,150.72,1090184,0.38,151.82
2023-08-04,151.24,152.53,149.13,149.42,874878,-0.86,150.24
2023-08-07,149.76,150.7,147.76,148.61,667327,-0.54,148.6
2023-08-08,147.06,148.52,145.52,148.03,582286,-0.39,147.38
2023-08-09,148.28,148.79,147.36,147.77,393659,-0.18,147.92
2023-08-10,148.78,149.04,147.52,148.4,679809,0.43,148.36
2023-08-11,147.64,148.73,147.18,147.61,287987,-0.53,147.83
2023-08-14,147.48,147.48,146.1,146.46,348805,-0.78,146.6
2023-08-15,145.03,145.46,143.33,143.42,457610,-2.08,143.98
2023-08-16,143.27,144.55,142.87,143.03,408670,-0.27,143.57
2023-08-17,143.85,144.71,141.89,142.44,497279,-0.41,142.94
2023-08-18,141.49,143.12,141.49,142.71,405838,0.19,142.44
2023-08-21,142.77,142.97,140.7,141.02,338764,-1.18,141.35
2023-08-22,141.31,142.07,140.51,140.86,328312,-0.11,140.9
2023-08-23,141.2,141.32,140.45,141.18,361465,0.23,141.04
2023-08-24,140.85,142.7,140.16,140.38,268194,-0.57,140.92
2023-08-25,141.1,142.48,140.5,141.8,349852,1.01,141.68
2023-08-28,142.54,144.44,142.54,143.53,260763,1.22,143.75
2023-08-29,143.57,144.77,143.3,144.73,284884,0.84,144.3
2023-08-30,145.04,145.77,144.5,145.06,271167,0.23,145.05
2023-08-31,145.09,145.45,144.5,144.77,488014,-0.2,144.85
2023-09-01,145.48,146.21,144.69,145.22,396792,0.31,145.35
2023-09-05,144.12,144.28,141.04,141.3,418670,-2.7,141.63
2023-09-06,141.58,141.89,139.83,140.58,628584,-0.51,140.57
2023-09-07,141.77,142.47,139.96,140.55,953342,-0.02,140.64
2023-09-08,140.3,142.37,140.3,142.31,375458,1.25,141.93
2023-09-11,143.47,144.04,141.7,142.02,377015,-0.2,142.35
2023-09-12,142.35,143.52,140.28,142.69,387334,0.47,142.7
2023-09-13,142.9,143.86,141.92,143.28,507508,0.41,143.1
2023-09-14,145.01,146.44,144.26,146.37,508102,2.16,145.99
2023-09-15,146.14,147.26,144.93,145.4,1049844,-0.66,145.76
2023-09-18,146.11,147.56,145.37,147.35,622184,1.34,146.99
2023-09-19,147.59,148.49,145.94,146.52,394093,-0.56,146.65
2023-09-20,146.73,147.8,145.74,145.76,412850,-0.52,146.55
2023-09-21,146.79,148.53,145.34,145.46,442550,-0.21,146.1
2023-09-22,145.93,147.42,145.69,145.95,366183,0.34,146.32
2023-09-25,145.92,148.08,145.77,147.7,406991,1.2,147.45
2023-09-26,146.83,148.01,145.9,146.01,464309,-1.14,146.7
2023-09-27,148.11,149.52,147.35,148.72,600658,1.86,148.5
2023-09-28,149.07,150.97,148.66,150.57,409045,1.24,150.23
2023-09-29,151.31,151.8,150.15,150.35,485570,-0.15,150.72
2023-10-02,149.81,150.64,148.14,150.08,757699,-0.18,149.74
2023-10-03,148.65,150.74,147.6,148.51,839943,-1.05,148.58
2023-10-04,149.44,150.49,148.33,150.13,646672,1.09,149.75
2023-10-05,149.52,150.75,148.75,149.37,479044,-0.51,149.49
2023-10-06,149.37,149.92,148.29,148.38,515584,-0.66,148.81
