trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,109.1,111.06,106.42,107.87,2170258,-0.03,107.85
2023-01-04,109.72,112.95,109.2,111.95,3059464,3.78,111.7
2023-01-05,110.72,111.18,107.61,108.02,3079525,-3.51,108.36
2023-01-06,108.54,112.27,107.93,111.66,3996022,3.37,110.97
2023-01-09,112.47,113.51,111.09,111.09,2504564,-0.51,111.96
2023-01-10,110.65,111.19,109.41,111.08,3097850,-0.01,110.48
2023-01-11,112.33,115.83,112.28,115.77,3084520,4.22,114.81
2023-01-12,116.09,117.43,115.09,116.89,2608615,0.97,116.58
2023-01-13,115.25,117.26,115.02,116.68,2283443,-0.18,116.39
2023-01-17,117.16,117.76,115.72,116.22,3056982,-0.39,116.66
2023-01-18,117.25,119.97,116.19,117.4,4245379,1.02,117.89
2023-01-19,117.72,119.32,116.05,116.1,3875812,-1.11,117.25
2023-01-20,115.96,117.71,114.47,117.56,3281228,1.26,116.4
2023-01-23,117.91,121.0,116.82,120.67,3011180,2.65,119.92
2023-01-24,120.99,121.55,116.65,120.99,2142754,0.27,120.73
2023-01-25,119.64,120.84,119.05,120.31,2436895,-0.56,119.93
2023-01-26,121.27,122.64,120.58,122.58,2071968,1.89,121.91
2023-01-27,122.49,125.31,122.16,124.28,2824179,1.39,124.11
2023-01-30,122.9,124.69,122.29,122.32,2538066,-1.58,123.13
2023-01-31,121.71,124.18,121.52,123.74,4350160,1.16,123.23
2023-02-01,123.55,126.3,122.14,125.3,2845594,1.26,124.28
2023-02-02,126.89,130.82,126.13,128.73,3111683,2.74,128.93
2023-02-03,126.3,127.13,124.39,125.98,3303378,-2.14,125.72
2023-02-06,123.99,126.1,123.73,125.81,2539744,-0.13,125.28
2023-02-07,124.5,125.94,123.13,124.69,3638687,-0.89,124.62
2023-02-08,123.93,125.53,123.69,124.24,1980016,-0.36,124.37
2023-02-09,124.6,125.49,122.11,122.56,2467349,-1.35,123.37
2023-02-10,121.73,122.88,120.37,122.61,2303632,0.04,122.07
2023-02-13,122.83,124.23,122.72,123.75,1755762,0.93,123.69
2023-02-14,123.13,124.66,121.44,122.26,1859171,-1.2,122.46
2023-02-15,121.2,122.1,120.95,122.07,1733864,-0.16,121.61
2023-02-16,119.69,121.69,118.86,120.4,1782165,-1.37,120.4
2023-02-17,120.25,120.44,118.19,119.95,2623167,-0.37,119.48
2023-02-21,118.74,119.31,117.4,118.19,2448584,-1.47,118.13
2023-02-22,118.92,119.37,116.94,117.64,2526288,-0.47,117.94
2023-02-23,118.44,119.42,117.07,118.7,1844064,0.9,118.26
2023-02-24,117.83,117.85,115.69,116.18,2517871,-2.12,116.33
2023-02-27,118.12,118.34,116.2,117.65,2439257,1.27,117.38
2023-02-28,117.6,120.07,117.06,118.12,5780973,0.4,118.51
2023-03-01,116.54,117.35,115.67,115.94,3757880,-1.85,116.29
2023-03-02,115.13,119.41,114.91,119.28,2591431,2.88,118.22
2023-03-03,120.51,121.81,120.05,121.51,2529373,1.87,121.23
2023-03-06,122.05,122.37,121.09,121.72,1961775,0.17,121.8
2023-03-07,121.38,121.69,118.31,118.52,2242259,-2.63,119.39
2023-03-08,118.0,120.48,118.0,119.71,2018674,1.0,119.53
2023-03-09,119.85,120.18,115.73,116.11,2491252,-3.01,117.55
2023-03-10,115.82,116.59,111.45,111.97,3717126,-3.57,113.12
2023-03-13,111.72,115.66,111.45,113.3,3314631,1.19,113.71
2023-03-14,115.96,116.24,113.37,114.7,4342539,1.24,114.8
2023-03-15,113.18,116.09,112.93,114.87,4415965,0.15,114.62
2023-03-16,113.36,117.21,112.72,115.79,4409641,0.8,115.54
2023-03-17,114.52,115.61,111.81,111.87,6508942,-3.39,112.95
2023-03-20,112.84,114.53,111.36,114.45,3851206,2.31,113.95
2023-03-21,115.82,116.2,113.24,114.12,4078832,-0.29,114.38
2023-03-22,113.55,114.24,109.94,110.03,3472320,-3.58,111.53
2023-03-23,110.68,113.27,109.69,110.06,4007125,0.03,111.06
2023-03-24,109.19,112.9,109.17,112.84,3721396,2.53,111.52
2023-03-27,113.14,114.28,112.48,112.87,3087495,0.03,113.24
2023-03-28,111.97,112.96,111.49,112.47,1853298,-0.35,112.4
2023-03-29,114.24,115.69,113.87,115.59,2591111,2.77,115.07
2023-03-30,116.67,117.89,116.3,117.55,3384565,1.7,117.28
2023-03-31,118.56,120.42,118.29,120.3,5305332,2.34,119.68
2023-04-03,119.52,121.84,118.46,119.34,2966441,-0.8,119.52
2023-04-04,119.34,120.12,118.55,119.63,2822059,0.24,119.39
2023-04-05,119.33,119.9,117.78,117.89,2546738,-1.45,118.39
2023-04-06,117.89,118.38,116.81,118.35,2104853,0.39,117.84
2023-04-10,117.57,119.38,116.4,119.31,2936744,0.81,118.47
2023-04-11,119.49,119.96,118.15,118.28,2553640,-0.86,118.71
2023-04-12,119.92,120.19,118.28,118.41,2576293,0.11,118.89
2023-04-13,118.52,118.82,116.13,117.55,2608880,-0.73,117.41
2023-04-14,117.86,118.73,114.67,115.47,2957553,-1.77,116.0
2023-04-17,115.7,118.87,115.42,118.73,4269840,2.82,117.92
2023-04-18,119.57,120.62,118.03,119.28,3968810,0.46,119.1
2023-04-19,119.46,120.92,118.35,120.68,2855782,1.17,120.32
2023-04-20,120.14,120.47,118.58,118.83,2285937,-1.53,119.27
2023-04-21,119.69,120.46,118.82,119.15,2703886,0.27,119.51
2023-04-24,119.59,119.93,117.43,118.78,2281949,-0.31,118.43
2023-04-25,118.23,118.75,116.07,116.32,3146756,-2.07,117.03
2023-04-26,116.29,116.92,114.14,114.8,2321360,-1.31,115.1
2023-04-27,115.89,118.49,115.1,117.8,3347204,2.61,117.43
2023-04-28,118.3,121.22,117.98,120.76,3621004,2.51,120.47
2023-05-01,120.53,120.96,117.74,118.01,1787564,-2.28,118.47
2023-05-02,118.12,119.03,116.92,118.09,2426186,0.07,118.01
2023-05-03,119.02,121.71,117.92,119.71,3323224,1.37,119.9
2023-05-04,119.68,120.57,118.04,120.41,2740427,0.58,119.67
2023-05-05,121.54,122.88,121.33,122.69,1994075,1.89,122.33
2023-05-08,122.22,123.26,121.84,122.81,2002131,0.1,122.69
2023-05-09,122.38,122.53,120.52,121.41,2745003,-1.14,121.54
2023-05-10,122.81,124.42,121.78,123.49,2377139,1.71,123.27
2023-05-11,122.48,122.56,120.35,121.24,2373637,-1.82,121.15
2023-05-12,121.34,121.7,119.78,120.69,1427538,-0.45,120.54
2023-05-15,120.96,121.47,120.02,120.79,1510492,0.08,120.76
2023-05-16,120.59,120.59,116.69,116.91,3417481,-3.21,117.41
2023-05-17,117.69,118.44,116.67,118.3,2684117,1.19,117.83
2023-05-18,117.49,119.09,116.74,117.69,2129107,-0.52,117.81
2023-05-19,118.85,119.92,117.86,118.65,2135519,0.82,118.77
2023-05-22,119.03,121.19,118.1,119.78,2130786,0.95,120.06
2023-05-23,119.23,120.53,118.3,119.11,4400727,-0.56,119.16
2023-05-24,119.07,119.07,116.02,116.68,2359817,-2.04,117.09
2023-05-25,117.63,118.94,116.58,117.61,2709831,0.8,117.73
2023-05-26,118.1,120.84,117.7,120.47,2378303,2.43,119.94
2023-05-30,121.19,121.9,119.64,119.86,2723060,-0.51,120.36
2023-05-31,119.86,121.66,119.01,120.09,14817688,0.19,120.05
2023-06-01,119.07,119.72,117.29,118.25,3082927,-1.53,118.41
2023-06-02,119.56,120.82,118.53,120.44,3084511,1.85,120.18
2023-06-05,120.64,121.06,119.09,120.17,2077223,-0.22,120.21
2023-06-06,120.95,122.59,120.09,121.32,2255724,0.96,121.48
2023-06-07,121.9,123.92,121.05,123.47,2951973,1.77,123.16
2023-06-08,123.11,123.11,120.15,120.44,2749578,-2.45,120.73
2023-06-09,120.62,120.78,116.74,116.96,3313285,-2.89,117.68
2023-06-12,116.67,116.92,114.19,115.33,4551309,-1.39,115.11
2023-06-13,115.29,117.09,114.74,117.0,2751566,1.45,116.49
2023-06-14,117.32,119.18,116.82,117.89,2895345,0.76,118.09
2023-06-15,117.0,118.54,116.21,118.2,2686811,0.26,117.93
2023-06-16,119.35,120.82,118.87,119.08,5837168,0.74,119.36
2023-06-21,116.96,117.65,116.21,117.2,2697001,-0.13,117.05
2023-06-22,117.37,117.68,114.26,115.23,2707682,-1.68,115.33
2023-06-23,115.02,116.82,113.39,113.52,4297242,-1.48,114.27
2023-06-26,113.32,115.69,113.31,115.57,2827548,1.81,115.1
2023-06-27,116.27,118.08,115.61,117.37,3670083,1.56,117.2
2023-06-28,117.2,117.56,115.54,117.11,3295024,-0.22,116.69
2023-06-29,116.76,118.31,116.31,117.99,2925206,0.75,117.68
2023-06-30,119.01,119.33,116.44,119.08,6598766,0.92,118.35
2023-07-03,118.11,121.1,118.04,120.27,1481697,1.0,120.13
2023-07-05,119.69,122.3,118.57,120.4,4228594,0.11,120.95
2023-07-06,118.18,119.58,116.36,119.43,2741217,-0.81,118.78
2023-07-07,118.32,118.99,117.53,118.46,2517820,-0.81,118.37
2023-07-10,118.04,118.87,117.37,118.29,1989685,-0.14,118.27
2023-07-11,118.69,119.87,116.8,119.66,2356947,1.16,118.64
2023-07-12,121.72,123.26,121.24,121.62,3743578,1.64,122.16
2023-07-13,121.72,123.52,120.4,123.28,2831593,1.36,122.41
2023-07-14,122.8,124.17,122.17,124.06,2655387,0.63,123.67
2023-07-17,124.12,125.02,123.43,124.28,2812125,0.18,124.4
2023-07-18,126.0,126.0,117.46,120.41,6397488,-3.11,120.08
2023-07-19,121.79,122.75,119.05,119.23,3594142,-0.98,120.02
2023-07-20,120.5,120.83,118.76,120.18,2709291,0.8,119.95
2023-07-21,120.49,123.49,120.27,121.81,3304799,1.36,121.95
2023-07-24,121.74,123.74,121.69,123.34,1952692,1.26,122.98
2023-07-25,122.98,124.93,122.98,123.42,2817752,0.06,123.95
2023-07-26,123.79,125.71,123.56,125.54,2778900,1.72,125.05
2023-07-27,126.24,126.49,121.26,121.33,2979992,-3.35,122.52
2023-07-28,122.46,123.18,119.8,120.07,2319032,-1.04,120.55
2023-07-31,120.48,122.02,119.83,121.14,2674562,0.89,121.07
2023-08-01,120.91,121.09,119.48,120.59,2279449,-0.45,120.45
2023-08-02,119.89,120.68,118.43,120.1,2096788,-0.41,119.86
2023-08-03,118.8,120.42,117.09,120.23,2718228,0.11,119.22
2023-08-04,119.88,121.61,118.12,118.71,2045125,-1.26,119.57
2023-08-07,118.85,121.01,118.59,120.83,1518121,1.79,120.39
2023-08-08,119.84,120.28,118.57,119.85,1369601,-0.81,119.46
2023-08-09,119.57,120.44,118.81,119.05,2190768,-0.67,119.47
2023-08-10,119.56,121.14,117.95,118.63,1590663,-0.35,119.08
2023-08-11,118.23,120.31,117.82,119.94,1715926,1.1,119.76
2023-08-14,119.87,120.52,119.31,119.91,1499359,-0.03,119.95
2023-08-15,118.72,119.62,118.3,119.14,1458956,-0.64,119.0
2023-08-16,119.18,119.37,118.0,118.33,1348671,-0.68,118.6
2023-08-17,118.5,119.53,116.65,116.72,1736652,-1.36,117.67
2023-08-18,115.78,118.31,115.38,117.96,1886822,1.06,117.46
2023-08-21,117.41,117.96,115.77,116.67,1743089,-1.09,116.61
2023-08-22,117.37,117.96,116.3,117.52,1468738,0.73,117.28
2023-08-23,118.46,119.81,118.07,119.51,2167774,1.69,119.31
2023-08-24,119.69,121.65,118.14,118.22,1886950,-1.08,119.31
2023-08-25,118.55,119.83,117.91,119.11,2559817,0.75,119.07
2023-08-28,120.06,121.31,119.94,120.41,2106397,1.09,120.52
2023-08-29,120.39,121.73,119.21,121.48,1833498,0.89,120.98
2023-08-30,121.86,122.32,121.09,122.07,1849348,0.49,121.78
2023-08-31,121.74,122.26,120.31,120.61,3277645,-1.2,120.8
2023-09-01,121.77,121.94,120.46,120.99,1591048,0.32,121.01
2023-09-05,120.66,120.9,118.34,118.52,2854189,-2.04,119.14
2023-09-06,118.43,118.88,116.15,117.87,2786423,-0.55,117.46
2023-09-07,117.53,119.95,117.22,119.74,2531947,1.59,119.4
2023-09-08,120.02,120.19,118.35,118.94,1758047,-0.67,119.09
2023-09-11,119.24,119.24,117.52,118.63,1992815,-0.26,118.47
2023-09-12,118.26,119.03,117.71,118.45,2275534,-0.15,118.43
2023-09-13,118.36,118.71,117.45,117.73,1864733,-0.61,118.01
2023-09-14,119.12,120.76,118.63,120.73,3375606,2.55,120.31
2023-09-15,119.99,120.58,119.18,120.46,4818488,-0.22,120.19
2023-09-18,120.37,121.13,119.31,120.02,1654495,-0.37,120.24
2023-09-19,120.05,120.63,118.59,118.89,1833964,-0.94,119.25
2023-09-20,119.75,120.37,118.2,118.24,2497840,-0.55,118.81
2023-09-21,117.1,118.09,111.91,112.02,3722851,-5.26,113.3
2023-09-22,112.02,113.41,111.14,111.55,3612310,-0.42,112.01
2023-09-25,110.95,111.39,109.91,110.75,3221017,-0.72,110.58
2023-09-26,109.63,110.56,108.55,109.04,3179257,-1.54,109.07
2023-09-27,109.65,110.15,108.39,108.79,3226627,-0.23,109.04
2023-09-28,109.54,110.66,108.83,109.65,2176958,0.79,109.67
2023-09-29,111.52,111.61,108.99,109.73,3414647,0.07,109.89
2023-10-02,109.21,110.21,106.38,107.08,3570056,-2.42,107.52
2023-10-03,106.53,106.71,104.57,105.13,2466456,-1.82,105.26
2023-10-04,105.92,106.14,104.02,106.03,2700313,0.86,105.49
2023-10-05,105.86,107.02,105.26,106.62,3377093,0.56,106.46
2023-10-06,105.63,107.33,104.59,106.51,2217312,-0.1,106.33
2023-10-09,105.54,107.63,105.34,107.04,1818336,0.5,106.96
2023-10-10,106.91,108.92,106.3,107.89,2430435,0.79,108.1
2023-10-11,108.88,110.12,108.66,109.92,3561694,1.88,109.55
2023-10-12,109.55,109.91,107.1,107.23,2314660,-2.45,107.95
2023-10-13,107.71,108.09,106.45,107.23,2578901,0.0,107.03
2023-10-16,108.09,108.52,106.61,108.47,3131795,1.16,108.2
2023-10-17,107.81,110.66,105.12,105.74,5379184,-2.52,107.12
2023-10-18,105.24,105.8,101.91,102.08,3734708,-3.46,102.98
2023-10-19,101.19,102.22,99.82,100.32,6388637,-1.72,100.63
2023-10-20,100.48,102.64,99.75,100.17,5620551,-0.15,101.08
2023-10-23,99.09,100.34,98.35,98.58,3978700,-1.59,99.26
2023-10-24,98.97,100.02,98.63,99.46,3050827,0.89,99.42
2023-10-25,98.47,98.66,96.08,96.56,4069150,-2.92,96.7
2023-10-26,96.64,98.27,96.52,97.43,3501385,0.9,97.55
2023-10-27,97.02,97.08,94.51,95.17,4082875,-2.32,95.51
2023-10-30,96.02,96.89,94.82,96.7,3588718,1.61,96.27
2023-10-31,97.59,98.61,96.64,98.53,4561602,1.89,98.15
2023-11-01,98.83,99.69,98.14,99.36,2585583,0.84,99.1
2023-11-02,101.68,103.15,101.47,102.41,4532395,3.07,102.42
2023-11-03,104.74,106.01,103.97,104.2,4562524,1.75,105.0
2023-11-06,104.01,105.19,101.54,102.61,3147395,-1.53,102.34
2023-11-07,102.68,102.98,101.2,101.93,3092603,-0.66,101.74
2023-11-08,102.31,103.15,102.06,102.81,2588848,0.86,102.76
2023-11-09,103.34,103.34,100.87,101.0,3350759,-1.76,101.56
2023-11-10,102.11,102.44,100.3,102.24,2385655,1.23,101.72
2023-11-13,101.63,101.63,99.87,100.22,2473458,-1.98,100.4
2023-11-14,103.66,107.52,103.33,106.92,5787649,6.69,106.61
2023-11-15,106.83,108.62,106.64,108.07,4620328,1.08,108.08
2023-11-16,108.28,108.76,107.6,107.84,3609869,-0.21,108.09
2023-11-17,108.91,109.02,107.13,107.64,3125061,-0.19,107.77
2023-11-20,107.43,108.63,106.29,108.55,3356175,0.85,108.14
2023-11-21,108.27,108.58,107.67,108.17,2717277,-0.35,108.16
2023-11-22,109.69,109.69,108.33,109.08,2325316,0.84,108.98
2023-11-24,109.41,109.56,108.34,109.53,1284521,0.41,109.16
