trade_date,close,open,high,low,vol,pct_change,vwap
20241231,75.63,77.58,77.98,73.65,55865333,-2.01,76.36
20241230,77.18,77.04,79.24,76.11,60374168,-2.4,77.72
20241227,79.08,81.42,82.0,77.93,66070188,-3.73,79.09
20241226,82.14,83.16,83.49,81.3,60109836,-0.29,82.28
20241224,82.38,81.09,84.8,81.0,64925145,2.09,83.08
20241223,80.69,80.65,82.02,77.41,92299563,0.17,79.92
20241220,80.55,72.64,80.66,71.5,278159070,8.54,78.86
20241219,74.21,73.99,76.59,73.37,99524313,3.78,74.85
20241218,71.51,74.3,77.6,70.27,107288750,-3.87,75.04
20241217,74.39,73.28,75.32,71.7,74619625,-1.8,73.86
20241216,75.75,75.06,77.82,71.16,124008820,-0.42,74.06
20241213,76.07,73.49,76.1,72.45,74265313,3.92,74.29
20241212,73.2,72.3,75.38,71.9,73859688,0.95,73.52
20241211,72.51,72.98,73.0,68.07,87974750,2.29,70.7
20241210,70.89,71.99,75.56,70.73,88919625,-2.17,73.07
20241209,72.46,80.58,80.91,71.05,166528380,-5.08,74.72
20241206,76.34,72.95,76.82,72.28,91458375,6.22,75.6
20241205,71.87,70.11,72.98,69.89,65703750,2.89,71.75
20241204,69.85,71.13,71.18,67.28,85687688,-1.56,69.33
20241203,70.96,66.41,71.37,66.15,99822500,6.88,70.02
20241202,66.39,67.44,67.88,65.96,46060000,-1.03,66.71
20241129,67.08,65.89,67.16,65.47,30085133,1.56,66.64
20241127,66.05,66.24,67.56,64.24,53612165,0.47,65.86
20241126,65.74,64.57,65.85,63.89,46228465,1.69,65.19
20241125,64.65,66.9,67.88,64.08,79786250,0.47,65.75
20241122,64.35,61.6,64.44,61.37,60918911,4.87,63.32
20241121,61.36,62.04,63.4,60.9,56020555,-1.22,62.06
20241120,62.12,62.59,63.08,59.96,57986333,-1.37,61.4
20241119,62.98,59.51,63.01,59.27,74518188,2.81,61.44
20241118,61.26,64.92,64.92,58.85,135750570,-6.86,61.33
20241115,65.77,61.01,66.0,60.91,152745630,11.14,63.92
20241114,59.18,61.05,61.17,58.53,55496329,-2.5,59.57
20241113,60.7,61.52,63.39,59.85,85254313,1.42,61.9
20241112,59.85,59.01,60.09,58.57,57980551,-0.65,59.44
20241111,60.24,60.13,62.08,58.69,107445820,3.17,60.6
20241108,58.39,55.57,58.48,55.3,82500250,4.49,57.46
20241107,55.88,55.82,56.47,53.55,119370190,0.63,54.95
20241106,55.53,53.44,55.69,51.61,112854750,8.61,54.05
20241105,51.13,47.86,51.57,46.86,206992690,23.47,50.15
20241104,41.41,41.08,42.04,41.03,61317633,-1.22,41.57
20241101,41.92,41.93,42.57,41.59,33398348,0.87,42.11
20241031,41.56,42.79,43.32,40.9,50656317,-4.88,41.73
20241030,43.69,44.58,44.8,43.61,29752110,-2.76,44.2
20241029,44.93,44.9,45.07,44.04,25851168,-0.09,44.82
20241028,44.97,45.05,45.14,44.68,36265040,0.25,44.95
20241025,44.86,43.85,45.07,43.65,50084418,2.98,44.71
20241024,43.56,42.89,43.73,42.66,33432856,2.28,43.25
20241023,42.59,42.85,43.68,42.05,34566680,-0.82,42.87
20241022,42.94,42.69,43.49,42.3,27633485,0.56,42.98
20241021,42.7,42.86,43.4,42.41,30446055,-0.63,42.77
20241018,42.97,42.02,42.99,41.65,33675305,2.31,42.56
20241017,42.0,42.15,42.7,41.61,34028415,0.17,42.01
20241016,41.93,42.4,42.49,40.36,58662958,-1.18,41.45
20241015,42.43,43.48,43.68,41.52,48206098,-2.24,42.53
20241014,43.4,43.72,44.39,43.28,40599907,-0.25,43.73
20241011,43.51,43.4,44.38,42.62,65783750,-0.02,43.4
20241010,43.52,42.92,43.88,42.41,62172282,0.9,43.25
20241009,43.13,41.55,43.34,41.21,85811375,4.05,42.63
20241008,41.45,39.29,41.49,39.02,61793090,6.58,40.77
20241007,38.89,39.9,40.15,38.77,43339973,-2.8,39.28
20241004,40.01,39.65,40.29,39.4,62326137,1.96,39.88
20241003,39.24,37.45,39.29,37.37,57196446,4.67,38.66
20241002,37.49,36.3,37.68,36.15,34628797,2.83,37.17
20241001,36.46,37.21,37.56,36.05,52580743,-1.99,36.66
20240930,37.2,36.58,37.32,36.15,41559454,0.98,36.9
20240927,36.84,36.91,37.47,36.59,42703743,-0.7,36.95
20240926,37.1,37.26,37.44,36.6,47915551,-0.05,37.08
20240925,37.12,36.89,37.18,36.38,45469290,0.6,36.79
20240924,36.9,37.97,37.98,36.43,79519250,-2.77,36.89
20240923,37.95,36.86,38.19,36.57,78851750,2.02,37.66
20240920,37.2,36.01,37.29,35.71,450290570,1.0,37.01
20240919,36.83,37.0,37.35,36.2,56173321,1.24,36.85
20240918,36.38,35.9,37.11,35.87,65567688,-0.19,36.52
20240917,36.45,37.0,37.05,35.87,63704024,0.39,36.31
