trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,71.14,71.29,68.46,69.63,1442535,-1.86,69.43
2023-01-04,70.07,71.0,69.63,70.34,954218,1.02,70.37
2023-01-05,69.86,70.06,68.39,68.72,994775,-2.3,68.76
2023-01-06,69.5,70.93,69.49,70.4,729810,2.44,70.41
2023-01-09,70.2,71.36,70.2,70.49,656127,0.13,70.7
2023-01-10,70.26,70.62,69.86,70.58,763256,0.13,70.4
2023-01-11,70.58,71.37,70.41,71.34,720186,1.08,70.98
2023-01-12,71.37,72.01,70.95,71.09,727110,-0.35,71.39
2023-01-13,70.7,70.85,69.94,70.32,651484,-1.08,70.29
2023-01-17,70.47,70.71,69.98,70.08,764561,-0.34,70.25
2023-01-18,70.09,70.25,69.05,69.41,988184,-0.96,69.55
2023-01-19,69.6,69.74,68.83,69.22,902256,-0.27,69.21
2023-01-20,69.23,70.35,68.28,70.31,1078820,1.57,69.67
2023-01-23,70.11,70.11,68.47,68.82,1044212,-2.12,69.18
2023-01-24,68.82,69.38,67.94,69.1,746316,0.41,68.83
2023-01-25,68.76,69.16,68.48,68.81,837182,-0.42,68.76
2023-01-26,68.58,69.11,68.25,69.06,766648,0.36,68.8
2023-01-27,69.14,69.44,68.72,69.11,719597,0.07,69.1
2023-01-30,68.94,69.62,68.78,69.05,934622,-0.09,69.09
2023-01-31,69.39,70.4,68.66,70.38,1760312,1.93,70.02
2023-02-01,70.06,72.53,69.8,72.25,1761703,2.66,71.66
2023-02-02,72.3,73.85,72.01,73.39,1030842,1.58,73.35
2023-02-03,73.12,73.12,70.51,71.63,1062112,-2.4,71.37
2023-02-06,71.49,71.81,70.36,71.38,820061,-0.35,71.18
2023-02-07,70.99,70.99,69.57,70.77,768622,-0.85,70.45
2023-02-08,70.4,70.48,69.03,69.19,621086,-2.23,69.43
2023-02-09,69.08,69.46,67.66,68.08,883375,-1.6,68.25
2023-02-10,68.2,70.0,68.09,69.94,685051,2.73,69.64
2023-02-13,69.94,70.52,69.7,70.47,473589,0.76,70.33
2023-02-14,70.46,70.76,69.47,69.92,549038,-0.78,69.98
2023-02-15,69.7,70.58,69.24,70.47,576898,0.79,70.1
2023-02-16,69.76,70.69,69.44,70.12,660734,-0.5,70.2
2023-02-17,70.48,71.44,69.86,70.9,1303993,1.11,70.93
2023-02-21,70.41,70.78,69.87,69.99,566468,-1.28,70.12
2023-02-22,69.99,70.42,69.23,69.48,786798,-0.73,69.79
2023-02-23,69.2,69.86,69.07,69.27,715588,-0.3,69.38
2023-02-24,68.71,69.46,68.4,69.27,1178224,0.0,69.03
2023-02-27,69.52,70.92,69.17,69.96,1737430,1.0,70.02
2023-02-28,69.53,71.22,69.04,69.56,1462953,-0.57,69.79
2023-03-01,69.1,69.4,68.23,69.19,1153169,-0.53,68.92
2023-03-02,69.02,71.08,68.5,71.06,1068350,2.7,70.41
2023-03-03,71.34,72.19,70.24,72.14,828774,1.52,71.83
2023-03-06,71.87,72.3,71.43,71.82,1018423,-0.44,71.8
2023-03-07,71.87,72.11,70.38,71.46,1694161,-0.5,71.23
2023-03-08,71.65,73.08,71.26,72.75,1310938,1.81,72.5
2023-03-09,72.98,73.68,71.38,71.43,1137997,-1.81,72.19
2023-03-10,71.57,71.86,69.43,69.87,707415,-2.18,70.08
2023-03-13,69.77,72.62,69.41,71.23,862252,1.95,71.68
2023-03-14,72.76,74.14,72.48,73.53,1683878,3.23,73.48
2023-03-15,73.5,74.64,72.81,73.83,1243540,0.41,73.82
2023-03-16,73.48,74.56,73.0,74.28,959843,0.61,74.06
2023-03-17,73.93,74.14,72.55,73.29,2373083,-1.33,73.35
2023-03-20,73.51,75.57,73.17,75.16,1114823,2.55,75.07
2023-03-21,75.21,75.24,72.23,73.07,1256763,-2.78,73.18
2023-03-22,72.78,73.01,71.11,71.12,1055867,-2.67,71.69
2023-03-23,70.79,72.08,69.69,69.95,940620,-1.65,70.58
2023-03-24,69.98,72.91,69.88,72.9,969391,4.22,72.13
2023-03-27,73.07,73.74,72.83,72.95,644942,0.07,73.18
2023-03-28,72.85,73.96,72.48,73.23,705124,0.38,73.29
2023-03-29,73.69,74.36,73.46,74.06,555596,1.13,74.04
2023-03-30,74.39,74.8,74.17,74.66,531721,0.81,74.57
2023-03-31,74.74,75.23,74.08,74.81,796484,0.2,74.61
2023-04-03,74.33,74.65,73.58,74.08,759464,-0.98,74.26
2023-04-04,74.18,74.43,73.48,74.28,851108,0.27,74.03
2023-04-05,74.46,76.15,74.35,76.12,965258,2.48,75.88
2023-04-06,76.47,77.06,75.46,75.8,1197185,-0.42,75.96
2023-04-10,75.44,75.96,75.14,75.92,793946,0.16,75.67
2023-04-11,76.08,76.46,75.41,75.57,1012117,-0.46,75.89
2023-04-12,75.71,76.11,75.09,75.36,922193,-0.28,75.48
2023-04-13,74.89,75.69,73.75,75.23,853770,-0.17,75.1
