trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,123.25,123.87,121.6,123.3,1001095,0.88,122.73
2023-01-04,125.25,126.58,124.34,126.34,763043,2.47,125.88
2023-01-05,123.01,123.01,119.1,119.67,1610674,-5.28,120.35
2023-01-06,121.37,125.27,120.15,124.91,1231736,4.38,124.03
2023-01-09,125.09,127.4,123.53,125.27,1299616,0.29,125.93
2023-01-10,123.45,126.22,123.33,126.15,981553,0.7,125.09
2023-01-11,128.3,128.8,126.06,128.4,1417524,1.78,127.43
2023-01-12,128.79,128.91,126.88,127.94,1044537,-0.36,127.77
2023-01-13,126.75,129.07,126.72,128.7,871214,0.59,128.25
2023-01-17,128.66,128.93,125.93,126.97,1689720,-1.34,126.97
2023-01-18,127.86,128.31,124.14,124.21,1973340,-2.17,125.44
2023-01-19,122.27,123.0,119.88,120.15,2904385,-3.27,120.73
2023-01-20,129.64,129.64,122.24,127.34,4117578,5.98,126.83
2023-01-23,126.47,128.6,125.19,126.66,1788239,-0.53,126.99
2023-01-24,126.6,128.36,124.13,127.31,1259520,0.51,126.97
2023-01-25,125.47,125.72,124.2,124.57,1578498,-2.15,124.77
2023-01-26,122.24,124.89,121.96,124.13,2149869,-0.35,123.68
2023-01-27,123.75,125.06,123.47,123.79,1564091,-0.27,124.13
2023-01-30,123.49,125.95,123.4,124.08,1333296,0.23,124.4
2023-01-31,124.76,126.83,124.08,126.7,2276246,2.11,126.24
2023-02-01,126.78,129.58,126.06,128.32,1661332,1.28,127.91
2023-02-02,128.35,131.17,126.61,130.67,1327129,1.83,129.73
2023-02-03,129.01,129.66,126.22,127.08,1007197,-2.75,127.43
2023-02-06,125.66,126.15,124.91,125.82,987451,-0.99,125.73
2023-02-07,125.36,127.96,125.04,127.6,1380430,1.41,126.87
2023-02-08,126.29,128.37,125.98,126.74,1050199,-0.67,127.02
2023-02-09,128.57,129.12,124.29,125.26,961414,-1.17,125.87
2023-02-10,124.4,124.77,122.23,122.7,1104789,-2.04,122.98
2023-02-13,123.4,125.26,122.52,125.14,992186,1.99,124.72
2023-02-14,125.1,127.3,125.06,126.15,1147125,0.81,126.47
2023-02-15,125.43,127.5,124.68,127.38,910986,0.98,126.88
2023-02-16,125.3,128.04,124.97,126.14,1075687,-0.97,126.67
2023-02-17,125.81,127.09,125.41,126.88,1255476,0.59,126.44
2023-02-21,127.21,127.21,123.15,123.26,1495487,-2.85,123.88
2023-02-22,123.67,125.82,123.66,125.67,1252099,1.96,125.09
2023-02-23,126.45,127.07,123.33,125.18,1137835,-0.39,125.07
2023-02-24,122.82,126.78,122.37,126.69,1263335,1.21,125.65
2023-02-27,128.33,129.62,128.03,128.54,1226702,1.46,128.7
2023-02-28,128.13,130.4,128.13,128.98,1535285,0.34,129.36
2023-03-01,128.2,131.56,127.97,130.12,2650969,0.88,130.59
2023-03-02,129.07,132.35,128.88,131.7,1641697,1.21,131.12
2023-03-03,132.94,134.3,131.45,134.26,1288078,1.94,133.5
2023-03-06,134.2,134.53,130.49,130.52,1451554,-2.79,131.84
2023-03-07,130.14,130.68,126.88,127.86,1609982,-2.04,127.97
2023-03-08,127.74,128.66,127.07,128.15,944585,0.23,127.8
2023-03-09,128.22,129.14,123.97,124.43,1246764,-2.9,125.32
2023-03-10,124.07,124.47,121.3,123.06,2400981,-1.1,122.66
2023-03-13,121.54,123.77,120.78,121.8,1316256,-1.02,122.27
2023-03-14,124.38,126.26,123.08,126.15,1952691,3.57,124.97
2023-03-15,124.89,125.23,120.37,122.51,1633279,-2.89,121.96
2023-03-16,121.7,124.22,120.67,123.6,1356265,0.89,123.25
2023-03-17,122.75,122.91,119.41,119.63,2761427,-3.21,120.34
2023-03-20,120.65,122.64,120.65,122.39,1045467,2.31,122.13
2023-03-21,124.2,124.8,123.08,123.65,791870,1.03,123.78
2023-03-22,123.28,124.08,120.71,120.73,948259,-2.36,122.35
2023-03-23,120.89,122.7,119.49,120.63,940299,-0.08,121.03
2023-03-24,119.91,122.55,118.08,122.52,1245931,1.57,121.39
2023-03-27,124.15,124.33,122.34,123.06,1142923,0.44,123.17
2023-03-28,123.17,123.76,122.12,123.28,1073837,0.18,122.94
2023-03-29,125.17,125.87,124.71,125.25,856688,1.6,125.25
2023-03-30,126.32,127.95,125.8,126.8,987282,1.24,126.95
2023-03-31,127.51,130.64,127.02,130.47,1497789,2.89,129.68
2023-04-03,134.9,136.95,134.06,136.78,3701024,4.84,136.24
2023-04-04,136.71,136.91,134.75,135.1,1966008,-1.23,135.36
2023-04-05,134.06,136.07,134.0,135.71,1819675,0.45,135.11
2023-04-06,133.94,135.21,133.78,134.85,1461683,-0.63,134.65
2023-04-10,134.49,136.0,133.96,135.11,935242,0.19,134.89
2023-04-11,135.95,137.97,135.45,136.05,1192632,0.7,136.81
2023-04-12,137.38,138.06,134.57,134.79,1306252,-0.93,135.28
2023-04-13,135.72,136.21,134.58,136.04,1764332,0.93,135.78
2023-04-14,135.8,136.81,134.3,135.19,1024710,-0.62,135.14
2023-04-17,135.71,137.72,135.14,137.64,978420,1.81,136.87
2023-04-18,138.37,139.14,137.43,138.31,1197160,0.49,138.39
2023-04-19,138.34,139.06,136.63,137.27,1544755,-0.75,137.25
2023-04-20,136.21,138.27,135.85,138.15,2075254,0.64,137.43
2023-04-21,141.48,141.76,137.9,138.67,2746981,0.38,139.38
2023-04-24,141.61,142.12,138.59,139.63,1767725,0.69,139.44
2023-04-25,138.85,139.53,136.5,137.16,1475831,-1.77,137.32
2023-04-26,136.14,137.18,133.7,134.43,1948517,-1.99,135.05
2023-04-27,135.53,135.74,133.32,135.69,1695956,0.94,134.67
