trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,92.62,93.05,91.45,92.11,1590679,0.02,92.1
2023-01-04,93.06,94.13,92.77,93.68,1417623,1.7,93.62
2023-01-05,93.21,93.38,91.5,92.07,1372931,-1.72,92.05
2023-01-06,92.96,93.85,92.62,93.52,1680804,1.57,93.49
2023-01-09,92.75,93.32,90.62,90.98,2154562,-2.72,91.7
2023-01-10,91.11,92.07,90.46,91.99,1199418,1.11,91.64
2023-01-11,91.72,92.62,91.45,92.59,1305426,0.65,92.27
2023-01-12,93.16,93.16,92.06,92.22,1664433,-0.4,92.51
2023-01-13,91.47,93.75,91.03,93.52,1241925,1.41,92.93
2023-01-17,93.52,93.9,93.1,93.59,1281605,0.07,93.53
2023-01-18,93.17,93.69,91.08,91.27,1510147,-2.48,91.91
2023-01-19,90.6,90.83,89.31,89.76,1702734,-1.65,89.91
2023-01-20,90.13,91.34,89.57,91.32,1412721,1.74,90.8
2023-01-23,91.35,93.47,91.12,92.58,1307294,1.38,92.52
2023-01-24,91.89,93.65,85.15,93.4,1147077,0.89,92.82
2023-01-25,92.59,94.06,92.19,94.01,954778,0.65,93.46
2023-01-26,94.53,95.32,93.64,95.21,1208360,1.28,94.62
2023-01-27,95.03,96.38,94.93,95.83,1246873,0.65,95.72
2023-01-30,95.63,96.19,94.82,95.6,1304958,-0.24,95.72
2023-01-31,96.1,97.18,94.88,97.16,2058989,1.63,96.64
2023-02-01,96.29,97.51,95.51,96.53,1412076,-0.65,96.56
2023-02-02,97.02,97.02,94.44,95.2,1854791,-1.38,95.27
2023-02-03,94.61,95.27,93.66,94.31,1714081,-0.93,94.31
2023-02-06,93.55,94.81,93.45,94.53,1551447,0.23,94.36
2023-02-07,93.93,95.83,93.35,95.18,2392394,0.69,94.9
2023-02-08,93.81,99.36,93.77,96.61,3469517,1.5,96.65
2023-02-09,97.24,98.15,95.13,95.34,1987553,-1.31,96.23
2023-02-10,95.15,95.57,94.46,95.4,1307856,0.06,95.15
2023-02-13,95.14,96.84,95.11,96.69,1443674,1.35,96.45
2023-02-14,96.21,96.65,95.24,95.62,1585034,-1.11,95.89
2023-02-15,94.74,96.31,94.61,96.26,1610318,0.67,95.75
2023-02-16,95.86,96.34,95.09,95.47,1510475,-0.82,95.75
2023-02-17,95.36,95.49,94.57,95.16,1557088,-0.32,95.0
2023-02-21,94.28,94.4,91.42,91.95,2102292,-3.37,92.3
2023-02-22,91.57,92.73,91.41,92.18,1830297,0.25,92.12
2023-02-23,92.67,93.4,91.51,92.34,1237402,0.17,92.34
2023-02-24,91.5,93.02,91.14,92.83,1376321,0.53,92.5
2023-02-27,93.73,94.23,92.51,92.82,1269112,-0.01,93.06
2023-02-28,93.2,94.15,92.88,93.73,2769456,0.98,93.7
2023-03-01,93.74,95.13,93.38,93.68,1683595,-0.05,94.13
2023-03-02,93.05,93.35,91.14,91.86,1976853,-1.94,91.79
2023-03-03,92.41,93.1,91.59,92.86,1632216,1.09,92.7
2023-03-06,92.83,93.35,92.23,92.38,1717440,-0.52,92.61
2023-03-07,91.78,92.25,89.4,89.94,1977565,-2.64,90.4
2023-03-08,89.89,90.44,88.08,88.79,1836942,-1.28,88.89
2023-03-09,88.74,88.75,84.57,85.01,2459747,-4.26,85.85
2023-03-10,83.84,84.84,82.28,82.97,4192590,-2.4,83.35
2023-03-13,79.71,80.56,76.3,77.02,6310688,-7.17,77.95
2023-03-14,80.44,81.37,77.73,78.42,4857410,1.82,78.99
2023-03-15,75.66,76.17,73.55,75.13,5423680,-4.2,74.8
2023-03-16,73.87,77.58,72.08,77.03,5200887,2.53,75.65
2023-03-17,75.86,76.18,72.59,73.12,16323704,-5.08,73.34
2023-03-20,74.1,76.36,73.64,75.27,3254127,2.94,75.36
2023-03-21,77.35,78.2,76.93,77.28,3006710,2.67,77.44
2023-03-22,77.03,77.25,73.72,73.74,3363688,-4.58,75.11
2023-03-23,73.81,74.77,71.73,72.38,3022220,-1.84,73.0
2023-03-24,71.25,72.77,70.64,72.71,2824057,0.46,71.86
2023-03-27,74.47,75.12,73.22,74.42,2802025,2.35,74.45
2023-03-28,74.32,75.14,73.87,74.42,1792289,0.0,74.44
2023-03-29,75.71,76.17,75.03,76.1,2280522,2.26,75.78
2023-03-30,77.2,77.74,76.19,76.62,2525169,0.68,76.85
2023-03-31,77.18,77.7,76.93,77.55,2493833,1.21,77.34
2023-04-03,77.56,78.25,77.17,77.26,2309952,-0.37,77.55
2023-04-04,79.1,79.22,76.5,77.08,2839613,-0.23,77.21
2023-04-05,75.84,77.68,75.61,77.64,2343311,0.73,77.22
2023-04-06,77.96,78.66,77.65,78.13,1921499,0.63,78.15
2023-04-10,78.02,78.97,77.92,78.87,1654155,0.95,78.69
2023-04-11,79.13,80.61,78.94,80.05,1928154,1.5,80.12
2023-04-12,80.88,81.33,79.1,79.52,2076374,-0.66,79.72
2023-04-13,79.35,79.77,78.54,79.55,1842189,0.04,79.47
2023-04-14,80.54,80.89,79.57,80.21,1372715,0.83,80.11
2023-04-17,79.66,81.68,79.3,81.62,2192186,1.76,80.91
2023-04-18,82.29,82.3,81.2,81.54,2012970,-0.1,81.61
2023-04-19,81.55,82.53,81.2,82.34,2044827,0.98,82.16
2023-04-20,81.67,82.22,80.75,81.02,1981254,-1.6,81.37
2023-04-21,80.92,80.92,79.73,80.33,1510516,-0.85,80.37
2023-04-24,80.21,80.68,79.9,80.48,1472282,0.19,80.39
2023-04-25,79.59,79.59,78.33,78.62,1955380,-2.31,78.86
2023-04-26,78.35,79.67,77.97,78.45,1924062,-0.22,78.68
2023-04-27,78.77,80.36,78.74,80.22,2754998,2.26,79.85
2023-04-28,79.95,81.7,79.68,81.54,2578063,1.65,81.35
2023-05-01,81.07,81.92,80.78,80.89,1652702,-0.8,81.14
2023-05-02,80.43,80.6,77.47,78.3,3155957,-3.2,78.32
2023-05-03,77.79,79.54,75.89,76.26,4207109,-2.61,77.39
2023-05-04,75.5,75.87,72.38,74.15,3343694,-2.77,73.63
2023-05-05,75.74,77.25,75.52,76.9,2561871,3.71,76.62
2023-05-08,77.89,78.3,76.86,77.39,1450334,0.64,77.39
2023-05-09,76.6,76.94,75.89,76.39,1856205,-1.29,76.47
2023-05-10,76.98,77.09,74.63,75.31,2089742,-1.41,75.28
2023-05-11,74.47,75.53,73.99,75.46,2351269,0.2,75.07
2023-05-12,75.88,75.93,72.98,73.99,3246823,-1.95,73.94
2023-05-15,73.97,74.62,73.87,74.42,2452283,0.58,74.35
2023-05-16,74.28,74.62,73.08,73.14,2334458,-1.72,73.37
2023-05-17,73.87,76.1,73.87,75.99,2455267,3.9,75.58
2023-05-18,75.76,77.3,75.07,77.22,2338616,1.62,76.4
2023-05-19,77.86,78.05,76.43,76.89,2538159,-0.43,77.2
2023-05-22,77.01,78.17,76.58,78.04,1818901,1.5,77.59
2023-05-23,78.02,79.24,77.82,77.84,1713414,-0.26,78.39
2023-05-24,76.97,77.52,75.47,75.68,1777488,-2.77,75.88
2023-05-25,75.66,76.45,74.97,76.21,2053866,0.7,75.9
2023-05-26,76.35,76.75,75.81,76.27,1679992,0.08,76.31
2023-05-30,76.62,77.4,75.47,77.26,1980284,1.3,76.8
2023-05-31,76.34,76.57,74.62,74.89,3812083,-3.07,75.0
2023-06-01,75.6,76.65,74.74,76.26,2123046,1.83,76.06
2023-06-02,77.51,79.75,77.31,79.03,2581668,3.63,78.94
2023-06-05,79.61,79.61,78.06,79.05,2355508,0.03,79.03
2023-06-06,79.31,80.64,79.15,79.88,1818366,1.05,80.1
2023-06-07,80.26,82.21,79.97,81.62,1945738,2.18,81.47
2023-06-08,81.26,81.86,80.12,80.75,1623382,-1.07,80.76
2023-06-09,80.88,81.1,80.24,80.47,1414406,-0.35,80.57
2023-06-12,80.42,81.2,80.08,80.53,1437380,0.07,80.54
2023-06-13,80.84,82.83,80.61,82.32,2522741,2.22,82.41
2023-06-14,82.77,83.77,81.19,81.41,3676761,-1.11,82.02
2023-06-15,81.06,82.91,80.96,82.57,3614617,1.42,82.44
2023-06-16,82.62,83.25,82.15,82.83,3976740,0.31,82.77
2023-06-21,80.56,81.78,80.4,81.27,3152595,0.4,81.3
2023-06-22,81.13,81.3,79.89,80.58,1593492,-0.85,80.5
2023-06-23,79.77,80.44,79.32,79.84,2175717,-0.92,79.91
2023-06-26,80.09,81.41,79.97,81.12,1788839,1.6,80.96
2023-06-27,81.21,82.84,80.94,82.48,1637189,1.68,82.44
2023-06-28,82.21,82.29,81.39,82.13,1463308,-0.42,81.96
2023-06-29,82.67,83.64,82.51,83.6,1387805,1.79,83.35
2023-06-30,84.2,84.61,83.67,83.96,1761065,0.43,84.15
2023-07-03,84.18,85.39,84.1,84.85,799016,1.06,84.9
2023-07-05,84.19,84.86,83.35,84.5,1465854,-0.41,84.36
2023-07-06,83.7,84.52,83.36,84.38,1420887,-0.14,84.08
2023-07-07,84.33,86.4,84.33,85.52,1554468,1.35,85.63
2023-07-10,85.13,85.75,84.88,85.11,1940530,-0.48,85.13
2023-07-11,85.95,87.56,85.57,87.45,1855650,2.75,87.05
2023-07-12,88.54,88.93,87.2,87.48,1415633,0.03,87.7
2023-07-13,87.68,88.52,87.19,88.33,1645212,0.97,88.1
2023-07-14,88.75,88.76,86.48,87.13,1231704,-1.36,87.08
2023-07-17,86.72,88.47,86.69,88.04,1271709,1.04,88.05
2023-07-18,88.09,89.84,88.05,89.17,1603103,1.28,89.22
2023-07-19,88.88,90.07,88.71,89.75,1121954,0.65,89.75
2023-07-20,89.87,90.45,89.48,90.44,1295637,0.77,90.17
2023-07-21,90.63,90.63,89.54,90.2,1296530,-0.27,90.29
2023-07-24,90.34,92.52,90.31,91.86,1656539,1.84,91.82
2023-07-25,91.84,91.98,90.63,90.79,1452733,-1.16,91.06
2023-07-26,90.79,92.5,90.79,92.16,1415454,1.51,92.07
2023-07-27,92.37,92.97,91.46,91.73,1382318,-0.47,92.05
2023-07-28,92.4,92.62,91.11,91.64,1138548,-0.1,91.67
2023-07-31,91.89,92.72,91.63,91.84,1861120,0.22,91.88
2023-08-01,92.02,92.23,91.18,91.69,1835539,-0.16,91.75
2023-08-02,90.68,91.68,89.06,90.71,2466052,-1.07,90.37
2023-08-03,90.26,92.64,90.23,92.12,1844427,1.55,91.93
2023-08-04,92.54,93.34,91.46,91.85,1999415,-0.29,92.32
2023-08-07,92.64,93.67,92.35,93.4,1661358,1.69,93.35
2023-08-08,91.55,92.63,90.48,92.62,1441045,-0.84,91.82
2023-08-09,92.54,92.71,90.41,90.48,1708382,-2.31,91.02
2023-08-10,91.02,91.72,89.79,90.06,1168160,-0.46,90.39
2023-08-11,89.62,90.89,89.62,90.62,1108938,0.62,90.59
2023-08-14,90.11,90.65,89.64,90.55,1017955,-0.08,90.34
2023-08-15,89.42,89.81,88.48,88.79,1628173,-1.94,88.91
2023-08-16,88.5,89.69,88.26,88.69,1392629,-0.11,88.93
2023-08-17,89.28,89.69,88.29,88.44,1283352,-0.28,88.83
2023-08-18,87.64,88.84,87.48,88.32,1592789,-0.14,88.3
2023-08-21,88.66,89.02,87.33,88.0,1105620,-0.36,87.98
2023-08-22,88.12,88.61,86.76,87.04,1331389,-1.09,87.15
2023-08-23,87.21,88.32,86.91,88.21,1431159,1.34,87.81
2023-08-24,88.87,90.83,88.78,90.13,2083993,2.18,90.16
2023-08-25,90.56,91.04,89.57,90.44,1556223,0.34,90.37
2023-08-28,90.7,91.59,90.01,90.36,1143482,-0.09,90.56
2023-08-29,90.68,91.16,90.19,91.1,1121088,0.82,90.89
2023-08-30,91.33,91.88,91.0,91.11,1133929,0.01,91.33
2023-08-31,91.31,91.9,91.21,91.33,2189589,0.24,91.39
2023-09-01,92.25,92.86,91.99,92.7,1367340,1.5,92.6
2023-09-05,92.62,93.07,91.1,91.12,1322738,-1.7,91.71
2023-09-06,90.9,91.43,90.38,91.0,1195938,-0.13,90.94
2023-09-07,90.74,91.33,90.38,90.96,1098892,-0.04,90.92
2023-09-08,90.94,92.5,90.69,91.74,1318733,0.86,91.85
2023-09-11,92.34,93.06,91.77,91.9,1178129,0.17,92.15
2023-09-12,92.07,94.04,92.06,93.2,1633747,1.41,93.28
2023-09-13,93.6,93.83,92.38,93.18,1508635,-0.02,93.17
2023-09-14,94.55,95.94,94.08,95.65,2299023,2.65,95.37
2023-09-15,94.86,95.95,94.7,95.21,3161886,-0.46,95.3
2023-09-18,95.14,95.68,94.46,95.42,1340668,0.22,95.36
2023-09-19,95.71,96.22,95.06,95.43,1243485,0.01,95.6
2023-09-20,95.96,96.44,95.35,95.44,1194369,0.01,95.89
2023-09-21,94.95,95.01,93.43,93.55,1531388,-1.98,93.79
2023-09-22,93.71,94.04,92.85,93.02,1210043,-0.57,93.21
2023-09-25,92.55,93.69,92.52,93.64,757026,0.67,93.38
2023-09-26,93.08,93.73,91.56,91.79,1222491,-1.98,92.24
2023-09-27,91.9,92.04,90.26,91.19,1222692,-0.65,91.01
2023-09-28,91.0,91.87,90.93,91.52,1147558,0.36,91.48
2023-09-29,91.67,92.5,91.03,91.55,1296463,0.03,91.65
2023-10-02,90.87,91.42,89.24,90.09,1270758,-1.59,89.94
2023-10-03,89.26,89.4,87.47,88.12,1629189,-2.19,88.02
2023-10-04,88.1,88.37,86.5,87.98,1465551,-0.16,87.57
2023-10-05,87.2,88.84,87.2,88.6,1302775,0.7,88.26
2023-10-06,87.93,90.22,87.86,89.62,1337983,1.15,89.5
2023-10-09,89.13,90.21,89.02,90.12,991389,0.56,89.79
2023-10-10,90.69,91.38,90.53,90.68,1092523,0.62,90.9
2023-10-11,90.94,91.79,90.31,91.52,1203984,0.93,91.19
2023-10-12,91.82,91.82,89.69,90.74,1009225,-0.85,90.7
2023-10-13,91.43,91.93,90.07,90.56,1018534,-0.2,90.71
2023-10-16,91.27,92.91,91.1,92.33,1342346,1.95,92.36
2023-10-17,92.02,94.18,91.86,93.51,1119702,1.28,93.39
2023-10-18,92.62,92.81,91.05,91.47,1313753,-2.18,91.62
2023-10-19,91.21,92.01,89.73,90.0,1259765,-1.61,90.53
2023-10-20,89.74,90.02,86.9,87.3,1756973,-3.0,87.75
2023-10-23,86.92,87.3,85.9,86.18,1555936,-1.28,86.48
2023-10-24,86.83,87.4,86.36,86.76,1064719,0.67,86.81
2023-10-25,86.64,87.21,86.03,86.16,1127934,-0.69,86.4
2023-10-26,86.21,88.14,86.21,87.13,1412181,1.13,87.39
2023-10-27,87.32,87.38,84.85,85.49,1469843,-1.88,85.58
2023-10-30,86.26,87.87,85.95,87.48,1905697,2.33,87.23
2023-10-31,87.79,88.3,87.24,88.22,1763147,0.85,88.03
2023-11-01,88.49,88.53,86.78,88.1,2238840,-0.14,87.88
