trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,97.91,98.92,95.2,95.66,2877150,-2.93,96.58
2023-01-04,94.26,96.58,94.1,95.33,2959185,-0.34,95.19
2023-01-05,94.88,97.59,94.88,97.55,3348430,2.33,96.94
2023-01-06,98.68,100.68,98.3,100.09,3101312,2.6,99.73
2023-01-09,101.03,101.29,96.16,96.59,4707383,-3.5,97.73
2023-01-10,97.0,97.95,95.23,96.17,3259164,-0.43,96.15
2023-01-11,97.03,97.27,95.19,96.03,3551134,-0.15,95.97
2023-01-12,96.52,98.26,96.32,97.4,2231790,1.43,97.52
2023-01-13,97.4,97.89,96.13,97.56,2133215,0.16,97.13
2023-01-17,98.05,99.43,96.92,97.06,2600814,-0.51,97.74
2023-01-18,97.74,99.91,96.87,97.25,2908164,0.2,97.97
2023-01-19,97.23,99.25,96.42,98.84,2696925,1.63,98.26
2023-01-20,99.23,101.54,98.31,101.28,2986434,2.47,100.59
2023-01-23,101.79,102.91,100.94,101.26,3070063,-0.02,101.93
2023-01-24,101.26,101.56,98.82,101.33,2360475,0.07,100.4
2023-01-25,100.71,103.08,99.93,103.07,2889143,1.72,102.1
2023-01-26,103.73,105.74,102.53,105.57,2723551,2.43,104.77
2023-01-27,105.52,105.9,102.93,102.95,2506688,-2.48,103.82
2023-01-30,102.61,103.14,100.26,100.77,3109975,-2.12,101.24
2023-01-31,99.14,99.14,93.86,94.94,7890067,-5.79,95.08
2023-02-01,94.5,96.19,91.88,92.78,4467781,-2.28,93.29
2023-02-02,92.79,93.74,91.22,93.72,4668652,1.01,92.96
2023-02-03,94.01,95.26,93.28,93.56,3525128,-0.17,93.89
2023-02-06,93.34,94.21,91.04,92.87,2666327,-0.74,92.39
2023-02-07,93.61,96.94,93.26,96.85,3628394,4.29,95.63
2023-02-08,96.35,98.14,95.86,97.28,3683762,0.44,97.05
2023-02-09,97.68,98.74,96.51,96.69,2897444,-0.61,97.38
2023-02-10,98.22,101.81,97.98,101.68,3003312,5.16,100.54
2023-02-13,101.32,102.56,100.13,102.51,2608803,0.82,101.92
2023-02-14,101.79,103.06,101.41,102.22,2267541,-0.28,102.34
2023-02-15,101.32,101.94,99.66,100.98,2627471,-1.21,100.68
2023-02-16,100.81,101.6,99.25,99.35,2876507,-1.61,100.2
2023-02-17,97.58,98.1,94.86,95.21,3537586,-4.17,95.66
2023-02-21,94.62,96.3,94.2,95.31,2569243,0.11,95.46
2023-02-22,94.99,96.42,94.23,95.14,2087817,-0.18,95.12
2023-02-23,96.65,97.08,94.8,95.98,2737977,0.88,96.0
2023-02-24,94.78,97.57,93.83,97.56,3005771,1.65,96.31
2023-02-27,97.97,99.79,97.57,99.14,2699527,1.62,99.1
2023-02-28,100.07,100.31,97.43,98.09,4104527,-1.06,98.37
2023-03-01,98.51,102.77,98.15,102.57,4581106,4.57,101.55
2023-03-02,101.86,102.67,99.81,101.2,4644016,-1.34,100.99
2023-03-03,100.39,102.0,99.61,101.4,3755760,0.2,101.33
2023-03-06,100.5,100.5,98.33,99.45,4000193,-1.92,99.16
2023-03-07,99.22,99.44,96.83,97.36,3119897,-2.1,97.82
2023-03-08,97.4,98.19,94.08,94.99,3876430,-2.43,95.26
2023-03-09,95.95,99.54,95.69,96.74,5194922,1.84,97.58
2023-03-10,96.99,99.39,96.21,96.81,4367160,0.07,97.33
2023-03-13,93.89,94.03,90.94,91.36,6037715,-5.63,92.06
2023-03-14,92.18,96.03,91.58,93.68,3521193,2.54,94.14
2023-03-15,90.46,90.86,88.57,89.57,6810328,-4.39,89.7
2023-03-16,87.5,91.16,87.38,90.91,5801949,1.5,90.24
2023-03-17,91.12,92.25,89.41,90.59,10256825,-0.35,90.6
2023-03-20,91.06,92.65,90.66,91.39,4692906,0.88,91.59
2023-03-21,93.23,94.03,90.99,91.39,7228895,0.0,91.67
2023-03-22,91.58,93.1,90.55,90.57,3012552,-0.9,91.65
2023-03-23,91.09,92.36,88.66,89.47,2856274,-1.21,90.16
2023-03-24,87.65,89.85,86.71,89.65,3719072,0.2,88.95
2023-03-27,91.06,92.65,89.66,92.04,3475259,2.67,91.51
2023-03-28,91.96,95.52,91.82,94.48,3350655,2.65,94.42
2023-03-29,95.41,96.69,94.93,95.91,3053583,1.51,95.92
2023-03-30,96.87,97.01,95.34,95.64,2336727,-0.28,95.91
2023-03-31,95.52,97.03,94.84,96.96,3920648,1.38,96.18
2023-04-03,100.42,100.42,97.72,98.43,4212313,1.52,98.69
2023-04-04,97.9,98.44,93.26,94.0,4202317,-4.5,94.45
2023-04-05,94.11,100.08,93.89,99.88,6353422,6.26,98.03
2023-04-06,100.25,100.75,98.0,98.36,3808311,-1.52,98.92
2023-04-10,98.52,100.87,98.51,100.39,2887785,2.06,100.32
2023-04-11,101.19,102.66,100.59,101.82,2484051,1.42,101.85
2023-04-12,102.02,102.79,101.25,101.41,3192466,-0.4,101.84
2023-04-13,100.99,101.72,100.17,101.64,2765358,0.23,101.26
2023-04-14,101.57,102.24,100.68,101.63,2111466,-0.01,101.36
2023-04-17,101.27,101.57,98.96,99.39,3326842,-2.2,99.7
2023-04-18,99.12,100.27,98.66,99.77,2932417,0.38,99.6
2023-04-19,99.77,99.85,96.4,98.57,3676839,-1.2,98.03
2023-04-20,97.28,98.28,96.22,96.84,3784393,-1.76,97.01
2023-04-21,96.76,97.51,95.15,95.79,3111024,-1.08,95.99
2023-04-24,95.23,96.93,95.13,96.3,2897956,0.53,96.37
2023-04-25,95.23,95.91,94.74,94.99,2738676,-1.36,95.15
2023-04-26,95.2,96.04,94.04,94.95,2716070,-0.04,94.93
2023-04-27,94.79,95.14,92.13,93.48,3132762,-1.55,93.44
2023-04-28,92.79,95.26,92.59,94.69,2710485,1.29,94.55
2023-05-01,93.92,95.25,93.33,94.11,2546587,-0.61,94.18
2023-05-02,93.64,93.91,89.06,90.6,4207234,-3.73,90.37
2023-05-03,89.86,93.82,88.99,91.77,6286039,1.29,91.62
2023-05-04,91.59,91.76,87.86,88.29,4619484,-3.79,88.78
2023-05-05,90.11,90.73,89.18,89.37,2720782,1.22,89.68
2023-05-08,90.69,91.15,89.7,89.87,3352863,0.56,90.28
2023-05-09,89.24,90.98,89.04,89.89,3274214,0.02,89.91
2023-05-10,90.23,90.78,89.0,90.13,3323817,0.27,90.04
2023-05-11,88.74,89.8,88.33,89.33,3428605,-0.89,89.09
2023-05-12,90.18,90.62,88.67,89.16,2776955,-0.19,89.36
2023-05-15,89.19,90.66,88.51,90.12,3344012,1.08,89.65
2023-05-16,90.05,90.46,87.43,87.89,4390723,-2.47,88.41
2023-05-17,89.16,90.84,88.29,90.66,3408562,3.15,89.97
2023-05-18,90.28,92.33,89.66,92.09,4404977,1.58,91.21
2023-05-19,92.36,92.75,91.33,91.81,3206527,-0.3,91.92
2023-05-22,91.92,93.27,91.82,92.41,2398058,0.65,92.67
2023-05-23,93.25,94.53,92.26,92.48,3113670,0.08,93.09
2023-05-24,92.96,93.69,92.3,93.37,2780433,0.96,93.1
2023-05-25,92.25,92.33,90.27,92.0,3091753,-1.47,91.71
2023-05-26,92.71,92.84,91.24,91.78,2442781,-0.24,91.88
2023-05-30,90.43,90.7,89.14,90.5,2943571,-1.39,90.23
2023-05-31,88.95,89.67,88.29,88.59,4851676,-2.11,88.71
2023-06-01,89.81,91.3,89.51,89.98,3100970,1.57,90.33
2023-06-02,91.62,93.96,91.13,93.83,4658621,4.28,93.44
2023-06-05,94.82,95.02,91.96,92.85,3201933,-1.04,92.98
2023-06-06,91.54,93.96,91.4,93.62,2888028,0.83,93.36
2023-06-07,94.09,97.86,93.92,97.71,3871062,4.37,96.65
2023-06-08,97.67,98.15,95.49,95.87,3653791,-1.88,96.52
2023-06-09,96.14,96.31,94.21,95.5,3247747,-0.39,95.5
2023-06-12,93.91,95.56,93.45,93.59,2884111,-2.0,93.93
2023-06-13,94.85,95.97,93.6,93.68,2733415,0.1,94.64
2023-06-14,94.61,95.03,91.71,92.54,2297510,-1.22,92.86
2023-06-15,92.52,94.04,92.21,93.82,2123043,1.38,93.61
2023-06-16,94.31,94.61,93.48,93.92,4965113,0.11,94.02
2023-06-21,89.93,91.83,89.59,90.2,2902845,-0.21,90.75
2023-06-22,89.41,90.09,87.7,87.81,3516093,-2.65,88.06
2023-06-23,87.03,88.37,86.78,87.86,4192024,0.06,87.85
2023-06-26,88.06,89.29,87.87,88.5,2807738,0.73,88.56
2023-06-27,88.57,89.96,88.17,89.51,3763977,1.14,89.31
2023-06-28,89.61,90.91,88.75,90.32,2574060,0.9,90.29
2023-06-29,90.6,91.55,90.32,91.41,2254388,1.21,91.23
2023-06-30,91.93,92.72,91.16,92.23,2574225,0.9,92.26
2023-07-03,92.49,93.45,92.25,92.5,1348799,0.29,92.9
2023-07-05,92.49,93.13,91.42,92.96,3854909,0.5,92.64
2023-07-06,92.25,93.02,91.4,92.25,4693914,-0.76,92.35
2023-07-07,92.6,96.99,92.37,96.16,5340879,4.24,95.74
2023-07-10,96.24,97.93,96.18,97.02,3785248,0.89,97.17
2023-07-11,96.56,98.33,96.51,98.17,3060825,1.19,97.69
2023-07-12,98.93,99.76,98.18,98.59,2374181,0.43,98.7
2023-07-13,98.91,100.5,98.26,99.19,2886437,0.61,99.3
2023-07-14,98.69,98.85,95.39,97.14,2865206,-2.07,96.97
2023-07-17,96.7,97.52,95.74,95.77,3078258,-1.41,96.33
2023-07-18,95.76,98.67,95.63,97.82,2367543,2.14,97.88
2023-07-19,97.82,100.09,97.79,99.08,3052143,1.29,99.15
2023-07-20,99.77,101.1,99.72,100.62,2520486,1.55,100.59
2023-07-21,100.97,102.46,100.64,102.24,2711753,1.61,101.87
2023-07-24,102.5,104.59,102.31,103.32,3691802,1.06,103.59
2023-07-25,102.99,104.88,102.08,104.16,2744836,0.81,103.89
2023-07-26,103.42,106.31,103.3,105.97,2687565,1.74,105.62
2023-07-27,106.35,107.19,105.21,105.3,2925876,-0.63,105.97
2023-07-28,105.87,107.03,105.48,106.71,2141474,1.34,106.65
2023-07-31,107.07,107.89,106.95,107.87,3801275,1.09,107.68
2023-08-01,107.52,108.74,107.0,108.41,2695397,0.5,108.12
2023-08-02,107.49,109.5,104.53,105.39,4888063,-2.79,106.13
2023-08-03,105.92,107.1,103.87,106.77,3512340,1.31,106.26
2023-08-04,107.9,109.44,106.8,106.83,2650599,0.06,107.88
2023-08-07,107.41,109.09,107.38,107.76,2982091,0.87,108.03
2023-08-08,106.29,109.7,105.37,108.96,2865139,1.11,108.28
2023-08-09,109.56,111.97,109.28,110.64,3864782,1.54,111.01
2023-08-10,111.18,112.36,110.49,110.89,2587861,0.23,111.27
2023-08-11,111.24,113.42,111.24,112.79,2558962,1.71,112.69
2023-08-14,112.63,113.1,110.53,110.89,3044005,-1.68,111.17
2023-08-15,109.02,110.76,108.77,109.69,5087598,-1.08,109.66
2023-08-16,110.24,111.48,109.48,109.53,3904400,-0.15,110.35
2023-08-17,111.01,113.0,110.76,110.87,4704414,1.22,111.8
2023-08-18,109.91,112.03,109.91,111.5,4896484,0.57,111.43
2023-08-21,112.15,112.62,109.53,110.61,2662829,-0.8,110.57
2023-08-22,110.98,111.48,109.92,110.23,2220777,-0.34,110.41
2023-08-23,109.25,109.75,107.52,109.57,2027553,-0.6,109.17
2023-08-24,108.95,110.5,108.88,109.7,1713642,0.12,109.87
