trade_date,close,open,high,low,vol,pct_change,vwap
20241231,316.05,318.92,320.05,315.72,652090,-0.92,316.75
20241230,318.98,319.12,322.4,313.82,990062,-1.29,318.93
20241227,323.14,328.15,329.39,320.39,577586,-2.26,323.05
20241226,330.62,330.17,331.37,326.71,294447,-0.06,330.17
20241224,330.81,329.81,330.81,327.28,1196302,1.05,329.51
20241223,327.38,327.34,328.43,323.54,593784,-0.31,326.59
20241220,328.41,319.58,330.92,319.32,2040616,1.8,327.28
20241219,322.59,324.9,328.68,319.21,1022377,0.61,322.49
20241218,320.62,339.15,339.15,319.63,1315978,-4.7,326.19
20241217,336.43,340.0,341.67,332.97,1135510,-1.77,336.38
20241216,342.5,337.6,343.44,336.58,1132882,1.45,341.64
20241213,337.6,336.83,341.0,334.79,1116969,0.45,337.64
20241212,336.1,332.09,336.82,332.09,976995,0.55,335.47
20241211,334.25,326.71,334.29,323.13,1255812,4.49,330.55
20241210,319.9,322.64,324.78,317.03,898594,-0.65,319.49
20241209,321.98,333.93,335.59,320.99,1028074,-3.16,323.91
20241206,332.47,336.81,337.12,330.51,1080907,-0.75,332.35
20241205,334.97,333.48,339.09,330.13,1080684,0.39,335.69
20241204,333.66,339.25,339.25,330.01,1175704,-1.79,333.3
20241203,339.74,342.15,343.48,338.53,784302,-0.76,340.01
20241202,342.33,345.0,347.2,341.77,623733,-0.64,343.26
20241129,344.52,347.27,348.5,343.99,370772,0.17,345.08
20241127,343.94,347.94,349.03,340.75,534119,-0.77,343.53
20241126,346.6,346.16,350.19,341.66,801034,1.07,347.46
20241125,342.92,343.31,344.45,337.05,1227232,0.29,342.03
20241122,341.92,340.76,343.7,337.94,784392,0.56,340.92
20241121,340.01,335.92,342.28,334.7,986316,2.31,340.17
20241120,332.34,332.28,333.02,327.61,691213,0.47,331.54
20241119,330.78,324.82,332.81,323.04,822513,0.72,330.04
20241118,328.41,323.31,332.05,321.71,911487,1.57,328.46
20241115,323.33,320.37,325.29,320.0,900887,-0.17,323.39
20241114,323.87,327.08,328.38,322.86,627250,-0.92,324.83
20241113,326.88,329.03,333.81,325.11,940653,-0.12,328.98
20241112,327.27,329.15,331.32,322.65,603200,-0.73,326.26
20241111,329.69,335.0,335.0,327.11,902990,-0.39,329.99
20241108,330.98,319.98,333.24,319.19,1305411,3.15,328.74
20241107,320.86,312.15,320.99,311.36,1068618,3.23,319.06
20241106,310.82,310.0,312.19,298.08,2535280,-1.21,306.37
20241105,314.62,307.64,315.97,306.59,803383,3.38,314.23
20241104,304.32,304.76,308.68,301.56,713295,0.27,304.78
20241101,303.5,305.52,309.57,301.69,902808,0.62,304.46
20241031,301.63,299.14,307.32,293.26,1407121,-3.21,303.09
20241030,311.63,311.34,315.88,310.96,921155,-0.57,312.77
20241029,313.43,312.0,314.03,309.77,570643,0.02,312.95
20241028,313.36,310.72,315.3,309.9,700171,1.68,312.94
20241025,308.17,310.94,311.13,306.38,667769,-0.55,308.58
20241024,309.87,308.83,310.97,306.93,557392,1.06,309.8
20241023,306.63,313.16,314.99,305.29,936753,-2.03,307.9
20241022,312.97,314.86,315.9,310.67,494565,-1.47,313.28
20241021,317.64,314.57,317.91,313.76,512004,1.07,316.92
20241018,314.27,314.1,314.71,310.63,445036,0.36,313.43
20241017,313.14,316.2,316.28,311.65,625065,0.29,313.52
20241016,312.22,307.36,313.76,306.37,487893,2.19,311.43
20241015,305.54,311.06,312.34,304.07,616863,-1.75,306.24
20241014,310.98,310.43,313.56,309.42,387332,0.5,311.1
20241011,309.42,306.35,310.06,303.45,375054,0.79,308.51
20241010,306.99,305.18,308.0,301.87,594169,-0.2,305.75
20241009,307.61,309.1,311.34,305.33,582048,-0.34,307.52
20241008,308.67,309.61,312.52,308.25,787634,0.38,309.77
20241007,307.51,301.35,308.31,301.35,807549,0.59,306.68
20241004,305.72,305.0,306.46,301.0,618436,2.45,304.18
20241003,298.4,298.96,300.57,295.18,785456,-0.23,298.09
20241002,299.09,295.04,299.6,293.41,544982,1.03,298.25
20241001,296.05,298.0,298.7,292.61,603543,-0.7,296.17
20240930,298.15,296.74,299.3,295.0,670586,0.48,297.53
