,close,high,low,open,vol,pct_change,vwap
2003-12-31,,,,,,,10.0
2004-01-02,,,,,,,10.25
2004-01-05,,,,,,,10.57
2004-01-06,,,,,,,10.88
2004-01-07,,,,,,,10.98
2004-01-08,,,,,,,11.32
2004-01-09,,,,,,,11.66
2004-01-12,,,,,,,11.77
2004-01-13,,,,,,,11.3
2004-01-14,,,,,,,11.3
2004-01-15,,,,,,,11.31
2004-01-16,,,,,,,11.41
2004-01-20,,,,,,,12.0
2004-01-21,,,,,,,10.1
2004-01-22,,,,,,,9.85
2004-01-23,,,,,,,9.74
2004-01-26,,,,,,,9.73
2004-01-27,,,,,,,9.92
2004-01-28,,,,,,,9.97
2004-01-29,,,,,,,9.55
2004-01-30,,,,,,,9.56
2004-02-02,,,,,,,9.41
2004-02-03,,,,,,,8.97
2004-02-04,,,,,,,8.76
2004-02-05,,,,,,,9.21
2004-02-06,,,,,,,9.58
2004-02-09,,,,,,,9.46
2004-02-10,,,,,,,9.42
2004-02-11,,,,,,,9.57
2004-02-12,,,,,,,9.78
2004-02-13,,,,,,,9.43
2004-02-17,,,,,,,9.53
2004-02-18,,,,,,,9.5
2004-02-19,,,,,,,9.66
2004-02-20,,,,,,,9.39
2004-02-23,,,,,,,9.3
2004-02-24,,,,,,,8.95
2004-02-25,,,,,,,9.05
2004-02-26,,,,,,,9.13
2004-02-27,,,,,,,9.32
2004-03-01,,,,,,,9.46
2004-03-02,,,,,,,9.62
2004-03-03,,,,,,,9.37
2004-03-04,,,,,,,9.44
2004-03-05,,,,,,,9.44
2004-03-08,,,,,,,9.58
2004-03-09,,,,,,,9.23
2004-03-10,,,,,,,9.16
2004-03-11,,,,,,,8.94
2004-03-12,,,,,,,8.99
2004-03-15,,,,,,,8.73
2004-03-16,,,,,,,8.75
2004-03-17,,,,,,,8.87
2004-03-18,,,,,,,8.67
2004-03-19,,,,,,,8.49
2004-03-22,,,,,,,8.05
2004-03-23,,,,,,,8.04
2004-03-24,,,,,,,8.04
2004-03-25,,,,,,,8.27
2004-03-26,,,,,,,8.36
2004-03-29,,,,,,,8.57
2004-03-30,,,,,,,8.38
2004-03-31,,,,,,,8.39
2004-04-01,,,,,,,8.49
2004-04-02,,,,,,,8.74
2004-04-05,,,,,,,8.99
2004-04-06,,,,,,,8.38
2004-04-07,,,,,,,8.67
2004-04-08,,,,,,,8.67
2004-04-12,,,,,,,8.77
2004-04-13,,,,,,,8.58
2004-04-14,,,,,,,8.65
2004-04-15,,,,,,,8.41
2004-04-16,,,,,,,8.02
2004-04-19,,,,,,,7.99
2004-04-20,,,,,,,8.22
2004-04-21,,,,,,,8.17
2004-04-22,,,,,,,8.24
2004-04-23,,,,,,,8.26
2004-04-26,,,,,,,8.38
2004-04-27,,,,,,,8.51
2004-04-28,,,,,,,7.8
2004-04-29,,,,,,,7.62
2004-04-30,,,,,,,7.45
2004-05-03,,,,,,,7.27
2004-05-04,,,,,,,7.39
2004-05-05,,,,,,,7.48
2004-05-06,,,,,,,7.36
2004-05-07,,,,,,,7.41
2004-05-10,,,,,,,7.17
2004-05-11,,,,,,,7.4
2004-05-12,,,,,,,7.3
2004-05-13,,,,,,,7.52
2004-05-14,,,,,,,7.34
2004-05-17,,,,,,,7.18
2004-05-18,,,,,,,7.25
2004-05-19,,,,,,,7.44
2004-05-20,,,,,,,7.21
2004-05-21,,,,,,,7.15
2004-05-24,,,,,,,7.22
2004-05-25,,,,,,,7.33
2004-05-26,,,,,,,7.6
2004-05-27,,,,,,,7.7
2004-05-28,,,,,,,7.88
2004-06-01,,,,,,,7.85
2004-06-02,,,,,,,7.79
2004-06-03,,,,,,,7.71
2004-06-04,,,,,,,7.83
2004-06-07,,,,,,,8.08
2004-06-08,,,,,,,8.09
2004-06-09,,,,,,,7.91
2004-06-10,,,,,,,7.85
2004-06-14,,,,,,,7.64
2004-06-15,,,,,,,7.78
2004-06-16,,,,,,,7.71
2004-06-17,,,,,,,7.45
2004-06-18,,,,,,,7.34
2004-06-21,,,,,,,7.27
2004-06-22,,,,,,,7.28
2004-06-23,,,,,,,7.44
2004-06-24,,,,,,,7.45
2004-06-25,,,,,,,7.46
2004-06-28,,,,,,,7.27
2004-06-29,,,,,,,7.31
2004-06-30,,,,,,,7.42
2004-07-01,,,,,,,7.24
2004-07-02,,,,,,,7.07
2004-07-06,,,,,,,6.56
2004-07-07,,,,,,,6.58
2004-07-08,,,,,,,6.58
2004-07-09,,,,,,,6.59
2004-07-12,,,,,,,6.4
2004-07-13,,,,,,,6.44
2004-07-14,,,,,,,6.37
2004-07-15,,,,,,,6.32
2004-07-16,,,,,,,6.3
2004-07-19,,,,,,,6.2
2004-07-20,,,,,,,6.47
2004-07-21,,,,,,,6.07
2004-07-22,,,,,,,5.89
2004-07-23,,,,,,,5.9
2004-07-26,,,,,,,5.75
2004-07-27,,,,,,,5.83
2004-07-28,,,,,,,5.88
2004-07-29,,,,,,,5.97
2004-07-30,,,,,,,5.93
2004-08-02,,,,,,,5.93
2004-08-03,,,,,,,5.73
2004-08-04,,,,,,,5.75
2004-08-05,,,,,,,5.79
2004-08-06,,,,,,,5.6
2004-08-09,,,,,,,5.46
2004-08-10,,,,,,,5.52
2004-08-11,,,,,,,5.3
2004-08-12,,,,,,,5.04
2004-08-13,,,,,,,4.83
2004-08-16,,,,,,,4.8
2004-08-17,,,,,,,4.91
2004-08-18,,,,,,,5.11
2004-08-19,,,,,,,5.17
2004-08-20,,,,,,,5.27
2004-08-23,,,,,,,5.33
2004-08-24,,,,,,,5.26
2004-08-25,,,,,,,5.21
2004-08-26,,,,,,,5.13
2004-08-27,,,,,,,5.22
2004-08-30,,,,,,,5.17
2004-08-31,,,,,,,5.11
2004-09-01,,,,,,,5.3
2004-09-02,,,,,,,5.37
2004-09-03,,,,,,,5.32
2004-09-07,,,,,,,5.39
2004-09-08,,,,,,,5.27
2004-09-09,,,,,,,5.7
2004-09-10,,,,,,,5.99
2004-09-13,,,,,,,6.2
2004-09-14,,,,,,,6.03
2004-09-15,,,,,,,5.78
2004-09-16,,,,,,,5.79
2004-09-17,,,,,,,5.85
2004-09-20,,,,,,,5.93
2004-09-21,,,,,,,6.3
2004-09-22,,,,,,,6.52
2004-09-23,,,,,,,6.37
2004-09-24,,,,,,,6.23
2004-09-27,,,,,,,6.11
2004-09-28,,,,,,,6.03
2004-09-29,,,,,,,6.05
2004-09-30,,,,,,,6.22
2004-10-01,,,,,,,6.58
2004-10-04,,,,,,,7.04
2004-10-05,,,,,,,6.97
2004-10-06,,,,,,,6.88
2004-10-07,,,,,,,7.01
2004-10-08,,,,,,,6.73
2004-10-11,,,,,,,6.65
2004-10-12,,,,,,,6.66
2004-10-13,,,,,,,6.97
2004-10-14,,,,,,,6.82
2004-10-15,,,,,,,6.71
2004-10-18,,,,,,,6.67
2004-10-19,,,,,,,6.92
2004-10-20,,,,,,,6.71
2004-10-21,,,,,,,6.9
2004-10-22,,,,,,,6.72
2004-10-25,,,,,,,6.74
2004-10-26,,,,,,,6.43
2004-10-27,,,,,,,6.58
2004-10-28,,,,,,,6.56
