trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,104.76,104.94,102.24,103.6,1291267,-0.69,103.37
2023-01-04,104.31,104.56,102.37,103.04,2061669,-0.54,103.21
2023-01-05,102.22,105.23,102.04,104.71,1058693,1.62,104.43
2023-01-06,106.06,107.73,105.69,107.57,1157389,2.73,106.96
2023-01-09,108.05,109.1,107.68,108.05,1189559,0.45,108.3
2023-01-10,108.19,108.49,106.82,108.34,956815,0.27,107.75
2023-01-11,109.02,109.53,108.36,109.15,1163146,0.75,109.06
2023-01-12,109.78,112.34,109.22,111.13,1465326,1.81,111.26
2023-01-13,109.93,113.11,109.8,112.81,1305691,1.51,111.97
2023-01-17,112.84,114.6,112.27,114.24,1633446,1.27,113.99
2023-01-18,114.23,114.23,111.39,111.71,1302805,-2.21,112.29
2023-01-19,110.14,110.42,107.84,109.78,1675135,-1.73,109.41
2023-01-20,110.33,112.0,109.98,110.99,4868242,1.1,111.09
2023-01-23,110.62,113.69,110.33,113.46,1370864,2.23,112.55
2023-01-24,113.87,115.3,112.77,114.23,808452,0.68,114.34
2023-01-25,112.58,115.35,112.58,115.31,1144963,0.95,114.4
2023-01-26,117.35,117.87,109.56,110.69,2722970,-4.01,111.25
2023-01-27,110.28,111.1,107.81,109.12,1871961,-1.42,109.21
2023-01-30,108.42,110.43,108.16,109.1,1463843,-0.02,109.41
2023-01-31,109.08,110.17,107.25,110.1,1223987,0.92,109.34
2023-02-01,109.11,110.6,108.31,109.44,1147113,-0.6,109.35
2023-02-02,109.99,110.61,105.8,106.25,2290155,-2.91,107.3
2023-02-03,105.96,111.11,105.44,109.22,1497701,2.8,109.41
2023-02-06,108.47,110.35,108.47,109.61,1116733,0.36,109.61
2023-02-07,108.89,111.58,108.82,111.22,831632,1.47,110.66
2023-02-08,109.97,111.25,109.82,110.67,844355,-0.49,110.71
2023-02-09,111.36,111.46,108.27,108.36,1040591,-2.09,109.09
2023-02-10,108.14,109.22,107.98,108.68,926942,0.3,108.73
2023-02-13,108.83,110.76,108.26,110.73,838632,1.89,110.2
