trade_date,close,open,high,low,vol,pct_change,vwap
20241231,230.98,234.2,235.45,230.66,687837,-0.53,231.67
20241230,232.22,226.02,232.28,224.78,588329,1.16,230.65
20241227,229.55,229.68,232.24,228.54,414821,-1.32,229.78
20241226,232.62,229.87,233.7,229.87,454234,0.45,232.3
20241224,231.57,229.96,231.57,229.03,193909,0.5,230.68
20241223,230.41,229.02,231.71,227.28,491709,0.06,229.68
20241220,230.28,221.51,233.27,221.51,1605850,3.52,230.03
20241219,222.46,223.65,224.72,221.15,628114,0.57,222.52
20241218,221.19,227.22,229.78,221.07,715966,-2.96,224.28
20241217,227.93,230.78,230.78,226.09,744051,-1.61,228.43
20241216,231.66,227.35,233.57,226.71,468011,1.85,231.9
20241213,227.45,227.05,228.39,224.97,430307,0.61,226.82
20241212,226.06,226.51,228.62,225.79,523091,-0.59,226.5
20241211,227.41,227.52,230.0,224.82,699645,-0.02,227.36
20241210,227.45,228.32,228.92,226.03,358994,-0.3,227.58
20241209,228.13,232.12,235.0,227.78,661829,-1.13,229.3
20241206,230.74,235.2,236.99,229.66,711012,-1.05,231.9
20241205,233.19,231.61,236.58,231.61,590218,0.14,234.33
20241204,232.87,231.3,234.58,230.96,494986,0.45,232.83
20241203,231.82,235.04,235.62,231.04,619928,-0.68,232.89
20241202,233.41,231.4,235.01,230.04,973817,0.87,233.21
20241129,231.4,223.85,231.93,223.13,613110,3.92,229.81
20241127,222.67,223.86,226.64,221.26,622568,-0.26,223.09
20241126,223.24,218.25,223.78,216.82,714705,1.47,221.94
20241125,220.0,214.67,222.15,214.43,856581,3.7,220.43
20241122,212.15,208.56,213.42,208.54,672168,2.43,212.03
20241121,207.12,202.25,207.42,201.63,798817,2.46,205.93
20241120,202.15,205.24,205.96,200.89,731710,-1.64,202.26
20241119,205.53,205.28,207.0,201.9,610640,-1.11,205.39
20241118,207.83,209.68,209.68,207.24,635716,-0.26,207.98
20241115,208.38,211.29,211.9,207.67,450175,-1.46,208.98
20241114,211.47,211.97,213.4,210.62,393406,0.33,211.85
20241113,210.77,210.82,212.74,209.64,466631,0.56,210.89
20241112,209.59,211.84,213.22,209.02,705045,-2.0,210.36
20241111,213.87,224.9,225.41,213.52,815871,-3.91,216.65
20241108,222.58,221.39,224.76,218.09,816054,0.4,222.01
20241107,221.7,229.94,237.16,216.87,1723784,6.57,221.53
20241106,208.04,206.62,208.48,203.52,1293067,2.3,207.0
20241105,203.36,199.18,203.62,198.61,763389,1.74,202.67
20241104,199.89,198.51,203.42,198.01,532379,1.13,200.73
20241101,197.66,198.04,198.36,194.72,530796,-0.14,197.12
20241031,197.93,202.18,203.51,197.87,626800,-1.86,199.07
20241030,201.69,201.9,204.51,201.46,416897,-0.92,202.31
20241029,203.56,200.9,204.72,199.87,306445,0.26,203.46
20241028,203.03,199.98,203.91,199.98,504641,2.75,203.02
20241025,197.59,199.72,201.31,196.86,676354,-0.18,198.04
20241024,197.94,199.11,199.11,197.16,416749,0.73,197.88
20241023,196.51,198.16,199.33,196.1,467695,-1.35,197.06
20241022,199.19,201.74,201.91,199.0,456943,-2.14,200.1
20241021,203.54,206.24,206.24,202.31,419301,-1.31,203.51
20241018,206.24,204.35,207.06,202.88,418588,1.63,205.57
20241017,202.94,203.53,205.07,202.18,504837,0.4,203.47
20241016,202.13,202.72,204.26,201.75,556476,0.44,202.74
20241015,201.25,205.57,206.41,200.0,843658,-2.35,202.5
20241014,206.1,201.36,206.74,200.62,582332,2.09,205.03
20241011,201.89,199.08,202.89,197.86,556359,1.39,201.59
20241010,199.12,195.8,199.3,194.98,545611,1.73,198.28
20241009,195.73,195.32,197.0,195.16,344363,0.6,195.87
20241008,194.57,194.73,196.38,193.91,446236,-0.5,195.09
20241007,195.55,195.52,196.93,192.67,605728,-0.32,194.86
20241004,196.17,195.33,198.36,193.27,531141,1.95,195.31
20241003,192.41,191.0,194.14,189.0,697174,-0.37,192.36
20241002,193.12,190.8,193.19,190.34,524247,0.46,192.57
20241001,192.23,193.19,193.77,190.18,647179,-0.85,192.21
20240930,193.87,196.5,196.5,192.03,477551,-1.35,193.84
20240927,196.53,200.07,200.17,195.91,706418,-0.55,196.97
20240926,197.61,194.01,197.83,193.41,886727,4.38,196.6
20240925,189.31,190.97,191.54,188.5,641138,-0.68,189.39
20240924,190.61,188.63,191.0,186.66,736572,2.53,190.21
20240923,185.9,185.67,187.96,184.6,671358,0.32,186.25
20240920,185.31,185.25,185.94,182.99,1319952,0.3,185.15
20240919,184.76,186.59,187.93,184.05,635488,0.63,185.64
20240918,183.61,183.8,186.26,182.5,694498,-0.33,184.13
20240917,184.21,182.29,184.88,181.85,540150,1.53,184.17
20240916,181.44,179.02,182.42,179.02,691947,1.57,181.44
20240913,178.64,177.4,181.13,177.03,767136,1.87,178.45
20240912,175.36,174.92,175.71,173.59,889928,0.26,175.18
20240911,174.9,172.62,175.03,170.26,685802,1.27,173.34
20240910,172.7,173.34,173.34,169.93,664111,-0.57,171.76
20240909,173.69,173.03,176.59,172.37,781509,0.49,174.5
20240906,172.85,173.03,175.0,170.49,986180,-0.32,172.99
