trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,253.01,255.6,251.82,254.64,725047,1.49,254.12
2023-01-04,255.59,256.32,249.38,253.77,792718,-0.34,253.69
2023-01-05,252.05,255.32,248.87,251.87,616008,-0.75,251.91
2023-01-06,255.59,261.86,253.03,260.58,550798,3.46,259.8
2023-01-09,263.83,267.5,262.28,262.35,692450,0.68,264.54
2023-01-10,260.84,265.35,260.84,264.61,542304,0.86,264.25
2023-01-11,265.63,272.84,265.63,272.84,881909,3.11,270.43
2023-01-12,273.37,276.25,269.18,274.11,733923,0.47,273.88
2023-01-13,271.79,277.95,271.79,277.84,525040,1.36,276.05
2023-01-17,276.89,278.55,274.31,274.87,738992,-1.07,275.89
2023-01-18,275.6,275.72,266.62,267.3,729654,-2.75,269.8
2023-01-19,265.11,265.23,258.44,258.44,876684,-3.31,260.87
2023-01-20,260.43,263.03,258.71,263.0,862117,1.76,261.36
2023-01-23,265.04,270.0,263.1,268.47,582207,2.08,267.85
2023-01-24,266.26,271.2,264.12,270.77,688364,0.86,269.58
2023-01-25,266.47,271.66,265.28,270.87,814217,0.04,269.43
2023-01-26,282.9,286.58,264.27,274.56,1505409,1.36,273.49
2023-01-27,275.42,279.83,268.95,279.03,1027881,1.63,276.84
2023-01-30,275.86,279.45,270.57,271.28,861680,-2.78,274.22
2023-01-31,271.84,274.92,265.92,274.72,1059114,1.27,271.67
2023-02-01,272.24,278.76,269.87,275.53,831688,0.29,274.36
2023-02-02,277.48,285.4,275.48,283.61,999310,2.93,281.98
2023-02-03,280.56,285.73,280.15,282.44,534784,-0.41,283.07
2023-02-06,279.19,281.1,277.31,280.26,482917,-0.77,279.52
2023-02-07,279.97,282.63,276.02,281.88,631925,0.58,280.62
2023-02-08,280.14,281.53,276.7,278.02,663454,-1.37,278.35
2023-02-09,281.51,282.92,279.13,280.24,536273,0.8,280.46
2023-02-10,278.9,279.3,275.5,277.78,549504,-0.88,277.4
2023-02-13,279.21,286.17,278.2,286.17,670305,3.02,284.4
2023-02-14,284.19,287.15,281.62,285.57,610654,-0.21,285.07
2023-02-15,285.02,291.64,284.43,290.32,758829,1.66,289.5
2023-02-16,285.5,290.27,284.64,288.21,400470,-0.73,288.16
2023-02-17,287.38,291.27,287.32,291.16,614823,1.02,289.45
2023-02-21,287.82,288.71,281.61,282.36,679961,-3.02,283.59
2023-02-22,283.36,285.39,280.62,282.57,419818,0.07,282.93
2023-02-23,285.29,286.87,280.91,285.52,683632,1.04,284.17
2023-02-24,281.13,284.84,280.46,283.99,293868,-0.54,283.03
