trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,150.7,151.65,149.52,151.53,694249,0.34,151.01
2023-01-04,150.92,151.51,149.99,150.76,636920,-0.51,150.62
2023-01-05,150.96,152.3,150.45,151.91,641751,0.76,151.54
2023-01-06,153.24,155.42,153.01,154.96,578646,2.01,154.77
2023-01-09,154.18,155.31,152.73,152.8,693502,-1.39,153.65
2023-01-10,153.3,153.58,151.39,151.56,428241,-0.81,152.08
2023-01-11,152.14,152.73,149.69,150.47,600101,-0.72,150.69
2023-01-12,150.66,151.2,147.75,148.06,623230,-1.6,148.87
2023-01-13,147.78,148.84,146.66,147.18,605645,-0.59,147.31
2023-01-17,147.42,148.4,147.07,148.17,771878,0.67,147.86
2023-01-18,148.16,148.16,142.66,143.13,939647,-3.4,144.19
2023-01-19,143.55,144.3,142.93,143.02,630528,-0.08,143.4
2023-01-20,143.04,143.2,140.55,141.94,680329,-0.76,141.62
2023-01-23,141.77,142.49,140.48,140.77,593936,-0.82,141.37
2023-01-24,140.74,142.84,139.99,142.58,877848,1.29,142.17
2023-01-25,142.84,145.21,141.53,143.08,915430,0.35,143.12
2023-01-26,142.58,143.25,140.6,143.04,729370,-0.03,142.5
2023-01-27,143.27,143.36,142.11,142.98,572252,-0.04,142.87
2023-01-30,143.36,145.76,143.36,144.48,755916,1.05,144.52
2023-01-31,144.91,146.02,143.6,145.63,3991251,0.8,145.28
2023-02-01,145.34,147.08,144.67,144.94,958057,-0.47,145.47
2023-02-02,143.63,144.35,142.09,142.82,1032802,-1.46,143.03
2023-02-03,142.64,143.2,140.1,142.93,927648,0.08,141.82
2023-02-06,143.08,145.06,142.94,144.51,728203,1.11,144.23
2023-02-07,142.96,143.07,141.2,142.96,720971,-1.07,142.55
2023-02-08,142.46,143.16,141.73,141.9,787386,-0.74,142.15
2023-02-09,141.9,142.3,138.92,140.18,1019464,-1.21,140.12
2023-02-10,141.31,143.28,141.0,142.92,796289,1.95,142.5
2023-02-13,142.87,143.95,142.31,143.42,842662,0.35,143.3
2023-02-14,143.78,144.11,140.64,141.1,1278490,-1.62,141.53
2023-02-15,141.18,141.53,138.63,140.79,1532184,-0.22,139.93
2023-02-16,140.21,141.66,140.21,141.28,1595617,0.35,141.11
2023-02-17,141.85,144.17,141.35,143.89,842801,1.85,143.42
2023-02-21,144.29,144.98,142.73,143.95,898985,0.04,144.07
2023-02-22,144.66,145.02,141.77,143.22,1180478,-0.51,143.45
2023-02-23,143.26,143.8,142.15,143.22,695096,0.0,143.07
2023-02-24,143.48,143.48,142.16,142.6,770977,-0.43,142.62
2023-02-27,142.83,143.21,141.31,142.08,1410860,-0.36,142.06
2023-02-28,142.02,143.71,140.82,141.92,1907045,-0.11,142.16
2023-03-01,141.0,141.45,137.4,139.39,1343565,-1.78,139.05
2023-03-02,140.18,142.86,139.96,142.59,1470006,2.3,141.94
2023-03-03,142.61,145.09,141.57,144.71,1314875,1.49,144.18
2023-03-06,144.65,145.16,143.55,144.39,1116203,-0.22,144.27
2023-03-07,144.57,144.97,143.43,143.82,911040,-0.39,144.11
2023-03-08,144.38,144.63,143.51,144.42,660593,0.42,144.16
2023-03-09,145.16,145.42,141.97,142.39,700814,-1.41,143.14
2023-03-10,142.6,143.73,141.64,141.91,814322,-0.34,142.41
2023-03-13,141.73,146.5,141.17,143.86,909690,1.37,144.39
2023-03-14,143.99,145.57,143.59,145.44,972286,1.1,144.91
2023-03-15,145.06,147.65,144.25,147.35,1163515,1.31,146.62
2023-03-16,147.62,147.79,146.09,147.6,908731,0.17,147.24
2023-03-17,148.0,148.0,145.23,145.75,1631696,-1.25,146.25
2023-03-20,146.54,149.22,146.45,148.23,1364374,1.7,148.25
2023-03-21,148.74,148.98,146.6,147.89,756064,-0.23,147.77
2023-03-22,147.88,148.76,145.76,145.84,770938,-1.39,147.1
2023-03-23,145.32,146.95,144.83,144.99,840203,-0.58,145.73
2023-03-24,145.69,148.56,145.2,148.45,962202,2.39,147.76
2023-03-27,150.15,151.13,149.65,149.98,808362,1.03,150.17
2023-03-28,150.59,151.7,149.64,150.14,588610,0.11,150.54
2023-03-29,150.44,151.67,149.92,151.21,657467,0.71,151.1
2023-03-30,150.77,151.63,149.29,151.18,1033697,-0.02,150.4
2023-03-31,151.91,152.15,150.22,151.02,994891,-0.11,150.99
2023-04-03,151.54,152.23,150.56,151.28,692749,0.17,151.4
2023-04-04,151.7,151.9,149.24,149.45,886033,-1.21,149.67
2023-04-05,149.64,151.63,149.64,150.94,778458,1.0,150.94
2023-04-06,151.54,151.88,149.69,150.19,796398,-0.5,150.17
2023-04-10,150.06,150.32,148.51,149.47,482546,-0.48,149.27
2023-04-11,149.55,150.65,149.1,149.37,593264,-0.07,149.71
2023-04-12,148.58,149.34,147.45,148.08,896332,-0.86,148.26
2023-04-13,147.25,148.19,146.27,147.58,621402,-0.34,147.44
2023-04-14,146.94,147.56,145.26,146.23,717414,-0.91,146.12
2023-04-17,146.92,147.31,146.1,147.19,698862,0.66,146.86
2023-04-18,146.62,147.73,145.54,146.44,715511,-0.51,146.38
2023-04-19,147.26,147.27,145.48,146.03,686462,-0.28,146.12
2023-04-20,146.55,146.55,145.14,145.68,553637,-0.24,145.72
2023-04-21,146.59,147.27,144.26,145.14,710250,-0.37,145.07
2023-04-24,145.19,145.6,144.73,145.55,650069,0.28,145.27
2023-04-25,145.95,148.68,145.69,148.11,696124,1.76,148.06
2023-04-26,147.37,148.0,146.24,146.77,659822,-0.9,146.81
2023-04-27,146.52,147.65,145.85,147.63,617786,0.59,146.89
2023-04-28,147.36,148.36,146.94,148.18,910572,0.37,147.95
2023-05-01,148.22,152.27,148.22,150.7,1274801,1.7,150.91
2023-05-02,150.52,152.76,149.7,152.3,1183713,1.06,151.68
2023-05-03,152.6,153.46,150.49,150.75,954571,-1.02,152.0
2023-05-04,150.76,151.76,149.97,151.07,760845,0.21,151.12
2023-05-05,150.58,152.38,150.13,151.81,650500,0.49,151.71
2023-05-08,151.32,153.01,150.62,150.77,819433,-0.69,151.23
2023-05-09,151.03,151.95,150.41,150.91,900590,0.09,151.24
2023-05-10,151.46,152.93,151.22,151.99,781846,0.72,152.03
2023-05-11,152.21,152.71,151.28,152.02,780496,0.02,151.95
2023-05-12,151.92,152.89,151.92,152.75,757061,0.48,152.55
2023-05-15,152.96,153.18,149.88,150.2,887481,-1.67,150.54
2023-05-16,149.78,150.36,148.17,149.62,815908,-0.39,149.74
2023-05-17,149.49,149.79,148.33,149.43,729278,-0.13,149.08
2023-05-18,148.48,148.48,145.87,146.69,936321,-1.83,146.77
2023-05-19,146.53,147.56,145.79,146.7,770260,0.01,146.62
2023-05-22,146.81,147.27,144.35,144.56,761817,-1.46,145.09
2023-05-23,144.67,144.99,143.1,144.3,986084,-0.18,144.35
2023-05-24,144.54,145.09,143.43,143.47,828235,-0.58,144.12
2023-05-25,142.95,143.18,141.58,142.1,872930,-0.95,142.38
2023-05-26,141.58,142.52,140.83,141.56,1161828,-0.38,141.67
2023-05-30,140.19,141.53,139.33,140.35,1097129,-0.85,140.67
2023-05-31,140.97,141.72,140.27,141.58,3394778,0.88,141.43
2023-06-01,142.05,142.55,139.42,139.95,971545,-1.15,140.34
2023-06-02,139.47,143.94,139.38,143.89,1045547,2.82,142.94
2023-06-05,145.01,146.03,143.33,143.87,1237342,-0.01,144.1
2023-06-06,147.72,150.7,139.44,141.24,1799932,-1.83,141.59
2023-06-07,140.06,144.03,137.89,143.36,1362915,1.5,142.59
2023-06-08,143.41,145.89,142.76,145.85,1189823,1.74,145.0
2023-06-09,145.6,148.6,145.36,148.33,1028819,1.7,147.84
2023-06-12,147.93,147.93,145.43,145.92,989572,-1.62,146.05
2023-06-13,144.52,146.27,143.31,146.07,708253,0.1,145.66
2023-06-14,146.16,148.03,145.54,147.25,612973,0.81,147.29
2023-06-15,147.61,148.88,147.07,147.66,617986,0.28,147.62
2023-06-16,147.8,149.07,147.57,147.87,1065108,0.14,148.12
2023-06-21,146.25,147.31,145.38,147.28,858431,0.76,146.91
2023-06-22,148.18,148.18,146.18,146.83,598565,-0.31,146.82
2023-06-23,147.49,147.72,145.05,145.19,739082,-1.12,145.7
2023-06-26,145.1,146.66,143.39,146.56,713547,0.94,145.79
2023-06-27,146.63,147.29,145.26,145.63,613278,-0.63,145.93
2023-06-28,143.44,143.45,139.23,140.19,1643524,-3.74,140.21
2023-06-29,139.78,141.78,139.17,141.37,795520,0.84,141.09
2023-06-30,141.98,142.89,141.58,142.63,645808,0.89,142.35
2023-07-03,141.95,145.45,141.7,145.26,464755,1.84,144.75
2023-07-05,144.49,145.21,143.41,144.29,1074486,-0.67,144.46
2023-07-06,143.94,144.84,143.13,143.43,827561,-0.6,143.68
2023-07-07,143.74,143.82,142.38,142.67,654635,-0.53,142.93
2023-07-10,142.89,143.54,141.08,141.37,848697,-0.91,141.6
2023-07-11,141.34,142.81,141.34,142.75,727383,0.98,142.28
2023-07-12,142.4,143.02,141.31,142.19,1256221,-0.39,142.19
2023-07-13,141.97,142.81,140.75,142.57,733712,0.27,142.25
2023-07-14,143.98,143.98,141.44,142.99,783866,0.29,142.92
2023-07-17,142.37,144.3,141.89,143.41,838911,0.29,143.54
2023-07-18,143.87,144.5,142.04,142.68,739493,-0.51,143.03
2023-07-19,143.2,144.8,143.2,144.58,613021,1.33,144.37
2023-07-20,145.31,147.3,144.56,147.27,677722,1.86,146.6
2023-07-21,147.29,147.96,146.55,146.92,714943,-0.24,147.15
2023-07-24,147.12,148.68,147.01,147.9,664606,0.67,148.07
2023-07-25,148.17,148.3,146.69,147.76,547999,-0.09,147.58
2023-07-26,147.36,148.3,146.49,147.03,507915,-0.49,147.12
2023-07-27,146.72,147.59,144.51,145.25,819369,-1.21,145.26
2023-07-28,145.93,146.39,145.29,145.83,545174,0.4,145.82
2023-07-31,145.83,146.17,144.81,145.51,1392574,-0.22,145.47
2023-08-01,146.34,146.38,144.01,144.56,572207,-0.65,144.68
2023-08-02,145.0,147.78,144.9,146.57,593417,1.39,146.77
2023-08-03,146.38,146.8,144.64,144.93,454515,-1.12,145.18
2023-08-04,144.87,146.02,143.88,144.06,448860,-0.6,144.43
2023-08-07,144.13,144.96,143.77,144.04,549343,-0.01,144.2
2023-08-08,144.59,144.59,141.15,141.49,906576,-1.77,141.95
2023-08-09,141.43,143.79,141.39,143.09,707205,1.13,143.07
2023-08-10,143.21,144.1,142.01,142.29,464103,-0.56,142.65
2023-08-11,142.59,143.3,142.13,142.91,556927,0.44,142.81
2023-08-14,143.53,144.36,141.5,141.59,783510,-0.92,142.25
2023-08-15,141.03,141.57,139.59,139.67,570048,-1.36,140.16
2023-08-16,140.02,140.1,138.56,138.75,586560,-0.66,139.12
2023-08-17,138.8,139.12,136.48,137.08,917701,-1.2,137.13
2023-08-18,137.08,138.93,137.08,138.22,1108887,0.83,138.3
2023-08-21,137.76,137.91,135.03,135.96,876326,-1.64,135.98
2023-08-22,135.57,136.22,134.63,135.9,871465,-0.04,135.67
2023-08-23,136.04,136.72,135.44,135.77,766422,-0.1,135.82
2023-08-24,135.77,137.36,135.54,136.93,1049884,0.85,136.75
2023-08-25,137.71,139.02,137.18,138.27,1024090,0.98,138.33
2023-08-28,138.77,139.79,138.75,139.04,1376845,0.56,139.22
2023-08-29,141.91,143.5,139.31,142.0,2078782,2.13,141.58
2023-08-30,141.92,142.35,139.56,140.0,1068146,-1.41,140.32
2023-08-31,140.55,141.31,138.98,141.04,1403431,0.74,140.71
2023-09-01,141.73,142.01,138.48,138.65,762150,-1.69,139.54
2023-09-05,138.37,140.36,138.21,139.15,937846,0.36,139.4
2023-09-06,139.56,139.87,136.91,137.32,1029072,-1.32,137.76
2023-09-07,137.91,138.4,135.79,136.56,1468076,-0.55,137.04
2023-09-08,136.87,137.79,136.27,137.76,967783,0.88,137.27
2023-09-11,127.64,129.79,125.52,128.11,5051082,-7.0,128.1
2023-09-12,128.45,128.53,125.56,126.36,3418062,-1.37,126.83
2023-09-13,126.92,127.67,124.9,124.95,2056077,-1.12,125.76
2023-09-14,124.55,125.02,122.85,123.98,2411310,-0.78,123.81
2023-09-15,123.32,123.96,122.85,123.41,2859860,-0.46,123.4
2023-09-18,124.05,124.05,121.85,123.35,1113105,-0.05,123.14
2023-09-19,123.31,124.26,122.76,123.93,1599872,0.47,123.68
2023-09-20,124.52,125.81,123.5,124.8,1120343,0.7,124.85
2023-09-21,124.55,126.24,124.15,125.22,1319243,0.34,125.51
2023-09-22,124.84,125.23,123.1,123.18,749479,-1.63,123.63
2023-09-25,122.66,123.83,122.46,123.09,707255,-0.07,123.11
2023-09-26,122.96,125.18,122.6,124.95,1635715,1.51,124.34
2023-09-27,124.75,125.19,121.16,122.06,1371914,-2.31,122.22
2023-09-28,122.63,123.03,120.87,121.25,1009858,-0.66,121.37
2023-09-29,120.9,121.41,119.33,119.6,1380097,-1.36,119.76
