trade_date,close,open,high,low,vol,pct_change,vwap
20241231,38.34,37.87,38.58,37.85,7803938,1.4,38.32
20241230,37.81,37.64,37.93,37.24,10727750,0.03,37.68
20241227,37.8,37.64,38.3,37.5,9480000,0.19,37.81
20241226,37.73,37.74,37.87,37.25,7761766,0.0,37.66
20241224,37.73,37.28,37.77,36.89,4540109,1.26,37.52
20241223,37.26,36.77,37.38,36.65,10259036,1.17,37.01
20241220,36.83,36.83,37.38,36.62,34573375,-0.22,36.89
20241219,36.91,37.74,37.86,36.52,16162344,-1.13,36.97
20241218,37.33,38.97,39.21,37.28,15598883,-4.11,38.21
20241217,38.93,39.38,39.6,38.7,18696036,-2.38,38.93
20241216,39.88,40.1,41.02,39.77,14804379,-0.85,40.25
20241213,40.22,41.14,41.16,40.07,10719243,-2.14,40.37
20241212,41.1,41.53,41.61,41.01,7309785,-1.11,41.18
20241211,41.56,41.1,41.79,40.96,9948402,1.69,41.4
20241210,40.87,41.11,41.6,40.47,10031383,-0.73,41.1
20241209,41.17,41.5,41.74,41.12,9336942,0.51,41.34
20241206,40.96,41.75,41.9,40.84,14509059,-2.52,41.18
20241205,42.02,42.96,43.15,41.96,8455559,-1.68,42.4
20241204,42.74,43.35,43.45,42.32,10221208,-2.08,42.71
20241203,43.65,44.2,44.23,43.1,7387129,0.05,43.67
20241202,43.63,43.83,43.93,43.04,8506047,-0.71,43.51
20241129,43.94,43.8,44.07,43.65,4142711,0.64,43.87
20241127,43.66,43.6,44.3,43.49,7531520,0.41,43.81
20241126,43.48,43.87,43.89,43.18,10484825,-0.62,43.45
20241125,43.75,44.63,44.97,43.62,14000352,-1.09,43.89
20241122,44.23,44.16,44.7,44.04,8997801,0.39,44.38
20241121,44.06,43.85,44.55,43.64,11075290,1.22,44.19
20241120,43.53,43.25,43.65,42.92,8172535,1.0,43.26
20241119,43.1,42.72,43.49,42.66,8103969,-0.9,42.97
20241118,43.49,43.84,43.94,43.18,6810731,0.72,43.47
20241115,43.18,43.36,43.97,42.86,9613055,-0.62,43.18
20241114,43.45,43.82,43.99,43.02,9995219,-0.32,43.36
20241113,43.59,44.47,44.5,43.22,9715094,-1.67,43.65
20241112,44.33,44.4,44.97,44.2,13630770,0.09,44.58
20241111,44.29,43.29,44.44,43.2,11346012,2.57,44.12
20241108,43.18,42.99,43.51,42.52,13270094,-0.14,43.02
20241107,43.24,43.75,43.91,42.74,15284489,-1.21,43.16
20241106,43.77,42.52,44.33,41.75,25246368,7.94,43.3
20241105,40.55,40.4,40.75,40.15,10690020,0.57,40.44
20241104,40.32,39.91,40.6,39.86,10985411,1.41,40.36
20241101,39.76,40.16,40.39,39.69,12388375,-0.77,39.9
20241031,40.07,40.4,40.59,40.01,14093770,-0.2,40.22
20241030,40.15,40.55,40.85,40.12,12184254,-0.69,40.38
20241029,40.43,41.31,41.31,40.22,15657036,-2.32,40.53
20241028,41.39,40.62,41.62,40.4,10427598,-0.84,41.3
20241025,41.74,41.55,42.16,41.36,15318477,1.19,41.78
20241024,41.25,41.9,42.13,41.2,13798590,-2.09,41.4
20241023,42.13,41.88,42.33,41.64,11053012,0.48,42.09
20241022,41.93,42.73,42.74,41.79,10918313,-1.18,42.05
20241021,42.43,42.08,42.94,42.08,13687395,1.22,42.58
20241018,41.92,43.99,44.09,41.89,21100825,-4.71,42.49
20241017,43.99,43.5,44.05,43.29,14481313,0.71,43.72
20241016,43.68,43.39,43.69,43.11,8660414,1.7,43.49
20241015,42.95,43.57,43.91,42.89,10220700,-3.91,43.32
20241014,44.7,44.39,44.72,44.22,6973598,-0.18,44.57
20241011,44.78,44.32,44.96,44.28,8801637,0.4,44.8
20241010,44.6,44.58,45.12,44.25,9432899,0.88,44.72
20241009,44.21,43.78,44.43,43.63,9971891,0.16,44.21
20241008,44.14,44.95,45.17,43.97,13203008,-3.18,44.26
20241007,45.59,45.6,46.15,45.38,8876797,0.29,45.63
20241004,45.46,45.53,45.71,44.9,11216188,1.27,45.38
20241003,44.89,43.94,44.94,43.54,13775415,2.16,44.54
20241002,43.94,43.46,44.18,43.29,14270723,1.85,43.73
20241001,43.14,41.74,43.59,41.74,14699500,2.84,42.93
20240930,41.95,41.97,42.47,41.56,11972325,-0.8,41.97
