trade_date,close,open,high,low,vol,pct_change,vwap
20241231,82.32,82.44,82.79,81.65,2898211,-0.07,82.16
20241230,82.38,82.79,82.96,82.03,3786274,-0.91,82.35
20241227,83.14,82.32,83.32,82.26,2594748,0.36,83.06
20241226,82.84,82.71,83.18,82.5,2162441,-0.38,82.86
20241224,83.16,83.06,83.17,82.71,1140483,0.14,83.01
20241223,83.04,82.85,83.1,81.96,2508024,0.22,82.79
20241220,82.86,81.75,83.1,81.4,7707961,1.32,82.59
20241219,81.78,81.5,82.79,81.38,4044766,0.34,82.07
20241218,81.5,82.89,83.2,81.45,3963165,-2.14,82.14
20241217,83.28,81.55,83.36,81.38,5463754,1.71,83.02
20241216,81.88,83.16,83.34,81.82,4620863,-1.59,82.3
20241213,83.2,83.27,83.39,82.71,2546912,-0.2,83.14
20241212,83.37,83.57,84.17,83.18,3053893,0.14,83.51
20241211,83.25,84.16,84.36,83.0,4036867,-1.35,83.4
20241210,84.39,84.11,84.68,83.24,3241549,0.09,84.2
20241209,84.31,84.9,85.2,83.85,3797077,-0.59,84.4
20241206,84.81,86.12,86.44,84.5,4783277,-1.6,84.87
20241205,86.19,85.9,86.65,85.89,2987044,0.4,86.3
20241204,85.85,86.17,86.47,85.5,3753845,-0.48,85.91
20241203,86.26,88.27,88.5,86.24,5713129,-1.72,86.73
20241202,87.77,89.39,89.39,87.64,4014014,-1.53,87.91
20241129,89.13,89.91,90.09,88.91,2363970,-0.68,89.23
20241127,89.74,89.68,90.24,89.34,3483129,0.46,89.79
20241126,89.33,88.53,89.36,88.14,3466894,1.03,88.9
20241125,88.42,87.95,88.44,87.41,5786856,0.94,88.16
20241122,87.6,88.55,88.63,87.58,3328733,-0.61,87.98
20241121,88.14,87.85,88.41,87.37,5480539,0.19,88.01
20241120,87.97,88.1,88.41,87.8,3973221,-0.36,88.0
20241119,88.29,87.81,88.38,87.14,3330637,0.28,87.95
20241118,88.04,87.0,88.17,86.84,4650856,0.13,87.87
20241115,87.93,86.67,88.0,86.67,4398000,1.33,87.55
20241114,86.78,87.49,87.5,86.61,3265132,-0.85,87.03
20241113,87.52,88.23,88.23,86.78,3321048,-0.22,87.38
20241112,87.71,88.4,88.63,87.6,4154230,-0.7,87.87
20241111,88.33,88.14,89.13,88.14,2882102,-0.35,88.52
20241108,88.64,87.44,88.79,87.15,3800998,1.97,88.42
20241107,86.93,87.51,87.73,86.37,4535684,-0.56,87.02
20241106,87.42,88.2,88.74,87.11,4670387,-1.44,87.53
20241105,88.7,88.18,88.78,87.78,4416567,0.66,88.46
20241104,88.12,88.54,89.21,87.5,4725695,-0.47,88.13
20241101,88.54,91.0,91.0,88.3,6814750,-2.74,89.09
20241031,91.03,90.69,92.38,90.12,10228286,1.87,91.25
20241030,89.36,90.33,90.33,89.04,7002117,-0.51,89.47
20241029,89.82,91.0,91.03,89.63,5596223,-2.15,90.09
20241028,91.79,92.22,92.69,91.76,2763639,-0.1,91.94
20241025,91.88,94.14,94.19,91.81,2498736,-1.85,92.41
20241024,93.61,93.88,94.45,93.33,2669854,-0.57,93.79
20241023,94.15,92.91,94.18,92.83,4650000,1.15,93.77
20241022,93.08,92.35,93.19,92.11,2425809,0.38,92.9
20241021,92.73,93.42,93.73,92.61,3150379,-0.55,92.88
20241018,93.24,92.7,93.35,92.02,3644523,0.58,93.04
20241017,92.7,92.31,92.85,92.02,3908792,0.44,92.61
20241016,92.29,90.98,92.46,90.6,3415084,1.74,91.96
20241015,90.71,90.5,91.4,90.36,3713912,0.97,90.88
20241014,89.84,88.75,89.95,88.75,2683277,0.99,89.7
20241011,88.96,88.61,89.07,88.32,3081137,0.79,88.86
20241010,88.26,88.97,89.8,88.21,3282964,-0.75,88.54
20241009,88.93,89.44,90.0,88.81,4126559,-0.4,89.25
20241008,89.29,89.2,89.72,88.8,2863523,0.45,89.33
20241007,88.89,90.06,90.23,88.67,4861043,-1.57,89.0
20241004,90.31,89.9,90.48,89.35,3429440,-0.43,90.06
20241003,90.7,91.82,91.87,90.19,6120738,-0.97,90.86
20241002,91.59,90.25,91.82,90.12,4770766,0.78,91.39
20241001,90.88,90.46,91.77,90.0,3893012,0.78,90.96
20240930,90.18,90.05,90.63,89.55,6703063,0.09,90.13
20240927,90.1,89.19,90.13,88.91,4474274,1.29,89.87
20240926,88.95,88.89,89.62,88.65,3706950,-0.45,88.98
20240925,89.35,90.15,90.55,88.91,3421028,-0.42,89.39
20240924,89.73,89.99,90.85,89.49,6222469,-0.87,89.99
20240923,90.52,89.85,90.59,89.53,3792483,0.91,90.28
20240920,89.7,90.12,90.14,88.47,9736582,0.95,89.6
20240919,88.86,88.65,89.01,88.0,7503996,-0.17,88.69
20240918,89.01,89.53,89.75,88.47,3657358,-0.71,89.12
20240917,89.65,89.78,89.84,89.11,2987663,-0.27,89.47
20240916,89.89,89.0,90.13,89.0,3701065,0.5,89.77
20240913,89.44,88.56,89.5,88.22,2294716,1.07,89.16
20240912,88.49,88.86,89.22,88.31,3285625,-0.32,88.56
20240911,88.77,89.32,89.4,88.14,3660064,-0.97,88.67
20240910,89.64,89.5,90.2,89.34,3868972,0.36,89.81
