trade_date,open,high,low,close,vol,pct_change,vwap
2023-01-03,108.13,109.09,106.38,107.59,1313832,0.05,107.45
2023-01-04,108.76,111.96,108.02,110.9,1808803,3.08,110.66
2023-01-05,109.48,109.62,107.25,107.48,1390675,-3.08,107.88
2023-01-06,107.85,109.41,107.81,108.81,1500989,1.24,108.78
2023-01-09,108.77,109.48,107.65,108.3,1474889,-0.47,108.51
2023-01-10,107.65,107.81,105.67,106.96,1329081,-1.24,106.71
2023-01-11,107.83,111.33,107.23,111.09,1660566,3.86,110.05
2023-01-12,111.67,115.73,111.17,115.33,2304159,3.82,114.35
2023-01-13,113.79,115.44,113.66,114.94,1560371,-0.34,114.86
2023-01-17,114.42,114.99,113.92,114.44,2021207,-0.44,114.47
2023-01-18,114.98,115.21,111.62,111.9,1483867,-2.22,112.6
2023-01-19,110.84,111.41,109.87,110.69,1274342,-1.08,110.67
2023-01-20,111.38,113.37,110.22,113.18,1651866,2.25,112.17
2023-01-23,113.38,114.68,112.84,114.39,1097994,1.07,114.13
2023-01-24,114.35,115.01,112.77,114.83,1353472,0.38,114.63
2023-01-25,114.42,114.92,113.96,114.59,1016970,-0.21,114.44
2023-01-26,115.29,115.71,114.31,115.64,1205944,0.92,115.09
2023-01-27,115.65,117.97,115.47,117.72,1480585,1.8,117.39
2023-01-30,116.67,117.94,115.23,115.29,1430034,-2.06,116.32
2023-01-31,115.45,117.81,115.03,117.59,3802934,1.99,117.3
2023-02-01,117.07,118.95,116.14,118.02,1467272,0.37,117.54
2023-02-02,119.0,121.81,118.55,120.63,2066906,2.21,120.41
2023-02-03,119.0,119.26,117.35,118.82,1391837,-1.5,118.48
2023-02-06,117.57,118.58,116.96,117.75,1379570,-0.9,117.79
2023-02-07,117.03,117.03,112.78,115.24,2443127,-2.13,114.78
2023-02-08,114.51,115.01,112.9,113.72,1614489,-1.32,113.64
2023-02-09,114.77,115.14,113.52,113.88,1750039,0.14,114.21
2023-02-10,113.14,114.1,112.13,113.82,1171470,-0.05,113.36
2023-02-13,113.96,115.2,113.66,115.13,1338416,1.15,114.73
2023-02-14,114.7,116.28,113.95,114.79,1387956,-0.3,114.73
2023-02-15,113.62,114.92,113.1,114.89,859893,0.09,114.34
2023-02-16,113.51,114.84,112.93,113.82,959529,-0.93,113.99
2023-02-17,113.59,113.94,112.03,113.19,1292433,-0.55,112.92
2023-02-21,111.87,112.46,109.9,110.41,1612516,-2.46,110.74
2023-02-22,110.99,111.74,110.19,110.85,1399582,0.4,110.97
2023-02-23,111.93,112.67,110.73,111.95,1053083,0.99,111.79
2023-02-24,110.35,112.16,110.11,111.52,1047571,-0.38,111.35
2023-02-27,112.97,113.63,111.66,112.14,1330242,0.56,112.33
