trade_date,close,open,high,low,vol,pct_change,vwap
20241231,498.03,498.73,500.93,495.71,634167,0.0,497.96
20241230,498.02,498.52,500.45,494.0,645596,-0.75,498.04
20241227,501.8,501.91,506.56,499.46,599610,-0.59,501.91
20241226,504.78,502.07,506.03,499.99,518619,0.01,504.71
20241224,504.75,499.79,504.75,498.22,431302,1.3,502.62
20241223,498.25,490.02,498.9,488.52,1356193,1.31,496.11
20241220,491.81,485.0,494.82,483.92,2388287,1.08,490.88
20241219,486.56,492.94,495.5,485.72,1684068,-0.73,487.89
20241218,490.13,500.15,506.09,489.69,1267013,-2.07,496.48
20241217,500.51,502.05,502.05,497.39,1315763,-0.47,499.93
20241216,502.86,506.52,510.0,502.19,1238036,-0.57,504.48
20241213,505.75,513.74,515.25,504.27,1036167,-1.39,506.41
20241212,512.87,516.66,518.64,512.82,838807,-0.66,514.85
20241211,516.27,512.05,519.85,509.76,839899,0.8,516.62
20241210,512.15,513.63,514.5,509.41,1306283,-0.23,512.25
20241209,513.35,514.06,517.94,509.38,1144128,-0.66,513.27
20241206,516.77,514.25,520.58,513.13,850061,0.56,517.23
20241205,513.89,519.38,519.38,511.8,913329,-1.22,513.97
20241204,520.26,519.26,527.89,519.26,1029572,0.4,523.2
20241203,518.19,523.48,524.97,517.73,1122127,-0.9,519.28
20241202,522.87,522.42,524.29,518.28,1179120,0.07,521.91
20241129,522.51,523.55,526.75,521.41,842430,-0.07,523.19
20241127,522.86,523.0,526.82,519.53,1351805,0.17,522.44
20241126,521.96,521.57,524.0,515.97,912834,0.28,521.21
20241125,520.51,516.76,520.83,514.81,1853480,1.18,519.24
20241122,514.46,510.0,517.42,510.0,1080574,0.6,514.57
20241121,511.37,508.01,513.56,504.32,1073007,1.64,510.59
20241120,503.13,503.6,507.47,496.13,1112957,0.16,501.34
20241119,502.31,502.73,505.88,499.8,1224040,-0.14,502.8
20241118,503.0,501.63,504.73,499.15,1174432,-0.06,502.72
20241115,503.29,506.15,510.79,502.06,1132168,-1.44,504.33
20241114,510.64,514.3,515.73,510.29,750373,0.07,512.14
20241113,510.29,503.85,515.8,503.53,1063779,1.35,511.05
20241112,503.47,506.95,508.05,503.21,989647,-0.75,504.71
20241111,507.26,500.49,509.96,500.01,1023558,0.88,507.62
20241108,502.82,497.24,507.49,497.24,1298472,1.15,503.85
20241107,497.1,494.72,498.32,492.31,1278740,1.45,496.33
20241106,489.99,503.62,503.62,477.29,2350934,0.06,487.94
20241105,489.71,485.97,489.82,484.84,857080,0.81,488.2
20241104,485.77,483.93,486.75,482.92,908339,0.51,485.32
20241101,483.31,481.87,487.23,480.88,940235,0.61,484.4
20241031,480.36,484.87,485.88,480.03,1325118,-1.15,482.28
20241030,485.94,487.63,490.58,484.75,1103887,-0.17,487.02
20241029,486.75,487.69,489.82,486.03,1595788,-0.1,487.82
20241028,487.24,493.85,494.93,486.31,1278684,-0.69,488.08
20241025,490.61,497.59,498.93,488.64,949924,-0.53,491.76
20241024,493.21,499.0,504.42,492.04,1743401,-3.47,496.14
20241023,510.92,513.5,514.55,509.59,986998,-0.51,511.27
20241022,513.52,519.06,519.38,510.63,1259466,-1.85,513.67
20241021,523.19,521.17,524.75,518.69,808102,-0.31,522.47
20241018,524.8,523.91,525.58,520.88,1570527,1.13,524.03
20241017,518.96,531.74,532.0,515.21,1447631,-1.9,520.83
20241016,529.0,524.86,529.61,522.01,628084,0.1,527.4
20241015,528.45,530.0,533.29,527.83,1288548,0.18,529.36
20241014,527.52,522.56,528.53,522.56,616542,1.06,526.74
20241011,522.01,517.52,522.72,516.67,640571,1.34,521.2
20241010,515.12,519.95,521.49,513.95,718013,-1.22,516.37
20241009,521.47,519.0,524.35,518.56,812061,0.6,521.88
20241008,518.35,511.32,519.56,510.46,925520,2.36,517.2
20241007,506.42,512.55,513.56,505.14,813114,-1.12,507.72
20241004,512.17,513.58,516.14,508.35,683128,-0.47,511.8
20241003,514.6,514.57,516.98,513.43,753947,-0.02,514.73
20241002,514.71,514.07,516.65,511.05,909625,0.49,513.85
20241001,512.22,518.64,518.87,511.45,914710,-0.85,513.49
20240930,516.62,512.06,517.47,510.31,934945,0.76,515.08
20240927,512.72,511.6,516.68,511.19,721201,0.2,513.62
20240926,511.7,513.24,515.93,509.26,1138429,-0.61,511.42
20240925,514.82,519.51,522.06,513.16,831847,-0.64,515.26
20240924,518.11,517.28,519.5,513.01,1070887,-0.57,517.56
20240923,521.08,520.02,527.84,518.12,895358,-0.49,520.86
20240920,523.67,523.39,525.23,520.0,1814714,-0.1,523.28
20240919,524.22,525.0,526.8,522.08,882233,0.9,524.45
20240918,519.52,520.64,525.27,516.02,893720,-0.55,520.31
20240917,522.38,525.1,525.82,517.58,1049517,-0.95,521.49
20240916,527.38,521.86,528.02,520.62,1015789,1.53,526.31
20240913,519.45,522.0,524.14,518.07,1021736,-0.11,519.51
20240912,520.01,514.13,521.0,512.59,835285,0.81,517.7
20240911,515.81,516.95,517.71,504.5,1081853,-0.8,512.03
20240910,519.95,517.7,520.98,513.66,929676,0.8,518.72
20240909,515.83,514.79,519.87,513.55,842997,1.02,516.36
20240906,510.64,517.09,521.5,510.12,967534,-1.23,513.1
